Skills,Count
Active Learning,1
Agile Methodology,1
Algorithm Analysis,1
Algorithms,3
Application Layers,1
Application Programming Interface (API),1
Assembly Language,1
Augmented Reality,1
Benchmarking,1
C (Programming Language),3
C++ (Programming Language),1
Cascading Style Sheets (CSS),1
Cisco Certified Entry Networking Technician,1
Cisco Certified Network Associate (CCNA) Routing And Switching,1
Cognitive Psychology,1
Collaborative Software,1
Communications,1
Communications Protocols,2
Computer Networks,2
Computer-Aided Software Engineering,1
Coordinating,1
Cost Estimation,1
Cryptography,1
Cyber Security,2
Data Analysis,2
Data Hiding (Encapsulation),1
Data Manipulation,1
Data Structures,2
Database Administration,1
Database Systems,1
Debugging,1
Deep Learning,1
Descriptive Statistics,1
Design Elements And Principles,1
Digital Signature,1
Dimensionality Reduction,1
Directory Structure,1
Discrete Mathematics,1
Ductility,1
Dynamic Host Configuration Protocol (DHCP),1
Economics,1
Electronic Control Unit,1
Embedded Systems,2
Encryption,1
Enterprise Application Software,1
Experimentation,1
File Attribute,1
File Systems,2
Flow Control,1
Formal Methods,1
Functional Requirement,1
Hash Functions,1
HyperText Markup Language (HTML),1
IP Addressing,1
Information And Communications Technology,2
Internet Of Things (IoT),5
Java (Programming Language),2
JavaScript (Programming Language),1
Junit,1
Lifelong Learning,1
Linear Algebra,1
Linear Equations,1
Linked Lists,1
Linux,1
Local Area Networks,1
Machine Learning,1
Machine Learning Algorithms,1
Machine Learning Methods,1
Management,1
Mass Storage,1
Mathematics,2
Memory Hierarchy,1
Memory Management,1
Microcontrollers,1
Microsoft Security Development Lifecycle,1
Modeling Languages,1
Mutual Exclusion (Mutex),1
MySQL,1
Network Routing,1
Network Security,1
Network Simulation,1
Network Switches,1
Number Systems,1
OSI Models,1
Object-Oriented Programming (OOP),3
Open Systems Interconnection,1
Open-Source Software,1
Operating Systems,2
Operations,4
Organizational Change Management,1
Organizational Leadership,1
PHP (Scripting Language),1
Page Replacement,1
Performance Appraisal,1
Performance Profiling,1
Peripheral Devices,1
Planning,1
Polymorphism,1
Probability,1
Probability Distribution,1
Probability Theories,1
Process Management,1
Product Demonstration,1
Profiling (Computer Programming),1
Programming Concepts,1
Project Planning,1
Protocol Analyzer,1
Prototyping,1
Public Key Cryptography,1
Python (Programming Language),2
R (Programming Language),1
Real-Time Operating Systems,1
Relational Databases,1
Requirements Engineering,1
Resource Constraints,1
Sampling (Statistics),1
Scalability,1
Scheduling,1
Scripting,2
Secure Coding,1
Security Requirements Analysis,2
Serial Communications,1
Server-Side,1
Smartphone Operation,1
Social Change,1
Socket Programming,1
Software Analysis,1
Software Architecture,3
Software Design,1
Software Development,1
Software Development Life Cycle,3
Software Documentation,1
Software Engineering,4
Software Maintenance,1
Software Performance Testing,1
Software Suite,1
Software Systems,2
Sorting,1
Statistical Inference,1
Statistics,1
Storage Management,1
Symmetric Key,1
TCP/IP,1
Tablets,1
Threat Modeling,1
Time Series,1
Transmission Control Protocol (TCP),1
Unified Modeling Language,1
Unix,1
Usability,1
User Interface (UI),2
V-Model,1
Verification And Validation,1
Virtual Memory,1
Waterfall Methodology,1
Wireless Paging Systems,1
