,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills
0,Sales Engineer Cyber Security,3689280202,NSFOCUS,"Singapore, Singapore (On-site)",134,,Full-time,,,position descriptionas nsfocus sales engineer regional sales manager partner responsible helping clients transform approach antiddos web security presenting nsfocus platform products prospective customers creating delivering demonstrations products gathering customer technical requirements creating evaluation test plans customers managing evaluation process successful conclusion accomplish sales engineer must strong technical foundation desire set vision translates business objectives enticing actionable solution design sales engineer act trusted technical business advisor clients aiding customers transformational journey primary responsibilities · act customer technical liaison nsfocus· responsible customer technical needs assessment analysis· support rfprfirfq proposal development proposal delivery customers· plan execute proof concept lab field testing product solutions customer sites· provides basic training products solutions clients partners· work closely sales marketing product line management develop winning technical offers· develop application use case solutions sales collaterals· research competition develop customerspecific technical sales strategies · actively participate tradeshows relevant marketing events related experience· years experience se systems integrator· excellent knowledge security networking professional certification preferred· deep understanding network protocol http tcpip bgp etcpractical experience working routing switching productssmooth communication customers english cantonese chinese would plus language skills plus education certificationgraduate degree network engineering cybersecuritycomputer scienceengineering preferred equivalent experience bs degree position type full timelocation singaporelanguage english mandarin required,17-Aug-2023,Border Gateway Protocol (BGP):Cyber:Cyber-security:Cybersecurity:Events:Hypertext Transfer Protocol (HTTP):Language Skills:Proposal Development:Technical Sales:Technical Solution Design,"Business Objectives,Technical Sales,Solution Design,Communications Protocols,Network Protocols,English Language,TCP/IP,Communications,Proposal Development,Network Engineering,Sales Engineering,Regional Sales,Marketing,Field Testing,Border Gateway Protocol,Product Lining,Needs Assessment,Mandarin Chinese,Management,Sales,Network Routing,Research,Test Planning,Demonstration Skills"
1,Network Security Engineer,3712340150,Wipro,"Singapore, Singapore (On-site)",163,Associate,Full-time,Information Technology:Finance:Business Development,IT Services and IT Consulting:Financial Services:Banking,network security consultantlocation singapore primary skills hands experience fortigatejuniper srx netscreencheckpoint firewalls hand experience tipping point ips smshandson experience f load balancer proxyjuniper pulse ssl ipsec vpn gatewayexperience mcafee proxy microsoft isa load balancer reverse proxystress actividentity strong authentication knowledge experience internetwork routing architectures underlying network security technologiesgood problem analysis skillsgood communication skills,08-Sep-2023,Checkpoint:Firewalls:Fortinet:IPS:IPSec:Juniper Networks Products:Network Security:Proxy Server:Transport Layer Security (TLS):Virtual Private Network (VPN),"Virtual Private Networks (VPN),Network Security,Internet Protocol Security (IP SEC),Firewall,Authentications,Microsoft Forefront Threat Management Gateway,Network Routing,Problem Solving,Communications"
2,"Cybersecurity Technology Support Engineer, Technology Information Security Office (GO&T)",3468593655,OCBC,Singapore (On-site),142,,Full-time,Information Technology,Banking:Capital Markets:Financial Services,description provides cybersecurityrelated technical operation maintenance monitoring patching support cybersecurity systems services products cybersecurity solutionsensures adherence specifications conformance requirements assures sound performance resolves technical issues required cybersecurityrelated solutionsmonitors assures reports performance implemented cybersecurity controlsassess manage technical vulnerabilities cybersecurity solutionsevaluates changes cybersecurity solutions potential implications recommend cybersecurity enhancements job qualifications degree higher computer science cybersecurity equivalentat least years experience cybersecurity system applications administrationexperienced managing cybersecurity solutions eg siem antimalware edr network security operations maintenancean active team player excellent communications interpersonal skills work independently without supervisionattention details displays strong technical logic securityfocused mindset comes problem solvingcommunicate present report stakeholdersability define implement operational processes ensure metscripting knowledge python javascript etcstrong commitment personal development technically professionallypossess comptia security isc sscp itil certifications added advantage primary location singapore job information technology organization e power division schedule permanent fulltime job posting apr,17-Sep-2023,CompTIA:Cyber-security:Cybersecurity:Defining Requirements:Vulnerability,"Systems Security Certified Practitioner,CompTIA Security+,Interpersonal Communications,Python (Programming Language),Network Security,Cyber Security Systems,Security Information And Event Management (SIEM),Cyber Security,ITIL Certifications,JavaScript (Programming Language),Computer Science,Cyber Security Management,Endpoint Detection And Response,Information Technology,Operations,Communications,Vulnerability"
3,Security Engineer,3726089674,Synapxe,"Singapore, Singapore (Hybrid)",11,Entry level,Full-time,Information Technology,IT Services and IT Consulting,position overview role responsibilities infra team’s single point contact spoc internalexternal auditors consultants auditreview projectsassist infra team managing life cycle audit projects issues start till closureassist infra team track status audit issues till closureperform compliance checks ensure audit issues adequately closedperform compliance checks specific systems processesprovide compliance governance promote security compliance within infra department requirements – years experience audit compliance security operationsit operations experience focus management computer servers windows linux database microsoft sql oracle advantagebroad security knowledge wide spectrum infra systems including servers network workstations security management toolsgood knowledge processes domains measures security incident reporting response server workstation security hardening process vulnerability assessment penetration testing data loss prevention patch management disaster recovery security operations centre socfamiliar iso security standards itil processes risk assessment processescandidates relevant audit security certifications cisa cissp advantagebe able communicate well verbally good skill writing clear reports apply note takes minutes apply meaningful career healthtech go,23-Sep-2023,Communication:Defining Requirements:IT Audit:IT Operations:Vulnerability Assessment:Vulnerability Assessment and Penetration Testing (VAPT):Writing,"Certified Information System Auditor (CISA),Linux,Hardening,Security Management,Incident Reporting,Vulnerability Assessments,Penetration Testing,Data Loss Prevention,Microsoft SQL Servers,Certified Information Systems Security Professional,Information Technology Infrastructure Library,Risk Analysis,Patch Management,Disaster Recovery,Management,Auditing,Governance,Operations"
4,Cybersecurity Incident Responder,3600217348,Michael Page,"Singapore, Singapore (On-site)",75,Entry level,Full-time,Information Technology:Engineering,IT Services and IT Consulting:Computer and Network Security:Software Development,excellent benefit compensation packagestable organization client client one largest tech companies singapore known vibrant diverse inclusive workforce currently hiring passionate cybersecurity incident responder join team job description cybersecurity incident responder responsibilities include daily real time monitoring analysis security events threats multiple sourcesrefining current use cases implemented siem solution reduceminimise false positivesfirst point contact cybersecurity incident responsible incident investigationconducting forensic analysisproviding postincident reports management stakeholder building designing security incident playbookthe successful applicant successful candidate bachelors degree computer science relevant field excellent communication skills least years experience cyber security operations incident response forensic analysis whats offer stable established organizationexcellent salary package benefitscontact isha hussain quote job ref jn,12-Apr-2023,Cybersecurity:Forensic Analysis:Incident Response:Security Operations,"Incident Response,Security Information And Event Management (SIEM),Cyber Security,Cyber Operations,Computer Science,Management,Communications"
5,Security Operations Center (SOC) Analyst,3623074994,Aspire,"Singapore, Singapore (Hybrid)",446,Entry level,Full-time,Information Technology,Financial Services,aspire leading allinone finance operating system growing businesses apac mission reinvent business finance new generation entrepreneurs business owners empowering startups msme realise full potential founded aspire raised usd across equity debt worldclass investors successfully closed oversubscribed usd million series c equity round led sequoia capital lightspeed ventures participation tencent paypal ventures lgt capital partners picus capital massmutual ventures power solutions partnered best companies world visa wise helped businesses using suite products awarded best employer year payments tech year asia fintech awards ranked linkedins top startups list listed yc top companies ranked top straits times fastestgrowing companies amazed energy experience team team exentrepreneurs exfounders highachievers international backgrounds team reach highest standards dont take answer expanding rapidly top talent passionate entrepreneurship join us make impact fintech space team aspire recognize data infrastructure security paramount success trust customers security team forefront protecting securing systems ensuring compliance industry best practices continuously learning evolving stay ahead emerging threats emphasis extends data privacy seamlessly integrating security initiatives role operationssecurity operations center soc analyst responsible ensuring proper administration systems building soc responding security alerts incidents reporting aspire’s head information security exciting opportunity part fastgrowing team security specialists within company currently little need premise administration physical tasks looking someone experience cloud environments software service saas monitoring analyzing security logs alerts identify potential security incidents investigating responding security incidents audits timely effective manner collaborating teams implement security measures controls protect potential threats participating incident response disaster recovery planning exercises supporting integration operations including partly hardware software maintenance backups system updates providing technical support internal teams endusers supporting security architecture soc tools technologies responding documenting reporting security incidents operations continuously improving operations processes procedures ensure efficient secure service delivery writing user manuals procedures standard operating procedure sops faqs supporting driving daily security tasks would love get know following minimum need based ± hours singapore timezone gmt eg india vietnam philippines good good written spoken english communication skills studied university polytechnic experience triaging security events azure sentinel azure loganalytic workspace azure logic apps datadog siem ms defender python jira experience memory forensic malware analysis network traffic log analysis someone keeps uptodate latest security trends technologies maintain strong security posture building maintaining operating soc ideal candidate optional degree computer science engineering related qualification exposed aws gcloud github okta notion google work space password cloudflare azure logic apps malware analysis retesting penetration testing findings worked linux environments software development experience eg python go bash powershell personal electronics computer science related projects personal blog github offer work anywhere work home subsidy uncapped flexible annual leave training subsidy professional growth wellness benefit team bonding budget foster collaboration sense belonging culture key importantly always strive cultivate special culture brings special talents together may learn culture careers site linkedin life page equal opportunity statement aspire equal opportunity employer committed providing equal employment opportunities qualified individuals without regard race color religion sex sexual orientation gender identity national origin age disability protected characteristic outlined applicable laws please note submitting application acknowledge read understood aspire’s data protection policy employees freelancers contractors job applicants “policy” consent collection use disclosure personal data aspire purposes set policy may withdraw consent collection use disclosure make access correction request respect personal data accordance policy emailing,16-Sep-2023,Azure Logic Apps:Forensic Analysis:Incident Response:Log Analysis:Malware Analysis:Memory Forensics:Retesting:Security Operations:Security Operations Center:Vulnerability Management,"Azure Sentinel,Log Analysis,Azure Logic Apps,Data Infrastructure,Operating Systems,Microsoft Azure,Disaster Recovery Plan,Corporate Finance,Github,Incident Response,Finance,Software Maintenance,Linux,Financial Technology (FinTech),Standard Operating Procedure,Python (Programming Language),Malware Analysis,JIRA,Penetration Testing,Cloudflare,Security Information And Event Management (SIEM),Backup Devices,Information Privacy,IT Security Architecture,Datadog,Okta,Bash (Scripting Language),Windows PowerShell,Computer Science,English Language,Software Development,Amazon Web Services,Go (Programming Language),Operations,Technical Support,Notion (Software),Software As A Service (SaaS),Entrepreneurship,C (Programming Language),Gcloud,Communications,Auditing"
6,SOC Analyst - Junior to Team Lead,3693010901,JAC Recruitment,"Singapore, Singapore (On-site)",125,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,company overview client singapore based security solution provider due high demand market looking soc analyst l junior team lead join team responsibilities serve first responder incidents within staffed soc environment conduct security monitoring vulnerability management data loss prevention policy violation prevention threat hunting activities monitor security sensors analyze logs identify network anomalies intrusions perform analysis security log data various security devices escalate security incidents according established policies procedures communicate ensign customers regarding security intrusions root cause analysis provide mitigation recommendations conduct initial analysis security events network traffic logs assist developing incident response plans workflows standard operating procedures sops collaborate threat intelligence analysts translate intelligence actionable detection measures monitor analyze managed endpoint detection response mdr platforms taking necessary response actions based standardized workflows client agreements act liaison configured alerts monitoring performance security sensors tools fulfill change requests service requests respond internal external inquiries related incident management requirements diplomadegree information systeminformation security recognized institution minimum year working experience solid understanding network routing switching fundamentals including multiprotocol layer switching mpls basic technical knowledge operating systems network architecture design familiarity encryption key management cryptology strong organizational prioritization skills ability analyze problems identify root causes propose implement effective solutions excellent written verbal communication skills resultsoriented mindset working location singapore apply online feel free contact directly via email information opportunity due high volume applicants regret inform shortlisted candidates notified thank understanding audrey teo wei r c jac recruitment pte ltd ea lic c countrysingapore,13-Sep-2023,Cryptography:Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Encryption:Incident Response:Key Management:Multiprotocol Label Switching (MPLS):Network Architecture:Packet Switching:Root Cause,"Cyber Threat Intelligence,Vulnerability Management,Incident Response,Security Log,Multiprotocol Label Switching,Standard Operating Procedure,Cryptography,Encryption,Cyber Threat Hunting,Network Routing,Root Cause Analysis,Data Loss Prevention,Change Requests,Sensors,Key Management,Verbal Communication Skills,Security Devices,Incident Management,Operating Systems,Network Architecture,Prioritization,Team Leadership,Workflow Management"
7,Cybersecurity Engineer (Reverse Engineering) - Information Security,3687132883,Shopee,"Singapore, Singapore (On-site)",22,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",team seeking highly motivated cyber security engineer binary security domain work information security team cybersecurity engineer play pivotal role enhancing security measures specifically focusing binary security responsibilities encompass various aspects security testing research including design development implementation secure system architectures endpoint protection bypass techniques reverse analysis security software research persistence solutions different operating systems conducting red team engagements emulate apt adversaries job description customized remote control program development design develop customized remote control programs red team operations effectively bypass endpoint protection solutions crowdstrike windows defender safeguardendpoint protection bypass security principles conduct reverse analysis common edr antivirus software eg crowdstrike trend micro windows defender hids identify vulnerabilities bypass protection mechanisms collaborate crossfunctional teams design implement secure system architectures embed security principles system design proactively address risks associated new technologies evolving business practices develop artifacts document security principles alignment overall enterprise system architectureresearch persistence solutions research analyze persistence solutions common operating systems including windows macos linuxred team engagements conduct red team engagements various scenarios including idc networks office environments cloud environments mimic apt adversary emulation assess enhance security posture requirements bachelor degree computer science engineering information technology related fields mandatorymore years relevant work experienceextensive experience rat remote access tool development ability customize attack frameworks like cobalt strikeextensive experience antiendpoint protection providing solutions bypass detection edr systems crowdstrike windows defender safeguardextensive experience developing persistence solutions common operating systems windows macos linuxindepth understanding security mechanisms windowslinux systems familiarity offensive techniques ringringstrong scriptingdevelopment skills languages cc go powershell javascript asm etcstrong reverse engineering skills proficiency tools ida pro ollydbg windbg gdb etctracking records bug bounty awards cves public security articles speaking security conferences github star author etcgood communication skills effective teamwork spirit strong professional ethicsselfstarting fast learning ability preferred experience experience spear phishing social engineering tacticsexperience penetration testing red teaming familiarity kill chains according attck framework eg initial access windows ad testing lateral movementexperience performing apt offensive defensive operationswe looking dedicated cybersecurity engineer reverse engineering passionate cybersecurity contribute continuous improvement security posture meet criteria ready take exciting challenges encourage apply,18-Sep-2023,APT:Crowdstrike Falcon:Cybersecurity:IDA Pro:Remote Access:Vulnerability Assessment,"Self-Motivation,Endpoint Security,Enterprise Application Software,Security Testing,Github,Cyber Engineering,Host-Based Intrusion Detection Systems,Windows Defender,Remote Administration Software,Phishing,Quick Learning,IDA Pro,WinDBg,GNU Debuggers,Penetration Testing,OllyDBg,Mac OS,Cyber Security,Security Software,Systems Design,Security Domain,JavaScript (Programming Language),Windows PowerShell,Operating Systems,Social Engineering,Teamwork,Endpoint Detection And Response,Computer Science,Information Technology,Vulnerability,Operations,Persistence,Research,Communications,International Classification Of Diseases,Program Development"
8,Information Security Analyst,3468314707,DSO National Laboratories,"Singapore, Singapore (On-site)",462,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,responsibilities dso national laboratories dso singapore’s largest defence research development rd organisation critical mission develop technological solutions sharpen cutting edge singapores national security dso develop career make real impact shape future defence across spectrum air land sea space cyberspace information division focuses capabilities technologies enables mindef saf harness exploit information physical battlefield cyberspace capability areas include cybersecurity cryptography data analytics fusion artificial intelligence vulnerabilities assessments operations analysis information security programme conducts applied research development advanced systems techniques cryptography communications security strive provide saf minde operational timely production systems secretedge capabilities ensure cryptographic superiority achieve information dominance people dso’s greatest asset get realise career aspirations develop niche either deep technical expert leader team frequent career dialogues robust training development framework provide necessary development tools reach potential also recognised rewarded competitive remuneration packages scholarship opportunities information security analyst role conduct applied research development field communication security cryptography evaluate assess security strength information security solutions develop cryptographic solutions unique security problems requirements master’s bachelor’s degree computer science mathematics strong analytical skills evaluate assess cryptographic algorithms strong interest cryptography solving difficult mathematical challenges able think creatively work independently,11-Sep-2023,Analytical Skills:Communication:Communications Security:Computer Science:Cybersecurity:Data Privacy:Ethical Hacking:Incident Response:Information Security:Vulnerability Assessment,"Cryptography,Operations Research,Analytical Skills,Applied Research,Creative Thinking,Algorithms,Communications Security,Mathematics,Cyber Security,Research And Development,Training And Development,Artificial Intelligence,Computer Science,Programming Tools,Vulnerability,Data Analysis"
9,IT Internal Control Senior/ Analyst,3727523186,Tencent,"Singapore, Singapore (On-site)",10,Mid-Senior level,Full-time,Finance,Software Development,tencent worldleading internet technology company develops innovative products services improve quality life people around world founded headquarters shenzhen china guiding principle use technology good major video game publisher world also produce highquality digital content enriching interactive entertainment experiences people around globe offer range services cloud computing advertising fintech enterprise services support clients digital transformation business growth position overviewwith international business growth currently searching experienced internal control analyst join us singapore heshe focusing internal control risk management duties gaming business heshe possess ability build risk control framework procedures targeted markets assigned solid knowledge practical experience data analytics eg sql python r etc responsible risk management internal control online games singapore including maintaining risk matrix establishing internal control proceduresconduct risk analysis draft risk control measures drive execution process control designenhancements achieve standardisation improve operational effectivenesspromote use risk management tools systems locally enhance risk awareness across employees locallybe risk management advisor local stakeholders recommend root cause remediation meet upkeep high standards risk control processconduct regular discussions risk management topics issues local management teams requirements bachelors degree computing related majors audit qualifications preferredminimum years relevant experience internal control audit risk management preferably within internet gaming industriessolid experience creating increasing risk awareness within local businesses ability engage risk management duties independentlysolid knowledge practical experience data analytics preferably experience common data analytics programming language eg sql python rpersonal attribute demonstrated ability work independently efficiently deliver high quality outcomes highly demanding high pressure environment diversity equity inclusion tencentdiversity equity inclusion important interdependent components workplace equal opportunity employer firmly believe diverse voices fuel innovation allow us better serve users community foster environment every employee tencent feels supported inspired achieve individual common goals,28-Sep-2023,Data Analytics:Defining Requirements:High Pressure:High-Pressure Environments:Information Technology:Knowledge Acquisition:Root Cause:System Administration:Technical Support:Troubleshooting,"Cloud Computing,Digital Transformation,Process Control,Internal Controls,Digital Content,Risk Control,Financial Technology (FinTech),Python (Programming Language),Audit Risk,Risk Awareness,SQL (Programming Language),International Business,Risk Analysis,Risk Management Tools,Risk Management,Innovation,Auditing,Data Analysis,Management,R (Programming Language)"
