,Job Title,Skills
0,Android Engineer (Real Time Communication) - TikTok,"Curiosity,Operating Systems,Communications,Android (Operating System),WebRTC,Cloud Services,Algorithms,Compassion,Live Streaming,Algorithm Design,FFmpeg,Java (Programming Language),Data Structures,Critical Thinking,Android Development,Systems Design,Video Conferencing,TikTok,Multithreading,Creativity,Innovation"
1,Staff Android Engineer (Coupang Play),"Code Review,Circleci,RxJava,Junit,MockK,Android (Operating System),Data Binding,Digital Content,ViewModel,Scheduling,Phone Interviews,Google Play,Android Jetpack,SonarQube,Kotlin,Product Engineering,AWS CodeBuild,Model View ViewModel,Application Lifecycle Management,Middleware,Widevine,CI/CD,Multithreading,Chromecast,New Product Development,Espresso (Android Testing Framework),Robolectric,Mentorship,Wireless Paging Systems,Customer Service"
2,Android Developer,"Android Software Development,Junit,Bitbucket,Jenkins,Model View ViewModel"
3,Senior Android Engineer,
4,Android Developer,"eSports,Communications,Payment Gateway,Kotlin,Model View ViewModel,Innovation"
5,Software Developer - Android,"Data Exchange,Extensible Markup Language (XML),Application Development,Bitbucket,JIRA,Payment Card Industry (PCI) Data Security Standards,Java (Programming Language),Android Development,Code Comments,Credit/Debit Card Processing,Software Project Management,JSON,Embedded Systems,Software Development Life Cycle,C (Programming Language),Android (Operating System),Software Development,Electrical Engineering,Flowcharts,Atlassian Confluence"
6,Software Engineer (Android) - Mobile Infrastructure,"Blockchain,Application Programming Interface (API),RxJava,Decentralized Finance (DeFi),Mobile Application Development,Software Design Patterns,Toolchain,Android Jetpack,Test Automation,Architectural Patterns,Cryptocurrency,Asset Management,Android SDK,Matrix Management,Product Engineering,Scalability,UI Components,Android (Operating System),Innovation,Derivatives,Persistence,Animations,Communications,Research,Workflow Management"
7,Information Technology - Android Developer (KrisPay),"Loyalty Marketing,Blockchain,IOS Development,Junit,Mobile Application Development,Application Services,Agile Methodology,Android (Operating System),Android Applications,Requirements Elicitation,Usability Testing,Serverless Computing,Communications,Angular (Web Framework),Prototyping,Kotlin,Java (Programming Language),Scalability,Node.js (Javascript Library),Extreme Programming,Model View ViewModel,User Experience (UX),Back End (Software Engineering),Mockito,JavaScript (Programming Language),Release Management,Post-Production,CI/CD,Google Play,User Interface (UI) Design,Espresso (Android Testing Framework),Information Technology,Research,Troubleshooting (Problem Solving),Automation,English Language"
8,Blockchain Android Developer (Kotlin),"Blockchain,Cryptography,Communications,Test Automation,Non-Fungible Tokens (NFT),Continuous Integration,Cryptocurrency,Solidity (Programming Language),Problem Solving,Kotlin,Software Engineering,Systems Architecture,Organizational Structure,Go (Programming Language),Rust (Programming Language),Cryptocurrency Wallets,Innovation,Team Building,Management"
9,Android Engineer,"AWS Internet Of Things (IoT),Junit,Google Gson (Java Library),Software Engineering,Modular Design,Android Applications,Codebase,Scrum (Software Development),Application Programming Interface (API),Kotlin,Java (Programming Language),Mobile Application Development,Android Development,Model View ViewModel,Mockito,Android (Operating System),Espresso (Android Testing Framework),Agile Methodology,Test Engineering,Internet Of Things (IoT),New Product Development"
10,Android Developer,"Android Studio,Proofreading,Android SDK,Kotlin,Java (Programming Language),Teamwork,Computer Science,Android (Operating System),Communications,Software Development"
11,Native Mobile Developer (Android/ Kotlin),"Application Development,Android Applications,Git (Version Control System),Bitbucket,React.js (Javascript Library),Problem Solving,RESTful API,Mobile Application Development,Wireframing,DevOps,Unit Testing,Architectural Design,CI/CD,IOS Development,Computer Science,Information Technology,Agile Methodology,Operations,Benchmarking,Atlassian Confluence"
12,Android Mobile Application Developer,"Software Versioning,Planning,RubyGems,Analytical Skills,Android Applications,Git (Version Control System),Scrum (Software Development),Post-Production,Problem Solving,Bundler,Kotlin,Accountability,Mobile Application Development,Model View ViewModel,Unit Testing,Git Flow,Architectural Design,CI/CD,Postman API Platform,Hotfix,Android (Operating System),Prototyping,Google Play,Agile Methodology,Amazon Web Services,Creativity,Software Development,Research,Troubleshooting (Problem Solving)"
