Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Information Security Analyst Intern,3704826745,The Lubrizol Corporation,"Jurong, Singapore (On-site)",40,,Full-time,Information Technology,Chemical Manufacturing:Research Services,"About Lubrizol
The Lubrizol Corporation, a Berkshire Hathaway company, is committed to enabling a sustainable future. Our unmatched science unlocks immense possibilities at the molecular level, driving sustainable and measurable results to help the world Move Cleaner, Create Smarter and Live Better. Our solutions are used by people every day, improving billions of lives around the world.
We value diversity in professional backgrounds and life experiences. By enabling a consistent, unbiased, and transparent recruitment process, Lubrizol seeks to create a positive experience for candidates so we can get to know them at their best. We recognize unique work and life situations and offer flexibility, ensuring our employees feel engaged and fulfilled in every aspect of life.
Summary Of Responsibilities
The Information Security Analyst Intern will be involved in the delivering of prompt and reliable security monitoring and response services, through processing daily work queues as a member of a team in a global security operation center (SOC). He/she will also be exposed to the operational and administrative support of several security tools.
The Intern will have the opportunity to learn and work on the following responsibilities: 
Execute defined incident response playbooks to investigate security breaches and other cyber security incidents. This includes clear documentation of incident artifacts and business impacts/concerns Participate in the development and continual refinement of security group operating practices/processes, including incident response playbooks Work with larger Information Technology (IT) department to perform tests, uncover and remediate security vulnerabilities to maintain a high-security standardProvide ongoing ownership for operational, administrative support, and full product lifecycle management of certain security tools (e.g. DLP, CASB, anti-malware, web filtering, SIEM, etc.) Conduct thorough security investigations as requested by the businessWork with IT to identify and implement best practices for cybersecurity.Understand and evaluate cybersecurity trends and risksPerform or participate in penetration testingHelp colleagues understand information security managementAs part of a global information security team, provide insight and recommendations to leadershipStay up-to-date on information technology trends and security standardsProvide cybersecurity insights and act as an information security advocate to the businessProvision application and network security access per user requestsOther information security activities as needed
Requirements
Pursuit of bachelor’s degree in IT or related fieldSelf-starter with good Interpersonal skillsStrong networking skillsKnowledge on security access administration systems and processes, Windows operating systems and Microsoft Active Directory is preferred
Please note that company transport is provided at the following MRT stations:
Tampines/BedokSeng Kang/SerangoonWoodlands/Choa Chu KangBoon Lay/Jurong East
If you’re interested in the position, we encourage you to apply. Lubrizol is always looking for candidates who embody our cultural beliefs in everything they do. If you’re All In, Lead Decisively, Take Action, Think External, and can Be Courageous, Lubrizol could be the place for you.",04-Sep-2023,Cybersecurity:Cybersecurity Tools:ISO 27001:Incident Response:Information Security Management:Interpersonal Communication:Security Investigations:Security Operations:Technology Trends:Vulnerability Assessment
Cyber Security Program Analyst,3522436526,DSO National Laboratories,"Singapore, Singapore (On-site)",358,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,"Responsibilities
DSO National Laboratories (DSO) is Singapore’s largest defence research and development (R&D) organisation, with the critical mission to develop technological solutions to sharpen the cutting edge of Singapore's national security. At DSO, you will develop more than just a career. This is where you will make a real impact and shape the future of defence across the spectrum of air, land, sea, space and cyberspace.
The Information Division focuses on capabilities and technologies that enables the SAF to harness and exploit information in the battlefield. Capability areas include cyber security, data analytics and fusion, artificial intelligence, robotics autonomy, manned- unmanned system teaming, and vulnerabilities assessments and operations research. Our mission in Information Assurance Programme is to seek both near-term and longer term solutions to national security challenges in cyberspace. In recent years, these include protection of critical infrastructures, autonomous vehicles, IoT, and embedded devices. We also seek broad-based AI techniques to tackle cyber analytics challenges, these include machine learning, Natural Language Processing and game theory.
People are DSO’s greatest asset. You will get to realise your career aspirations and develop your own niche either as a deep technical expert or a leader in the team. With frequent career dialogues and a robust training and development framework, we will provide you with the necessary development tools for you to reach your potential. You will also be recognised and rewarded through competitive remuneration packages and scholarship opportunities.
Cyber Security Program Analyst
In this role, you will:
 Conduct research in the latest system security threats and vulnerabilities Conduct in-depth program analysis techniques and tools to automatically find bugs in systems and software Operate computational tools to expedite the parallelization of bug finding effectively and efficiently
Requirements
 PhD, Master's or Bachelor's Degree in Computer Science, Computer & Communication Systems, Information Science, Computer Engineering, Computer Forensics, Electrical & Electronics Engineering, Network Technology, Mathematics or related qualification.  Experience in compilers, program analysis (static/dynamic) Experience in C/C++ programming, Python and Powershell programming Experience in one of more of the following: (1) basic database and networking programming, programming Windows and Linux virtualization systems; (2) web development using web framework (HTML/XHTML, CCS, Javascript, FLASK, etc); (3) virtualization of software such as QEMU or KVM; (4) basic infrastructure automation/setup (PXE, DHCP, IPMI, Ansible) Passion for computer programming and computer security Prior research experience will be advantageous Interests in applications of AI and machine learning are welcome Ambition to become a technical leader",14-Sep-2023,Application Security:Communication:Cyber Threat Intelligence (CTI):Cybersecurity:Data Privacy:Malware Analysis:Network Security:Program Analysis:Vulnerability Assessment:Vulnerability Management
Information Security Analyst,3468314707,DSO National Laboratories,"Singapore, Singapore (On-site)",444,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,"Responsibilities
DSO National Laboratories (DSO) is Singapore’s largest defence research and development (R&D) organisation, with the critical mission to develop technological solutions to sharpen the cutting edge of Singapore's national security. At DSO, you will develop more than just a career. This is where you will make a real impact and shape the future of defence across the spectrum of air, land, sea, space and cyberspace.
The Information Division focuses on capabilities and technologies that enables MINDEF / SAF to harness and exploit information in the physical battlefield and cyberspace. Capability areas include cybersecurity, cryptography, data analytics and fusion, artificial intelligence, vulnerabilities assessments and operations analysis. Information Security Programme conducts applied research and development of advanced systems and techniques in cryptography and communications security. We strive to provide SAF and MINDE with operational, timely, production systems and secret-edge capabilities to ensure cryptographic superiority and achieve information dominance.
People are DSO’s greatest asset. You will get to realise your career aspirations and develop your own niche either as a deep technical expert or a leader in the team. With frequent career dialogues and a robust training and development framework, we will provide you with the necessary development tools for you to reach your potential. You will also be recognised and rewarded through competitive remuneration packages and scholarship opportunities.
Information Security Analyst
In this role, you will:
 Conduct applied research and development in the field of communication security and cryptography Evaluate and assess the security strength of information security solutions Develop cryptographic solutions for unique security problems
Requirements
 Master’s / Bachelor’s Degree in Computer Science / Mathematics Strong analytical skills to evaluate and assess cryptographic algorithms Strong interest in cryptography or solving difficult mathematical challenges Able to think creatively and work independently",11-Sep-2023,Analytical Skills:Communication:Communications Security:Computer Science:Cybersecurity:Data Privacy:Ethical Hacking:Incident Response:Information Security:Vulnerability Assessment
SOC Analyst - Junior to Team Lead,3693010901,JAC Recruitment,"Singapore, Singapore (On-site)",111,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"Company Overview
Our client is a Singapore based security solution provider. Due to high demand in the market, they are looking for a SOC Analyst (L1 ) Junior to Team Lead to join their team.
 Responsibilities: 
 Serve as the first responder for incidents within a 24/7 staffed SOC environment.  Conduct security monitoring, vulnerability management, data loss prevention, policy violation prevention, and threat hunting activities.  Monitor security sensors and analyze logs to identify network anomalies and intrusions.  Perform analysis of security log data from various security devices.  Escalate security incidents according to established policies and procedures.  Communicate with Ensign customers regarding security intrusions, root cause analysis, and provide mitigation recommendations.  Conduct initial analysis of security events, network traffic, and logs.  Assist in developing incident response plans, workflows, and standard operating procedures (SOPs).  Collaborate with threat intelligence analysts to translate intelligence into actionable detection measures.  Monitor and analyze Managed Endpoint and Detection Response (MDR) platforms, taking necessary response actions based on standardized workflows and client agreements.  Act as a liaison for configured alerts, monitoring the performance of security sensors and tools.  Fulfill change requests, service requests, and respond to internal and external inquiries related to incident management. 

 Requirements: 
 Diploma/Degree in Information System/Information Security from a recognized institution.  Minimum 1 year of working experience  Solid understanding of network routing and switching fundamentals, including Multiprotocol Layer Switching (MPLS).  Basic technical knowledge of operating systems, network architecture, and design.  Familiarity with encryption, key management, and cryptology.  Strong organizational and prioritization skills.  Ability to analyze problems, identify root causes, and propose and implement effective solutions.  Excellent written and verbal communication skills.  Results-oriented mindset. 

Working Location: Singapore
Apply online or feel free to contact me directly (via email: audrey.teo@jac-recruitment.com) for more information about this opportunity. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding.
Audrey Teo Wei Shan (R 21101086C)
JAC Recruitment Pte Ltd (EA Lic No: 90C3026)
#countrysingapore
",13-Sep-2023,Cryptography:Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Encryption:Incident Response:Key Management:Multiprotocol Label Switching (MPLS):Network Architecture:Packet Switching:Root Cause
Security Operations Center (III) Analyst,3714315788,Gravitas Recruitment Group (Global) Ltd,"Singapore, Singapore (On-site)",88,Associate,Full-time,Information Technology,Construction:Investment Management:Leasing Non-residential Real Estate,"An exciting SOC T3 Analyst opportunity has recently opened at an asset operator organisation. This is a fantastic opportunity for seasoned technology risk professionals who are looking to make their mark and embrace new challenges to strengthen their capabilities and grow within a reputable company within the region.
The role will be on a permanent basis with the client and based in Singapore. Roles & Responsibilities· Perform triage, investigations and threat hunting· Creation of automation scripts using Python/Bash/Powershell· Creation of threat detection rules using SIEM/EDR· Creation of SOC Playbook
Desired Skills and ExperienceForensic Analysis, Threat Hunting, DFIR, EDR, SIEM, Playbook, Incident Response, Security Operations, Threat Detection, Triaging, Investigation, SOAR, Python Scripting, Automation If this sounds like an opportunity that you would like to explore, do send your CV over to d.tan@gravitasgroup.com.",15-Sep-2023,Cyber Threat Hunting (CTH):Cybersecurity:Digital Forensics:EDR:Investigation:Scripting:Security Information and Event Management (SIEM):Security Operations:Threat Detection:Triage
Security Analyst,3702937261,TEKsystems,"Singapore, Singapore (On-site)",42,,Contract,Information Technology,IT Services and IT Consulting,"Job Description & Requirements

The L2 / L3 SOC Analyst will be responsible for responding to and scrutinizing noteworthy security events, and collaborating with both IT and non-IT colleagues to propose and implement corrective measures. Additionally, the role involves addressing security incident and investigation requests in accordance with established SIRT protocols and guidelines, while adhering to predefined service level objectives. Occasional shift work is required, and candidates must possess proficient language skills in both spoken and written Mandarin and English.

Responsibilities
Primary or secondary handling of security incidents identified by internal controls or external SOC partners.Possess proficiency in Threat Research, encompassing knowledge of current malware trends, prevalent attack tactics, techniques, and procedures (TTPs), as well as the overall threat landscape.Proficient in Incident Response and automation workflows relevant to Security Operations.Detection, identification, and response to cyber events and incidents aligned with cyber security policies and protocols.Collaboration with Incident Responders and SOC Manager to document the entire incident life cycle, manage handovers, escalations, and furnish support during cyber incident investigations.Strict adherence to service level agreements (SLAs), metrics, and business scorecard commitments for the handling of security incidents and events.
Who you are:At least 5 years of experience in Enterprise Cybersecurity or with a reputed Services / consulting firm offering Security Consulting, Implementation and Managed Security services.More than 2 year of technical experience in Security Operations Center (SOC) and Information Security requiredCandidate should be willing to work in shifts occasionally as required by SOC ManagementExperienc with one or more Security Information and Event Management (SIEM) solutionsUnderstanding of common Attack methods and their SIEM signaturesExperience in security monitoring, Incident Response (IR) and security remediationStrong knowledge and experience in Security Event Analysis capabilityUnderstanding of network protocols (TCP/IP stack, SSL/TLS, IPSEC, SMTP/IMAP, FTP, HTTP etc.)Understanding of Operating System, Web Server, database, and Security devices (firewall/NIDS/NIPS) logs and log formatsStrong analytical and problem-solving skillsHigh level of personal integrity, and the ability to professionally handle confidential matters and show an appropriate level of judgment and maturityAbility to adapt as the external environment and organization evolvesKnowledge of cyber security frameworks and attack methodologiesExperience working with EDRs, Proxies, and anti-virusKnowledge of intrusion detection methodologies and techniques for detecting host- and network-based intrusions via intrusion detection technologiesExcellent verbal and written English and Mandarin communication skills
We regret to inform that only shortlisted candidates will be notified / contacted.

For more information you can email Ivory Lee in our Singapore office at ivory.lee@teksystems.com and Amita.Raj@teksystems.com quoting Job Reference Ivory Lee / Amita Raj  539072 or alternatively, apply here to register your interest.

http://jobs.en-sg.teksystems.com/I9t4Oc/security-analyst-itcommunications-singapore-singapore-16225972

Job Reference: Ivory Lee / Amita Raj 539072 

EA Registration No.: R22110493, Ivory lee Hong

Allegis Group Singapore Pte Ltd, Company Reg No. 200909448N, EA License No. 10C4544",14-Sep-2023,Cybersecurity:English:Incident Investigation:Incident Response:Language Skills:Malware Analysis:Mandarin:Security Monitoring:Security Operations:Vulnerability Assessment
Security Operations Center Analyst,3712782211,Charterhouse Asia,"Singapore, Singapore (On-site)",124,Associate,Full-time,Information Technology,Banking,"We are representing a Financial Institution to hire a SOC Analyst to join them, due to expansion of business.
Our client is a well-established local financial institution and is in the market to hire a SOC Analyst.
Reporting to the Head of Security Operation Center, you would be responsible for protecting the organization's IT infrastructure and data from cybersecurity threats. 
You will also be the subject matter expert to monitor the organization's network, analyze security data, and investigate security incidents. 
Responsibilities:Monitor security event and alerts in real-time, investigate suspicious activities, and escalate incidents as necessary.Conduct thorough analysis of security-related incidents to identify root cause, impact, and potential mitigation steps.Maintain and configure security systems, including SIEM, IDS/IPS, firewalls, and antivirus software.Develop and maintain procedures for security event and incident management, including incident response plans and playbooks.Perform vulnerability assessments and penetration testing to identify potential weaknesses in the organization's infrastructure and provide recommendations for remediation.Keep up-to-date with the latest cybersecurity threats, vulnerabilities, and best practices.Create and maintain documentation related to security procedures and processes
To qualify, individuals must possess:
Bachelor's degree in computer science, cybersecurity, or related field.Recognized Industry Certification Certifications: Security+, CISSP, or GIACMUST HAVE: 3-5 years of experience in a security analyst role.Experience with security tools and technologies, such as SIEM, IDS/IPS, firewalls, and antivirus software.Knowledge of TCP/IP networking, operating systems, and common security technologies and protocols.Strong analytical and problem-solving skills.Excellent written and verbal communication skills.Ability to work in a fast-paced, high-pressure environment.Willing to perform 24x7 shift
Please reach out to at 69500353 or DerekLee@charterhouse.com.sg for a confidential discussion.
Only successful candidates will be notified.
EA License No: 16S8066 | Registration No. R22109290",14-Sep-2023,Cybersecurity:Firewalls:IPS:Information Security:Internet Protocol Suite (TCP/IP):Networking:Penetration Testing:Security Information and Event Management (SIEM):Security Operations Center:Vulnerability Assessment
Principal Security Analyst,3719685768,Chainlink Labs,Singapore (Remote),16,Mid-Senior level,Full-time,Analyst:Information Technology,"Technology, Information and Internet","All roles with Chainlink Labs are global and remote-based. Unless otherwise stated, we ask that you try to overlap some working hours with Eastern Standard Time (EST). We encourage you to apply regardless of your location. 
About Us
Chainlink is the industry-standard Web3 services platform that enables developers to build feature-rich Web3 applications with seamless access to real-world data and off-chain computation.
 Chainlink has helped enable $8T+ in transaction value since the start of 2022. Over 1,700 Web3 projects have integrated Chainlink services. Chainlink is live on 15+ blockchains with many having joined the Chainlink SCALE program. Chainlink is relied upon by industry-leading protocols like Aave, Compound, Paxos, Synthetix, and ENS. Chainlink has delivered 7.4B+ data points on-chain and onboarded 900+ decentralized oracle networks. Chainlink has established collaborations with Associated Press, Accuweather, AWS, Google Cloud, Meta, and Twilio. The world-class Chainlink Labs research team has won various awards for its work on distributed systems, security, and more.
Who we’re looking for: 
 You’re focused on what matters most and ignore unimportant industry distractions. You take extreme ownership and deliver outstanding results. You have a growth mindset, seek out feedback and engage in constructive dialogue with others to help them grow. You move fast and evolve with rapidly advancing technologies. You want to be part of a team that excels and is committed to building the Chainlink Network and growing the Web3 ecosystem over the long term. You are welcoming toward a diverse network of participants joining an open, global standard. You’re excited about the future of Web3 and building a world powered by cryptographic truth.
The security department is the guardian of Chainlink Labs’ people and infrastructure. Its principal objective is to safeguard Chainlink Labs and its assets against potential threats from any external or internal source. This mission is accomplished through a combination of specialized security engineering, the deployment of cutting-edge technologies, forward-thinking policy development, and the training of highly skilled, security-aware personnel throughout the entire organization.
As an indispensable component of the larger organization, the team seeks to promote a widely understood culture of security, safeguarding our most valuable assets while remaining agile and accessible to all employees and the community.
The Principal Security Analyst is responsible for conducting threat intelligence analysis in alignment with Chainlink Labs’s vision and objectives. The Analyst will play an essential role in defending the firm against sophisticated cyber and physical threats, conducting proactive research on emerging threats, and generating assessments to aid decision-making.
In this role you will: 
Conduct sound analysis to develop forward looking assessments of the geopolitical threat landscape, with specific focus on the Asia-Pacific (APAC) region;Maintain working knowledge of adversarial tactics and techniques, and how they are being used to achieve current objectives;Contribute to and deliver written and verbal briefings for stakeholders;Analyze complex geopolitical issues and assess their relevance to Chainlink Labs and the wider financial sector;Collaborate with and support the investigations of other Cybersecurity Operations and Information Security teams;Support protective intelligence efforts through monitoring, detection, and analysis of potential threats to corporate leadership; Provide thought leadership and act as an APAC subject matter expert in recommending appropriate analytical approaches and methodology in order to address key cyber, i protective intelligence (executive protection), strategic, and physical security issues within the business; Stay updated on emerging trends, threats, and developments specific to the APAC region that may impact the organization;Use both written and spoken Mandarin to communicate and analyze threat intelligence originating from or related to social media and other sources;Use various tools and methodologies to collect, correlate, and analyze threat data, producing actionable assessmentsAssist in the development and refinement of security policies, procedures, and best practices, aligning them with the specific needs and challenges of the APAC region; Set up and manage monitoring systems and alerts focused on APAC-related threats, ensuring timely detection and response to potential security incidents.
Requirements
5-12 years of relevant experience as a security intelligence analyst, geopolitical analyst, and/or similar roles. Strong written and spoken Mandarin skills are essential for analyzing information originating from Mandarin-speaking sources in the APAC region.In-depth knowledge of the geopolitical, economic, and cultural factors influencing the APAC region, including an understanding of regional conflicts, alliances, and trends.The ability to assess how geopolitical developments can impact physical, cybersecurity, and the organization's threat landscape.
Desired Qualifications
Proficiency in data analysis tools and techniques, including data mining, pattern recognition, and statistical analysis, to derive meaningful insights from large datasets.Strong research capabilities to gather information from various sources and the ability to evaluate the credibility and relevance of sources.Excellent written and verbal communication skills to convey complex APAC findings and geopolitical insights clearly and concisely.Familiarity with sentiment analysis tools.The ability to work effectively in cross-functional teams, collaborating with colleagues, for threat intelligence sharing and analysis.Given the evolving nature of threats and technologies, a willingness to continuously learn and adapt to new challenges and trends.Experience with popular social media and deep and darkweb monitoring platforms.
Privacy Policy and an Equal Opportunity Employer: 
Chainlink Labs is an Equal Opportunity Employer. To request an accommodation in our recruitment process, please contact us at people@smartcontract.com .
Please see our Privacy Policy for more information about how we collect and use your application information.",19-Sep-2023,Cyber Threat Intelligence (CTI):Cybersecurity:Data Science:Datasets:Forward Looking:Incident Response:Vulnerability Assessment
Cybersecurity Incident Responder,3665282437,GovTech Singapore,"Singapore, Singapore (On-site)",68,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"[What the role is]
The Government Technology Agency (GovTech) is the lead agency driving Singapore’s Smart Nation initiatives and public sector digital transformation. As the Centre of Excellence for Infocomm Technology and Smart Systems (ICT & SS), GovTech develops the Singapore Government’s capabilities in Data Science & Artificial Intelligence, Application Development, Smart City Technology, Digital Infrastructure, and Cybersecurity.
At GovTech, we offer you a purposeful career to make lives better. We empower our people to master their craft through continuous and robust learning and development opportunities all year round. Our GovTechies embody our Agile, Bold and Collaborative values to deliver impactful solutions.
GovTech aims to transform the delivery of Government digital services by taking an ""outside-in"" view, putting citizens and businesses at the heart of everything we do.
Play a part in Singapore’s vision to build a Smart Nation and embark on your meaningful journey to build tech for public good. Join us to advance our mission and shape your future with us today!
Learn more about GovTech at tech.gov.sg.
How we work: 
You will be part of Government Infrastructure Group which supports Whole-Of-Government services for Agencies/ public officers, and hosting infrastructure services for Agency applications on-premises and in commercial cloud providers. Building cybersecurity into the design, build and operate phases in central services, you will be exposed to a wide array of cybersecurity technology and practices. These real world experiences will challenge and hone the cybersecurity skills and capabilities of individuals willing to step up to the challenge.
What you will be working on: 
Lead the SOC team for the incident response of cybersecurity alerts Perform analysis and investigation of escalated cybersecurity alerts and perform containment and remediation of incidentsPerform software reverse engineering to determine nature of suspicious filesLead and plan for the implementation of incident response SOPsPlan and participate in tabletop exercises to ensure the readiness of the operations team for cybersecurity incidentsProvide security consultancy in area of incident response throughout the system lifecycle from implementation to maintenance. Plan and participate in areas of security operations to ensure that system and processes are meet defined information security policies and standards, and evolving security threatsPerform maintenance on the enterprise security infrastructures that covers service and security posture upkeep. 
What we are looking for: 
Experience in cybersecurity incident response and malware reverse engineering Experience in enterprise SOC operations, security consultancy and security operation an advantage Up-to-date knowledge on the various security technologies Bachelor's degree computer science, information systems or related field. Security Certifications like GREM, CISSP an advantageExperience in public sector technical writing and procurement processes an advantage Good interpersonal and presentation skills, collaborative and self-directed
GovTech is an equal opportunity employer committed to fostering an inclusive workplace that values diverse voices and perspectives, as we believe that diversity is the foundation to innovation.
Our employee benefits are based on a total rewards approach, offering a holistic and market-competitive suite of perks. These include leave benefits to meet your work-life needs and employee wellness programmes.
We champion flexible work arrangements (subject to your job role) and trust that you will manage your own time to deliver your best, wherever you are, and whatever works best for you.
Learn more about life inside GovTech at go.gov.sg/GovTechCareers.
Stay connected with us on social media at go.gov.sg/ConnectWithGovTech.",12-Sep-2023,Containment:Cybersecurity:Cybersecurity Incident Response:Incident Response:Malware Analysis
Information Security Analyst,3625387013,TD Securities,"Singapore, Singapore (Hybrid)",411,Mid-Senior level,Full-time,Information Technology,Investment Banking,"TD Bank GroupHeadquartered in Toronto, Canada, with more than 90,000 employees around the world, the Toronto-Dominion Bank and its subsidiaries are collectively known as TD Bank Group (TD). TD offers a full range of financial products and services to over 27 million customers worldwide through three key business lines:
Canadian Retail including TD Canada Trust, Business Banking, TD Auto Finance (Canada), TD Wealth (Canada), TD Direct Investing and TD InsuranceU.S. Retail including TD Bank, America’s Most Convenient Bank, TD Auto Finance (U.S.), TD Wealth (U.S.) and TD’s investment in SchwabWholesale Banking including TD Securities
TD had CDN$1.9 trillion in assets on October 31, 2022. TD also ranks among the world’s leading online financial services firms, with more than 15 million active online and mobile customers. The Toronto-Dominion Bank trades on the Toronto and New York stock exchanges under the symbol ""TD"".
Job Description:As a Information Security Analyst your general responsibilities will include defining, developing, and deploying new security solutions as well as maintaining and supporting existing tools. Specifically, the day-to-day job responsibilities will be focused on the support of the Security tools and infrastructure. These responsibilities include but are not limited to:
Troubleshooting functional and performance issues, and document root cause and remediation steps.Checking and documenting daily health status.Designing and writing scripts to automate repetitive functions.Developing and Reporting on Key Performance Indicator (KPI) metrics.Diagnosing and fixing production issues and engaging other teams as required.Performing configuration changes in production including onsite datacenter visits as required, ensuring that the bank’s change management policies and procedures are adhered to.Performing and coordinating application deployments into the various test environmentsMaintaining technical documentation (e.g., training, troubleshooting, deployment procedures).Escalation to vendor and/or application SMEs when necessary.Performing version upgrade planning and deployment to meet currency requirements.Participating in design reviews.
Job Requirements:5+ years of experience as an IT Security professional supporting Windows and UNIX or mainframe based applications in a multi-tiered environment.Must have UNIX/Linux administration/ application support experience preferably in the security space.The ideal person will have an understanding of compliance and governance and how it relates to audit.The incumbent should also have an understanding of enterprise-level access control solutions on a variety of platforms.Scripting or programming skills would be an asset.Excellent understanding of cloud base security.Excellent understanding of network technology.Excellent understanding of ServiceNow.Excellent problem solving and troubleshooting skills.Experience with client-based security tools.Excellent communication skills.Excellent analytical skills required to troubleshoot and diagnose issues.Excellent understanding of ITIL & ITSM.2+ years of experience with Threat, data protection and Vulnerability tools such as: Crowdstrike, Symantec ATP/EDR/SDCS, SEP 14, Qualys, Symantec DLP(Endpoint and Network), CASB, Encase.2+ years working on Verizon and Akamai CDN systems.Experience and troubleshooting Web Proxies/DNS/Layer 7 security an asset.Good understanding of certificates.Experience with automation tools would be an asset.Ability to multi-task and work under pressure.Participate in DR and BCM planning and testing.Self-motivated and ability to take initiative.Knowledge of IT Security principles, SOX and PCI regulations.Provide on-call 24x7x365 support as needed.CISSP or CISM designation would be an asset.Provide day 2 operations support for security tools.Participate in on call rotation for 20+ tools that we support.Liaise with Engineering to ensure new tools have an effective Operational Handover.
Inclusiveness:At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve, and creating an environment where every employee has the opportunity to reach their potential.",21-Sep-2023,Analytical Skills:Certified Information Security Manager (CISM):Domain Name System (DNS):EnCase:ITIL:Information Security:Linux:Qualys:ServiceNow:Troubleshooting
