Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Network Security Engineer,3720305616,NTT Ltd.,"Singapore, Singapore (On-site)",95,Executive,Full-time,Information Technology:Engineering,IT Services and IT Consulting,"Responsibilities
Provide maintenance support for security systems and tools, including firewalls and other security technologies, as per the maintenance contract requirementsConduct security assessments and audits to identify vulnerabilities and provide recommendations for remediationPerform system upgrades, patches, and backups to ensure the security systems are up-to-date and running efficientlyProvide incident response support, troubleshoot security incidents, and work closely with clients to resolve issues in a timely resolutionImplement security policies, procedures, and standards to ensure compliance with relevant laws and regulationsCollaborate with clients and stakeholders to ensure that security requirements are integrated into new projects and systemsProvide internal training and support to the team as part of knowledge sharing.Participate in on-call standby rotation to provide 24/7 support for incidentsParticipate in regular operations review meetings, including operational issues, tickets review, etc
Requirements
Singaporeans onlyThis is an L3 Engineer roleAt least 5 years in network security preferably in a maintenance support roleKnowledge in network and operating systemsKnowledge in network routing, switching technologies and protocolsExposure in scripting languages and security toolsHands-on experience in firewall and VPN technologies such as Cisco ASA Firewall and VPN, Cisco ACS/ISE, Cisco ESA/SMA, Cisco WSA, Palo Alto firewalls, Checkpoint, Juniper, Fortinet firewalls, etcStrong analytical and problem-solving skillsExcellent communication and interpersonal skills, with the ability to work effectively in a team environmentAvailability to work extended hours and participate in on-call standby rotation
Preferred Requirements
CCNA certified",21-Sep-2023,Checkpoint:Cisco ASA:Cisco Systems Products:Firewalls:Fortinet:Juniper Networks Products:Network Security:Palo Alto Networks:Virtual Private Network (VPN)
Network Security Engineer,3712340150,Wipro,"Singapore, Singapore (On-site)",163,Associate,Full-time,Information Technology:Finance:Business Development,IT Services and IT Consulting:Financial Services:Banking,"Network Security ConsultantLocation: Singapore
Primary Skills :Hands on experience on Fortigate/Juniper SRX & Netscreen/Checkpoint Firewalls, Hand on experience on Tipping point IPS & SMS,Hands-on experience on F5 load balancer, Proxy.Juniper pulse SSL / IPsec VPN GatewayExperience on Mcafee proxy & Microsoft ISA - Load balancer and reverse proxy4stress Actividentity - Strong Authentication Knowledge and experience with inter-network routing architectures, and the underlying network security technologiesGood problem analysis skillsGood Communication skills",08-Sep-2023,Checkpoint:Firewalls:Fortinet:IPS:IPSec:Juniper Networks Products:Network Security:Proxy Server:Transport Layer Security (TLS):Virtual Private Network (VPN)
Cyber Security Engineer - GRC,3533328139,Morgan McKinley,"Singapore, Singapore (Hybrid)",68,Mid-Senior level,Full-time,Information Technology:Analyst,Airlines and Aviation,"Position Summary / Project Description:
As a Cybersecurity Engineer, your primary role will be, but are not limited to:-• Provide professional service, deployment of cybersecurity solutions and infrastructure• Manage and execute complex projects such as the integration and upgrade of security solutions (which may include anti-malware, network IPS, firewalls, proxies, web application firewalls, DDoS, End Detection and Response, Identity and Privilege account management solution, SIEM, vulnerability management solutions, etc)• Handles project implementation related activities and processes• Provide hands-on review of assets (e.g. security and network devices, workstations, servers, applications, and middleware) against security best practices and guidelines such as the NIST Benchmarks• Provide ongoing management of solutions deployment• Detecting and mitigating threats, managing endpoint protection while implementing infrastructure to monitor, detect, alert, and mitigate cyber threats.• Supporting the cyber incident response team while performing detailed investigations for security-related incidents.

Requirements / Qualifications:· At least 5-6 years of experience in the Cyber Security capacities· Strong knowledge and experience in End User Computing, Server, Network and Security· Strong experience in supporting Windows, Messaging (Exchange), MDM, Switch, Router, Firewall, NAC, VPN (F5), McAfee FFE/FDE.· Network Support - in the areas of wireless, wired, VPN· Patch Management (MS OOB, SEP, ATP)· Endpoint Protection (Symantec)· Vulnerability Assessment· Penetration Testing· Data Loss Protection· Strong experience in managing vendors· Security certification· ITIL Foundation certified (strong in Incident Management and Problem Management)

Only accepting candidates based in Singapore.",25-Sep-2023,"Cybersecurity:Firewalls:Governance, Risk Management, and Compliance (GRC):ITIL:Incident Management:Network Access Control (NAC):Penetration Testing:Virtual Private Network (VPN):Vulnerability:Vulnerability Assessment"
Cybersecurity Operations Engineer (DSC/JH),3708930477,ST Engineering Info-Security Pte Ltd,"Singapore, Singapore (On-site)",52,Mid-Senior level,Full-time,Engineering:Information Technology,Computer and Network Security,"Responsibilities:Maintain, troubleshoot, diagnose, and resolve essential IT infrastructure, which includes operation systems, security tools/application, servers, storage, email system, laptop, desktop, software, and hardwarePerform ad-hoc project work assigned by customer and this includes Installation/configuration and maintaining of new software and hardwarePerform preventive maintenance on the IT infrastructure to ensure it is in good conditionEstablish support cases with the principal vendor for complex problem until it is resolvedMaintain inventory management for IT systems and devices Develop automation scripts/tools with open-source software to improve IT systemHandle renewal of existing infrastructure  Requirements:Degree or Diploma in Information Technology, Information Systems, IT Security, Computer Science or related field with relevant product or professional security certifications preferredRelevant experience as system administrator, network administrator or security administrator is preferredPossess troubleshooting skills, problem solving skills and ability to work in fast-paced environmentAble to work independentlyWork location: Jurong EastSingaporeans only",09-Sep-2023,Cyber Operations:IT Hardware Support:IT Infrastructure Operations:IT Security Operations:Inventory Management:Network Administration:Preventive Maintenance:System Administration:System Implementations:Troubleshooting
Cyber Security Engineer,3730217175,Nanyang Technological University Singapore,"Singapore, Singapore (On-site)",5,Entry level,Full-time,Information Technology,Higher Education,"NTU’s Centre for IT Services manages the campus-wide IT Infrastructure and facilitates access to all Enterprise IT systems, as well as Learning systems and Digital Media.
Cyber Security which is part of the Centre for IT Services is Responsible for Cyber Security Governance, Risk, Compliance & Awareness, Architecture, Consultancy & Engineering, Security Monitoring, Incident Response, Threat Intelligence and Digital Forensic Investigation.
This role will be part of the Cyber Security Governance team. The role is expected to work with various teams throughout NTU to ensure feasible, compliant, and effective implementation in accordance with Cyber Security policies, standards, and procedures.
Responsibilities
Cyber Risk Management Governance
Work with a variety of stakeholders to offer sound advice on cyber risk-related issues.Upholding a robust Cyber Security (CS) standard across NTU and building a stronger foundation of CS risk from which we can identify the weakest points and prioritize fixing them.Work with a variety of stakeholders to track and update on Cyber KRI, reporting to key stakeholders.Assist in improving IT/Cyber Process that forms part of Cyber Risk Governance.
Cyber Risk Management Assurance
Assist in identifying, analysing and proposing Cyber Security Risk Mitigation measures.Assist in managing Cyber Security Risk Posture and tracking of Cyber Security Risk Deviation.Assist in IT implementation alignment in accordance with Cyber Security Policies.
Project Management
Implement realistic project plans based on the understanding of project objectives and project scope.Utilise appropriate methods and tools to track and drive the progress of the project against set plans and timelines.Identify risks to the success of projects and take appropriate actions to manage them.Collaborate effectively with relevant internal and external stakeholders directly impacting the project.Track project deliverables against project schedules, monitor costs, timescales and resources used and take basic corrective actions in case of misalignment.
Stakeholder Management 
Conduct stakeholder mapping to identify facets and nature of relationships with and between stakeholders.Assist in managing stakeholders' expectations and needs, based on the organisation's position and resources.Articulate each stakeholder's role and responsibilities.Represent the company's interests when interacting with stakeholders.Engage stakeholders regularly to set and align expectations and activities as well as to exchange feedback.Coordinate partnerships with external stakeholders.Maintain communication channels with inter-organizational stakeholders and partners.
Requirements
Degree in Computer Science/Information Technology or related discipline.Minimum 5 years of IT related working experience with at least 2 years in Cyber Security.Good understanding of cyber security architecture principles, applicable to perimeter defences, emerging cyber threats, public Cloud, etc.Good understanding and knowledge of network and security technologies including Cloud-based technologies.Good understanding and knowledge of ISMS (ISO 27001) and Cyber Security Risk Management.Professional Credentials in CISSP, CISM, CRISC will be advantageous.Strong documentation, presentation skills and good communication skills.Independent and able to perform tasks with minimum supervision.Passionate about Cyber Security and emerging technology trends.

Hiring Institution: NTU
",29-Sep-2023,Corrective Actions:Cyber:Cyber Threat Intelligence (CTI):Cybersecurity:Defining Requirements:ISO 27001:Information Security Management System (ISMS):Project Plans:Security Policy:Working Experience
Cybersecurity Engineer,3713675513,Medpace,"Singapore, Singapore (Remote)",80,Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,"Job Summary

The Information Security team defends the company’s digital infrastructure by designing, implementing, and improving the company’s cybersecurity architecture. This is a critical role responsible for protecting infrastructure, cloud, edge devices, and data against unauthorized use, modification, exfiltration, or damage. This role identifies threats, manages projects and engineers solutions that impact the entire company. An ideal candidate for this role is technical, dedicated to learning new things, security-minded, strong initiative, and able to manage projects autonomously.

Responsibilities
 Engineer security solutions without oversight and collaborate with multiple departments;  Analyze security systems and seek improvements on a continuous basis;  Research vulnerabilities, perform vulnerability scanning, and mitigate threats;  Develop security best practices and policies for the organization;  Document new processes, cross-train coworkers, and assist employees on security-related matters;  Provide security awareness training and testing for employees to verify proper security protocols are being followed;  Staying current with cybersecurity knowledge by participating in educational opportunities, reading professional publications, and participating in professional organizations;  Performing cyber security incident response, and remediation activities; and  Facilitate access reviews of company data and revoke inappropriate/overprovisioned access in order to drive least privilege access. 

Qualifications Require at least a bachelor’s degree preferably in Information Technology;  Require a minimum of at least 2 years of experience in implementing Information Security solutions;  Understanding of security best practices and how to implement them at a business-wide level;  Experience with managing, configuring, and deploying enterprise-grade security solutions in some of the following: SIEM  Privileged Access Management/Identity Access Management/Multifactor Authentication  Endpoint Detection & Response  Network Access Control  Cloud based architecture such as Azure/AWS  Active Directory  Soft skills including excellent communication skills, critical thinking skills with the ability to solve problems as they arise, and ability to prioritize projects; and  Basic scripting skills, such as PowerShell/Python scripting. 
Nice to have:
 Experience with vulnerability assessment tools such as Nessus and Tenable;  Experience with enterprise web proxy solutions, web filters, and VPN;  Experience with email security solutions;  Experience with firewall and network architecture;  Experience with administrating Windows environment including GPO and servers;  Previous employment or experience in a highly regulated industry such as healthcare, financial, or defense experience with standards such as ISO, NIST, HIPAA, GDPR, SOC Type 2, etc; and  Auditing and policy-writing experience. 

Medpace Overview

Medpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing more than 5,000 people across 40+ countries.

 Why Medpace? 

People. Purpose. Passion. Make a Difference Tomorrow. Join Today

The work we’ve done over the past 30 years has positively impacted the lives of countless patients and families who face hundreds of diseases across all key therapeutic areas. The work we do today will improve the lives of people living with illness and disease in the future.

 Medpace Celebrates 30 Years 

As we celebrate 3 decades of industry expertise and organic growth, we recognize the global team responsible for driving clinical development at Medpace. Click here to learn more about Medpace Celebrating 30 Years.

 Cincinnati Perks  Cincinnati Campus Overview  Hybrid work-from-home options (dependent upon position and level)  Competitive PTO packages, starting at 20+ days  Flexible work hours  Discounted tuition for UC online programs  Company-sponsored employee appreciation events  Employee health and wellness initiatives  Community involvement with local nonprofit organizations  Competitive compensation and benefits package  Structured career paths with opportunities for professional growth  Partnership and discount with onsite childcare  Discounted tuition for UC online programs  Discounts on local sports games, local fitness gyms and attractions Official Sponsor of FC Cincinnati  Modern, ecofriendly campus with an on-site fitness center, bar, and restaurants 

 Awards: 
 Recognized by Forbes as one of America's Best Mid-size Companies in 2021 and 2022  Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility 

 What to Expect Next: 

A Medpace team member will review your qualifications and, if interested, you will be contacted with details for next steps.",27-Sep-2023,Data Privacy:Information Security:Network Security:Security:Vulnerability Assessment:Workable Solutions
"Senior Engineer, Network & Security",3697926530,Singtel,"Singapore, Singapore (On-site)",29,Mid-Senior level,Full-time,Information Technology,Telecommunications,"Be a Part of Something BIG!

At Singtel, we're working on projects that push the boundaries of digital, realising our vision and purpose to Empower Every Generation. We have a dynamic and diverse team, with a passion for innovation, and talent to deliver cutting-edge digital solutions and immersive customer experience.

In Group IT, we create great technology that can change the future, and we're looking for people to be part of our digital and 5G journey. If you like to work in a dynamic, leading communications technology group to deliver innovations and excellence across the region, come join our digital, software engineering, data, and cyber security teams!

The Senior Engineer for Network & Security is responsible for the overall coordination of the design and implementation of the network and security infrastructure for on-prem network such as data centres network, corporate campuses networks, hybrid cloud networks, as well as wi-fi infrastructure for various locations and global offices. He/she is expected to apply an integrated approach and industry standards compliant and best practices to design and implementation within a formal method and framework and ensures consistent and compatible solutions are produced. The solutions developed should be in line with the Infrastructure Enterprise Architecture to meet the Technology Infrastructure (TI) strategic objectives.

The candidate will focus on Strategic projects and create solutions in line with the overall TI Infrastructure Platforms Roadmap for Network and Security. By working closely with his/her colleagues, the Senior Engineer for Network & Security ensures that the infrastructure solutions make the best use of the technology platforms to meet the business requirements. He/she must also ensure that the solutions are delivered at optimal cost using the appropriate technology platforms.

Make an Impact by
Produce an integrated solution covering all areas and in line with the TI strategyGather the Infrastructure requirements for all projects with infrastructure deliverablesWork closely with the Infrastructure Project Team (IPO) on project engagementsWork with Infrastructure Planners to provide a consensus-based enterprise outcome that is scalable, adaptable and in line with ever changing business needs.Produce infrastructure drawings or diagrams that identifies all infrastructure components including Network and Security infrastructure requirements and Compute/Storage requirement for the solution.Ensure solution proposed in compliance with network and security industry standards and best practicesDocument and communicate Enterprise Infrastructure strategies and standardsEnsure solution compliance and integration with enterprise architecture and Infosec policy for Infrastructure and Security systems by reviewing and advising on new and existing Information Technology projectsProvide sound and valuable inputs to management during planning phases to ensure that non-functional requirements are included in the overall specificationsProvide sound and valuable inputs to all areas of IT and Business Management, analysts, planners, designers and developers on all aspects of compute infrastructureTo ensure that work meets all related engineering, planning, and operational standardsTo identify potential network issues and risks, and to provide workable technical solutions to mitigate such risks.To document network performance to take proactive and corrective action as neededPlay a major role in the selection of any new IT, infrastructure, or technology solutionTo configure and support network projects using various technologies such as MPLS, Ethernet, Ethernet access, Layer 2/3 switching, wireless, network security, cloud networks and security components such as VPCs, VNets, and network decouplers like load-balancers, and othersCreate and document the solution using the existing Infrastructure Standard Platforms and Design PatternsMaintain a knowledge base to ensure network intellectual property is retainedLead and supervise project deployments and if/when necessary, to perform hands-on execution of project deliverables with regards to network and security infrastructure setup and configurationsProvide support to potential major and major incident escalations to restore business operation as and when necessarily engaged

Skills For Success
Degree in computer science/ Information Technology, Industry certification, Professional Security certification is highly desirable and CCNP DC and R&S is required.Minimum 10 years of experience working and familiar with Corporate Network & Security design, Security best practices, compute/storage infrastructure design and experience in putting together infrastructure design covering the aspects above.Able to articulate well on proposed design to stakeholders.Experience and knowledge in area of Network, Firewalls, IPS, Load balancers, Authentication Systems and Compute/Storage Virtualization.Knowledge of LAN, WAN and Data Centre network & Security architectures, enterprise design and industry standards relevant to data communications / networking and computing.Knowledge of Software Defined Networking (SDN) on Cisco ACI is preferredExperience in Data Centre Migration will be preferred.Hands-on experience in cloud networking with Azure and AWS is preferredExperience in dealing with vendors on technology and services

Rewards that Go Beyond
Hybrid work arrangementsFull suite of health and wellness benefits Ongoing training and development programs Internal mobility opportunities

Your Career Growth Starts Here. Apply Now!

We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",09-Sep-2023,IT Infrastructure Design:Industry standards:Network Performance:Non-Functional Requirements
Lead Engineer - Security (Central IT Security),3697911508,Synapxe,"Singapore, Singapore (Hybrid)",26,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Position Overview
As a part of the Security Operations department, the incumbent will review and conduct technical security risk checks. SecOps is also aligned to SOC for incident management handling, reporting and investigation
Role & Responsibilities
Candidate will have to work on technical risk management. Handle day-to-day incident reporting and support investigation to healthcare IT platform, includes:
Work closely with internal and external stakeholders to manage the technical risk, security operation and SOC.Act as IT security expert for department in the areas of cyber security assessments, PAM, Database, WAF, Firewall and EPP/EDR.Perform risk assessment and identify mitigation controls for the risk area identified.Enhance and build cyber threat detection user cases and assist in analyzing and reducing false positive.Identify infection/compromise in the company utilizing threat intelligence and indicators of compromise (IOCs) from different threat Intel sources and regulatorsEnsure all compliance and security control functions are performed timely and orderly.Drive continuous improvement of procedures and processes related to cybersecurity process and operations monitoring.Track, monitor and valid security-related and risk issues, provide an action plan to rectify the issues and prevent recurrence.Generate security reports and metrics as required.Provide timely and periodic update to managements on its security matters.Stay current on the latest Cyber threats, Attacks and vulnerabilities etc.
Requirements
Good diploma or degree in Computer Science, Digital Forensic or Engineering preferred.Preferred minimum of 6 years of relevant work experience in IT security auditing or security operation role.Strong knowledge in internet infrastructure, networking technology and security (i.e. DNS, DHCP, Firewall, WAF, IDS, IPS, VPN, APT and TCP/IP protocols)Working experience with major SIEM will be advantageStrong practical experience in Cyber security: Cyber kill chain, TTP, threat intelligence, malware triages.Demonstrated ability to multitask and is detail-oriented with inquisitive mind during case investigation.Good team player with strong communication skills with project teams, stakeholders, senior management, and contractors including both technical and non-technical personnel.
Apply Now
Click Enter to update the description of Apply Now
NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!
",08-Sep-2023,Cyber:Cyber Threat Intelligence (CTI):Cybersecurity:EPP:Malware Analysis:Security Operations:Skilled Multi-tasker:TTP:Threat Detection:Web Application Firewalls
Security Engineer,3726089674,Synapxe,"Singapore, Singapore (Hybrid)",11,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Position Overview
Role & Responsibilities
Be the Infra team’s Single Point of Contact (SPOC) for internal/external auditors and consultants in audit/review projects.Assist the Infra team in managing the life cycle of audit projects and issues from start till closure.Assist the Infra team to track the status of audit issues till closure.Perform compliance checks to ensure audit issues are adequately closedPerform compliance checks on specific IT systems and IT processes.Provide IT compliance governance and promote security compliance within Infra Department.
Requirements
5 – 8 years of experience in IT audit, compliance, security and IT operations.IT operations experience with a focus on the management of computer servers (Windows & Linux) and database (Microsoft SQL, Oracle) an advantage.Broad security knowledge of a wide spectrum of Infra systems including servers, network, workstations and security management tools.Good knowledge in IT processes, domains and measures such as IT security incident reporting and response, server and workstation security hardening process, vulnerability assessment and Penetration Testing, Data Loss Prevention, patch management, IT disaster recovery and Security Operations Centre (SOC).Familiar with ISO 27001 Security Standards, ITIL processes and IT risk assessment processes.Candidates with relevant IT audit & security certifications such as CISA and CISSP an advantage.Be able to communicate well verbally and have good skill in writing clear reports.
Apply Now
NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!
",23-Sep-2023,Communication:Defining Requirements:IT Audit:IT Operations:Vulnerability Assessment:Vulnerability Assessment and Penetration Testing (VAPT):Writing
Infrastructure Security Lead,3709793548,SPH Media,"Singapore, Singapore (Hybrid)",94,Mid-Senior level,Full-time,Other:Information Technology,Media Production,"The primary role of Infrastructure Security Lead is to support and lead the transformation of the security services within the Technology Infrastructure and Operations team. The role will serve as a bridge between the Cybersecurity team and the various technology team to drive end to end IT security implementation as per the governance and policies. The role will be expected to have good security knowledge to lead the team and assist in developing security infrastructure standards and assist in planning out project implementation. The role will collaborate with Engineering, Architecture, Application Development, Business partners, Corporate Systems, venders / service providers, and various infrastructure and operations groups to create and support the operational environment for new and existing services. The right candidate earns trust through outstanding performance, effective communication skills, and a strong record of delivering results timely and effectively. You should have experience managing security programs and implementing security standard.
Key Responsibilities ● Performing end to end IT solutioning and workflows risk assessment to identify potential technology security risks and propose mitigation solutions.● Responsible for all cyber security related activities of the systems under the technical team.● Ensure compliance and secure operation of the application in accordance with internal processes, procedures, and compliance requirements set forth by the Cybersecurity policy.● Ensuring that requirements in IT Audit, Standard, Policy, Compliance and Risk controls are met when providing security solutioning.● Define and delivery measure to ensure the effectiveness of controls.● Provide technology security best practices and security consultancy to multi cross functional business teams.● Understanding business requirements and capable to apply Security-By-Design.● Ability to articulate security requirement and present in technology language.● Grow Security Technology team competence.● Five years or more of IT Service Management, enterprise networking, voice, and security and/or project management is preferred.● Facilitate teams to critically review current processes for effectiveness, quality, and simplification.Review and approve network security measures and monitoring.● Develop and implement process solutions to improve operational efficiency.● Hand-on experience in leading security project, audit and compliance.
Required Skills and Knowledge● BA/BS degree or equivalent experience.● Minimum 8 years of relevant experience in Cyber Security.● Experienced with PCI DSS, ISO Standards, Payment Service Act by MAS, PDPA and GDPR.● Security certifications (E.g. CISSP, CISM, ISO27001 Lead Auditor, LPT, CMQAPT).● Persistence, stakeholders influence and attention to detail personality.● Open minded to explore security initiatives.● Knowledge in NIST, ISO27001, OWASP Security Standard.● 3 years or more in leading and managing projects.● 3 years related experience in infrastructure/network/storage environments and designing, planning, documenting and implementation of infrastructure. Professional experience architecting/operating solutions built on Network and Security.● Experience migrating or transforming legacy business/ customer solutions to the cloud.● Outstanding customer relationship management, operations, delivery experience and collaboration skills.● Demonstrated ability to think strategically about business, product, and technical challenges.● Familiarity with archive, disaster recovery and business continuity in global operations.● Familiarity with compliance &amp; security standards across the enterprise IT landscape. Required Competencies● Effective communicator at all levels of the organisation and outside with third parties● Familiarity with project management approaches, tools, and phases of the project lifecycle.● Exceptional communication skills – both written and verbal.● Ability to be personable and tenacious as the situations requires.● Able to work effectively at all levels in an organization. Excellent active listening skills.● Problem solving and root cause identification skills. Strong analytic and decision-making abilities. ● Must be a team player and able to work with and through others.● Ability to influence others and move toward a common vision or goal.● Ability to work in a multicultural and international environment.● Integrity &amp; Self Development (live up to commitments; seek feedback to enhance performance; deal constructively with own mistakes).Required Qualifications● Degree in IT or equivalent● Professional certifications such aso IT Service Management (ITIL) best practices o Security Certification o Other Technical certifications",11-Sep-2023,Certified Information Security Manager (CISM):Customer Relationship Management (CRM):Cybersecurity:Disaster Recovery:IT Audit:ITIL:Payment Card Industry Data Security Standard (PCI DSS):Problem Solving:Project Management
