Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
"Agency Chief Information Security Officers (ACISO), xCybersecurity",3724797748,HTX (Home Team Science & Technology Agency),"Singapore, Singapore (Hybrid)",42,Mid-Senior level,Full-time,Information Technology,Government Administration:Government Relations Services:International Trade and Development,"What The Role IsReporting to the group ACISO in Cybersecurity COE, the Agency Chief Information Security Officer (ACISO) provides leadership for the agency of MHA departments’ family to oversee the infocomm security management. He/She would ensure cybersecurity is well-considered in ICT and digitalisation matters, ultimately safeguarding and uplifting infocomm security capabilities in an agency. He/She is also required to follow, implement and refine organisation wide policies and globally accepted practices aligned with regulatory requirements, Ministry Family and whole-of-government directions.
What You Will Be Working OnProvide leadership within the information security sphere through development of cyber security strategies and action plans.Formulate Agency ICT security strategy and work plan, alignment to MHA and HTX’s IT & Cybersecurity strategic directions.Evaluate existing IT environment against MHA and HTX’s IT & Cybersecurity strategic directions.Ensure security governance, compliance by implementing cyber security risk assessment and risk acceptance at appropriate Agency stakeholders. Review, endorse, develop risk management and mitigation plans.Responsible and participate in Agency’s and Ministry level cybersecurity incidents to ensure its quick resolution.Develop the culture of security awareness, appropriate cybersecurity risk assessment and risk acceptance across multiple stakeholders.Work with HTX Cybersecurity stakeholders to plan, design and conduct security incident response workshops and exercises (table-top exercises, simulations and drills).Ensure and implement secure and up-to-date practices for ICT development life cycle, security controls, change management processes and asset management.
What We Are Looking ForTertiary education in Cybersecurity, Information Security, Information Technology, Computer Science or related Engineering fields; or proven work experience and skillsets.Good interpersonal and partner/ executive leadership skills.Ability to work with multi-functional, multi-disciplined teams to formulate, institute real time awareness of security posture and baseline.At least 8 years of demonstrated management experience related to information security and solid grasp of ICT operations, security policies, business processes and the relationship between them.Certifications are encouraged and demonstrate continuous learning and intake of standard methodologies applicable for this role. E.g. CISSP/ CISM/ CISA certifications.Individual should possess the following traits:Positive attitude & collaborative mindset.Highly motivated to keep abreast with the latest development in cybersecurity technology and acquire deep technical skills and knowledge.Excellent communication, presentation and interpersonal skills.Possess good leadership skills.Good planning skills.Ability to work independently and as part of a team.
All new hires are appointed on a two-year contract in the first instance and will be assessed and considered for permanent tenure over time, based on performance.
We wish to inform that only shortlisted candidates will be notified within 4 weeks upon closing of the advertisement.",20-Sep-2023,Business Process:Cybersecurity:Data Privacy:Information Security:Information Technology:Information and Communications Technology (ICT):Network Security:Policies & Procedures:Relationship Development:Security Policy
PM Asset Security Systems Program Administrator,3714138476,Entegris,"Singapore, Singapore (On-site)",6,Mid-Senior level,Full-time,Project Management:Information Technology,Semiconductor Manufacturing,"Company Overview And Values
Why work at Entegris?
Lead. Inspire. Innovate. Define Your Future.
Not everyone who works for a global company shares the same background, experiences and perspectives. We leverage the differences of our employees to bring new ideas to the table. Every employee throughout the company is encouraged to share input on projects and initiatives. Our decision making process is truly a collaborative effort as we realize there are leaders at every level of the organization. We put our values at the core of how we operate as an organization — not just when it’s convenient, but in a lasting and meaningful way. We want the time and energy you spend here to have a positive impact on your life inside and outside of the office.
Entegris is a values-driven culture and our employees rally around our core PACE values:

People 
Accountability
Creativity
Excellence
Entegris is seeking a PM Asset/Security Systems Program Administrator who is responsible for:
Deployment of Core Facilities Asset Management Systems Worldwide at key manufacturing sitesManagement and training of Core Facilities Asset Management Systems Worldwide at key manufacturing sitesManagement of Change policy and systems oversight.M&A facilities integration plans and facility asset management.Own SOP, work instructions and policy related to the asset management systems.

This role will be located in the Singapore Asia Hub office.

Key Responsibilities
Core Facilities FMS Management Systems Worldwide
Project planning and deployment of FMS systems globallyFMS systems must be EQOS aligned and 100% compliantEAM/FMS deployment of common protocols globallySystem management of MOC and change policy and systems oversightPM/Cal/Spare part systems, policies and procedures establishFacility work/break/fix order management established with priority planning functionality available globally for resource and utilization planning

Management of Change policy and systems oversight;
Management and over site of facility changes and notificationsDeploy 3-5 year FEMA plans to key sites and manage risk with Facilities Management on an international basis;

M&A Facilities Integration Plans And Facility Asset Management
Assist the Director of Global Facilities in special projects related to facilities matters, such as assisting in monitoring strategic and cost savings initiatives, special assignments, assisting in data gathering, and tracking of special project tasks;Management of facilities rationalization strategy (aligned to Global Operations. Manufacturing strategy);Including strategy planning with Operational leaders to determine the “best” fit for their current and future business needs;

Assist with administrative duties for Global Facilities team, such as placing purchase order requisitions, invoice matching, managing facility requests and preventative maintenance assignments and other duties
Prepare important site communications related to facilities changes globally
Contractor coordination and scheduling as needed for major projects

Requisite Criteria & Skills
Associates degree with at least 5 years of experience as an FMS System Administrator or a combination of education and experience.2-3 years of experience in change management and data governance processes in an ERP environment specifically using facility management systems like SAPPM.Preferred knowledge of SAP master data, including material master, BOMs, and routings.Previous experience supporting multiple levels of an organization is preferred:Computer Skills: Proficient “super user” with SAPPM Enterprise Systems, MS Office suite, primarily Outlook and Excel;Experience dealing with confidential documentation and filing practices.Experience working well both independently as well as accepting direction on projects.Expertise with MS Office applications.Clear communication and collaboration skills.

Our total rewards package goes above and beyond just a paycheck. Whether you’re looking to build your career, improve your health, or protect your wealth, we offer generous benefits to help you achieve your goals and also to take time away from work to recharge!

At Entegris we are committed to providing equal opportunity to all employees and applicants. Our policy is to recruit, hire, train, and reward employees for their individual abilities, achievements and experience without regard to race, color, religion, sexual orientation, age, national origin, disability, marital or military status.",11-Sep-2023,FMS:Flexible Manufacturing Systems (FMS):SAP Enterprise Asset Management (EAM)
Information Security Officer- contract,3678316391,Michael Page,"Singapore, Singapore (On-site)",6,Entry level,Contract,Information Technology:Engineering,Insurance:Financial Services:Capital Markets,"Good technology exposure |Growth opportunity 
About Our Client
Our client is a local insurance company. They are a leading homegrown financial services company, offering consumers a better way to financial freedom. Through innovative, technology-enabled solutions and a wide range of products and services they provide consumers control over their financial wellbeing at every stage of their lives.
Job Description
Key Responsibility:
Perform Information Business Impact assessments and Security Risk Assessments on business applications throughout development lifecycle for SDLC/Agile/Iterative Lifecycle.Report Information Security issues/gaps with appropriate recommendations to mitigate and/or remediate the risk as well as assist IT with corrective action plans. Provide subject matter expertise in application development lifecycle to assess security requirements, controls and ensure that security controls are implemented and plannedPromote awareness of information security policies, standards and best practices. Also, as a program manager, manage information security assessments operational KPI/KRIsDrive improvement to Information Security process, standards and policiesInterface with Risk, Internal Audit, external Audit, Regulator and/or provide timely support during audits.Establish and maintain relationships with domain architects, project managers and IT SMEs.Demonstrate good understanding of Singapore regulatory framework and local laws on information security, technology risk, data protection. In addition, solid understanding of ISO 27001, NIST CSF, MITRE etc.Perform independent assessments of the technical security controls implemented within the system to determine the overall effectiveness of the controls.
The Successful Applicant
Successful Canbdidate Must Have
Good understanding of Information Security control areas such as Authentication/Authorization, Access Controls, Entitlement, Cryptography, Encryption, Network, Application/System Security, Key Management. Vulerablity Management (OWASP, SANs)Knowledge of SDLC, Agile/Iterative, DevOps/DevSecOps and integration with security assessment is required.Excellent Written and Verbal communication skills. Exhibit Strong Influencing/negotiating skills with attention to details.What's on Offer
Creative and innovative workplaceOpportunity to learn and growGood work cultureContact: Meenal Sharma
Quote job ref: JN-072023-6131951",28-Jul-2023,DevSecOps:Information Security Management:Key Management:Key Performance Indicators:OWASP:Risk Assessment:Security:Security Audits:Security Controls:Security Risk
Technical Product Manager - Information Security,3730250219,Shopee,"Singapore, Singapore (On-site)",0,Mid-Senior level,Full-time,Product Management:Marketing,"Technology, Information and Internet","About The Team
As our Senior Cybersecurity Product Manager, you will lead the charge in driving innovation and enhancing our suite of internal security products. These tools are the backbone of our defense against threats from various sources. By collaborating with cross-functional teams, you will shape our cybersecurity offerings, ensuring they align with our evolving business and regulatory landscape while continuously safeguarding our network from potential cyber threats.
Job Description
Spearhead the analysis, design, and iterative improvement of internal cybersecurity platforms and entire products life cycle.Consolidate existing risk management tools and take the lead in designing and deploying our internal audit risk control platform.Define a visionary cybersecurity product roadmap encompassing both short-term and long-term objectives.Proactively engage with the compliance team to gain insights into compliance requirements across diverse businesses and integrate them into our product strategy.Interface with relevant internal stakeholders to collect and analyze their security product needs, translating them into actionable plans.Generate detailed Product Requirement Documents (PRD) and, in close collaboration with the engineering team, oversee product launches and feature enhancements.Create comprehensive product guide documentation and organize product training sessions to enhance the understanding of product features and advantages among internal teams.Drive market research for product innovation.
Requirements
At least a Bachelor degree in computer science, information technology, programming and system analysis.A minimum of 5 years of experience in an Information Security Product Management role.Familiarity with security products and deep insights into at least one of the following products: SOC, SIEM, DLP, UEBA, S-SDLC, IDS, NDR.Exceptional project management and teamwork skills, with the ability to prioritize tasks in a multi-tasking environment.Strong communication skills, capable of effective interactions with team members at all levels and external partners.Proficiency in project management and product design tools such as Jira, Confluence, Figma, or Axure.
Preferred Experience
Previous work experience in top-tier internet companies.Experience in designing platforms for staff behavior monitoring and risk control.",29-Sep-2023,Computer Science:Cyber-security:DLP:Defining Requirements:IDS:Information Security:Product Management:Product Road Mapping:Product Service:Systems Analysis
Lead Information Security Specialist - Security Engineer,3660359535,Singtel,"Singapore, Singapore (On-site)",21,Mid-Senior level,Full-time,Information Technology,Telecommunications,"At Singtel, our mission is to Empower Every Generation. We are dedicated to fostering an equitable and forward-thinking work environment where our employees experience a strong sense of Belonging, to make meaningful Impact and Grow both personally and professionally. By joining Singtel, you will be part of a caring, inclusive and diverse workforce that creates positive impact and a sustainable future for all.

 Be a Part of Something BIG! 

In Group IT, we create great technology that can change the future, and we're looking for people to be part of our digital and 5G journey. If you like to work in a dynamic, leading communications technology group to deliver innovations and excellence across the region, come join our digital, software engineering, data and cyber security teams!

Apply now , and ignite our digital future together.

 Make an Impact by 
 Engineering and automation  Design and manage Security projects for existing infrastructure that include enhancements and new security systems implementation to be delivered within project timelines.  Administer various security systems such as but not limited to EDR, DAM, SIEM, SOAR, UEBA and Privileged Access Management to ensure services are running smoothly and securely  Ensure that SOPs are documented, performed and in compliance with relevant security policies and standards  Work with Security Operations team to ensure delivery of outcomes as part of the SOC strategy  Provide guidance to the team on design and technical challenges faced while delivering the necessary outcome for the security systems.  Engage with relevant teams and/or vendors to diagnose and rectify technical problems where necessary  Integration with other tools / systems to adopt and develop automation solutions  Carry out other technical related duties that may be required.  Customer Experience and Teamwork  Demonstrate professional, pro-active qualities in dealing with internal clients and stakeholders.  Work with all stakeholders to meet operation and security requirements.  Promote knowledge sharing, effective communication and teamwork with peers.  Continuous Improvement  Maintain strategic vendor partnerships, relevant education and certification.  Complete relevant education and training as required.  Keep abreast of relevant technology and cyber threat landscape.  Identify areas of improvement in delivering services. 

Skills For Success
 Diploma/ Degree in Information Technology, Electrical / Electronic, Information Systems or equivalent discipline  7 – 10 years of relevant experience in server administration  Minimally seven (7) years hands-on experience in designing, administration or deployment of IT infrastructure components including implementing best practices like security hardening  Microsoft Hyper-V, VMWare  Windows Server (2012/2016/2019)  Windows 10/11  Linux  .NET, Java or Python  Microsoft Certified Systems Engineer (MCSE), Microsoft Certified Systems Administrator (MCSA), ITIL or equivalent.  Networking knowledge  Good analytical and communication skills.  Possess initiative with positive working attitudes and customer services oriented  Strong teamwork, communication and interpersonal skills  Independent and goal-oriented  Basic knowledge of privileged access management like Cyber-ark 

 Rewards that Go Beyond 
 Hybrid work arrangements  Full suite of health and wellness benefits  Ongoing training and development programs  Internal mobility opportunities 

 Your Career Growth Starts Here. Apply Now! 

 We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",15-Sep-2023,Access Management:Communication:Customer Service:Cyber:Identity and Access Management (IAM):Security Operations:Server Administration:Training:Vendor Partnerships:Vulnerability Assessment
"Vice President, Third Party Information Security Risk Manager",3639117677,UOB,"Singapore, Singapore (Hybrid)",89,Associate,Full-time,Information Technology:Consulting:Engineering,Banking:Financial Services,"About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

Group Technology and Operations (GTO) provides software and system development, information technology support services and banking operations.

We have centralized and standardized the technology components into Singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. We operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.

Our Operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing.

Job Responsibilities

Third Party Information Security Risk Manager involved in performing IT Security Risk Assessment, Information Security Due diligence on Third Party and supporting the businesses as the subject matter expert on all IT Security matters, to ensure risks are highlighted for business evaluation and decision making on a timely manner.

Job Description.
 Plan and conduct IT security risk assessment on bank's systems throughout the lifecycle covering different layers of technology architecture to identify possible security risks, advise and evaluate the mitigation controls and measure the residual risk. Manage third party IS due diligence on bank’s service suppliers, including on-site assessments when required. Lead onsite / virtual assessments for third party IS Due Diligence, managing technology and cybersecurity controls expertise Identify and document control breaks and vulnerabilities within third parties’ IT environments and work with Line of Businesses to resolve through action plans, or assist with risk assessments Lead the targeted workstreams and support ad-hoc assignments as requested Collaborate closely with technology and business stakeholders to ensure security risks are identified, communicated, understood therefore an informed decision on risk can be made As the HQ function, guide and support IS teams of subsidiaries to ensure oversight and consistency on IT security risk and Third Party IS due diligence management Support the Third Party risk committees to ensure robust Third Party IT Security risk governance Develop, maintain, and enhance the IS Due Diligence checklists, processes and operating procedures Continuously focus, strategise and implement process improvements e.g. automation, workflow design and digitization for an effective and efficient Third Party IT Security Posture. Provide reporting and tracking of work deliverables. Keep up-to-date awareness of security trends covering both new threats and technologies in order to understand the evolving risk and better safeguard the organization.

Job Requirements
 Bachelor’s degree in Computer science, Information Technology, or a related field is required. At least 8 years of experience in Information Security and risk related work preferable in large organization especially banking environment. Experience and good understanding of one or more technology areas, including Data Security, Infrastructure Security, Endpoint/Platform Security, Identity Management, Application/Mobile Application Security, Cloud Security Strong understanding of the Banking industry IS policy and standards, regulatory and industry trends, good practices in providing practical and appropriate recommendation, resolution and remediation options to the businesses. Strong relationship building, stakeholder management, communication, presentation and influencing skills with both technical and non-technical staff Strong written and verbal presentation skills at senior management level, with experience in managing senior business stakeholders, debating issues with senior management levels across businesses Demonstrate the strong motivation and capabilities to drive initiatives and changes Proactive and strong team leader and player with minimal supervision Excellent analytical and problem-solving skills. Ability to simplify complex issues such as risk matters, workflows and business processes, and develops effective solutions. Experience in industry standards and requirements such as ISO 27001, MAS TRM, NIST, CCM Industry certifications issued by organizations such as ISC2, ISACA, SANS, Microsoft, CISCO, AWS, etc.

Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference",10-Sep-2023,CCM:Computer Science:Data Privacy:Due Diligence:ISO 27001:Industry standards:NIST:Risk Assessment:Security Risk:Technology Architecture
Business Information Security Officer,3609038694,AIA Singapore,"Singapore, Singapore (On-site)",442,Mid-Senior level,Full-time,Information Technology,Insurance,"At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.

As pioneering innovators for over 100 years, we’re now transforming our organisation to be faster, simpler and more connected. Because we want to be even better equipped to develop digital solutions and experiences that help more people live Healthier, Longer, Better Lives.

To get there, we need people with tech/digital/analytics expertise and passion to help develop positive, sustainable change through digitally enhanced experiences that will impact the lives of millions of people and create a healthier future for everyone.

If you believe in developing a better tomorrow, read on. 

WE ARE LOOKING FOR .....

The BISO role is a senior cybersecurity leadership position intended to bridge the gap between security and business interests, be responsible for the overall Cyber Security Management of AIA Singapore to the line of business.

Serve as the Business Information Security Officer, go-between for the security team and business, to engage with line of business for AIASG and to perform vital functions in identifying, mitigating, reviewing, documenting, and reporting findings to management, and ensures the corresponding risk exposures are appropriately addressed such that the company’s image and value are protected. Enhance our cyber security readiness and uplift our capabilities to tackle the future emerging cyber risks to support the business.

What You’ll Be Doing

Serve as the primary security contact for the line of business in AIASGDevelop and oversee the implementation of security policies, procedures, and controlsConduct risk assessments and manage security statement and review for line of business in AIASG to support business strategyMonitor compliance with security regulations for all systems supporting the line of businessStrong business acumen to understand and speak the language of business. Be able to clearly articulate the value of cybersecurity investments to business leaders who may not be familiar with the technical detailsAssist to identify, assess, and prioritize risks. Must also be familiar with the principles of risk management and how they apply to cybersecurityDevelop and maintain local risk register, detection/response related standard operating procedures to ensure compliant to the MAS regulationsMonitor security compliance, manage security awareness programs, train employees on security procedures and implement new security technologiesCoordinate with the IT department on technical security issuesWorking with business units to ensure compliance with security policies and proceduresProvide guidance and support to line of business on security-related issuesUplift Cyber Security process, controls and maturity level for Cyber SecuritySupport for the Cyber Security score in the annual MAS CRAFT report. 
WE ARE LOOKING FOR SOMEONE WITH | YOU WILL HAVE:

Bachelor’s degree of computer science, computer engineering or other relevant degreesInformation Systems Security professional certifications, such as CISSP, CISA, CISM or CRISC preferredMinimum 15 years of IT experience with at least 5 years’ of experience working as a BISO in an MNC enterprise environment. Finance industry will be preferredMust have a deep understanding of cybersecurity technologies and how they can protect the organization’s assets. Familiar with a wide range of IT systems and applicationsEffectively communicate with both technical and non-technical staff. Be able to translate complex technical concepts into plain English and present them in a way that decision-makers can understandStrong knowledge of Cyber Security forensics, Information Security governance, project management, change management, technology implementation and risk analysis strategySound knowledge of Cloud environment and Cloud security, Cyber Monitoring, Threat Hunting, and Cyber Threat Intelligence

Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives.

You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.



ABOUT AIA

 For over a century, AIA has served the ever-changing needs of our customers across Asia-Pacific. Our Purpose to help millions of people live Healthier, Longer, Better Lives is at the heart of everything we do.
 As pioneering innovators, we’re now transforming AIA to be faster, simpler and more connected to create better solutions and impactful experiences for our customers and communities. AIA encourages and enables our people to act with clarity, courage and humanity in service of our Purpose.

 JOIN US

 At AIA, we believe in empowering every one of our people to find their 'better' - in the work they do, the career they build, the life they live and the difference they make. Whether it’s investing better wellbeing, inspiring better learning, building better relationships, or making a better impact on customers, a career at AIA will challenge you to find new ways to pursue your ‘better’.
 AIA is committed to building a vibrant, diverse, and inclusive workforce for all employees to thrive in. Join us if you believe in creating a better tomorrow!",19-Sep-2023,Cloud Security:Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Cybersecurity:ISO 27001:Security Awareness:Security Compliance:Security Management:Security Policy:Technology Implementation
"Manager / AVP, Technical Information Security Officer",3724885673,Oliver James,"Singapore, Singapore (On-site)",11,Mid-Senior level,Full-time,Information Technology,Financial Services:Insurance,"A Manager/AVP-level TISO job at a front-running financial services firm. $8-11K/month You will be working at a front-running financial institution with solid reputation of its insurance and asset management products and services. They are known for their innovative approach in branding and business strategy. You will also be joining a team with strong and reputable market leaders.A Manager/AVP-level TISO job at a front-running financial services firm. $8-11K/month Your new companyYou will be working at a front-running financial institution with solid reputation of its insurance and asset management products and services. They are known for their innovative approach in branding and business strategy. You will also be joining a team with strong and reputable market leaders. Your new roleReporting to the Head of TISO, you will be part of the TISO team and be responsible for technical risk assessment and security risk assessment on internal business initiatives, projects, digital transformation and cloud migration etc. This technical risk assessment will involve various info sec control areas, including authentication, access control, cryptography encryption, network security, application security, vulnerability management etc. You will also be involved in third-party risk management and assessment (vendor risk management). Your internal stakeholders will be BISOs, engineers, risk and audit departments etc. What you'll need to succeed5 years of relevant technical risk assessment / technical infosec experience at financial services firms (insurance, banking etc.)Experience in LoD 1 information security functions, including application security (appsec), network, platform and cloud security,Familiar with regulatory requirements (MAS TRM, PDPA) and industry standards (ISO-27001, NIST CSF, and MITRE ATT&CK)Exposure to API Security, Cloud Security Architecture (AWS / Azure), DevSecOps will be a bonusRelevant security certifications eg. CISSP, CISA CISM CEH etc. will be a bonus What you need to do nowIf you're interested in this role or interested in other technology governance & cybersecurity positions, please send your updated CV to Shannagh Wu at Shannagh.Wu@oliverjames.com
Desired Skills and Experience

What you'll need to succeed
- 5 years of relevant technical risk assessment / technical infosec experience at financial services firms (insurance, banking etc.)
- Experience in LoD 1 information security functions, including application security (appsec), network, platform and cloud security, 
- Familiar with regulatory requirements (MAS TRM, PDPA) and industry standards (ISO-27001, NIST CSF, and MITRE ATT&CK)
- Exposure to API Security, Cloud Security Architecture (AWS / Azure), DevSecOps will be a bonus
- Relevant security certifications eg. CISSP, CISA CISM CEH etc. will be a bonus",22-Sep-2023,Application Security:CSF:Cloud Security:Cyber-security:Defining Requirements:ISO Standards:Industry standards:Information Security:NIST:Network Security
Information Security Analyst,3468314707,DSO National Laboratories,"Singapore, Singapore (On-site)",462,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,"Responsibilities
DSO National Laboratories (DSO) is Singapore’s largest defence research and development (R&D) organisation, with the critical mission to develop technological solutions to sharpen the cutting edge of Singapore's national security. At DSO, you will develop more than just a career. This is where you will make a real impact and shape the future of defence across the spectrum of air, land, sea, space and cyberspace.
The Information Division focuses on capabilities and technologies that enables MINDEF / SAF to harness and exploit information in the physical battlefield and cyberspace. Capability areas include cybersecurity, cryptography, data analytics and fusion, artificial intelligence, vulnerabilities assessments and operations analysis. Information Security Programme conducts applied research and development of advanced systems and techniques in cryptography and communications security. We strive to provide SAF and MINDE with operational, timely, production systems and secret-edge capabilities to ensure cryptographic superiority and achieve information dominance.
People are DSO’s greatest asset. You will get to realise your career aspirations and develop your own niche either as a deep technical expert or a leader in the team. With frequent career dialogues and a robust training and development framework, we will provide you with the necessary development tools for you to reach your potential. You will also be recognised and rewarded through competitive remuneration packages and scholarship opportunities.
Information Security Analyst
In this role, you will:
 Conduct applied research and development in the field of communication security and cryptography Evaluate and assess the security strength of information security solutions Develop cryptographic solutions for unique security problems
Requirements
 Master’s / Bachelor’s Degree in Computer Science / Mathematics Strong analytical skills to evaluate and assess cryptographic algorithms Strong interest in cryptography or solving difficult mathematical challenges Able to think creatively and work independently",11-Sep-2023,Analytical Skills:Communication:Communications Security:Computer Science:Cybersecurity:Data Privacy:Ethical Hacking:Incident Response:Information Security:Vulnerability Assessment
Information Security Officer,3724749866,Sing Investments & Finance Ltd 星金融發展有限公司,"Singapore, Singapore (On-site)",12,Mid-Senior level,Full-time,Information Technology,Financial Services,"IT Security & Infrastructure Specialist
About The Company
Sing Investments & Finance Limited has more than 50 years of lending experience in the financing arena in Singapore. Our core activities include the acceptance of fixed and saving deposits from the public as well as the provision of loans and credit facilities to individuals and corporations, particularly the Small and Medium Enterprises (SMEs) in Singapore. The relationships that have been built over the years have earned us the reputation as one of Singapore's trusted finance companies. We are seeking dynamic individuals to grow with us and to continue building relationships with our valued customers.
We are looking for a dynamic and experienced IT Security and Infrastructure Specialist to join the IT team. You will be instrumental in driving the company’s data security action plan and ensure alignment with the company’s standards, policies and procedures and regulatory requirements.
Responsibilities
Review and enhance the current IT Systems, Policies and Procedures.Responsible for all IT Infrastructure setup, maintenance and operations.Develop, maintain, and support a robust and effective incident reporting and tracking system. This includes reviewing, monitoring, and reporting on the corrective and improvement measures.Monitor and advise on the operating effectiveness of information security workflows and controls.Monitor network usage to ensure compliance with security policies.Provide direct support to users to ensure cybersecurity is addressed throughout the engagement delivery lifecycle, from infrastructure and security tooling choices to the secure storage, processing and deletion of data.Document any security breaches and assess their damage.Manage daily backup operations ensuring all critical file systems and databases are successfully backed up.Oversee Annual BCP and DR exercises.Liaise closely with suppliers and vendors for procurement of IT hardware, software and services.Perform penetration tests as needed.Keep up to date with developments in IT security standards and threats.Improve the awareness of information security among users by developing training tools and materials.
Requirements
Degree holderMust possess relevant certification on either Certified Information Systems Security Professional (CISSP) or ISO 27001 Information security management systems or Certified Information Systems Auditor (CISA) or Certified Information Security Manager (CISM)Experience in managing financial sector IT security requirements, best practices and methodologies, IT governance and regulatory requirements, including direct responsibility for application and infrastructure security.Display proficiency in Microsoft applications, Active Directory, Vsphere Management, Linux Redhat, Solaris Operating Systems and Cisco Networking SystemsExperience in domains of Cyber Security Operations, Incident Response, Forensic Investigation, Threat Intelligence or Vulnerability ManagementGood knowledge of information security and cybersecurity risks and controls, processes, workflows, methodologies, and trendsAbility to work independently and assume responsibility for project deliverables.Strong initiative to proactively find solutions to requirements.Experience with application security, security technologies and tooling, e.g., vulnerability scanners, firewalls, network, application security, security technologies (system hardening, IDS/IPS, firewall)Experience in carrying out security incident response, penetration testing, vulnerabilities scanning and security assessment.Corporate rank and remuneration will commensurate with experience",20-Sep-2023,Application Security:Cyber Threat Intelligence (CTI):ISO 27001:Incident Response:Penetration Testing:Security Incident Response:Security Operations:Solaris:Vulnerability:Vulnerability Management
