Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Penetration Testing,3699285186,Tata Consultancy Services,"Changi, Singapore (On-site)",62,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Job Description: 8+ years of relevant experience including Penetration Testing on (Web Application, Mobile, Thick Client and Infrastructure applications)Business risk along with good reporting writing and client presentation skills. Consulting experience within a Professional Services organization.Strong analytical skills and ability to work independently.Have a strong sense of responsibility towards delivery of project objectivesEquipped with programming skills in at least one of following programming language/environment such as SAP, ABAP, .NET, Python, Ruby, JAVA or Regular expression.Experience in healthcare industry will be an added advantage.Must have the CEH, OSCP or CREST-CRT Certifications.Any other Certifications like OSCE, CISSP would be advantage.Would be a good team player.Excellent verbal and written communication skills.",29-Aug-2023,Analytical Skills:Client Presentation:Ethical Hacking:Information Security:OSCP:Penetration Testing:Presentation Skills:Programming Languages:Python (Programming Language):SAP ERP:SAP FICO
"iOS Engineer, Intern",3695954781,Screening Eagle Technologies,"Singapore, Singapore (Hybrid)",92,Entry level,Full-time,Information Technology,Software Development,"Based in Singapore, the iOS Engineer intern will be working closely with our experienced iOS engineers to build and improve the native iOS applications of Screening Eagle and Proceq tools — ensuring robust, user friendly and easy to maintain applications.
ResponsibilitiesAssist in the development and testing of iOS apps.Research, investigate and fix technical issues.Contribute to technical documentations.Collaborate with cross-functional teams.Improve skills through hands-on experience and mentorship.Practice Agile methodologies.Explore and experience with the latest Apple technologies.
QualificationsPursuing a degree in Computer Science, Software Engineering or related fields.Familiarity with at least one programming language and development tools.Basic understanding of software development principles.Passionate about learning iOS development and Apple technologies.Strong problem-solving skills and attention to detail.Previous internship or project experience in mobile development.Experience with Swift, iOS SDK and Xcode.Familiarity with Apple’s human interface guidelines.Excellent communication and teamwork skills.Knowledge of Git version control system.
BonusPublished personal iOS apps on App Store.Personal projects at GitHub with 100+ stars.Experienced in open-source projects.",18-Sep-2023,Attention to Detail:Control System:Git:Passionate about Work:Skill Development:Swift (Programming Language):Teamwork:Version Control:Xcode:iOS Development
iOS Engineer,3725814183,Flipster,Singapore (Remote),32,Mid-Senior level,Full-time,Information Technology:Engineering,Financial Services,"🚀 About FlipsterFlipster is a next-level trading platform that is connecting investors to insight, and new opportunities brewing in the cryptoverse. We uncover exclusive opportunities and provide a high-performance platform to put them to work. We believe in an exciting, bold future for crypto. A decentralized, well-governed space, that sparks progress for investors, traders and amazingly innovative crypto projects simultaneously. Flipster will unlock access to ideas we can't even imagine yet. We aim to propel their development and uncover potential.
As an iOS Engineer in our teamRecently, we have taken a huge challenge and made it into our mission: To create a cryptocurrency-based derivatives exchange focusing on agility and a wide range of unique trading products. To achieve this, we have built a team of smart, creative and optimistic people and we are still growing! You will design & implement mobile application to bring a delightful, intuitive mobile experience to users.
ResponsibilitiesDevelop & maintain iOS native app for our exchange.Work together with cross-functional teams to define, design, test, and ship features.Troubleshoot issues, fix bugs and improve application performance & reliability.This is an individual contributor role.
What we want you to have
Common. Technical ability to design & implement feature intentions into reliable & efficient code.Ability to communicate in English.Ability to work autonomously in distributed remote teams with asynchronous communication.Enthusiast Apple user who knows what Apple users want with proper aesthetic sense & taste.
For intermediate engineers,Strong programming, design & development skills in Swift.High energy and desire in iOS native app development to build great iOS apps.Experience in production for published commercial apps.Knowledge of building apps that rely on backend web services.s.
For senior engineers, Excellent programming, design & development skills in Swift.Experience in production for published large scale commercial apps.Experience in building apps with complicated and performant Apple native UI/UX.Deep understanding in Apple platforms & technologies.Strong interest in soft/firm real-time apps & optimizations for it.
Nice to haveUnderstanding of financial derivatives products, exchange and trading platforms, blockchain, software development and business.
Our Tech StacksAll Swift basically.SwiftUI mostly.Elm-like REPL structured.async/await/actor where appropriate.Modularized with SPM. Packaged in Xcode.Tested by XCTest.Stored in GitHub.Watched by Sentry.
What we can offerCompetitive salary & discretionary bonusA thriving company cultureFlexible working hours
 Our hiring processResume/CV submission1st round interview(homework)1:1 interview(60min) 1:1 interview(60min) There can be additional 1:1 interview(60min) if needed

🔎 Flipster is powered by Presto Labs📈 Presto Labs is a quantitative trading firm established in Singapore in 2014.Today, Presto Labs has grown to more than 100+ employees. World-class engineers and researchers share offices in Singapore🇸🇬, Shanghai🇨🇳, and Seoul🇰🇷.📊 Presto Labs build automated trading systems fueled by data-driven quantitative analysis to achieve stable and sustainable investment returns.💻 Our engineering teams do what humans do best – create algorithmic decision processes in order to achieve what no human trader ever could in today’s fast-changing, unbelievably complex financial world.Check out more about Presto Labs on our YouTube channel➡️ https://www.youtube.com/channel/UCg88FC6VecGyiDolSbKpNIg",22-Sep-2023,Back-End Web Development:English:Software Development:Swift (Programming Language):SwiftUI:Teamwork:Test Cases:User Experience (UX):Web Services:Xcode
Penetration Tester,3681665755,IMDA,Singapore (Hybrid),73,Entry level,Full-time,Information Technology,Government Administration,"Responsibilities
Conceptualise, design and deliver Penetration testing programmesResearch on attacker TTPs to enhance existing techniques, procedures or tools.Participate in cyber security exercisesPlan attack scenarios for exercisesPerform Penetration testing in coordination with asset ownersDraft reports and present findings to stakeholders

Requirements
Bachelor degree in Information Security/Engineering/Computer Science or equivalent5 years of work experience in information securityOSCP certification or equivalentExperience in networks and cloud technologies would be an advantageAnalytical and enjoy challengesGood communication and interpersonal skills

Position will commensurate with experience.

Only short-listed candidates will be notified.

",02-Sep-2023,Communication:Cyber-security:Information Security:Interpersonal Skills:OSCP:Penetration Testing:Vulnerability Assessment:Vulnerability Scanning
Penetration Tester (Senior Specialist),3705799351,Korn Ferry,"Tampines, Singapore (On-site)",50,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services:IT Services and IT Consulting,"The ClientWith a strong foundation in Singapore, our client is a distinguished provider of cutting-edge homeland security solutions. They boast a wealth of experience and an impressive portfolio of achievements, ensuring secure, reliable, and state-of-the-art solutions for their clients. From initial design and development to seamless integration, rigorous testing, and post-implementation maintenance, our client delivers comprehensive turn-key solutions that exceed security and operational objectives.
Deeply rooted in their company culture, our client firmly believes in the power of their talented workforce. They recognize the true value of their employees and are committed to fostering growth through continuous career development training, unwavering motivation, and regular remuneration reviews. They are actively searching for individuals who are driven by results, fueled by passion, and eager to contribute fresh perspectives to the ever-evolving homeland security industry.
Job Description:Lead and mentor junior Penetration Testers,Perform hands-on vulnerability assessment, review, and penetration testing (Network, Web applications, thick clients, Cloud, IoT, or mobile applications),Perform presales work, which include but are not limited to liaising with external customers and internal teams to prepare proposals and quotations for projects and tender bidding.Perform any other work assigned by superiors.
Skill Sets:Mandatory - Web Application vulnerability scanning and penetration testing.Mandatory - Network vulnerability scanning and penetration testing.Minimally one of the following – PT for Thick Client systems, Cloud, IoT or Mobile Applications
Education / Experience:Diploma and above,CREST (CREST (Council of Registered Ethical Security Testers) or OSCP (Offensive Security Certified Professional) certification.Min 5 years relevant working experience

Korn Ferry is an Equal Employment Opportunity/Affirmative Action Employer - Minority/Female/Disability/Veteran. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, veteran status, or any other characteristic protected by federal, state, or local law.",07-Sep-2023,Application Security:Certification Testing:Cloud Computing:English:Invitation to Tender:OSCP:Penetration Testing:Presales:Vulnerability Assessment:Vulnerability Scanning
Security Systems Engineer,3663668687,Securitas Singapore,"Singapore, Singapore (On-site)",453,Associate,Full-time,Administrative:Engineering,Security and Investigations,"THE JOB:The Security Systems Engineer reports to the Campus Security Manager and is responsible for the physical security technologies and systems within the DataCenter.
JOB RESPONSIBILITIESManagement of physical security technologies and systems within the Datacenter. Includes physical access control, video surveillance, security networks, VHF/UHF Radio systems, hard key management systems, and perimeter entry systems.Deployment of security technologies while ensuring standards are adhered to as well as maintenance/repair supervision working with vendor support teams on corrective activities for system issues. Collection and maintenance of system information on the health of current security systems and report out of performance trends. Identification of system issues or failures and coordination with site personnel to drive and correct failures by collaborating with other internal and external service providers in weekly / biweekly meetings.Receive escalations/notifications of physical security and business impacting incidents/events and appropriately triage, ensuring that leadership is made initially and continuously aware when appropriate and that the appropriate personnel are managing the incident response effectively.Serve as a Subject Matter Expert (SME) for security technologies, supporting high visibility needs of the business in a variety of special projects. These unique projects often involve expedited deliverables, operational agility, and require top quality deliverables covering both the consulting and operations functions. Continuously improve the efficiency and maturity of the overall physical security program. Collaborate with peer teams and organizations to ensure their team is aligned with broader strategy and initiatives, fully supporting leadership priorities, being good partners, helping reduce costs, time burden, complexity, and being responsive trusted advisors.Continuously seek data and recommend strategies and ideas to reduce churn, optimize, implement a creative solution to a problem, scale, automate, and simplify.Confident and skilled in preparing and delivering presentations and briefings to customers, senior leaders, and executives.Any other ad-hoc task assigned.
JOB REQUIREMENTS:Diploma or BS or BA in physical security or related discipline, or equivalent experience preferred.With 7 years experience successfully manaing security systems projects in a corporate, law enforcement or government operations program role.Lenel Certified Professional in Access Control and Digital VideoExperience with or exposure to regulatory and industry compliance frameworks and audits (e.g. ISO27001, PCI, SOC).Experience with datacenters or other critical infrastructure facilities.Experience with HA and DR solutions such as SQL Clustering, NEC WAN Express.7+ years of managing, configuring, and maintaining Microsoft SQL Servers and processes.Experience making and influencing good decisions that impact mission-critical, 24x7 operations environments.Strong work and compliance ethic, and the ability to effectively prioritize and execute tasks in a dynamic and high-pressure environment.Proficient in the use of Microsoft Office products for business.Analytical and process improvement skills to produce data driven insights and associated process changes.Thought leadership and subject matter expertise to deliver one or more large programs and services while increasing standardization, simplification, and automation. Ability to change plans, goals, actions, and priorities in response to an evolving business environment with awareness to operate as a champion for course corrections when necessary.
If you are keen to be part of our team and possess the above pre-requisites, kindly send us your detailed resume stating your current and expected salary.
Thank you for applying.To know more about us, please visit us at: www.securitas-singapore.com.We regret that only shortlisted candidates will be notified.",06-Sep-2023,Communication:Computer Literacy:Leadership:Problem Solving:Security Operations:Security Systems:Teamwork:Triage
Global Head of OT / ICS Cyber Security,3695084629,wizlynx group,"Singapore, Singapore (On-site)",72,,Full-time,,,"wizlynx group, with the founding core of our company headquartered in Switzerland since 1992, is an ethical, trustworthy, and vendor agnostic global Cyber Security provider. Our vision is to be a best-in-class global Cyber Security company, enabling customers to focus on their core business by providing high-quality, value added and innovative Cyber Security services.
As Global Head of OT & ICS Cyber Security services, you will lead, manage, and develop our worldwide OT & ICS Cyber Security testing consulting team and practice.
Your main duties will involve the continuous improvement of our current OT & ICS Cyber Security assessment services portfolio but also the creation of new assessment and services following technology and market evolution. This includes perfecting our internal processes, procedures, and tools to improve our service efficiency but also our sales and business development materials.
You will also play a vital role in supporting sales and pre-sales when responding to important RFPs and offerings to increase our chances of success.
Job Summary and MissionThis position contributes to the success of wizlynx group by performing the following:Develop OT/ICS service portfolio, including but not limited to service(s) definition, SOPs, pricing, offer templates, sizing guides, marketing material, training documentation, website content, etc.Provides the direction of wizlynx’s ICS & OT Cyber Security assessment servicesProvides strategic risk guidance for projects, including evaluation and recommendation of technical controlsLead initiatives to identify & evaluate security gaps in GRC programs for IT & OT systems.Create risk-based strategies and solutions across a broad range of cybersecurity domains for clients to improve overall security posture (technical and business-related)Work with clients to ensure adequate security solutions and risk management are in place throughout the OT / ICS environment to mitigate threats sufficiently while meeting business objectives and local regulatory requirementsAnalyze OT security and GRC for IoT, ICS & SCADA systems.Research, design, build & implement security controls for critical infrastructure.Become SME in 360InControl ICS partner solutionDesign risk assessment models using NIST-CSF, ISO27k and IEC62443 frameworks Draft information security policies, standards, and baselines for OT/ICS GRC programs.Stay current on emerging cybersecurity, business, and technology trends.Lead global marketing and PR activities for OT/ICS GRC; Engage in OT/ICS GRC public speaking, podcasts and eventsUtilize social media platforms to ensure visibility of Wizlynx OT/ICS; liaise with SEO/SEM expert to increase Wizlynx website hits and contact requests Support sales organization globally with any pre-sales activitiesMonitors team performance at global level and ensures duties are performed efficientlyOversees technology governance and policies
Ideal Experience and EducationBachelor's degree, preferably in computer science or information systems, or equivalent work experienceMinimum of 2 years of experience implementing CCoP for Critical InfrastructureMinimum of 7 years direct Cyber Security experience in a security analyst, engineer, architect, consultant, or a similar roleMinimum of 3 years of experience in ICS / OT Cyber SecurityExperience managing highly technical and bright individualsBroad knowledge of cyber security controls and technologies (hardening, IDS, SIEM, anomaly detection, PAM, network segmentation, etc.)Proven professional experience working with cyber security standards – ISO 27001, NIST, IEC 62443Strong knowledge of industrial control systems (ICS) / Operational Technology (OT)Strong oral and written communication skills, including a demonstrated ability to prepare quality documentation and presentations for technical and non-technical audiencesCertifications such as GRID, GICSP, ISA/IEC 62443 Cybersecurity certificates, ISO2701 Lead Auditor, CISSP, CISA, CISM, etc., are highly desired
Language SkillsFluent technical English (speech and writing)Ability to communicate clearly and concisely, both orally and in writing in English
Soft SkillsExpert consulting skills in Cybersecurity, ICS & OT, and Information SecurityExperience of creating and developing innovative ideas and solutions to complex problemsMust be able to generate new ideas and approaches to issues and recognize new opportunitiesExperience of leading and mentoring a teamStrategic focus, ability to identify, plan for organize and deploy resources according to complex project and client needsProject Management including scoping, resource allocation for small to large projectsUnderstanding of consulting metrics and financial measurementsStrong writing and presentation skills
What We Are Offering YouYou will get the opportunity to work in a multi-cultural environment and with a global team of Cyber Security Experts led & managed by technical minds just like you! What’s most important to us is that you feel respected and considered, but also that you have the chance to do the best work of your life, while still having a life. That is why you have will have minimum work outside business hours and weekends, flexible work arrangements with a home office plan, have the chance go to conferences, dedicated time for security research, attend advanced trainings and pass highly recognized certifications, and much more! We are offering you to work in a thrilling, challenging but fun environment where what you do is important and meaningful. 
At wizlynx, there is no limit but the sky. If you wish to learn and get involved in other areas of cyber security or the business, we will ensure that you get all the help you need to succeed. Finally, you will get the chance to make a difference in the cyber security community by participating and helping improve our world famous PwnTillDawn CTF competitions and online platform.",16-Aug-2023,CISA:Certified Information Security Manager (CISM):Control Systems:Critical Infrastructure:Cyber-security:Information Security Policy:Language Skills:Security Information and Event Management (SIEM):Skill Development:Templates
Information Security Analyst Intern,3704826745,The Lubrizol Corporation,"Jurong, Singapore (On-site)",40,,Full-time,Information Technology,Chemical Manufacturing:Research Services,"About Lubrizol
The Lubrizol Corporation, a Berkshire Hathaway company, is committed to enabling a sustainable future. Our unmatched science unlocks immense possibilities at the molecular level, driving sustainable and measurable results to help the world Move Cleaner, Create Smarter and Live Better. Our solutions are used by people every day, improving billions of lives around the world.
We value diversity in professional backgrounds and life experiences. By enabling a consistent, unbiased, and transparent recruitment process, Lubrizol seeks to create a positive experience for candidates so we can get to know them at their best. We recognize unique work and life situations and offer flexibility, ensuring our employees feel engaged and fulfilled in every aspect of life.
Summary Of Responsibilities
The Information Security Analyst Intern will be involved in the delivering of prompt and reliable security monitoring and response services, through processing daily work queues as a member of a team in a global security operation center (SOC). He/she will also be exposed to the operational and administrative support of several security tools.
The Intern will have the opportunity to learn and work on the following responsibilities: 
Execute defined incident response playbooks to investigate security breaches and other cyber security incidents. This includes clear documentation of incident artifacts and business impacts/concerns Participate in the development and continual refinement of security group operating practices/processes, including incident response playbooks Work with larger Information Technology (IT) department to perform tests, uncover and remediate security vulnerabilities to maintain a high-security standardProvide ongoing ownership for operational, administrative support, and full product lifecycle management of certain security tools (e.g. DLP, CASB, anti-malware, web filtering, SIEM, etc.) Conduct thorough security investigations as requested by the businessWork with IT to identify and implement best practices for cybersecurity.Understand and evaluate cybersecurity trends and risksPerform or participate in penetration testingHelp colleagues understand information security managementAs part of a global information security team, provide insight and recommendations to leadershipStay up-to-date on information technology trends and security standardsProvide cybersecurity insights and act as an information security advocate to the businessProvision application and network security access per user requestsOther information security activities as needed
Requirements
Pursuit of bachelor’s degree in IT or related fieldSelf-starter with good Interpersonal skillsStrong networking skillsKnowledge on security access administration systems and processes, Windows operating systems and Microsoft Active Directory is preferred
Please note that company transport is provided at the following MRT stations:
Tampines/BedokSeng Kang/SerangoonWoodlands/Choa Chu KangBoon Lay/Jurong East
If you’re interested in the position, we encourage you to apply. Lubrizol is always looking for candidates who embody our cultural beliefs in everything they do. If you’re All In, Lead Decisively, Take Action, Think External, and can Be Courageous, Lubrizol could be the place for you.",04-Sep-2023,Cybersecurity:Cybersecurity Tools:ISO 27001:Incident Response:Information Security Management:Interpersonal Communication:Security Investigations:Security Operations:Technology Trends:Vulnerability Assessment
Performance Test Engineer,3573048581,OCBC,Singapore (On-site),240,,Full-time,Quality Assurance,Banking:Capital Markets:Financial Services,"Description
Job Summary:
We are looking for a highly skilled Performance Test Engineer with banking industry to join our team. The ideal candidate will be responsible for developing and executing performance tests for our software applications and infrastructure to ensure optimal performance and scalability. You will be responsible for identifying and analysing bottlenecks, creating test plans, and designing and executing test scenarios to validate system performance.
Key Responsibilities
Develop and execute performance test plans, scripts and scenarios for our software applications and infrastructure.Identify, analyse, and troubleshoot system bottlenecks and performance issues.Collaborate with cross-functional teams to gather performance testing is in alignment with business objectives.Evaluate and analyse test results and provide performance tuning recommendations to improve the system performance.Design and implement load testing (Baseline vs Benchmark), Stress testing, and endurance testing strategies.Develop and maintain test scripts, automation framework, and test data sets.Participate in design and architecture reviews to ensure that performance and scalability requirements are met.Provide regular status updates and reports on performance testing activities to stakeholders. Job Qualifications
Qualifications
Bachelor's Degree in Computer Science, Information Systems, or a related field.8+ years of experience in performance testing and engineering.Strong experience in performance testing tools such as LoadRunner, JMeter, or Gatling.Strong knowledge of performance testing methodologies, test planning and performance tuningExperience in mobile performance testing is a strong advantage.Experience with performance testing REST APIs, Web Services and MicroservicesExperience with cloud-based infrastructure and applications such as AWS, Azure and GCPKnowledge of SQL and databasesStrong analytical and problem-solving skills.Excellent communication skills, both verbal and written
Primary Location
Singapore
Job
Technology Solutions
Organization
Group Operations & Technology Division
Schedule
Permanent
Full-time
Job Posting
18-Apr-2023, 5:21:22 PM",18-Sep-2023,Architecture Reviews:Load Testing:LoadRunner:Performance Testing:Scenario Testing:Stress Testing:System Performance:Test Data:Test Planning:Test Scripts
Cyberark Engineer,3705324096,Lenovo PCCW Solutions,"Singapore, Singapore (On-site)",85,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"MandateKnowledge in PAM tools such CyberarkCertification: Cyberark Defender is must.
PreferableKnowledge in 2FA HID or RSA.Certification: Cyberark Sentry.
Roles and ResponsibilityPerform day to day Administration task of tools.Preform periodic version upgrade of tools.Work with Security team to fix vulnerabilities identified in tools (monthly basis)Facilitate investigation of complex technical issues.Identify and escalate issues and work with vendors till issue closure, provide RCA.Monitor instructions received or sent via internal monitoring system.Perform health checks, system connectivity, consistency and data integrity.Perform tools functionality post validation tasks after monthly server patchingWorking with Server/Network/DB teams to on-board and configure devices.Create Custom Reports and dashboards in tools based on requirementPerform monthly automated patching for customer environment.",05-Sep-2023,Certification Testing:Custom Reports:Cyberark:Data Integrity:HID:Patch Management:RCA:RSA Security:Sentry:Vulnerability
