Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
"Lead, Cyber Threat Hunter",3683730042,Singtel,"Singapore, Singapore (On-site)",20,Mid-Senior level,Full-time,Information Technology,Telecommunications,"At Singtel, our mission is to Empower Every Generation. We are dedicated to fostering an equitable and forward-thinking work environment where our employees experience a strong sense of Belonging, to make meaningful Impact and Grow both personally and professionally. By joining Singtel, you will be part of a caring, inclusive and diverse workforce that creates positive impact and a sustainable future for all.

 Be a Part of Something BIG! 

In Group IT, we create great technology that can change the future, and we're looking for people to be part of our digital and 5G journey. If you like to work in a dynamic, leading communications technology group to deliver innovations and excellence across the region, come join our digital, software engineering, data and cyber security teams!

Apply now , and ignite our digital future together.

 Make an Impact by 
 To responsible for identifying and mitigating potential cyber threats by proactively seeking out and analyzing suspicious activity across our organization's networks, systems, and applications. The role shall have experience in identifying, hunting and mitigating cyber threats in an enterprise organization. Provide independent oversight of the cybersecurity risk management process and ensure that Business Unit performs risk assessments and remediates the identified risks per the defined process.  Conduct proactive threat hunting activities, including analysis of network traffic, logs, and other data sources to identify and investigate potential threats.  Develop and maintain threat hunting playbooks, tools, and methodologies to enhance the efficiency and effectiveness of the threat hunting program.  Collaborate with other security teams to investigate and respond to identified threats, and provide recommendations for remediation.  Stay current with the latest threat intelligence and security trends to ensure that our threat hunting strategies and processes remain effective.  Work with other teams to implement and maintain security controls, tools, and technologies to prevent and detect threats.  Provide regular reports on threat hunting activities, including metrics and key performance indicators.  Investigate and manage cyber security incident as incident manager and incident response team.  Participate in incident response and crisis management activities as needed. 

Skills For Success  Diploma in Cybersecurity, Computer Science, Computer Engineering or other relevant field of study  Professional cyber security certifications in areas like CTIA, CEH specialized SANS certifications, or other similar credentials, is required.  Minimum 5 years of experience as in cybersecurity roles.  Minimum 3 years of practical experience in threat hunting, threat intelligence, incident response and security analysis and investigation  Working knowledge of and experience in the policy and regulatory environment of information security in telecommunication industry.  Expert level competence in the following: EDR, NDR and XDR technologies  Security Monitoring Tools  Network Security Technology  Platform Security Technology  Endpoint Security Technology  Threat Analysis and Defence  Threat Intelligence and Detection  Network and system administration:  Advanced understanding in the following areas:  Machine Learning  Programming and Scripting  Advance competence in the following: Problem analysis and solving  Have exposure to developing threat detection and response capabilities based on MITRE ATT&CK and DEFEND framework 

 Rewards that Go Beyond 
 Hybrid work arrangements  Full suite of health and wellness benefits  Ongoing training and development programs  Internal mobility opportunities 

 Your Career Growth Starts Here. Apply Now! 

 We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",15-Sep-2023,Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Cyber-security:Cybersecurity:Hunting:Incident Response:Information Security Analysis:Quantitative Analytics:Security Analysis (Securities):Security Information and Event Management (SIEM)
Senior GSOC L2 Analyst,3286958813,LSEG (London Stock Exchange Group),"Singapore, Singapore (Hybrid)",136,Mid-Senior level,Full-time,Business Development:Sales,IT Services and IT Consulting:Financial Services,"LSEG Security Operations is a central function employing people, process and technology to continuously monitor and respond to cyber security incidents. Security Operations spans multiple domains including cyber threat intelligence, cyber threat detection, data loss prevention and cyber incident response. 
This role is a Senior GSOC L2 Analyst for the Global Security Operations Centre (GSOC). The role is responsible for identifying and responding to cyber security incidents and enhancing the defensive capabilities of the GSOC.
The ideal candidate will have a strong technical background, with a firm understanding of modern attack techniques coupled with knowledge of the typical lifecycle of an attack.
ShiftRole operates on a shift rotation. Shifts are 07:00 – 19:00 or 08:00 – 20:00 (subject to UK BST) using a 4 days on, 4 days off rotation.
Responsibilities
 Triage security events and employ a methodical and coherent response to security incidents. Serve as a point of escalation and point of reference for junior members of the level 2 team. Competently operate a chosen SIEM (e.g. Splunk/QRadar/LogRhythm) for incident investigations, or for the development of monitoring dashboards. Utilise playbooks, existing knowledge and accurate online resources for guidance when responding to incidents. Utilise online resources for researching and collecting threat intelligence to enhance the SOC’s abilities to detect cyber-attacks. Develop new, or improve existing run books and use cases based on investigations and knowledge of modern attacks. Stay up to date with current vulnerabilities, attacks, and countermeasures. Identify, respond and remediate cyber events generated through monitoring technologies. Serve as a point of escalation for level 2 orientated security incidents.
Experience
 Experience with operating or administrating a SIEM (e.g. Splunk/QRadar/LogRhythm). Strong working knowledge of networks including the TCP/IP stack, typical organisation architectures, and common protocols abused by malware. Experience in security event analysis & triage, incident handling and root-cause identification. Understanding of tools, techniques and procedures that attackers use to compromise organisations, ideally from direct experience. Develop new, or improve existing run books and use cases based on investigations and knowledge of modern attacks. Experience and knowledge of cyber security in corporate environments. Likely will have experience working full time in incident response or offensive security roles.
Ability to work with a sense of urgency while remaining calm under pressure.
 Strong verbal and written communication and collaboration skills. Security industry specific and core technical accreditations such as OSCP, GIAC, CCNA. Certification demonstrating SIEM operational competences. Competent with one or more programming languages (e.g. Python, PowerShell, Java, C#).
At LSEG, we believe that creating a diverse and inclusive organisation is fundamental to the way we deliver on our promise of creating essential partnerships and open opportunities. Our open culture is central to how we deliver our purpose – driving financial stability, empowering economies and enabling customers to create sustainable growth – in everything we do.
Working with us means that you will be part of a dynamic organisation of 25,000 people across 70 countries. However, we will value your individuality and enable you to bring your true self to work so you can help enrich our diverse workforce. You will be part of a collaborative and creative culture where we encourage new ideas and are committed to sustainability across our global business. You will experience the critical role we have in helping to re-engineer the financial ecosystem to support and drive sustainable economic growth. Together, we are aiming to achieve this growth by accelerating the just transition to net zero, enabling growth of the green economy and creating inclusive economic opportunity.
LSEG offers a range of tailored benefits and support, including healthcare, retirement planning, paid volunteering days and wellbeing initiatives.
We are proud to be an equal opportunities employer. This means that we do not discriminate on the basis of anyone’s race, religion, colour, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, veteran status, pregnancy or disability, or any other basis protected under applicable law. Conforming with applicable law, we can reasonably accommodate applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
Please take a moment to read this privacy notice carefully, as it describes what personal information London Stock Exchange Group (LSEG) (we) may hold about you, what it’s used for, and how it’s obtained, your rights and how to contact us as a data subject.
If you are submitting as a Recruitment Agency Partner, it is essential and your responsibility to ensure that candidates applying to LSEG are aware of this privacy notice.",17-Sep-2023,Countermeasures:Cyber:Cyber Threat Intelligence (CTI):Cybersecurity:IT Escalation:Incident Handling:Incident Response:Internet Protocol Suite (TCP/IP):Security Operations:Triage
"Analyst, Vulnerability Management",3565202929,TikTok,Singapore,216,,Full-time,Management:Other,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices, including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

The Global Security Organization provides industry leading security and privacy services to TikTok globally. Our organization uses four principles that guide our strategic and tactical operations. First, we champion trust and transparency, leading the charge in organizational transparency and execution of security and privacy capabilities that drive customer trust. Second, we are a business catalyst and enabler, embodying the DNA of technical innovation. Third, We drive risk informed and empowered decision making, giving our business leaders the information needed to make key decisions. Finally, we proactively identify and reduce risk while enabling innovative product development – to consistently build sustainable world-class security capabilities. 

The Vulnerability Management Analyst is responsible for assisting the senior analyst in day to day activities. They will regularly be called on to log and track discovered vulnerabilities, perform continuous monitoring, manage the lifecycle of discovered vulnerabilities, provide reports, and other tasks as the business needs require. Analysts should have a basic understanding of vulnerability management tools and reports. They are expected to stay up-to-date with current advancements in cybersecurity developments and technologies.

Tasks and Responsibilities:
- Support the development and maintenance of vulnerability management services, including vulnerability scanning, vulnerability assessments, and tracking support for vulnerability remediation
- Log and track discovered vulnerabilities 
- Prioritize remediation tasks based on risk level, assign them to the relevant system owner, and monitor progress until completion
- Apply root cause analysis to identify and assess problems and key drivers of success. Draw potential conclusions from complex data sets
- Generate ad hoc metrics and reports as requested, providing insight into the vulnerability management program's effectiveness. 
- Stay aware of current business and industry trends relevant to the business and cybersecurity
- Conduct vulnerability scans as directed by management
- Coordinate with customers regarding scanning schedule and scope review
- Develop and document processes and procedures for team members to use and to enhance efficiencies 

Qualifications

 Minimum Qualifications:
- Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program 
- Basic understanding of vulnerability management processes and lifecycle 
- Ability to work collaboratively in a team environment
- Ability to conduct root cause analysis against vulnerabilities and determine feasible technical solutions
- Strong analytical and problem-solving skills
- A strong work ethic
- Ability to examine issues both strategically and analytically
- Ability to work on multiple, simultaneous initiatives
- Experience with data visualization and reporting (MS Excel, MS Powerpoint)
- Detail oriented, organized, follow up skills with an analytical thought process
Preferred Qualifications:
- Security+, GSEC, or equivalent certification 
- Familiarity with vulnerability management tools (e.g. Qualys, Nexpose, etc.) 
- Familiarity with using one or more programming/scripting languages (e.g., Python, Java, etc.) 
- Foundational knowledge of data analytics and visualization tools (Splunk, Tableau, etc.)
- Willingness and eagerness to learn outside of one's comfort zone 

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",13-Sep-2023,
Cyber Threat Intelligence Analyst,3729438019,Accenture Southeast Asia,"Singapore, Singapore (Hybrid)",4,Mid-Senior level,Full-time,Project Management:General Business:Management,Business Consulting and Services,"About Accenture Cyber Threat Intelligence (ACTI)
ACTI is a global team that spans 13 countries, 4 continents and, speaks more than 30 languages. We are passionate about delivering cyber threat intelligence analysis, and providing industry-leading analytic insights, strategic context, and critical services our clients need to achieve their business-line and strategic-growth initiatives. We know success is only possible by developing and supporting our most-critical resources: our talented analysts, developers, and supporting team members. We value creativity and entrepreneurship in our team; where possible, we back staff initiatives with opportunities and investments. We enjoy the hunt. We strive to automate and innovate while working with powerful resources and differentiated data. Above all else, we value an egoless approach to guiding our clients as they navigate their businesses through all aspects of the cyber domain.
Who You Are
You are passionate about cybersecurity and intelligence analysis. You stay abreast of the latest threats, recognize the value of intelligence, and believe it should drive operations. You are a devoted team member who is always willing to lend a hand, mentor a colleague, or increase our global team’s awareness by sharing your knowledge and approaches with others. You are productive, easy to work with, and understand that adherence to a good process is key to excellence.
Role Description
The duties for this role will be associated with the Strategic and Industry Analysis (SIA) team. As a Strategic Intelligence Analyst with ACTI, you will report to the Lead of the SIA Team of Accenture Security’s Global Threat Team (GTT). In SIA, you will research, analyze, and report on cyber defense, technology, cyber threat actors and groups, and related political and economic conditions. This position involves in-depth research, collaboration with industry specialists and peer analysts, development and maintenance of short- and long-term research projects, production of finished intelligence for tactical and executive audiences, and the presentation of findings through briefings and external engagements. The analyst in this position would handle cyber threats specific to financial services such as banking, capital markets, and insurance and would need to have substantive experience in at least one of these industries. Foreign language ability would be a plus but is not required.
Key Responsibilities

Discover, identify, and report regularly on significant cyber threats and risks to businesses, governments, and other organizations presented by cyber threat actors and groups originating in global regions.

Provide input regarding the ACTI mission and participate in the development and management of intelligence collection requirements. 

Develop and produce strategic intelligence reports focused on industry-level analysis of developing cybersecurity threats, events, conditions, and impacts.

Participate in the drafting and dissemination of finished tactical and operational threat intelligence products (reports, briefings, etc.).

Research and analyze cyber-threat actors, groups, and events to report on threatening tactics, techniques, and procedures (TTPs), behaviors, motivations, sponsorship, and influencing factors.

Discover, identify, and report regularly on significant threats and risks that emerging technologies present to businesses, governments, and other organizations.

Maintain, develop, and continuously evaluate cyber threat intelligence sources to increase effectiveness and timeliness of creating actionable threat assessments.

Respond to client requests for information (RFIs) and participate in the drafting and production of company threat assessments.

Develop, produce, and deliver high-level briefings and briefing materials on industry-focused cybersecurity issues and threats.

Engage and develop relationships with peers among Accenture Security's clientele and their industries to determine client and industry intelligence requirements, reporting use cases, and feedback on ACTI products.

Assist with Accenture Security engagements that involve on-site and remote work with clients, using subject-matter expertise to help develop, uplift, and mature ACTI operations.

Support Accenture Security business development and marketing initiatives primarily by representing ACTI and Accenture Security as a whole at security conferences and industry gatherings.

Author intelligence works, blogs, etc., distilling complex geopolitical trends into actionable intelligence that clients can synthesize into their decision support processes.

Travel, occasionally, as ACTI is a client-focused organization, and this position may require doing so to address client needs, enhance deliverables, or otherwise support projects.

Basic Qualifications

Bachelor's degree or equivalent work experience, preferably in Political Science, International Relations, Economics, Finance, Business Administration, Information Security, or Computer Science.

Minimum 2 years of experience in relevant industry, cyber threat, or intelligence analysis, or a related area.

Required Skills

Strong interpersonal skills and the ability to work well in a team environment.

Ability to conduct open-source intelligence collection and analysis.

Ability to produce intelligence products at the tactical, operational, and strategic levels.

Familiarity with open-source intelligence (OSINT), social media intelligence (SOCMINT), human intelligence (HUMINT), and technical intelligence (TECHINT) gathering skills.

Good understanding of the intelligence lifecycle and associated analytic methodologies (Cyber Kill Chain, Diamond Model, ATT&CK, etc.).

Strong written and verbal communication skills to effectively communicate complex concepts at a high level while retaining meaning and highlighting features in a way that maximizes audience engagement.

Strong problem solving and critical thinking capabilities.

Ability to work with a high degree of independence.

Substantive experience in a specific industry such as banking, capital markets, and insurance.

Desired Skills

Strong analytic skills.

Minimum of basic level understanding of malware analysis

Familiarity with industry-specific cyber defense practices.

Flexibility to complete short-deadline assignments.

Basic knowledge of threat intelligence and cyber defense concepts.

Basic familiarity with cyber espionage groups and cybercrime threat campaigns, including but not limited to their associated TTPs and malicious tools.

Basic knowledge of open-source tools, such as Shodan, Maltego, PassiveTotal, and Virus Total.

Job Qualifications

Bachelor's degree or equivalent work experience, preferably in Political Science, International Relations, Economics, Finance, Business Administration, Information Security, or Computer Science.

Minimum 2 years of experience in relevant industry, cyber threat, or intelligence analysis, or a related area.

P4 - Cyber Threat Intelligence
P3 - Cyber Defense
P3 - Cybersecurity Fundamentals
P3 - Darknet HUMINT Engagement
",22-Sep-2023,Cyber Defense:Cyber Threat Intelligence (CTI):Defining Requirements:Knowledge Acquisition:Maltego:Malware Analysis
Cyber Threat Analyst (CTI),3726229883,Nicoll Curtin,"Singapore, Singapore (On-site)",58,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"This is a permanent position based in Singapore with our client, a global technology firm. 
In this role, you will be working within a team to perform real-time analysis of security log data from various security devices and systems. You will also be Identifying cyber risks and come up with mitigation plans or improvements in the processes. 
Another major part of your role would be to conduct research and analysis of the current and upcoming threats within the cyber world. 
We are looking for candidates with a minimum of 3 years of experience or more within this field. Ideally you would have experience within the financial services or technology sector. Candidates must have conducted analysis on exploitation within payments or e-commerce associated from the deep/dark web or other underground sources. You should also possess technical skills within data analysis, mining, and Pen testing.",28-Sep-2023,Cyber Security Risk:Cyber Threat Intelligence (CTI):Cybersecurity:Data Analysis:Information Security Management:Penetration Testing:Python (Programming Language):Research Skills:Threat Analysis:Threat Modeling
"Senior GRV Cyber Analyst (Governance, risk, verification)",3680891904,Marina Bay Sands,"Singapore, Singapore (On-site)",28,Entry level,Full-time,Analyst:Information Technology,Hospitality,"Summary of the roleThe primary responsibility of the Governance Analyst is to perform duties in one or more of the following areas: vulnerability management, cyber data governance, risk and verification, cyber policy/standards/standard operating procedures development, and penetration testing and red teaming.All duties are to be performed in accordance with departmental and Las Vegas Sands Corp.’s policies, practices, and procedures.
.JOB SCOPEThis Analyst is expected to perform within the areas of at least one of the following:Cyber governance, risk and verification which performs risk assessments, system security and industrial control system zone security plans including listing controls, gaps in implemented controls and tracking remediation of gaps, and provides input to the risk registerNetwork and Operating Systems Security Configuration assessment which performs security configuration reviews including hardening controls, firewall rules review, web/application security configurationsPenetration testing and red teaming which includes performing security testing to identify security vulnerabilities on LVSC applications and environment, providing recommendations for remediation, and tracking and remediating found issues.Cyber policy/standard and standard operating procedure creation, review, distribution, and maintenanceVulnerability management which includes successfully scanning the LVSC computing environment for secure configurations and vulnerabilities, researching and eliminating false positives, tracking and remediating found issues, and tracking and performing the exception processesConsistent and regular attendance is an essential function of this job.Performs other related duties as assigned.

JOB REQUIREMENTSDegree or Diploma with cyber security hands-on experience in one or more of the areas listed in place of a degree.Preferrable to have a current and in good standing CISSP or similar certification, and Offensive Security (OSCP, OSWE, OSEP) or Crest (CRT, CCT) certificationsDemonstrated experience in at least 1 area in the following list:Cyber Vulnerability ManagementCyber Governance, Risk and VerificationCyber Policy/Standard/Standard Operating ProceduresCyber Penetration Testing and Red TeamingWorking knowledge of threats and vulnerabilities and their significance to cyber risk, network operations, and end-point securityStrong interpersonal skills with the ability to communicate effectively with guests and other Team Members of different backgrounds and levels of experience.Ability to communicate clearly and effectively in English, both in spoken and written form.

Marina Bay Sands is committed to building a diverse, equitable and inclusive workforce, providing equal opportunities as we grow our talent base to match our growth ambitions in Singapore. Our employees are committed to adhere to and abide by all rules, regulations, policies and procedures, including the rules of conduct and business ethics of the Company.",11-Aug-2023,Application Security:Cybersecurity:English:Firewalls:Information Security:Network Security:OSCP:Penetration Testing:Red Teaming:Vulnerability Management
SOC Analyst - Junior to Team Lead,3693010901,JAC Recruitment,"Singapore, Singapore (On-site)",125,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"Company Overview
Our client is a Singapore based security solution provider. Due to high demand in the market, they are looking for a SOC Analyst (L1 ) Junior to Team Lead to join their team.
 Responsibilities: 
 Serve as the first responder for incidents within a 24/7 staffed SOC environment.  Conduct security monitoring, vulnerability management, data loss prevention, policy violation prevention, and threat hunting activities.  Monitor security sensors and analyze logs to identify network anomalies and intrusions.  Perform analysis of security log data from various security devices.  Escalate security incidents according to established policies and procedures.  Communicate with Ensign customers regarding security intrusions, root cause analysis, and provide mitigation recommendations.  Conduct initial analysis of security events, network traffic, and logs.  Assist in developing incident response plans, workflows, and standard operating procedures (SOPs).  Collaborate with threat intelligence analysts to translate intelligence into actionable detection measures.  Monitor and analyze Managed Endpoint and Detection Response (MDR) platforms, taking necessary response actions based on standardized workflows and client agreements.  Act as a liaison for configured alerts, monitoring the performance of security sensors and tools.  Fulfill change requests, service requests, and respond to internal and external inquiries related to incident management. 

 Requirements: 
 Diploma/Degree in Information System/Information Security from a recognized institution.  Minimum 1 year of working experience  Solid understanding of network routing and switching fundamentals, including Multiprotocol Layer Switching (MPLS).  Basic technical knowledge of operating systems, network architecture, and design.  Familiarity with encryption, key management, and cryptology.  Strong organizational and prioritization skills.  Ability to analyze problems, identify root causes, and propose and implement effective solutions.  Excellent written and verbal communication skills.  Results-oriented mindset. 

Working Location: Singapore
Apply online or feel free to contact me directly (via email: audrey.teo@jac-recruitment.com) for more information about this opportunity. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding.
Audrey Teo Wei Shan (R 21101086C)
JAC Recruitment Pte Ltd (EA Lic No: 90C3026)
#countrysingapore
",13-Sep-2023,Cryptography:Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Encryption:Incident Response:Key Management:Multiprotocol Label Switching (MPLS):Network Architecture:Packet Switching:Root Cause
Senior Threat Hunter/Analyst,3705346241,ExpressVPN,"Singapore, Singapore (Hybrid)",16,Mid-Senior level,Full-time,General Business:Management:Business Development,Computer and Network Security,"If you're a cybersecurity professional who wants to safeguard the digital privacy and security of millions of people globally, we want you to join our Security Operations Center as a Threat Hunter.
Who you areYou’re a natural at solving problems, and you have experience working on teams that know how to deliver results. You aren’t afraid of change, and you ask the questions that need to be asked. A lack of clarity is something you can’t settle for, and you voice your concerns when the balance between effort and impact seems off.
As someone with a growth mindset, you’re naturally collaborative and always willing to hear ideas from your colleagues. Likewise, you're willing to share your own knowledge and mentor others.
What you’ll doReporting to the Security Operations Center (SOC) Manager, you’ll play a pivotal role in securing our products and services by proactively hunting for threats in our environment, growing our security capabilities, and swiftly responding to security incidents to minimize the harm done.You’ll collaborate closely with our engineering team, sharing your security guidance to shape the future of our products and position ExpressVPN as a champion of privacy and security.
What you’ll bring4+ years of hands-on experience in cybersecurity fields, especially threat hunting, threat modeling, and incident response, and a record of identifying and mitigating complex threatsProficiency in analyzing data to identify threats in our environment, like cloud (AWS, GCP, etc.), SaaS apps, OS (Linux, macOS, Windows), and network logs, as well as an eye for innovation and automationAn ability to develop advanced threat-hunting strategies, manage incident response efforts, and share strategic guidance in the development of secure products
How you’ll succeedYour success in this role will be measured by:The impact of your threat hunting, incident response, and security guidance in improving the security posture of our systems and productsYour contributions to building and securing our capabilities and processes, both within and beyond the Security TeamThe relationships you build and how you improve others around you through mentoring, constructive feedback, and effective collaboration
How we’ll support youAt ExpressVPN, we believe in empowering our team members to thrive. You'll find many opportunities to elevate your career and make a meaningful impact in cybersecurity, such as:Time to refine your technical skills, staying at the forefront of cybersecurity trends and technologies by working with industry experts across different specializations, and pioneering cutting-edge solutions to tackle evolving threatsChances to mentor and guide junior team members and contribute to their professional growth, and to be mentored by senior managers in turnOpportunities to manage projects and strategic initiatives as well as drive innovation to anticipate emerging threatsEncouragement to participate in Capture the Flag competitions with your cybersecurity colleagues—the ExpressVPN team recently placed 20th out of 982 teams in the HTB Business CTF 2023",05-Sep-2023,Cybersecurity:Security Information and Event Management (SIEM)
Information Security Analyst - fintech,3693672409,Randstad Singapore,"Singapore, Singapore",8,Mid-Senior level,Full-time,Information Technology,Information Technology & Services,"Permanent role with an established companyExposure to both IT security & IT operations role
About The Company

Our Client is a market leader within their industry. They have a well-established presence of more than 30 years. With rapid expansion plan, they are now looking for an IT Risk & Operation Engineer to be part of their team.

About The Job

Your responsibility involves:
Developing, implementing, and maintaining the framework (including policies, procedures, and templates) for Operational Risk Management (ORM) and its various sub-risk types, while also ensuring the adequacy of the framework. Examples of sub-risk types within ORM include business resiliency, technology, third-party and outsourcing, and new product risks.Serve as a subject matter expert and provide guidance on the implementation of the ORM framework, including conducting risk assessments, due diligence assessments, and policy dispensations.Initiate and oversee risk and control activities such as mapping business processes, conducting risk and control self-assessments (RCSA), and testing Business Continuity Management (BCM).Conduct risk assessments for technologies or processes as necessary, such as Business Impact Analysis (BIA), third-party and outsourcing due diligence, and new product assessments.Facilitate the risk acceptance process by evaluating risks, identifying risk owners, setting conditions for risk acceptance, and obtaining approval.Monitor new regulatory requirements and perform gap analysis against the ORM framework and new regulations/guidelines to ensure compliance.Stay updated on changes in the fraud landscape, industry practices (e.g., digital banking, fintech, and payment), and technologies; enhance the fraud risk strategy to implement adequate controls across the Fraud Risk Management (FRM) function.Develop and deliver training programs to promote risk awareness among employees and ensure relevant staff are knowledgeable about OR policies and its sub-risk types.Define and propose risk management metrics (such as key risk indicators/key control indicators) to monitor the risk and control environment, and periodically report to risk committees to support senior management in risk oversight and governance.Monitor that employees, personnel, and service providers implement controls to achieve ORM objectives and sustainability, ensuring the appropriateness and effectiveness of processes for identifying, managing, and controlling OR risks.Identify and report high-risk trends, emerging risks, and key issues to risk committees.Provide support for internal and external audit/assessment engagements.Participate in incident response for IT, information, and cyber security incidents, and review incident reports submitted to regulators.Monitor and oversee issues and remediation efforts.Design, implement, and maintain tools for risk management.
Skills And Experience Required

As a successful applicant, you will have proven track record in managing technology risk or cyber security risk within the financial services / banking industry.

Whats on offer

This is an excellent opportunity to join an established global fintech company with support from senior business stakeholders to improve risk management and security posture to the bank.

To apply online please use the 'apply' function, alternatively you can reach me at https://www.linkedin.com/in/hoonteck-nologyrecruitment or 6510 3633. (EA: 94C3609/ R1219669)

#seeingthepossibleinyou",14-Aug-2023,Business Continuity:Control Environment:Gap Analysis:Incident Response:Object-Relational Mapping (ORM):Regulatory Requirements:Risk Assessment:Vulnerability Assessment
"Manager, SOC Analyst",3685795752,UOB,"Singapore, Singapore (Hybrid)",51,Associate,Full-time,Information Technology:Consulting:Engineering,Banking:Financial Services,"About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

Group Technology and Operations (GTO) provides software and system development, information technology support services and banking operations.

We have centralized and standardized the technology components into Singapore, creating a global footprint which can be utilized for supporting our regional subsidiaries and the branches around the world. We operate and support 19 countries with this architecture to provide a secure and flexible banking infrastructure.

Our Operations divisions provide transactional customer services for our businesses while also focusing on cost efficiency through process improvements, automation and straight through processing.

Job Responsibilities

The Security Operation Center (SOC) is seeking enthusiastic, passionate and technically strong Cyber Security Senior Analyst. Analyst will act as subject matter expert for SOC.
Perform deeper analysis, trending and root cause analysis of the events/incidents handled by SOC Analyst.Work on escalated security incidents (malware infections, unauthorized access, malicious emails, Phishing, Distributed Denial of Service (DDoS) attacks, etc.)Analysis of cyber threats by deep packet inspection.Detection of threat by analyzing large set logs from different security & Network devices, different Operating system, Databases, Web servers/Applications etc.Enhance and Build Cyber threat detection use cases and assist in analyzing & reducing false positive.Identify infection/compromise in the company utilizing threat intelligence and indicators of compromise (IOCs) from different threat Intel sources and regulators.Interface with Cyber Intel, Engineering and security teams.Assist in Incident Response for Detected/Reported Cyber security Incidents.Generate security reporting and metrics as requiredProcess improvement and coaching to SOC Analyst.Stay current on the latest Cyber threats, Attacks and vulnerabilities etc. 

Job Requirements

Education
ITC/Diploma/Degree in Computer Science / IT Security from a recognized education institutionProfessional security related qualification (e.g. SANS GCIA, GSEC, GCIH) will be favorable although not mandatory

Technical Skills
Min 3 to 5 years of relevant experience in similar in SOC, Cyber Security Analysis, Investigation and Incident responseStrong understanding of Networking, Operating System and Cyber Security concepts.Strong practical experience in Cyber security: Cyber kill chain, TTP, threat intelligence, malware triageStrong understanding of Different Attacks on System, Network, ApplicationsStrong knowledge in Internet infrastructure, networking technology and network security (i.e. DNS, DHCP, Firewall, WAF, IDS, IPS, VPN, APT and TCP/IP protocols)Malware triage and analysis capability will be an advantageWorking experience with major SIEM will be an advantageExpert in analyzing different logs to detect cyber threats (i.e. Security Devices, Operating Systems, Network Devices, Databases, and Application/Web Servers etc.)

Soft Skills
Good written and verbal communication skillsProcess and procedure adherenceStrong analytical and problem solving skill

Other Requirements
Willing to perform 24X7 shiftGood teamwork

Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference.",17-Sep-2023,Cyber Threat Intelligence (CTI):Cybersecurity:Incident Response:Information Security Analysis:Malware Analysis:Quantitative Analytics:Security Analysis (Securities):Security Information and Event Management (SIEM):Security Operations:Triage
