Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
IOS Engineer- TikTok Location,3454552525,TikTok,Singapore,157,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok Location Team's goal is to deliver user-facing products based on the location that connects people with places, localized content, and service in the real world around the globe. 

- Design and implement user-facing features of TikTok mobile application using the latest technology.
- Collaborate with the design and product teams to create a world-class mobile experience.
- Improve system design and architecture to ensure high stability, performance and reliability of the product. 

Qualifications

 - BS/MS degree in Computer Science or equivalent majors with experience in native iOS or Android development.
- Strong understanding of software development principles, capabilities and limitations of iOS or Android platform.
- Great to have hybrid development experience.
- Deep understanding of computer architectures, data structures and algorithms.
- Have good team communication and collaboration skills.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",13-Sep-23,Algorithms:Android:Data Structures:Software Development:iOS
"IOS Engineer, TikTok Location",3446201927,TikTok,Singapore,160,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok Location Team's goal is to deliver user-facing products based on the location that connects people with places, localized content, and service in the real world around the globe. 

- Design and implement user-facing features of TikTok mobile application using the latest technology.
- Collaborate with the design and product teams to create a world-class mobile experience.
- Improve system design and architecture to ensure high stability, performance and reliability of the product. 

Qualifications

 - BS/MS degree in Computer Science or equivalent majors with experience in native iOS or Android development.
- Strong understanding of software development principles, capabilities and limitations of iOS or Android platform.
- Great to have hybrid development experience.
- Deep understanding of computer architectures, data structures and algorithms.
- Have good team communication and collaboration skills.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",11-Sep-23,Algorithms:Android:Data Structures:Software Development:iOS
"iOS Software Engineer, TikTok Live",3683798134,TikTok,Singapore,22,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok Live client team focus has been focusing on delivery engaging and the best live streaming experience to global users. Our team develop creative and interesting features for streamers and viewers to express themselves and interact with others instantly. We are looking for passionate mobile software engineers to join us in this fast growing industry.

Responsibilities:
1. Design, implement the new-user features of our mobile application.
2. Collaborate with the design and product teams to create a world-class mobile experience.
3. Optimize mobile applications and user experience on the iOS platforms.
4. Promote robust and maintainable code, clear documentation, and deliver high quality work on a tight schedule. 

Qualifications

 1. BS/MS degree in Computer Science or equivalent majors with experience in native iOS development.
2. Proficiency in Objective-C or Swift.
3. Ability to understand and debug large and complex codebases.
4. Good team communication and collaboration skills.
5. Promote robust and maintainable code, clear documentation, and deliver high quality work on a tight schedule.
6. Livestream knowledge is a plus but not mandatory.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",15-Sep-23,C (Programming Language):C++:Computer Science:Group Communication:Mobile Applications:Objective-C:Swift (Programming Language):User Experience (UX):iOS:iOS Development
iOS Software Engineer - TikTok - Singapore,3592063014,TikTok,Singapore,93,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. 
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. 
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. 
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. 
Join us.

We are the messaging team on TikTok. Our team's mission is to facilitate meaningful user connections through TikTok's messaging experience, which is still in its infancy. We achieve our mission by building and shipping tools that help our users more easily connect and share the things they care about. 

We are looking for passionate mobile software engineers to join us and help contribute to our aim of helping users explore and discover the world's creativity, knowledge and moments that matter in everyday life, all while empowering everyone to be a creator directly from their smartphones.

Responsibilities:
1. Design, implement the new-user features of our mobile application.
2. Collaborate with the design and product teams to create a world-class mobile experience.
3. Analyse and optimize iOS applications for efficiency and performance.
4. Promote robust and maintainable code, clear documentation, and deliver high quality work on a tight schedule. 

Qualifications

 1. BS/MS degree in Computer Science or equivalent majors with experience in native iOS development.
2. Strong understanding of software development principles, capabilities and limitations of iOS platform.
3. Proficiency in Objective-C or Swift.
4. Ability to understand and debug large and complex code bases.
5. Good team communication and collaboration skills.
6. Passion and experience building consumer-facing products is a huge plus; We would love to hear about apps you've developed!

Preferred Qualification 
Minimum 3 years relevant work experience from a large-scale internet business

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",14-Sep-23,Computer Science:E-business:Group Communication:Objective-C:Online Marketing:Software Development:Swift (Programming Language):Working Experience:iOS:iOS Development
Mobile Robot Software Engineer,3677674062,JAC Recruitment,"Singapore, Singapore (On-site)",67,Entry level,Full-time,Engineering:Information Technology,Staffing and Recruiting,"Location : Singapore 
If you have passion for innovation and solid experience in improving robot management software to enhance productivity and optimize traffic on mobile robots with various AGV/AMR control systems, then this role is for YOU.
 Job Scope 
In this role, you will
 Oversee software aspects for multiple fleets of mobile robots in a manufacturing environment.  Brainstorm potential improvements for mobile robots from software perspective and also improve UI of robot management software (i.e., ACS) and communication protocols between Mobile Robots.  Detect issues, analyses info, and recommend how to improve the robot control and automation software along with operating and verifying mobile robot control and management software.  Improve fleet management software to command the various ACSs.  Confirm and setup sensors, peripherals, and communication technologies used in robot platforms.  Coordinate with vendors to operate respective mobile robot platforms for manufacturing operations.  Error code analysis and operational logic supplementation.  Work with novel technology development departments to update operating robots and software (incl. programming).  Modify, test, and verify mobile robot operation upon production and when operating conditions change. 
  Who are you? 
You are someone with
 Excellent hands-on work with mobile robots traffic control and experience in C# plus involvement in SLAM-Simultaneous Mapping & Localization.  Knowledge of data structures and algorithms, C/C++, C#, Python, Java programming, ROS-based software plus embedded systems, Windows, UNIX operating system and scripting etc.  Engineering degree with a minimum of 2 years of applicable experience as well as research experience. 

 To Apply 
Please apply online. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding.
Mehak Ankar (R22104876)
JAC Recruitment Pte Ltd (EA Lic No: 90C3026)
#countrysingapore
",12-Sep-23,Mobile Applications:Mobile Devices:SLAM:iOS
iOS Software Engineer - Global Payments,3691708907,ByteDance,"Singapore, Singapore",141,Mid-Senior level,Full-time,Engineering,Computer Networking Products:Entertainment Providers,"Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.
Why Join UsAt ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.
The Global Payments team is building a platform to provide cross-border payment solutions for all ByteDance's products and services, that are growing rapidly worldwide.
Our Web and Client team in Global Payments is committed to building a highly integrated payment product that can be easily connected to the Web, App, cross-platform and other forms of Global Payment capabilities. In addition, we provide efficient and comprehensive services to Developers, Merchants and others through a series of platforms.
Responsibilities1. Build modular, reusable components and features;2. Focus on rendering performance in order to ensure superior experience for a heavy interaction platform;3. Continuously work to bolster mobile design and implementation processes in order to improve quality and efficiency;4. Code optimization to improve scalability, reliability, security and performance of mobile applications;5. Collaborate with product design, product management and software engineering teams to deliver best in class user experience.
Requirements1. BS/MS degree in Computer Science or equivalent majors with experience in native iOS development.2. Proficient in Objective-C or Swift on iOS3. Strong ability to understand and debug large and complex code bases.4. Excellent communication and collaboration skills.5. Payment knowledge is a plus but not mandatory.
ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",18-Sep-23,Mobile Applications:Mobile Design:Objective-C:Swift (Programming Language):iOS:iOS Development
Mobile Developer (iOS/Android),3672712427,Nicoll Curtin,"Singapore, Singapore (Hybrid)",455,Associate,Full-time,Information Technology,Information Services:IT Services and IT Consulting,"My client is a leading internet technology company and we're looking for both iOS and Android Developers to join one of their expanding teams. Experience in either iOS or Android will suffice. 
Responsibilities:Participate in end to end SDLC - design, build, develop and enhance new/current features to existing mobile applications. Apply software development practices and standards to develop robust and maintainable softwareCollaborate closely with other engineering, design and product teams to develop best and high performing applications. 
Requirements: Minimally 3 years of development experience for mobile applicationsHands on programming experience in iOS (Objective-C/Swift) OR Android (Java/Kotlin)Some testing/support/DevOps experience is good to have
Only candidates who are based in Singapore will be considered.
Please apply to the job link above or alternatively, feel free to reach out to me at pearlyn.tay@nicollcurtin.com. Even if this job may not entirely fit your experience and skillsets, please do reach out as we may have something else more suitable.",14-Aug-23,Android:DevOps:Flutter:Java:Kotlin:Mobile Applications:Objective-C:Software Development:Swift (Programming Language):iOS
Mobile Android Developer,3718292314,Manpower Singapore,"Singapore, Singapore",85,Associate,Full-time,Information Technology,Software Development,"
Job Duties & responsibilitiesDesign and build advanced applications for the Android / React JS platformCollaborate with cross-functional teams to define, design, and ship new features.
 Work with outside data sources and API'sUnit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performance.Continuously discover, evaluate, and implement new technologies to maximize development efficiencyResponsible for development (includes design & coding) of Android / React JS related application components and/or enhancements to existing applications based on the Client's technology roadmap and requirements from various business users.Play a hands-on role to develop and deliver quality applications within the desired timeframes.

Job requirement Bachelor's degree in computers science or Engineering or any equivalentMin 5-8 years of proven software development experience.Solid understanding of the full mobile development life cycle.Proven working experience in Android developmentHave published at least 3-4 original Android appsExperience with Android SDK / React JSExperience working with remote data via REST and JSONExperience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesExperience with Java IDEs (e.g. Android Studio, Eclipse), profilers, debuggers, revision control systems (e.g. GIT) and bug tracking (e.g. Jira)Hands on working knowledge on DevOps such as Bitbucket, Continuous Integration (Jenkins, Maven), Continuous Deployment (Bamboo). Should have the ability to configure a continuous integration/deployment working environment and Gradle .Experience of integrating with Kony Middleware (Mobile fabric) is required but not mandatoryExperience in working with Financial / Banking applications.Accountable for the production of high quality code on a personal level adhering to all software engineer quality standards / benchmark.Experience in Android studio, Android SDK, Java., Knowledge in Web service REST / SOAP, XML / JSON / React JS.
 
Cristina Malabuyoc Malijan EA License No. 02C3423 Personnel Registration No. R1111547
Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by ManpowerGroup Singapore for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012. To learn more about ManpowerGroup's Global Privacy Policy, please visit https://www.manpower.com.sg/privacy-policy",20-Sep-23,Android:Android Development:Android SDK:Continuous Integration (CI):Debuggers:Emerging Technologies:Gradle:Java:SDKs:Software Development
Android Mobile Application Developer,3501265697,Scoot,"Singapore, Singapore (On-site)",534,Entry level,Full-time,Engineering:Information Technology,Airlines and Aviation,"Summary

We are searching for an Android Developer!

You will be part of the mobile application team developing and delivering Android applications.

Job Description

As an Android Mobile Application Developer, you will be responsible for the following:
Developing and deliver Android applications and its features using Kotlin and MVVM architecture design patternManaging 3rd party open source libraries and versioning using GradleMaintaining quality of current code base through unit testing and assisting in regression testingFacilitate the troubleshooting and resolving of pre- and post-production issues such as provide hotfixes whenever bugs are discoveredMaintaining technical documentations of Android developmentMaintaining integrity of current git flow of current git reposAssist and advise on UI/UX design capabilities and improvements, feasibility of new functionalities through capabilities of current Android technologyParticipating in Sprint meetings such as planning and review meetingsKeep abreast of the latest in mobile technology and conduct research and prototyping using such technologiesThis is a hands-on software development position in which you will be a senior developer working in a small team and collaborating with remote teamsThe ideal candidate is flexible, self-motivated, a great collaborator and works effectively with all disciplines of the teamWe value passion, creativity, responsibility, accountability, and top-notch engineering practices

Requirements

Experience/ Skills & Knowledge in
Kotlin language and Android Standard LibraryMVC/MVVM architectureUnit testingAndroid Studio, Editor Layout, and programmatic UIGradleGit Flow and Agile methodologyAgile development (e.g. SCRUM, Lean Start-up)Handling Google Developer account, Google Play Store Console and creating builds for submission to Play StoreBasic understanding in Big O notation and their respective time-space complexityFamilar with CI/CD and Fastlane will be an added advantageFamiliar with Postman, basic AWS services and using bundler for managing ruby gems will be an added advantageExcellent analytical skills with a good problem-solving attitudeAbility to perform in a team environment
",13-Sep-23,Android:Android Development:Android Studio:Design Patterns:Mobile Applications:Model-view-viewmodel (MVVM):Notation:User Interface Design
Information Technology - Mobile Applications Developer (Android),3669374069,Singapore Airlines,Singapore (Hybrid),261,Entry level,Full-time,Information Technology,Airlines and Aviation,"Job Description

The Singapore Airlines Mobile application (available under “Singapore Airlines” on the Google Play Store) vision is to be the trusted travel companion for SIA passengers, offering features covering the customer journey from booking, pre-flight, day of travel, in flight and post flight.

The SIA Mobile team is currently hiring Android developers. This is a full-time role with a hybrid WFH / Work from office arrangement, and includes travel benefits, access to ongoing learning, and an attractive work-life balance.

Key Responsibilities
Work with our team of Product Managers, Product Owners, UX Designers, QA, and Developers to build, optimise and release features within the SIA Mobile application.Ensure the application features operate smoothly in production and deliver world class customer experience to our large base of monthly users.Learn and apply principles of Test Driven Development, Agile Methodologies, Extreme Programming and MVP/MVVM architecture to deliver highly usable, stable and maintainable code.Learn and work with a tech stack comprising best-of-breed tools such as Kotlin, Git, Jenkins CI/CD, Sonarqube, automated test tools, a Java/Node.js back end, and AWS to deliver a monthly release of the mobile application.Integrate with a range of SIA’s backend systems using integration tech such as REST and JSON.Contribute to building a culture of openness, belonging, mutual support, ongoing learning, continuous improvement, enablement, and engineering excellence.Operations and L2 support work after hours may be needed from time to time. This will be kept to a minimum and shared across the team to ensure a sustainable work/life balance.Any relevant ad-hoc duties.
Requirements
Possess a degree in Information Technology or related fieldsHands on experience with Android development is preferred. Recent graduates with no industry experience, or developers experienced in other tech stacks are welcome to apply if they wish to grow a career in mobile development.A willingness to learn and apply best practices in Android (Kotlin) development, Extreme Programming principles, Pair Programming, Test Driven Development, DevOps, and defensive programming.Ability to communicate fluently in English. The team is a diverse team, and strong written and verbal English communication is essential to daily work.",16-Sep-23,Communication:English:Extreme Programming:JavaScript:Mobile Applications:Model-View-Presenter (MVP):Model-view-viewmodel (MVVM):Pair Programming:Quality Assurance:Test-Driven Development
