Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Lead Software Engineer,3701722767,Cargobase,Singapore (On-site),79,,Full-time,,,"Job descriptionClean code and modern architecture are fundamental in building a great agile product. As part of a dedicated development team, you'll be instrumental in creating an API that powers the front end that is used by some of the largest companies in the world.
At Cargobase, we’re building a collaborative tool to connect shippers (logistic departments) and freight forwarders to work together on different kinds of freight. From urgent ad-hoc shipment to tenders with a 1-year validity, from invoicing and compliance to reporting and analytics. We offer the entire suite, and our partners rely on us in their day-to-day operations.
Our dedicated team of backend developers provides the frontend team and third parties with well-documented APIs written in Django (DRF) and FastAPI. You will work in a team of highly skilled engineers and will conceive, prototype, and bring to life new APIs. You are expected to challenge existing designs and constructs and drive new initiatives. 
Are you an engineering lead? Do you know what it takes to write clean and scalable code and set up a (Kubernetes) infrastructure to support millions of shipments per year? We are looking for people with a strong computer science or software engineering background that has been in a leadership role for several years and know how to scale. 
ResponsibilitiesActively participate in design decisions and give a fresh perspective to make our platform future-proof and more scalable.Define API requirements and align your vision with the product team and other developers.Peer review, actively look for optimizations in the existing codebase, and evangelize new paradigms and tools to your fellow developers.Iterate on our cloud infrastructure to support our growing business.But also be hands-on and write high-quality code to enhance our company’s APIs
QualificationsYou have at least ten years of working experience developing websites or APIs and at least 2 to 3 years in a leadership role.Advanced knowledge of Django & FastAPI and client-side frameworks, like React.A Bachelor’s Degree in Computer Science, Computer Engineering, or related field preferredExperience in working in co-located Agile teams is a plus.
What we offerCompetitive compensation A positive, no-nonsense / output-driven work environment Preserve your autonomy. We’re independent by nature. Each team member is basically a manager of one Passionate colleagues in different countries between Singapore and the United StatesHardware of your choice
",31-Aug-2023,Clean Coding:Cloud Infrastructure:Django:FastAPI:Instrumental Application Monitoring:Kubernetes:React.js:Skill Development
Cloud Engineer,3627182579,LASALLE College of the Arts,"Singapore, Singapore (Hybrid)",377,,Full-time,,,"Reporting to the Director (Division of Information & Communications Technology) and the Senior Manager (ICT Operations), you will be responsible for deploying and debugging cloud stacks, educating teams on the implementation of new cloud technologies and initiatives, and ensuring the security of the cloud infrastructure. You will identify the most optimal cloud-based solutions for the College and maintain cloud infrastructures, as well as ensure efficient functioning of data storage and processing functions in accordance with best practices in cloud security and the College’s security policies. You will also provide support for technology related to cloud in the areas of directory services, server and storage virtualisation, backup and restoration of critical services, maintenance of cloud virtual machines, network devices and IT security according to the ICT policy to achieve stability in the College's day-to-day processes and activities. Your responsibilities include but are not limited to the following: Collaborating with engineering and development teams to evaluate and identify optimal cloud solutions.Modifying and improving existing cloud systems.Designing, developing and deploying modular cloud-based systems.Developing and maintaining cloud solutions in accordance with best practices.Identifying, analyzing, and resolving infrastructure vulnerabilities and application deployment issues related to cloud.Regularly reviewing existing cloud systems and making recommendations for improvements.Interacting with end users, providing cloud support, and making recommendations based on business needs.Administer the Windows and Linux servers in Google Cloud Platform.Manage migration and commissioning of Windows and Linux servers in Google Cloud PlatformManage IT security policies for servers, firewall and Trend Micro Workspace security hosted in Google Cloud Platform.Review cyber risks related to cloud and develop controls to mitigate or transfer risk. Carry out continuous monitoring to detect new threats and develop immediate responses to prevent a data breach.Monitor events related to access cloud management, provide first-line support and coordination in the resolution of those events where appropriate.Act as a further escalation point for the service desk on cloud related issues. 
Requirements:Preferably a Bachelor’s degree in Computer Science, Computer Engineering, IT or equivalent from an established university.Minimum 3 years and above of relevant experience, preferably with experience in supervising outsourced ICT services and hands-on experience in troubleshooting for end-user computing systems.Diploma holders with 8 years and above of relevant experience may apply.Familiar with directory service in the cloud such as Active Directory and Google workspace.Working knowledge of cloud network connectivity for system rollout and troubleshooting.Good knowledge of cloud technologies and services in areas such as VMware Horizon, Palo Alto firewall, Trend Micro Workspace security, Citrix ADC, Google Workspace Suite, Azure.Strong written communication skills and interpersonal skills.Ability to work well as a member of a team and collaborate with colleagues at all levels. 
To apply:Interested applicants are invited to apply directly at the LASALLE careers portal or submit your application via email to hr_1@lasalle.edu.sg
Closing date is 30 June 2023 or until the position is filled.
We regret that only shortlisted candidates will be notified.",09-Jun-2023,Active Directory:Citrix Products:Cloud Computing:Firewalls:Microsoft Azure:Network Security:Palo Alto Networks:Troubleshooting:VMware:Virtualization
Software Engineer (1 year contract),3668165848,Singapore Economic Development Board (EDB),"Singapore, Singapore (On-site)",190,,Full-time,Engineering:Information Technology,Government Administration:Human Resources Services:Professional Training and Coaching,"[What the role is]
Be part of the lead government agency that shapes Singapore’s economic growth and charts the development of our diverse industries. You will be part of the Digital Transformation Office to develop innovative digital products to drive and support our digital transformation.
Responsibilities
As a Full Stack Developer, you will be responsible for the design, implementation, testing and deploying end-to-end software solutions with the following key responsibilities
We are looking for Full Stack Developers with a strong technical background.
[What you will be working on]
Developing front end website architecture.Designing user interactions on web pages.Developing back end website applications Creating servers and databases for functionalityEnsuring quality of releases and debug issues, fix bugs, and identify bottlenecksEnsuring cross-platform optimization for mobile phones.Ensuring responsiveness of applications.Ensuring that the application is secureSeeing through a project from conception to finished product.Designing and developing RESTful APIs. Meeting both technical and business needs.Implement DevOps and Continuous Integration/Continuous Development strategies to improve velocity and quality of development and operations teamsBuild, test, package and release software increments in an automated way to all environments including productionStaying abreast of developments in web applications and programming languages.Work in self-organizing cross functional Scrum teams
[What we are looking for]
To meet the challenges of this role, you must have/be:
Diploma / Bachelor's degree in Business Information Systems (IS), Computer Science or related field, or equivalent related IT experienceMinimum three (3) years’ experience in professional enterprise software development and worked on one (1) or more product teams utilising the Agile software development methodologyExperience in gathering user’s requirements – clarifying them with Product Owners and Designers through high fidelity mock-ups or prototypesExperience in designing software using Design Patterns and development practices such as Test-Drive Development, Pair Programming, Secure Coding etcProficient in C#, Javascript, HTML, CSS. Proficiency in other modern programming languages is a plus.Proficient in relational and non-relational databases, in particular MS SQLProficient in front-end frameworks such as React, Node.js, Angular 2Experience in leveraging on Continuous Integration and Continuous Delivery tools to enable rapid delivery of value such as scripts for automated testing tools, scripts for configuration managementFamiliar with version control systems such as GitStrong collaboration skills, ability to partner and work effectively across teams and with business stakeholdersGood communication skills, ability to articulate technology concepts, participate in discussions on requirements with stakeholdersProactive and self-motivated with the willingness to learn and has the ability to focus on priorities to deliver in a fast paced environment",14-Sep-2023,Angular:Communication:Databases:Front-End Development:JavaScript:Node.js:React.js:SQL:Software Solutions:Web Architecture
Software Engineer,3716920062,Thales,"Singapore, Singapore (On-site)",45,,Full-time,Engineering:Information Technology,Aviation and Aerospace Component Manufacturing:Defense and Space Manufacturing,"Location: SINGAPORE, Singapore

In fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation, defence, security and space, our architects design innovative solutions that make our tomorrow's possible.

Thales established its presence in Singapore in 1973 to support the expansion of aerospace-related activities in the Asia-Pacific region. Throughout the last four decades, the company grew from strength to strength and is today involved in the primary businesses of Aerospace (including Air Traffic Management), Defence & Security, Ground Transportation and Digital Identity & Security. Thales today employs over 2,100 people in Singapore across all its business areas.

Overview

We’re inventing the future, right here, right now, at Thales. We design the critical security solutions of tomorrow by combining the curiosity to explore, the intelligence to question and the vision to create. Together we solve complicated problems by combining our experience in the market with our leading research and development capabilities.

Be part of revolutionising our skies for the future of aerospace. A future where all modes of aircrafts piloted or unpiloted, civilian or military move around our skies safer, more efficiently and sustainably for a greener and more harmonised airspace.

OUR CULTURE: YOUR GROWTH AND DEVELOPMENT 
Joining Thales means joining a worldwide and well establish company (85 000 headcounts and growing) and navigate your career in the vast different path availableJoining our program is joining an environment where you can discover engineering best practices to deliver safety critical systemsJoining the software community and our pillars around Agile and DevSecOps, means being on the critical path of our business challenges, and therefore upskilling our talent is a priority

The story of your journey in this role

You will join our Air Traffic Management team supporting the TopSky-ATC global product. In this role, you will have the opportunity to learn the domain & lifecycle of an operational ATM system. A training mission to AMS HQ in Melbourne, AUS will focus on CSCI-specific upskilling. Progressing through your Thales journey, you will be ultimately responsible for problem/change analysis, fix and support as part of an Agile release train working in the AGILE SAFE framework

Key Activities And Responsibilities

As a Software Engineer, you are accountable for:
Designing and delivering software to meet requirements including architecture, design, reuse, development, integration and verificationDefining and tailoring the software engineering environment and the process, practices and tools applicable to the projectDesigning and delivering software to meet requirements including architecture, design, reuse, development, integration and verificationDefining and tailoring the software engineering environment and the process, practices and tools applicable to the projectEnsuring that the designed solution is developed according to design, schedule, cost and quality expectationsIdentifying risks, and proposing effective solutions; executing mitigation actions and reporting on outcomes and residual risks

Key Knowledge And Experience

To be successful in your role, you will have demonstrated and/or acquired the following knowledge and experience:

Qualifications

Relevant bachelor’s degree or Master Degree

Technical skillsMust-haveLanguage: working knowledge of Java Core, Junit.IDE/CICD Tools: GIT, Bitbucket, Jenkins, Eclipse, JIRAKnowledge of formal software engineering process throughout lifecyclewriting & reviewing design, requirements, tests and codeAgile methodology: ScrumDevops culture and CICD methodologiesNice-to-haveLanguage: any others like ADA, C++Air Traffic Management domain knowledgeExperience in software development in a safety-critical environment


Other

Able to travel to Melbourne, Australia for a 2 to 3 months period for a one-off-training session

At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!",19-Sep-2023,
QA Automation Engineer,3690750280,Trust Wallet,Singapore (Remote),323,Mid-Senior level,Full-time,Information Technology,Software Development,"Company Description
Trust Wallet is the world’s most inclusive, chain-agnostic, self-custody wallet that serves tens of millions users globally. Trust Wallet provides a secure, seamless and intuitive gateway to the crypto and NFT ecosystems. Our users are able to send, receive, stake, mint and store across 4.5+ million cryptocurrencies on 66+ blockchains, including Ethereum, BSC, Polygon, Solana, Avalanche, etc. Our developer community of different projects relies on us to reach millions of their users, build their own wallets, and grow crypto adoption.
We are looking for talented QA Automation Engineers passionate building automation framework for mobile/web apps and a team player who can work closely with engineers to develop test scenarios and review new features to improve the quality of software delivery. You will also bring solid experience with automation testing tools for mobile apps, experience in API testing with tools such as Postman, Charles or Proxyman, strong analytical and troubleshooting skills, and are happy to work to work independently within a team-centric environment.
Job Description
Manual black box and white box testing of iOS and Android appsAutotests creation and maintenanceTesting activities estimation, prioritization, and executionTest documentation creation
Qualifications
3+ years full-time QA experienceExperience with automation testing toolsExperience in API testing with tools such as Postman, Charles or ProxymanStrong analytical and troubleshooting skillsStrong knowledge of QA processes and concepts
Additional Information
All your information will be kept confidential according to EEO guidelines.
Why work at Trust Wallet?
Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities. Work alongside diverse, world-class talent, in an environment where learning and growth opportunities are endless. Tackle fast-paced, challenging and unique projects. Work in a truly global organization, with international teams and a flat organizational structure. Enjoy competitive salary and benefits. Balance life and work with flexible working hours and casual work attire. 
Apply today to join our team in building the world’s most trusted and secure crypto wallet and enable a decentralized future for everyone.
Trust Wallet is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.
By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice.",09-Sep-2023,Cryptocurrency:Figma (Software):FinTech:Payments:Product Road Mapping:UX Research:User Experience (UX):User Personas:User-centered Design
Backend Engineer - Nas.io,3653954940,Nas Company,"Singapore, Singapore (Hybrid)",772,Associate,Full-time,Information Technology,Media Production,"Who we are:
Founded by Nuseir Yassin from Nas Daily (53 million followers), the Nas company is home to Nas Daily, Nas Academy, Nas Studios – and Nas.io. “Nas” means “people” and it has been the foundation of our mission: Bring People Together. People can do more together. They can find friends, mentors, and accountability partners within a community. The single easiest way to change the world is to create tolerant and passionate communities.
And communities today have transformed far beyond the traditional concept of a community.a community can be a group of 100 people who come together every week to share and discuss ideas on Zoom.a community can be 25 people flying in from across the world for a yoga retreat every 3 months.a community can be an influencer’s 1,000 true fans learning from each other in a WhatsApp group.a community can be 10,000 NFT holders sharing about events and other projects.
As a company, we’ve successfully built communities over and over again – and now, we’ve raised a total of US$23 million to build powerful tools and integrations that will allow other people to build communities faster than ever before.
Nas.io is a product for people to have a trustworthy and internationally recognized place to start and manage their communities – including brands, thought leaders, coaches, entrepreneurs, content creators, and DAO builders. With Nas.io, you can have a beautiful home for your community, integrate with the chat platforms your members use, own your community with magic reach, engage your community with rich content, and generate revenue with your community. It’s everything you need, and more!
Explore more on https://nas.io/
Why work with us:
We have set up a strong engineering team with senior members from leading IT companies. You have a growth mindset and thrive in a fast-paced and fun environment. You have the same conviction as us and you want to work hard and grow together with like-minded people.You enjoy working in a diverse and vibrant working environment with people of different cultures. We are a diverse bunch of over 18 different nationalities, spread around the world from Singapore, UAE, India, Pakistan, Israel, South Africa, the Philippines, etc. We won’t let anyone feel alone. We have company-level retreats yearly to gather together.There’s a high chance your current job isn’t exciting for you and that’s why you are looking for something new. We are more than just another usual IT company you might know of. Our ventures extend to the foundation of media, creator education, and community. And we are far from corporate.You love the concept of building communities and are excited about the prospect of building products that will bring people together.You feel very accomplished by creating a larger impact. We give you autonomy to own certain scope and deliver projects/features from end to end.You enjoy working in a transparent environment where you can have your opinions and push the boundaries.We offer a competitive salary with a substantial share package. If the company is doing well financially, so will you.
What we are looking for:
📅 Minimum 1 Years of Relevant Technical Experience: Experience with React, Next.js, Node.js, AWS, and MongoDB will be considered a plus, as it aligns with our technology stack and enhances your ability to contribute effectively.🔍 Good Knowledge and Learning Ability: Demonstrate a strong and deep understanding of best practices in modern web application development and eager to know why.🚀 Enthusiastic About Solving Engineering Problems: Stay proactive in exploring new technologies, tools, and methodologies to enhance work quality and improve efficiency.🤝 Collaboration: We value individuals who foster a collaborative environment and actively support their peers in becoming better versions of themselves. Encouraging knowledge sharing, providing guidance, and promoting teamwork are qualities we highly appreciate.🗣️ Effective Communication and Team Player: Excellent English skills are essential for clear and efficient communication within our global team. We also seek individuals with a high energy level and a great team player attitude, who can contribute positively to our dynamic and collaborative work environment.
Tech stack we are mainly using:
Frontend: React/Next.js/AdminJS/FlutterBackendr: NodeJS/Python/AWS/MongoDB/Grafana StackDev Tools: Cypress/Apifox/Testim/Jira/Confluence/LarkBut don’t be limited to them. We are open to change if you have better solutions!
Benefits:
At Nas Company, we work hard, REALLY HARD! So we value our employees' well-being and believe that a supportive and fulfilling work environment contributes to their success. We're proud to offer a range of benefits that will enhance your professional and personal life. Here's what you can look forward to as part of our team:
💻 Remote Working: For those based in our offices, we provide the flexibility of remote work. Enjoy a balance between the office and your preferred workspace.😷 Medical Insurance: We care about your health. Our comprehensive medical insurance plans are tailored to each region, ensuring you have the coverage you need.🧘🏽‍♀️ Self Care/Wellness Fund: Your well-being matters. We provide a monthly fund of $100 USD to spend on activities that bring you joy and promote your self-care.🍎 Fully Stocked Fridges: Stay fueled and energized with our fully stocked fridges featuring a selection of healthy, high-protein, and low-calorie snacks and drinks.👯‍♀️ Team Outings: We believe in the power of connection. Join us for team outings that foster strong relationships and create lasting memories.🏖️ Yearly Retreats: Unwind, bond, and collaborate at our annual company retreats. A time for the entire company to come together to rejuvenate and bond. 🌍 Nas Summit and Nas Travels: Employees who successfully clear probation are eligible for a choice between attending 1 Nas Summit or 1 Nas Travels trip per year, fully sponsored (T&Cs)💰 Stock Options: As part of our team, you'll have the opportunity to own a piece of the company through stock options, aligning your success with ours.🚕 Transport Allowance: Employees located in Singapore and Dubai enjoy a transport allowance, making your daily commute more convenient.At Nas Company, we're committed to nurturing a supportive and engaging workplace that promotes your growth and well-being. Join us and enjoy a comprehensive array of benefits designed with you in mind

Believe in our mission? Join us in building the platform for creators, by creators.",25-Aug-2023,Amazon Web Services (AWS):Back-End Web Development:Express.js:JavaScript:MongoDB:Node.js:Python (Programming Language)
System Developer,3713687442,QCP Capital,"Singapore, Singapore (On-site)",139,Mid-Senior level,Full-time,Engineering:Information Technology,Financial Services,"Established in 2017, QCP Capital is a full suite crypto trading firm and global market leader in options, headquartered in Singapore.
With deep multi-cycle experience, QCP Capital unlocks new opportunities for clients at the forefront of crypto markets through providing institutional-grade liquidity, infrastructure and research.
Our market insights regularly cover macro views, trading updates and web3 developments.
An active early-stage crypto and blockchain investor, QCP Capital’s portfolio includes core trading infrastructure, exchanges, data and token ecosystems.
QCP Capital is supported by over 70 professionals in trading, business development, operations, risk and compliance teams.
The Systems Developer is responsible for the design, development, and maintenance of software systems. This includes working with stakeholders to gather requirements, designing and implementing solutions, and testing and deploying software. The Systems Developer must be proficient in a variety of programming languages and technologies, and must be able to work independently and as part of a team.
ROLE
To design, and develop high-quality, scalable and maintainable applicationsWork closely with stakeholders and other developers to deliver high quality software on timeWrite well-designed, testable and efficient code using best practices.Ability to work under time constraints to push out urgent bug fixes and functionality. Maintain and update the software.
REQUIREMENTS / QUALIFICATIONS
Ability to communicate in English with international teams is important. Experience working in an agile team and methodologiesStrong computer science fundamentals Programming Language: strong java skills (Spring Boot framework) and one other systems programming language like Rust or c++ will be an advantage. Python for scriptingDatabase: Postgres and AWS RDSStrong understanding of unit/integration testing and functional testing towards the SDLC processBachelor’s or Msc from a renowned University in a related field.At least 3 years of relevant experienceWe value the ability of candidates to learn new skills (for example but not limited to programming language, open-source toolkits, design practices etc) extremely quickly. 
THE ENVIRONMENT WE OFFER: As a growing firm with a tightly knitted team, we respect and listen to all our employees. You will get the chance to make an impact by having your voice heard by everyone, including the management.
Our employees enjoy a high level of autonomy at work. We focus on substance, not form - you will be recognized and rewarded for what you deliver. We are also dedicated to supporting our staff and ensuring they develop holistically to maximize their potential in the long-term.
We also provide flexible working arrangement as required and a casual and fun work environment to boot!",06-Sep-2023,Amazon Web Services (AWS):C++:Computer Science:English:Java:PostgreSQL:Python (Programming Language):Software Development Life Cycle (SDLC):Spring Boot:Spring Framework
Graduate Engineers (DevOps),3711208706,StarHub,"Singapore, Singapore (Hybrid)",264,Entry level,Full-time,Engineering:Information Technology,Telecommunications,"Job Description
This role offers an exciting opportunity to lead and drive the success of StarHub's Network-X program, contributing to the advancement of cutting-edge telecommunications solutions in the ever-evolving industry.
Join our growing Engineering team and build the next generation platform!
As Graduate Engineers (Transformation and Product), you will play a crucial role in ensuring the program's success. The ideal candidates will be hands-on in programming languages such as Java, Java Script, Python, C++ with aptitude to work in fast paced agile development environment. The candidates will work with experienced software programmers and architects to develop niche product offerings for StarHub. The candidates must be at ease working in an agile environment with little supervision and embody a passion for continuous improvement and test-driven development.
The candidates will be trained in the latest technologies in telecommunications such as 5G, MEC, CICDCT, Location services and Telecomm APIs.
Responsibilities
 Assist architecture team to analyse, design and develop tests and test-automation suites Engage Product developers to develop and code the platform capabilities as per the direction from Product management function Learn, design and develop processing platforms using various configuration management technologies Test software development methodologies in an agile environment Provide ongoing maintenance, support and enhancements in existing systems and platforms Collaborate cross-functionally with data scientists, business users, project managers and other Engineers to achieve elegant solutions Design and develop software applications, such as utility programs and general application software Work with various users to determine needs and create software to meet users’ needs Modify existing softwares to fix problems, optimize functioning and enable their use on new hardware platforms Perform testing and validation of software systems to ensure that applications work properly Programming and development work relating to the deployment of new and emerging technologies Contribute to the analysis of complex issues and develop solutions as part of a scrum team Provide recommendations for continuous improvement Work alongside other engineers on the team to elevate technology and consistently apply best practices
Qualifications
Bachelor's degree in Computer Science, Information Technology, or equivalentHands-on experiences in C++, Python, Java, Java script, RESTFUL, SOAP, Microservices, Cloud native application, AI/ML",19-Sep-2023,Agile Environment:Artificial Intelligence (AI):C++:Continuous Improvement:Java:JavaScript:Microservices:Python (Programming Language):SOAP:Test-Driven Development
Software Engineer (Fresh Graduate)(2024 Intake),3697203516,Dell Technologies,"Singapore, Singapore (Hybrid)",681,,Full-time,Research:Engineering,Computer Hardware Manufacturing:Software Development:IT Services and IT Consulting,"The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.

Dell is looking for software development and validation engineers to work on software solutions in the personal computing and mobile device space. In this role, you will be responsible for working closely with other technologists, architects, experience designers, product marketers, software developers and validation engineers to create software solutions and validation tools for Dell’s products that encompass middleware components, applications, user interfaces and cloud software layers. The software you develop will be utilized on millions of Dell devices worldwide.

Join us to do the best work of your career and make a profound social impact as a Software Engineer on our Software Engineering Team in Singapore. 

What You’ll Achieve

As a Software Engineer, you will be responsible for developing sophisticated systems and software basis the customer’s business goals, needs and general business environment creating software solutions.

You will:
Develop client-side software to enable scenarios and solve real-world user problems.Work with external partners and internal Dell technology, marketing, engineering and validation teams to create solutions for Windows, Mac OS or Android Platforms.Manage technical engagements with key development partners.Identify and work with software partners to assess their technology solutions.Analyze solution requirements, design and validation strategies and Develop Proof of Concept implementations

Take the first step towards your dream career

Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements
BS degree in Computer Science, Computer Engineering, or Electrical Engineering.Strong C, C++, C# or Java coding skills, with emphasis on writing scalable code.Object Oriented Design experience and Basic understanding of computer architectures like x86 and ARM.Works with minimal day-to-day supervision and Able to select from the most appropriate alternatives action or procedures to solve the problem.

Desirable Requirements
First-hand experience gathered during an internship, student job or related professional role

Who We Are

We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you.

Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.

Application closing date: 31 October 2023

Dell Technologies is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. Read the full Equal Employment Opportunity Policy here.

Job ID:R229177

Dell’s Flexible & Hybrid Work Culture

At Dell Technologies, we believe our best work is done when flexibility is offered.

We know that freedom and flexibility are crucial to all our employees no matter where you are located and our flexible and hybrid work style allows team members to have the freedom to ideate, be innovative, and drive results their way. To learn more about our work culture, please visit our locations page.

Job Id: R229177",07-Sep-2023,ARM Architecture:Architecture:C#:Java:Middleware:Object Oriented Design:Object-Oriented Programming (OOP):Prepress Proofing:Proof of Concept:Software Solutions
Defi Fullstack Engineer Internship,3709957797,Time Research,"Singapore, Singapore (Hybrid)",174,Associate,Internship,Finance,Financial Services,"What You Will DoParticipate in the maintenance of the existing trading-related Rust codebase, starting with simple tasks and gradually delving deeperParticipate in the construction of small to medium-sized internal or external projects, particularly focusing on the front-end partPerform various other duties as needed
Who You AreUtilize and demonstrate proficiency in one or more of the following languages: JavaScript (JS), TypeScript (TS), and/or RustStrong interest in learning and working with Rust programming languageStay abreast of the latest front-end technology stacks, frameworks, and trendsExperience working with blockchain technology and DeFi is a plusExcellent verbal and written communication skillsExtensive experience with open source projects is a plusExceptional problem-solving skills, and the ability to work independently and in a team-oriented environment
Why Work for UsCompetitive remuneration package and benefitsFast paced and result-oriented environment with a flat hierarchyExcellent exposure to the crypto ecosystem and the latest market insightCollaborative teams in an energetic and fun working environmentFlexible and casual, but hard working and meritocratic culture where accomplishments are rewardedGreat career development opportunities and international mobility
DisclaimerTime Research does not accept unsolicited resumes from any professional staffing or search firms. All resumes, or any other information identifying potential candidates, shared with any employee of Time Research by any method without a standing signed supplier agreement will be deemed free to contact without restrictions, and no placement fee of any kind will be paid in the event the candidate is hired by Time Research.",05-Sep-2023,Communication:Definity:JavaScript:Problem Solving:Programming Languages:Rust (Programming Language):Skill Development:Teamwork:Work Hardening
