Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Android Engineer (Real Time Communication) - TikTok,3592062160,TikTok,Singapore,41,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok RTC is the world's leading real-time communications service, providing instant and high-quality multimedia interactions to customers around the world. We are building next-generation audio/video processing and interaction platforms to deliver high-volume, low-latency and rich Cloud as a Service technology. 

Our popular products are empowered by our cutting-edge RTC technology. Working in this team, you will have the opportunity to meet the challenges of advanced audio/video algorithm design and global large-scale real-time communications interaction, while improving your skills in encoding, algorithms, data by working with many outstanding real-time communications professionals. Expertise in analytics and large-scale system design.

Responsibilities
- Responsible for researching and developing real-time communication SDK on Android with high-quality code.
- Responsible for the design and development of RTC solutions for TikTok.
- Responsible for optimising connectivity index, performance, stability, and audio & video quality to improve user experiences.
- Continuously tracking and learning new technologies and new architectures.
- Willing to challenge and resolve difficult technical problems. 

Qualifications

 - Bachelor's degree or above with 5+ years of Android development experience.
- Proficient in Java, familiar with C/C++, solid knowledge of multi-threading, data structure, operating system and network.
- Familiar with Android system architecture and audio & video multimedia client development.
- Good learning ability, communication ability, logical thinking ability, and innovation ability.
- Experience in live streaming, co-host, player SDK, and video conference is preferred.
- Experience in ffmpeg, x264, WebRTC, etc. is preferred.
- Open source project maintainer and independent developer are preferred.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",13-Sep-2023,Android:Android Development:Communication:Critical Thinking:Data Structures:Java:Logics:Multithreading:RTC:SDKs
Staff Android Engineer (Coupang Play),3632963111,Coupang,"Singapore, Singapore (Hybrid)",170,,Full-time,Engineering:Information Technology:Product Management,"Technology, Information and Internet:Online Audio and Video Media:Software Development","About Coupang PlayLaunched in December 2020, Coupang Play is Coupang's OTT (over-the-top) service. Coupang Play aims to become the definitive destination for digital content. Backed by our strong Product and Engineering teams in Seoul, Singapore, and Mountain View — Coupang Play has been creating and optimizing the viewing experience for our customers.
Coupang Play is available on mobile devices, tablet PCs, smart TVs, and your preferred browsers. We are building a competitive content library that includes TV for children and all ages, movies, live sports, educational content, and more. Coupang Play also creates original content, catered specifically to our customers.
If you like to work backwards and solve problems for our customers, join us. We are committed to redefining how our customers enjoy digital entertainment as one of the fastest-growing OTT services in Korea.
Role OverviewAndroid Engineers play a key role in the Coupang Play product organization. From contributing to product development on the Android Platform to understanding our customer experience, this role is central for the development of our Android app.
What You Will DoSupport entire application lifecycle (concept, design, develop, test, release)Work with third party development vendors and partnersDevelop technical documentationPerform code reviews and adhere to best coding practicesLead complex projects by gathering functional and technical requirements and translating them into detailed architecture and designsProvide mentorship, guidance and design reviews to engineering teamsDebug complex issues and provide solutions
Basic Qualifications9+ years of experience on Android related productsHands-on programming in Android mobile app developmentExperienced in both Kotlin and JavaExperienced in architecture pattern like MVVM, MVPExperienced in Jetpack libraries (Room, Paging, Livecycle, LiveData, Databinding, ViewModel, AppCompat, Fragment etc)Experienced in asynchronous and multithreading programming (Coroutine, RxJava, Thread)Developed at least three apps, with at least two available in Google Play StoreExperienced in tests with JUnit, Robolectric, MockK, Espresso
Preferred QualificationsExperienced in customizing Exoplayer and maintaining middleware interfacing with ExoplayerExperienced in MPEG-DASH, Widevine DRM, offline playback, Chromecast SDKExperienced in OTT apps and Android TVExperienced in CI/CD tools like AWS Codebuild, SonarQube, CircleCI
Recruitment ProcessApplication Review - Phone Interview - Onsite (or Virtual Onsite) Interview – OfferThe exact nature of the recruitment process may vary according to the specific job and may be changed due to scheduling or other circumstances.Interview schedules and the results will be informed to the applicant via the e-mail address submitted at the application stage.
Details to ConsiderThis job posting may be closed prior to the stated end date for application if all openings are filled.Coupang has the right to rescind an offer of employment if a candidate is found to have submitted false information as part of the application process.Coupang does not discriminate against disabled applicants or those with veteran status. We are proud to offer equal opportunities for all applicants.
Privacy NoticeYour personal information will be collected and managed by Coupang as stated in the Application Privacy Notice located below.https://www.coupang.jobs/en/privacy-policy/",11-Sep-2023,A/B Testing:Android Development:Android Jetpack:Android SDK:Architectural Design:DASH:JUnit:Java:Kotlin:Model-view-viewmodel (MVVM)
Android Developer,3727685913,HCLTech,"Singapore, Singapore (On-site)",205,Mid-Senior level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Mandatory skills - Android Application Development (Front End)Programming Language : KotlinUnit Testing : JUNIT, MockitoGood to have : Architecture : MVVM , Modular ArchitectureDesign Patterns : SOLIDCI/CD : Jenkins , Bitbucket",25-Sep-2023,Android:Android Development:Bitbucket:Continuous Integration and Continuous Delivery (CI/CD):Design Patterns:Jenkins:Kotlin:Mockito:Model-view-viewmodel (MVVM):Unit Testing
Senior Android Engineer,3728819256,Dyson,"Singapore, Singapore",40,Mid-Senior level,Full-time,Engineering:Information Technology,"Appliances, Electrical, and Electronics Manufacturing","TBC
Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.",29-Sep-2023,
Android Developer,3720943377,SOURCEO PTE. LTD.,"Singapore, Singapore (Hybrid)",44,Entry level,Full-time,Engineering:Information Technology,,"Revolutionizing the Gaming Industry with a gamers' paradise.
Overview
We have created a groundbreaking gaming and media platform that addresses key challenges in the industry. By providing a complete gaming ecosystem, including communities, esports, tournaments, rewards, wallet, and gaming stores, We engages gamers at scale. Together it represents the most innovative and user-centric gaming ecosystem available - painstakingly developed to attract, engage, retain, and monetize gamers of all levels.
With an extensive industry network, We directly connect to millions of gamers worldwide and operate fully-integrated gaming and esports platforms in Oceana, Southeast Asia, North America, and India. Headquartered in Singapore with a dedicated development center in Kuala Lumpur, they are at the forefront of the global gaming phenomenon. Partnering with top game publishers & studios, voucher stores, payment providers and related services, We provides its partners with the industry's most
Requirement
3-5 years Kotlin experienceWell versed in third party library integration & MVVM architecture designExperience in payment gateway integration (UPI)Able to explain implementation on each application with distinct examples of design patterns/architecture designGood communication skills, able to communicate clearly and in a timely manner",15-Sep-2023,
Software Developer - Android,3712799072,Confidential,"Singapore, Singapore (Hybrid)",100,Mid-Senior level,Full-time,Engineering:Information Technology,Financial Services,"JOB PURPOSE/MISSION:Software Developer to develop payment and other applications to meet clients' needs and requirements.To guide and train junior developers as acquiredAs a technical consultant to junior members in the team.
KEY RESPONSIBILITIES Develop and timely release embedded C/C++ applications on POSDevelop and timely release payment applications on Android POSProvides support in the day-to-day resolution and fixes on applications for customers and new partnersProvides technical expertise and support to customers with regards to software development/coding / best practiceTrain and provide technical guidance to the junior developerDocuments and demonstrates solutions by preparing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code
CORE COMPETENCIES Good knowledge/working experience on C/C++ (mandatory) or C-like language such as C#, Java on device developmentGood knowledge in Android development (Java, Kotlin,etc) • Has extensive knowledge of Software Development – C/C++, Software Development Lifecycle, Knowledge of credit card processing, developing applications with strict compliance with PCI DSS and EMV standards, POS application development and ISO8583 is a must.Knowledge of managing and implementing payments processing and banking/financial projects and solutions is an advantageGood understanding of data exchange format (XML, JSON, CSV, TLV)Python will be a plus pointKnowledge/experience on software management tool such as JIRA, Bitbucket, Confluence


EDUCATION/EXPERIENCE REQUIREMENTSDiploma/University: Degree in Computer, Electronic, or Electrical Engineering or proficiency in embedded system, application development or web programmingYears of professional experience required: 7 to 10 years in the payment industry.",14-Sep-2023,Android:Android Development:C#:C++:JSON:Java:Jira:Payment Card Industry Data Security Standard (PCI DSS):Software Development:XML
Software Engineer (Android) - Mobile Infrastructure,3672993438,OKX,"Singapore, Singapore (On-site)",123,Mid-Senior level,Full-time,Engineering,Software Development,"About OKX:Founded in 2017, OKX is one of the world’s leading cryptocurrency spot and derivatives exchanges. OKX innovatively adopted blockchain technology to reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 20 million users in over 180 regions globally, OKX strives to provide an engaging platform that empowers every individual to explore the world of crypto. In addition to its world-class DeFi exchange, OKX serves its users with OKX Insights, a research arm that is at the cutting edge of the latest trends in the cryptocurrency industry. With its extensive range of crypto products and services and unwavering commitment to innovation, OKX’s vision is a world of financial access backed by blockchain and the power of decentralized finance. About the team:As a mobile software engineer, you will build and maintain a core OKX app with millions of daily active users. You will work cross-functionally with design, product and other engineering teams to identify customer needs, and ship high-quality new features through fast iterations. This is an opportunity to learn the full life cycle of crypto mobile applications including pro/retail trading, asset management and wallet. Responsibilities:Build mobile infrastructure and tools to enhance engineering efficiency Analyze and optimize UI and infrastructure application code for better performance - Develop and maintain reusable Android app components Collaborate with product engineering teams to deliver technical solutions and best practices - Optimize the project structure and workflow to improve engineering productivity, efficiency, and quality Drive architecture innovations to support world-class mobile app development 
 Requirements:Bachelor's degree or equivalent practical experience3+ years of industry experience in Android developmentExperience in building and shipping complex, business critical Android app products with frequent iteration Experience in optimizing App performance, reducing memory footprint and decreasing package size Deep understanding of design patterns and principles with a broad knowledge of Android techstack Familiar with Jetpack and/or other open source Android libraries, such as RxJava, Retrofit, Litho, etc. Deep understanding of Android SDK to create scalable, dynamic, and highly performant UI components Working knowledge of remote APIs, concurrency, layouts, transitions, animations, client side persistence, and architectural patterns on mobile apps  Nice-to-have:Experience working in a complex, matrix organization involving cross-functional and/or cross-business projects Experience working in a mobile architecture/infrastructure team with deep understanding of the techstack in these projects Experience in sub-engineering areas such as performance optimization, toolchain, automated testing, design pattern, etc. Strong communication skills; enjoy working as a team while being comfortable with delivering large business outcomes independently",12-Sep-2023,Android:Android Development:Android SDK:Concurrent Programming:Design Patterns:Mobile Applications:Mobile Architecture:RxJava:Teamwork:Test Automation
Information Technology - Android Developer (KrisPay),3669366656,Singapore Airlines,Singapore (Hybrid),159,Mid-Senior level,Full-time,Information Technology,Airlines and Aviation,"Job Description

The successful candidate will join the Application Services (Loyalty Marketing) department in SIA Information Technology Division. As a developer with Kris+/Krispay (world’s first blockchain based airline loyalty digital wallet), you will be working with our team of developers, UX designers and product specialists to enhance our platform, web and mobile channel offering.

Key Responsibilities
Develop and maintain highly reliable, efficient, secure, and scalable Android applications. Work with our CI/CD and release management tools and processes to quickly deliver high quality code. Facilitate the detection, troubleshooting and resolution of pre and post production issues. Assist with various stages of the mobile application development lifecycle such as requirements gathering, user interface design and usability testing. Keep abreast of the latest in mobile technology and conduct research and prototyping using such technologies. Any relevant ad-hoc duties. This is an individual contributor role. 
Requirements
Possess a degree in Information Technology or related fields At least 5 year of hands-on experience developing mobile applications for Android using Kotlin and/or Java Experience and up-to-date knowledge on Modern Android technologies and frameworks on top of open-source foundations (okhttp, room, RxJava/RxKotlin, etc.) Experience test frameworks such as JUnit, Espresso, Mockito, etc. Experience in working with small to medium development teams using Agile methodologies. Ability to communicate effectively in English. Preferred Skills Experience in Agile environments, Extreme Programming, Test-Driven Development, Paired Programming, Automation, CI/CD, and git-based source tools. An understanding of various software architectural principles such as MVVM, MVP, SOLID or similar. Experience in mobile backend development on cloud and serverless platforms & technologies. Experience in iOS application development, or other relevant mobile development technologies. Experience in releasing process Google Play Store. Experience in JavaScript technology such as Node js and Angular. Knowledge of blockchain would be beneficial.",15-Sep-2023,Blockchain:Extreme Programming:Java:Mobile Application Development:Mobile Applications:Pair Programming:Requirements Gathering:Test-Driven Development:Usability Testing:Video Post-Production
Blockchain Android Developer (Kotlin),3720356476,Trust Wallet,Singapore (Remote),92,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet","Company Description
Trust Wallet stands as the gold standard in crypto management, distinguished globally for its inclusivity, chain-agnostic approach, and self-custody capabilities. Serving tens of millions, Trust Wallet provides a secure, seamless, and intuitive passage to the vast domains of cryptocurrency and NFTs. We take pride in our diverse user base, actively facilitating transactions, staking, minting, and safeguarding a broad spectrum of 4.5+ million cryptocurrencies across 66 renowned blockchains. In this ever-evolving landscape, our developer community leans on us to reach out to millions, enabling them to craft their bespoke wallets and enhance crypto adoption.
If you're fervently driven to develop state-of-the-art SDKs and libraries that power blockchain innovations, we invite you on this journey with us. Collaborate to build next-gen crypto architectures and deliver groundbreaking technologies, illuminating the path of web3 evolution for our vast community.
Job Description
Role Outline:
SDK Development: Spearhead the design, development, and optimization of Kotlin-based SDKs for blockchain wallets. System Architecture: Devise robust architectures ensuring that the SDK integrates seamlessly with various blockchains and third-party systems. Feature Evolution: Take the lead in enhancing and expanding the capabilities of the SDK, making it adaptable to the ever-evolving blockchain landscape. Documentation & Support: Create comprehensive documentation to assist developers in integrating the SDK. Provide vital support and gather feedback to drive continuous improvement. Team Collaboration: Work alongside a talented team, fostering an environment of innovation, learning, and excellence. 
Qualifications
Minimum 4 years of software engineering experience, with a significant focus on Kotlin and SDK/Library development. Expertise in developing SDKs and libraries for blockchain applications. Exceptional technical problem-solving skills, matched with outstanding communication and collaboration capabilities. Familiarity with the intricacies of blockchain integrations and how they interact with various SDKs. Adept in modern development practices, including automated testing and continuous integration for library development. 
Desirable skills:
Previous engagement in blockchain-specific projects, especially related to wallet development. Deep understanding of distributed systems and cryptographic principles. Proficiency in working with different blockchain protocols and standards. Previous experience in Golang, Rust or Solidity is a plus. 
Additional Information
Why work at Trust Wallet?
Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities. Work alongside diverse, world-class talent, in an environment where learning and growth opportunities are endless. Tackle fast-paced, challenging and unique projects. Work in a truly global organization, with international teams and a flat organizational structure. Enjoy competitive salary and benefits. Balance life and work with flexible working hours and casual work attire. 
Apply today to join our team in building the world’s most trusted and secure crypto wallet and enable a decentralized future for everyone.
Trust Wallet is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.
By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice.",22-Sep-2023,Cryptocurrency:Figma (Software):FinTech:Payments:Product Road Mapping:UX Research:User Experience (UX):User Personas:User-centered Design
Android Engineer,3709789801,HackerTrail,"Singapore, Singapore (On-site)",151,Mid-Senior level,Full-time,Information Technology,"Software Development:IT Services and IT Consulting:Appliances, Electrical, and Electronics Manufacturing","Our client is a global MNC are currently in a stage of hyper-growth and are looking to expand their mobile development team. They are looking for a seasoned Android professional who are keen on working on cutting-edge technologies and value good engineering practices. 
They currently have more than 1 million active users worldwide and their IoT platform has more than 3 million devices connected. They are keen to add to this number and grow the numbers further 
Responsibilities:Working with developers contributing to features and improvements, ensuring they are tested, robust and scalableWorking cross-functionally with other departments including Test Engineers, Product Owners, Scrum Masters, UX/UI Designers, and Software Engineers Identifying new technologies, tools, and approaches to help continually improve standards and quality
Experience:10 years of Android development experience, ideally in a product development environmentCollaborative individual that believes in Agile principles and how they can help empower teams deliver the best softwareContributed quality code to Android apps that have delighted usersPassionate in solving real-world problems with well-crafted software
Current Tech Stack:We are currently using a modular construction and our application is built using the MVVM patternCurrent codebase is 65% Kotlin and are looking to migrate remaining Java codeJetPack Libraries to develop quickly and reduce boilerplate code Navigation Component for UI flowsVolley, AWS IoT SDK and Gson for cloud and product API callsDagger for dependency injectionRxJava - Capture, combine & manage event streams, App is asynchronous Tests are written in JUnit, Roboelectric, and Mockito UI Tests are written in Espresso with Kakao",11-Sep-2023,Android Development:Android Espresso :Android Jetpack:Dependency Injection:JUnit:Java:Kotlin:Kotlin Coroutines:RxJava:UI Testing
