Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Android Developer,3727685913,HCLTech,"Singapore, Singapore (On-site)",205,Mid-Senior level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Mandatory skills - Android Application Development (Front End)Programming Language : KotlinUnit Testing : JUNIT, MockitoGood to have : Architecture : MVVM , Modular ArchitectureDesign Patterns : SOLIDCI/CD : Jenkins , Bitbucket",25-Sep-2023,Android:Android Development:Bitbucket:Continuous Integration and Continuous Delivery (CI/CD):Design Patterns:Jenkins:Kotlin:Mockito:Model-view-viewmodel (MVVM):Unit Testing
Mobile App Operations Engineer - Marketplace App & Mobile,3687137246,Shopee,"Singapore, Singapore (On-site)",145,Mid-Senior level,Full-time,Engineering:Information Technology,"Technology, Information and Internet","About The Team
We are an open-minded and innovative mobile operation team. Enthusiastic about building high-performance mobile applications using the most suitable technologies, we bridge the gap across platforms and solve challenging problems to support our fast-growing business and improve product experience for our end users.
Job Description
Impact analysis for changes from external platforms, partner software development kits.Tracking and managing app dependencies, git repos, evaluating their impact.Responsible for the app stability workflow, monitoring and evaluating important metrics.Perform root cause analysis for production errors.Design and develop automated technical operation and reporting platforms.Optimize the efficiency of the current processes across the mobile platforms: Android, iOS and React Native.Collaborate with cross-functional teams to manage operational and technical queries, knowledge-base etc.
Requirements
Requirements:
Bachelor's or higher degree in Computer Science or IT related fields.Good logical thinking and problem solving ability.Good verbal and written communications skills.Strong analytical skills, understands complex issues, able to identify the root cause, capable of critical thinking and data driven decision making.Passion for automation and scripting to streamline repeated processes.Process-driven mindset.Software development experience in mobile field is a plus.",18-Sep-2023,Analytical Skills:Communication:Critical Thinking:Problem Solving:Root Cause:iOS
Information Technology – Mobile Applications Developer (iOS),3683909952,Singapore Airlines,"Singapore, Singapore (Hybrid)",200,Entry level,Full-time,Information Technology,Airlines and Aviation,"Job Description
The Singapore Airlines Mobile application (available under “Singapore Airlines” on the Apple App Store) vision is to be the trusted travel companion for SIA passengers, offering features covering the customer journey from booking, pre-flight, day of travel, in flight and post flight.
The SIA Mobile team is currently hiring iOS developers. This is a full-time role with a hybrid WFH / Work from office arrangement, and includes travel benefits, access to ongoing learning, and an attractive work-life balance.
Key Responsibilities
Work with our team of Product Managers, Product Owners, UX Designers, QA, and Developers to build, optimise and release features within the SIA Mobile application.Ensure the application features operate smoothly in production and deliver world class customer experience to our large base of monthly users.Learn and apply principles of Test Driven Development, Agile Methodologies, Extreme Programming and MVP/MVVM architecture to deliver highly usable, stable and maintainable code.Learn and work with tech stack comprising best-of-breed tools such as Swift, Git, Jenkins CI/CD, Sonarqube, automated test tools, a Java/Node.js back end, and AWS to deliver a monthly release of the mobile application.Integrate with a range of SIA’s backend systems using integration tech such as REST and JSON.Contribute to building a culture of openness, belonging, mutual support, ongoing learning, continuous improvement, enablement, and engineering excellence.Operations and L2 support work after hours may be needed from time to time. This will be kept to a minimum and shared across the team to ensure a sustainable work/life balance.Any relevant ad-hoc duties.
Requirements
Possess a degree in Information Technology or related fieldsHands on experience with Swift development is preferred. Recent graduates with no industry experience, or developers experienced in other tech stacks are welcome to apply if they wish to grow a career in mobile development.A willingness to learn and apply best practices in iOS (Swift) development, Extreme Programming principles, Pair Programming, Test Driven Development, DevOps, and defensive programming.Ability to communicate fluently in English. The team is a diverse team, and strong written and verbal English communication is essential to daily work.",10-Jul-2023,Communication:Defining Requirements:English:Extreme Programming:JavaScript:Model-view-viewmodel (MVVM):Pair Programming:Quality Assurance
Software Developer - Android,3712799072,Confidential,"Singapore, Singapore (Hybrid)",100,Mid-Senior level,Full-time,Engineering:Information Technology,Financial Services,"JOB PURPOSE/MISSION:Software Developer to develop payment and other applications to meet clients' needs and requirements.To guide and train junior developers as acquiredAs a technical consultant to junior members in the team.
KEY RESPONSIBILITIES Develop and timely release embedded C/C++ applications on POSDevelop and timely release payment applications on Android POSProvides support in the day-to-day resolution and fixes on applications for customers and new partnersProvides technical expertise and support to customers with regards to software development/coding / best practiceTrain and provide technical guidance to the junior developerDocuments and demonstrates solutions by preparing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code
CORE COMPETENCIES Good knowledge/working experience on C/C++ (mandatory) or C-like language such as C#, Java on device developmentGood knowledge in Android development (Java, Kotlin,etc) • Has extensive knowledge of Software Development – C/C++, Software Development Lifecycle, Knowledge of credit card processing, developing applications with strict compliance with PCI DSS and EMV standards, POS application development and ISO8583 is a must.Knowledge of managing and implementing payments processing and banking/financial projects and solutions is an advantageGood understanding of data exchange format (XML, JSON, CSV, TLV)Python will be a plus pointKnowledge/experience on software management tool such as JIRA, Bitbucket, Confluence


EDUCATION/EXPERIENCE REQUIREMENTSDiploma/University: Degree in Computer, Electronic, or Electrical Engineering or proficiency in embedded system, application development or web programmingYears of professional experience required: 7 to 10 years in the payment industry.",14-Sep-2023,Android:Android Development:C#:C++:JSON:Java:Jira:Payment Card Industry Data Security Standard (PCI DSS):Software Development:XML
Mobile Developer,3671832106,Aureus Group Pte. Ltd.,"Singapore, Singapore (On-site)",601,,Full-time,Information Technology,Musicians:Retail:E-Learning Providers,"About Aureus GroupEstablished in September 2013, Aureus Academy is Singapore’s leading music school with over 18,000 students enrolled in our school. Aureus Academy specializes in providing individually tailored piano lessons, violin lessons, drum lessons, voice lessons, and more to students of all ages and abilities.
Aureus has transformed a traditional brick-and-mortar service into a cutting-edge business featured in Forbes, Business Times, Straits Times, and Channel News Asia. Aureus Group, the parent company of Aureus Academy, has been ranked 4th in the “Singapore’s Fastest Growing Companies” survey conducted by The Straits Times and Germany-based global research firm Statista.
Company Mission/VisionThe Aureus Group’s Mission/Vision is to become the undisputed leader of Creative Arts Education globally by Sep 2025 and to make Aureus the first brand/activity of choice in any market or segment we operate in.
About the RoleWe are looking for outstanding Mobile Developers with experience in developing both iOS and Android applications on Flutter.
Job Responsibilities:Write structured, testable, and efficient code by using the best software development practicesWork with UI/UX designers to execute designs and ensure they are feasible for developmentPlan and execute User Acceptance Tests with a combination of end-users and internal project teams membersStay up to date with emerging technologies/industry trends and apply them to operations and activitiesCooperate with back-end developers to ensure apps are aligned
Hiring Criteria:Possesses at least a bachelor’s degree in computer science or a related fieldAt least 2-3 years of working experience as an app developerHigh level of programming skills and in-depth knowledge of Swift/Kotlin and FlutterHas experience with integrating rest APIsProven technical knowledge in mobile app developmentExperience with App Store / Play store submission, subscription management, and reportingStrong organizational skills to juggle multiple tasks within the constraints of timelinesKnowledge of Git and experience in using GitHub
Perks and Packages: Gross Salary of $5,000 - $6,500Medical and Insurance CoverageWorklife and Wellness including 14 days of Annual Leaves and Sick LeavesIn-House Learning, Development, and Training are providedProfessional Career Development OpportunitiesComplimentary Music LessonsVibrant and Supportive Company CultureWork Equipment including IT Devices and Digital Software is provided",18-Sep-2023,Android:Apple Developer:Computer Science:GitHub:Mobile Application Development:Mobile Applications:Organization Skills:REST APIs:Subscriptions:iOS
Information Technology - Android Developer (KrisPay),3669366656,Singapore Airlines,Singapore (Hybrid),159,Mid-Senior level,Full-time,Information Technology,Airlines and Aviation,"Job Description

The successful candidate will join the Application Services (Loyalty Marketing) department in SIA Information Technology Division. As a developer with Kris+/Krispay (world’s first blockchain based airline loyalty digital wallet), you will be working with our team of developers, UX designers and product specialists to enhance our platform, web and mobile channel offering.

Key Responsibilities
Develop and maintain highly reliable, efficient, secure, and scalable Android applications. Work with our CI/CD and release management tools and processes to quickly deliver high quality code. Facilitate the detection, troubleshooting and resolution of pre and post production issues. Assist with various stages of the mobile application development lifecycle such as requirements gathering, user interface design and usability testing. Keep abreast of the latest in mobile technology and conduct research and prototyping using such technologies. Any relevant ad-hoc duties. This is an individual contributor role. 
Requirements
Possess a degree in Information Technology or related fields At least 5 year of hands-on experience developing mobile applications for Android using Kotlin and/or Java Experience and up-to-date knowledge on Modern Android technologies and frameworks on top of open-source foundations (okhttp, room, RxJava/RxKotlin, etc.) Experience test frameworks such as JUnit, Espresso, Mockito, etc. Experience in working with small to medium development teams using Agile methodologies. Ability to communicate effectively in English. Preferred Skills Experience in Agile environments, Extreme Programming, Test-Driven Development, Paired Programming, Automation, CI/CD, and git-based source tools. An understanding of various software architectural principles such as MVVM, MVP, SOLID or similar. Experience in mobile backend development on cloud and serverless platforms & technologies. Experience in iOS application development, or other relevant mobile development technologies. Experience in releasing process Google Play Store. Experience in JavaScript technology such as Node js and Angular. Knowledge of blockchain would be beneficial.",15-Sep-2023,Blockchain:Extreme Programming:Java:Mobile Application Development:Mobile Applications:Pair Programming:Requirements Gathering:Test-Driven Development:Usability Testing:Video Post-Production
Junior Mobile developer (iOS/Android) - Tech industry,3588827472,Page Personnel,"Singapore, Singapore (Hybrid)",342,Entry level,Full-time,Engineering:Information Technology,Information Technology & Services,"Permanent role |Global well-established organisation in the ecommerce tech industry 
About Our Client
We are partnering with a global well-established ecommerce organisation, based in US. They are one of the largest global entertainment streaming platform across the world.
Job Description
Involved in the full software development lifecycle such as gathering users' requirements, testing, release and supportCollaborate closely with product and design teams to create innovative user interfaces and features, optimized for mobile platformsAble to troubleshoot and debug to optimize performanceStay up-to-date with new technology trendsThe Successful Applicant
Experience with development in mobile applicationsGood experience with the following mobile languages such as Swift, Kotlin, iOS or Android frameworksNo experience are welcome to applyWhat's on Offer
Permanent role Global well-established organisation in the ecommerce tech industry Attractive remuneration and benefits packageContact: Cheryl Ang
Quote job ref: JN-122022-5859033

Brand: PP",02-Apr-2023,Android:Java:Kotlin:Mobile Applications:SAP ERP:Technology Trends:iOS
Embedded Mobile Application Test Developer,3625023742,Dyson,"Singapore, Singapore (Hybrid)",123,Entry level,Full-time,Engineering:Information Technology,"Appliances, Electrical, and Electronics Manufacturing","About Us
We are seeking a highly motivated and detail-oriented Mobile Application Test Engineer to join our team. The ideal candidate will have a passion for mobile technology and a strong desire to learn and contribute to the testing of our mobile applications.
About The Role
Assist in developing and executing test plans and test cases for mobile applications.Collaborate with the development team to understand software requirements and assist in ensuring comprehensive test coverage.Conduct functional testing of mobile applications on different platforms (e.g., iOS, Android) and devices.Learn and implement basic automated test scripts using appropriate mobile testing frameworks and tools (e.g., Python, Selenium, Appium).Assist in identifying, documenting, and tracking software defects, and contribute to their resolution.Participate in code reviews and learn about testability and test coverage concepts.Contribute to performance, usability, and compatibility testing of mobile applications.Collaborate with cross-functional teams to troubleshoot and resolve basic software issues. 
About you

Bachelor's degree in Computer Science, Software Engineering, or a related field.Minimally 2 years of software text experience, ideally in app, with basic understanding of software testing principles, methodologies, and techniques.Familiarity with mobile platforms (e.g., iOS, Android) and their respective ecosystems.Exposure to mobile application development concepts and tools.Some experience or coursework in automated testing frameworks and tools for mobile applications.Knowledge of software development lifecycle (SDLC) and Agile methodologies.Strong analytical and problem-solving skills.Excellent attention to detail.Effective communication and collaboration abilities.Ability to learn quickly and work effectively in a team-oriented environment. 
Benefits

Dyson Singapore monitors the market to ensure competitive salaries and bonuses. Beyond that, you’ll enjoy a transport allowance and comprehensive medical care and insurance. But financial benefits are just the start of a Dyson career. Professional growth, leadership development and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fuelling and realising ambition.
Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.
",19-Sep-2023,Appium:Mobile Applications:Mobile Testing:Selenium:Software Development:Software Requirements:Software Testing:Test Automation:Test Coverage:Test Scripts
Blockchain Android Developer (Kotlin),3720356476,Trust Wallet,Singapore (Remote),92,Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet","Company Description
Trust Wallet stands as the gold standard in crypto management, distinguished globally for its inclusivity, chain-agnostic approach, and self-custody capabilities. Serving tens of millions, Trust Wallet provides a secure, seamless, and intuitive passage to the vast domains of cryptocurrency and NFTs. We take pride in our diverse user base, actively facilitating transactions, staking, minting, and safeguarding a broad spectrum of 4.5+ million cryptocurrencies across 66 renowned blockchains. In this ever-evolving landscape, our developer community leans on us to reach out to millions, enabling them to craft their bespoke wallets and enhance crypto adoption.
If you're fervently driven to develop state-of-the-art SDKs and libraries that power blockchain innovations, we invite you on this journey with us. Collaborate to build next-gen crypto architectures and deliver groundbreaking technologies, illuminating the path of web3 evolution for our vast community.
Job Description
Role Outline:
SDK Development: Spearhead the design, development, and optimization of Kotlin-based SDKs for blockchain wallets. System Architecture: Devise robust architectures ensuring that the SDK integrates seamlessly with various blockchains and third-party systems. Feature Evolution: Take the lead in enhancing and expanding the capabilities of the SDK, making it adaptable to the ever-evolving blockchain landscape. Documentation & Support: Create comprehensive documentation to assist developers in integrating the SDK. Provide vital support and gather feedback to drive continuous improvement. Team Collaboration: Work alongside a talented team, fostering an environment of innovation, learning, and excellence. 
Qualifications
Minimum 4 years of software engineering experience, with a significant focus on Kotlin and SDK/Library development. Expertise in developing SDKs and libraries for blockchain applications. Exceptional technical problem-solving skills, matched with outstanding communication and collaboration capabilities. Familiarity with the intricacies of blockchain integrations and how they interact with various SDKs. Adept in modern development practices, including automated testing and continuous integration for library development. 
Desirable skills:
Previous engagement in blockchain-specific projects, especially related to wallet development. Deep understanding of distributed systems and cryptographic principles. Proficiency in working with different blockchain protocols and standards. Previous experience in Golang, Rust or Solidity is a plus. 
Additional Information
Why work at Trust Wallet?
Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities. Work alongside diverse, world-class talent, in an environment where learning and growth opportunities are endless. Tackle fast-paced, challenging and unique projects. Work in a truly global organization, with international teams and a flat organizational structure. Enjoy competitive salary and benefits. Balance life and work with flexible working hours and casual work attire. 
Apply today to join our team in building the world’s most trusted and secure crypto wallet and enable a decentralized future for everyone.
Trust Wallet is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.
By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice.",22-Sep-2023,Cryptocurrency:Figma (Software):FinTech:Payments:Product Road Mapping:UX Research:User Experience (UX):User Personas:User-centered Design
Mobile App Developer (Android / iOS),3728768832,Assurance Technology Pte Ltd,"Singapore, Singapore (On-site)",22,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Job Responsibilities
Software design and optimization, focusing on coding and debuggingTo design, develop, and maintenance of Android and iPhone AppsMaintain existing mobile apps on IOS and Android platformTroubleshoot and debug to optimize performanceKnowledge of Java, Swift, Kotlin, MSSQL, C#, and VBDevelop application programming interfaces (APIs) to support mobile functionalityUse and adapt existing web applications for appsTroubleshoot and debug to optimize performanceDesign interfaces to improve user experienceEnsure all developments are of high quality and comply with the required specificationsStay up-to-date with the technology trends, security and data protection, concepts, and best practices for coding mobile apps
Job Requirements
Candidates must possess at least a Diploma/ Degree in Information Technology/ Computer Science/ Computer Engineeringhands-on proficiency in iOS app and Android developmentFamiliar with the Mobile Application Development life cycleDemonstrable portfolio of released applications on the App Store or the Android marketGood interpersonal and communication skills in EnglishExcellent project and time management skillsPatient, polite, friendly, and helpful personalityCreative and able to work independently and as a team in a stimulating multi-disciplinary environment emphasizing teamworkAble to cope with a fast-paced environmentExperience in web application development is an added advantage",27-Sep-2023,Android:Android Development:Computer Engineering:Computer Science:Defining Requirements:Engineering:Information Technology:Microsoft App-V:Microsoft SQL Server:iOS
