Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Scala Software Developer,3716064065,Luxoft Singapore,"Singapore, Singapore (On-site)",22,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Project DescriptionAre you an enthusiastic technology professional? Are you excited about seeking an enriching career; working for a large Tier One Bank? We are seeking for Scala engineer to join our development team within the bank for an exciting opportunity, building on top of existing technology to be implemented across other regions. You will work on a new and challenging project to implement banking systems, helping to shape the future of the Banks business.
Responsibilities
work closely with senior engineers in order to find best possible technical solution for the project/available requirementsScala development to provide banking solutionsexperience using Nexus repository softwareworking against a ticketing system with different prioritiesreporting key metricspost go live development of continuous improvement themes such as automation and whitelisting.improve developer experience and make it easy to do the right thing challenge team to follow the best practices, eliminate process waste troubleshoot production/infrastructure issues be keen to expand current Scala/Java
Requirements
6+ years building back-end systems4+ years developing in Scala or other functional programming language TDDdistributed version control: Git or Mercurialstrong written and verbal communication skills in Englishbe able to work in multicultural work environment
Nice to have  actor system: Akka HTTP stack and building REST APIs functional programming with Cats or ScalaZ ScalaTest and BDD Continuous integration & deployment practices open minded and able to quickly learn new technologies and paradigms Kafka or other distributed messaging system Distributed environments and multi-threading profiling and application tuning build tools: Gradle experience with Yaml, Json and Xml (Xsd) experience with Unix shell and CLI tools search engine, eg. Solr, ElasticSearch search"" topic issues eg. building queries, indexing, etc",14-Sep-2023,Behavior-Driven Development (BDD):Elasticsearch:Git:Gradle:Java:Mercurial:REST APIs:Scala:Software Development:Solr:XML Schema Definition (XSD)
Backend Software Engineer (Server Application Performance Monitoring) - Developer Infrastructure,3646529897,TikTok,Singapore,26,,Full-time,Information Technology:Engineering,Entertainment Providers,"Responsibilities

 About TikTok
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul, and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate, and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make an impact happen with a career at TikTok.

The Observability Infrastructure Team is responsible for (1) an in-house developed time-series database, time-series warehouse, distributed tracing, and logging systems (2) a one-stop observability platform including application monitoring, customized dashboard, intelligent alarm, problem diagnosis, and remediation, tracing topology analysis, in order to guarantee production service stability, capacity management, and service governance capabilities.

What you will be doing:
1. Design, build, and maintain scalable data infrastructures and pipelines.
2. Design data models and extract the information and signals from observability data for internal observability functionalities (e.g. reporting, root cause analysis).
3. Work closely with product managers to deliver industry-leading observability products.
4. Collaborate with cross-functional teams, including data scientists and software engineers, to understand data requirements and implement effective solutions. 

Qualifications

 What you should have:
1. Bachelor or Master's Degree in Computer Science or related technical field
2. At least 3 years in software engineering and 2 years of relevant experience in data engineering
3. Experience in Big Data technologies(Hadoop, M/R, Hive, Spark, Kafka, ClickHouse, Flink etc.)
4. Skilled in SQL and at least one programming language of Go, Java, Scala, Python
5. Experience in performing data analysis, data ingestion, and data integration 
6. Solid communication and collaboration skills

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",21-Sep-2023,Application Monitoring:Data Engineering:Data Integration:Defining Requirements:Java:Programming:Python (Programming Language):SQL:Scala:Software Development
SOFTWARE DEVELOPER,3581017374,Michael Page,"Singapore, Singapore (On-site)",85,Entry level,Full-time,Information Technology:Engineering,Oil and Gas:Mining:Wholesale Furniture and Home Furnishings,"Creative and Innovative Workplace|Opportunity to learn and grow
About Our Client
Our esteemed client is a company with global presence. They provide solutions for sustainable urbanisation, focusing on areas such as environment, asset management, energy and more ...
Job Description
KEY RESPONSIBILITIES:
Writing efficient code/script withing low-code platform/using Python application framework to build specific logics, workflows and/or automations.Design and implementation of use friendly graphical interface to make user experience goodDesign and implement application with security and data protection in mindIntegration of data storage solutions such as Data Lake, Data warehouse, DatabaseDesign and implement specific connectors to sub-systems for data acquisition.Working as an Agile Team Member, managing and executing a variety of tasksInteracting with Business Users/Product owners as necessary to clarify requirementsPerforming User Story Effort EstimationSoftware Development including meeting the Definition of DoneSoftware Testing including fulfilling the Acceptance CriteriaCreating Software Documents as requireThe Successful Applicant
Skill Requirements
Experience in setting-up, and execution of DevOps practicesExperience in Software Deployment Experience in Software Maintenance and SupportExperienced in Mendix and/or OutSystems and/or PowerAppExperienced in Agile Software DevelopmentExperienced in Python web application framework, Web Applications, HTML, CSS and JavaScriptExperienced in Software Integration using APIs and Web ServicesExperienced in Database SystemsWhat's on Offer
Professional Development OpportunitiesInnovative EnvironmentCompetitive remuneration Contact: Shilpalekha Bhadoria
Quote job ref: JN-072022-5682590",29-Mar-2023,HTML:Python (Programming Language)
Wordpress Developer,3728185632,EDHEC Infra & Private Assets,Singapore (On-site),58,,Full-time,,,"About EDHECinfraEDHECinfra is a provider of market indices, benchmarks and valuation analytics for investors in unlisted infrastructure equity and private debt. EDHECinfra maintains the infraMetrics® platform: an online information system that gives access to key market indices including the infra300® and infra100® series. InfraMetrics® also includes a wealth of valuation data and analytics, risk metrics, a fund strategy analysis tool providing robust performance quartiles for any segment, strategy or vintage, and peer group analyses allowing investors to compare themselves against comparable segments of the market. RoleWe are looking for someone to work with Marketing and Client Services to enhance and maintain our corporate website https://edhec.infrastructure.instituteThe responsibilities would be as follows:· Create visually appealing pages along with basic mock-ups to facilitate discussions with stakeholders.· Maintain the website and ensure high availability· Migrate our documentation website (https://docs.edhecinfra.com) from Confluence to the corporate website· Applying SEO principles including meta tags, scripts, site navigation, structured data, image optimization, mobile-friendly UI.· Improving loading speed and website responsiveness, make sure all website elements are fully responsive.· Working with various plug-ins and widgets, including Monster Insights, AIOSEO and WP forms, EventOn and other. · Provide seamless interaction between WP site and Salesforce (via WPforms, events etc.) · Provide website analytics and main traffic stats.   Requirements· At least 2 years of experience creating websites using Wordpress· Good eye for design aesthetics e.g. margin, padding, font sizes, animation timing, etc.· Ability to create good UX design· Attention to detail· Ability to work independently as the successful candidate would be the only person working on the website from a technical perspective· Strong HTML and CSS skills· Familiar with mocking tools for basic mock-ups (e.g. Adobe CS, Figma etc.)· Experience with PHP is a plus· Experience with MySQL is a plus· Familiarity with LaTeX is a plus· Experience with GA4 is a plus Compensation: competitive Attractive salary and bonus, healthcare and pension plan coverage. A work permit is necessary. Flexible work is available, but with an expectation of a minimum three days in the office. To apply for this offer, please send a CV and a cover letter.",26-Sep-2023,Attention to Detail:Bespoke Website Design:Compensation:Events:HTML/CSS Validation:Image Optimization:SQL:Strategic Analysis:Structured Data:Web Analytics:WordPress
Senior Backend Developer Rust,3705333106,AppFlowy,Singapore (Hybrid),35,,Full-time,,,"Fast growing open-sourceYou’d join to shape what and how we build a world-class open source product as a founding member
Community-focusedWe actively lead and support our passionate and engaged community, where a diverse group of people is empowered to contribute to the common good
Remote-friendlyWe’re a remote-friendly team and work async, so we can work wherever we’re happiest and contribute from anywhere at any time
Backed by top VCsWell-funded by top VCs and great angel investors
About UsAppFlowy is a privacy-first, open source workspace for your notes, wikis, projects, and more. You are in charge of your data and customizations, with no vendor lock-in.
Our mission is to to empower everyone to create workspaces that suit their needs, without limits on what's possible. We have been determined to uphold our three core values from the very beginning:Data privacy firstReliable native mobile and desktop experienceCommunity-driven extensibility
Since its GitHub launch in November 2021, it has accumulated more than 37,000 stars and 190+ contributors. In 2022, AppFlowy was selected for the Noteworthy Newcomer award as part of the Open Source Awards at GitHub Universe!
AppFlowy is built with Flutter and Rust, an interesting tech stack with a lot of potential and opportunities. If you are a true believer in open source and want to build world-class open-source collaboration software together, we’d love to hear from you!
What you’ll achieveYou’ll be building features from scratch and have full ownership over the whole process.You'll be designing and implementing scalable and high-performing solutions.You’ll write high-quality and well-documented code.You’ll perform code reviews and collaborate with others in the wider community.You’ll receive feedback from the best developers from all over the world.You’ll become an expert on collaborative software and a leader in open source.
ProcessSubmit an applicationPotential candidates will be asked to take two technical interviewsWe’ll invite you to a behavioral interview via a video callYou are encouraged to participate in our open source community to get a sense of how we work togetherWe’ll make you an offerWe are committed to hiring a diverse team and building an inclusive, equitable culture. We encourage every person who is interested to apply. We think of our job postings as the starting point for discussion rather than proof that you shouldn’t apply. You might be the perfect person, even if you don’t match 100% of the job description.
Requirements:Proficient in Rust with 6+ years of general software engineering experience.Extensive experience with collaborative editor tools as a backend engineer.Familiar with CRDT and Yjs.Experience with database systems like PostgreSQL, MySQL, and RocksDB.Experience with Docker and Kubernetes.You are mission-driven. You are a great team player and a self-starter. You dream big, start small, and move fast. We value MATCH at AppFlowy.You are passionate about AppFlowy and open-source.Great communication skills. We work asynchronously by default.
Benefits:A competitive salary based on your experience.Above the market stock options—we give generous equity rewards to employees who buy into our mission and think long-term.Remote and work async—you can choose to work wherever you’re happiest and have the ability to contribute from anywhere at any time.We will invest in what you need to be at your best—whether it’s a standing desk, an ergonomic chair, or continuing education.The chance to tackle the most interesting and impactful problems and build everything from zero to one—there’s absolutely no boredom!Unlimited time-off—we hire the best people, and we care about results, not how long you work.
",07-Sep-2023,Amazon Web Services (AWS):Back-End Web Development:DevOps:Kubernetes:MySQL:PostgreSQL:RocksDB:Rust (Programming Language)
Embedded Software Developer,3722498033,Cartrack,"Singapore, Singapore (On-site)",70,Mid-Senior level,Full-time,Engineering:Information Technology,Software Development:IT Services and IT Consulting,"We’re a world-leading smart mobility SaaS tech company with over 1.75 million active users. Our teams are collaborative, vibrant and fast-growing, and all team members are empowered with the freedom to influence our products and technology.
Are you curious, innovative and passionate? Do you take ownership, embrace challenges, and love problem-solving?
We’re looking for an Embedded Software Developer who will help us continue to build industry disruptive tech products and revolutionise the way our customers use technology. 
You want to:Develop embedded applications both with and without Operating Systems Migrate embedded solutions to Linux and other RTOS Develop communications systems, systems on chips (SoC), cameras, sensors, and image processing 
You have:Strong experience into embedded Linux development Familiarity with low level programming Experience with GSM products required Experience with Communications, RF products is desired Excellent C/C++ experience and Assembly knowledge AVR, Keil ARM Cortex experience beneficial Embedded software development Linux knowledge required TCP/IP experience Beneficial Proven ability to multitask Ability and willingness to learn Good attention to detail, an ability to assimilate, sort and aggregate complex information quickly",25-Sep-2023,C (Programming Language):C++:Embedded Linux:Embedded Software:Global System for Mobile Communications (GSM):Internet Protocol Suite (TCP/IP):Keil:Linux:Linux Development:Low Level Programming:Radio Frequency (RF)
Full Stack Developer,3729436183,Accenture Southeast Asia,"Singapore, Singapore",6,Entry level,Full-time,Information Technology:Engineering,Business Consulting and Services,"About Accenture
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centres. Our 506,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.
Accenture is an Irish-domiciled multinational professional services company that provides services in:

 Technology

 Strategy & Consulting

 Interactive

 Operations

As a Fortune Global 500 company, it has been incorporated in Dublin, Ireland since September 1, 2009.
With more than 500,000 employees worldwide—in 200 cities across 51 countries—Accenture also operates more than 100 “innovation hubs,” developing solutions for cloud, finance, and other industries.
The Pillar 
Accenture Technology combines business and industry insights with innovative technology services to transform your business. Join one of the world’s largest independent providers of technology services to grow your expertise and help clients worldwide to innovate at scale and transform their businesses. Help change how the world works and lives through technology innovation.
The Group
Accenture Cloud First is a new multi-service group of 70,000 cloud professionals that brings together the full power and breadth of Accenture’s industry and technology capabilities, ecosystem partnerships, and deep commitment to learning and upskilling clients’ employees and to responsible business, with the singular focus of enabling organizations to move to the cloud with greater speed and achieve greater value for all their stakeholders at this critical time. Specifically, this new group integrates the company’s wide-ranging cloud expertise, including:

Software Development, Cloud migration, infrastructure, and application services and ecosystem partnerships; deep industry and cross-industry insights, data and Applied Intelligence capabilities

Responsibilities include but are not limited to:

Be a SME for node.js and support the application on top of SAP Cloud platform and SAP framework

Be part of an agile team in developing software products to fulfill client’s vision

Work with client to brainstorm, design, implement and test the software product, and present deliverables to client in different forums e.g. sprint ceremonies.

Facilitate cross team collaborations and system to system integration

Work in a DevOps mode, support system monitoring and operations when required

Critical Success Factors
Mandatory

A minimum of 1-6 years software engineering experience.

Good fundamentals in Node.js

Good to have but not must:
Knowledge / experience in the following

SAP Cloud Application Security

SAP Cloud Architecture

All of our consulting professionals receive comprehensive training covering business acumen, technical and professional skills development. You’ll also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.
",22-Sep-2023,Cloud Applications:DevOps:Java:JavaScript:Knowledge Acquisition:Node.js:SAP Cloud Platform:Software Development:System Monitoring
C++ Software Developer - Elite Quant Fund,3726641464,Hunter Bond,"Singapore, Singapore (Hybrid)",61,Mid-Senior level,Full-time,Information Technology:Finance:Engineering,Banking:IT Services and IT Consulting:Financial Services,"Title: C++ Software Developer - Up to $300,000 SGD + Excellent Bonus + PackageSalary: Up to $300,000 SGD + Excellent Bonus + PackageLocation: Hybrid (Singapore)Experience Level: 3+ years'
An Elite Tech Firm are looking for the best Software Engineers around to join an already thriving team.
The team are looking for people with solid fundamentals who want better tech and a better work-life balance, whilst also showing initiative on several greenfield projects.
This team have an unlimited tech budget and promote a great culture using the best tech! They've broken tech world records and have a really interesting and one of a kind product.
Role:• As an engineer you will build & optimise a new research platform to increase capacity, react quicker and increase profits by hundreds of millions of dollars.• Predict models to automatically invest, design and develop interfacing libraries• Performance optimisation & building robust intelligent solutions to problems• Participate in all phases of development, including working with stakeholders to define requirements, design, implement, test and release to production.

Skills:They are fully open to any background and will find good fits for the best peopleStrong knowledge and proven experience with C++Strong fundamentals in Computer Science",25-Sep-2023,C++:Computer Science:Defining Requirements:Knowledge Acquisition:Product Service:Quantitative Analytics:React.js:Skill Development:Software Development:Tech Savy
Senior Software Developer,3660360316,Singtel,"Singapore, Singapore (On-site)",94,Mid-Senior level,Full-time,Engineering:Information Technology,Telecommunications,"At Singtel, we believe in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers. We strive to ensure all our people practices are non-discriminatory and provide a fair, performance-based work culture that is diverse, inclusive and collaborative.

Join us and experience what it’s like to be with an Employer of Choice*. Together, let’s create a brighter digital future for all. *Awarded at the HR Fest Awards 2020.

Singtel Is Building a Unique Enterprise Platform Completely Homegrown And In This Position You Will Work With Platforms Product Team, To

We are seeking for a hands-on full stack developer, who will be part of the software development team of the Group Enterprise platforms product house, contributing on the software development for Singtel Enterprise platform and application suite.  Build the enterprise platform in a completely scalable fashion that can process millions of messages concurrently.  Contribute to designing and developing the platform in an infrastructure agnostic fashion so that the platform can work with any network backend in a plug and play fashion.  Bring in your experience in building scalable and repeatable platforms to make every component of the platform modular by design with industry grade security.  Design and implement RESTful APIs to expose platform features as microservices.  Build and deploy performant modern web applications in React, Redux, Webpack, ES6, and Flow  Architect efficient and scalable backend systems  Write unit, functional and end-to-end tests for the platform  Write high-quality code (Ruby on Rails, Go, Java etc) that communicates with upstream backend services via HTTP APIs  Identify and resolve performance and scalability issues  Participate in code reviews  In depth understanding of the whole web stack, web protocols, and web performance optimisation techniques  In-depth understanding of web frameworks (such as Rails, Django, Spring etc)  Detailed knowledge of minimum one modern JavaScript framework: React, Ember, Angular, etc  Proficient understanding of the HTTP protocol  In depth knowledge of Relational, No-SQL databases, and message queues/brokers  Understand at least one backend MVC framework - Java and Spring Boot are strongly preferred  Build micro-services and understand different patterns to approach the designs.  Worked on cloud platforms preferably PCF and used tools such as Docker.  Experience in designing and delivering APIs and security models  Excellent understanding of Message queue systems (Kafka)  Monitoring and logging tools (ELK, Splunk)  Front-end frameworks (React, Vue JS, Bootstrap, jQuery)  Web app frameworks (Django, Drupal etc.)  Databases and storage/caching (Postgres, MongoDB, Redis)  Contribute to software development and associated new technology selection and adoption. Focus areas include developing API driven features on big data, machine learning, auto scaling micro-services, scalable data storage/retrieval.  Work on architecture and software development across platform components like customer onboarding, data management, application lifecycle etc  Participate on design of common platform functionality, and consistent, best-practice platform and application design.  Adopt industry standard coding practises to develop the platform to ensure scalability, security and stability  Participate on the move to a full SaaS deployment and management  Collaborate with Business development and partnership team to develop integration adapters for third party technology and applications.  Participate in technical partnership conversations and due diligence. 
What we’re looking for...

You embrace failure for the learning it provides. You can inspire and motivate others to deliver your vision. You view obstacles as puzzles to be solved. You are driven by the desire to delight your ultimate client, the customer
 Java (J2EE and J2SE 1.8 or higher) and Python, additional knowledge on Scala would be advantageous  HTML, CSS, Drupal, Bootstrap, Angular, JQuery, additional knowledge on Reactjs would be advantageos.  Cassandra, MongoDB and Elasticsearch (At least 2). SQL databases like Postgres, MySQL  Experience in source code management and build - GIT, Maven, Ant  Experience in Scrum - JIRA, Confluence  Experience in Messaging - Kafka, Any Pub/Sub library  Experience in containerization – Docker, Jenkins  Experience in Scalable deployment – Kubernetes  Experience in Learning Libraries - MLib, DL4J, H20, Tensorflow  Experience in Big data Platforms - Spark (Core and Streaming) or Hadoop  Experience in File Systems – HDFS  Experience in Integration methods - REST API’s, messaging, WSDL, SDK’s  Experience in API documents - Swagger or similar  Experience developing complex, enterprise grade, configurable, scalable software products.  A background in systems level thinking and design. Combined with the ability to translate technical strategy and architectures into concrete, minimal viable products, with the right tradeoffs and phasing.  Broad and deep knowledge of relevant technologies, including messaging, relational and NoSQL databases, data modelling, analytics, IoT, and interfaces. Exposure and experience with Artificial intelligence will be a plus.  Deep understanding of the architectural principles for cloud-based platforms that include SaaS, PaaS, multi-tenancy, infrastructure as code, and continuous availability.  Experience working in an agile environment  Strong written and verbal communication skills.  Ability to collaborate effectively across various cross-functional teams and groups. 
We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",15-Sep-2023,Cassandra:Hypertext Transfer Protocol (HTTP):Model-View-Controller (MVC):MongoDB:NoSQL:Optimization:Redux.js:Stack:Web Performance:Web Services Description Language (WSDL)
Software Application Developer Intern (IDX: 2023-00074),3723022897,Continental,"Singapore, Singapore",52,Internship,Internship,Engineering,Automotive,"Job Description

Work Scope:
 The objective is to develop SW application for Human Machine Interaction showing on display in a car for interaction between driver / passengers and the car’s system.  The application is to be developed by QT or Flutter.  The application shall be integrated with a readily available open-source AI model to improve HMI interaction or safety. 

Learning Outcome:
 To experience the full Software Development Life Cycle in specific to software application development.  To be exposed to a wide variety of new technologies (e.g., cyber security, functional safety, touch/haptic), display and HMI test methodologies. 

Qualifications

Some knowledge in SW application development (QT / Flutter)

Some knowledge in Linux operating system

Additional Information

Ready to drive with Continental? Take the first step and fill in the online application.",20-Sep-2023,
