Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Systems Engineer,3712782447,Netmarks Singapore Pte Ltd,"Singapore, Singapore (On-site)",271,,Full-time,,,"We are looking for a Systems Engineer with a demonstrated ability to drive a project to completion with good time management skills. You must be highly self-motivated, an independent thinker, organized and detail-oriented, with the ability to prioritize and execute tasks in a high-pressure environment.
Developing, maintaining and supporting technical infrastructure, hardware and system software componentsPerforming installation, maintenance and support of system software/hardware and user support at on-site and remote supportConfiguring, debugging and supporting multiple infrastructure platformsPerforming high-level root-cause analysis for service interruption recovery and creating preventive measuresFamiliar with VMware, Storage, Hyper-V, Windows, and backup solutionsExcellence in communication skills as a liaison with vendors and other IT personnel to resolve issues
Qualifications
 Degree or Diploma in Electronic Engineering / Computer science Minimum of 2 to 3 years working experience Experience in End user computing, AD/ DC setup and migration includes GPO configuration Microsoft Certified Engineer ( MCSE ) and/or VMware certification is required. Experience with SAN/Hyperconverged Systems is an added advantage VMware, Hyper-V Experience and familiar with Microsoft Azure or AWS cloud infrastructure is an added advantage",14-Sep-2023,Free Thinking:Group Policy:Working Experience
DevOps Engineer,3715295847,Matrixport,"Singapore, Singapore (On-site)",151,Associate,Full-time,Information Technology,Financial Services,"ABOUT US
Matrixport is Asia’ fastest growing one-stop digital asset financial services platform with over $10 billion in assets under custody & management. We are over 300 strong and serve both institutional and retail customers across Asia and Europe.Our mission is to make crypto easy for everyone through our comprehensive suite of innovative and easy-to-use crypto investment products and services. Our offerings include Cactus Custody™, spot OTC, fixed income, structured products, lending as well as asset management. Our team is rapidly growing.“Get More From Your Crypto”.

WHY JOIN US
At Matrixport, we tackle complex problems as a team. We encourage openness and promote transparency, respect, and inclusivity. Every team member is valued and has a voice that can be heard. We are always in the search for intellectually curious and entrepreneurial individuals who are keen on making an impact in the crypto ecosystem, and in building a better product for the next one billion users.

Key responsibilities:
Configure system, storage and networking parameters for VM deployments on VMware Platform;Monitor system stability and performance after deployment;Undertake incident resolution and project oriented tasks related to server deployments.

Key requirements:
Bachelor's degree in Computer Science, Telecommunication or related technical fields;Candidates from the fintech industry is a bonus;1-3 years of experience as a DevOps Engineer;Experience in Linux (Oracle, Redhat, Ubuntu & CentOS), Virtualization technologies (Oracle & Vmware), Database management ( MySQL ),Monitoring/Operational intelligence products (Nagios , Splunk or ELK) and best security practices for server installation and administration;Good analytical and problems solving skills with strong self-motivation and ability to work under pressure;Familiar with cloud services like AWS;Passion in cryptocurrency and blockchain industries;Ability to converse in Mandarin is required due to the need to liaise with stakeholders.",18-Sep-2023,Amazon Web Services (AWS):CentOS:DevOps:Linux:MySQL:Nagios Core:Red Hat Linux:SQL:Splunk:VMware
System Engineer,3724716337,Collabera Digital,"Ang Mo Kio, Singapore (On-site)",114,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,"Role:Providing maintenance and operation support for Data Center Common Infrastructure involves ensuring the smooth functioning, availability, and reliability of the fundamental components that make up a data center’s infrastructure. This includes hardware, server resources, systems, and various key processes that are critical for the proper operation of the data center.  The responsibilities of this role include the following:Assessing and Implementing Changes: The individual is responsible for assessing and implementing Service Requests (SR) and Change Requests (CR) within the specified Service Level Agreements (SLAs). This could involve making necessary adjustments, configurations, or changes to the infrastructure based on the requests.Providing Documentation and Reports: The role involves creating and maintaining supporting documentation, reports, and information related to the maintenance and operation of the data center infrastructure. This documentation helps management and other stakeholders understand the status and health of the infrastructure.Monitoring and Verifying Integrity: The individual is tasked with monitoring and verifying the integrity and availability of all hardware components, server resources, systems, and essential processes. This includes regularly reviewing system and application logs to identify any anomalies or issues.System Software Management: The person ensures that the system software, including the operating system and associated software, is always operational. This involves managing updates, patches, and configurations to ensure the software components are functioning properly.Problem and Incident Resolution: The role requires assisting in the resolution of problems and incidents that may arise within the data center infrastructure. This could involve diagnosing issues, troubleshooting, and determining the root cause of problems to implement effective solutions.Collaboration with Vendors and Service Providers: The individual works closely with equipment vendors, service providers, system integrators, and other relevant parties to analyze, troubleshoot, and resolve system-related problems. This collaboration is essential for restoring the infrastructure to an operational state.Security and Vulnerability Management: The role involves staying informed about new vulnerabilities released by equipment and software vendors. The person is responsible for promptly notifying the customer about these vulnerabilities and working to obtain updates and patches. After testing, the updates and patches are implemented to address security concerns.Standby Support: The role requires being available for standby support 24/7, meaning the person should be ready to respond to emergencies or issues that may arise outside regular working hours.Off-Peak Hours Work: The individual is expected to work during off-peak hours to carry out scheduled system activities. This ensures that maintenance, updates, and changes can be performed without disrupting the normal operations of the data center during peak usage times. Required skills:Good Knowledge of Windows Server or Redhat Linux (min 3–5 years experience).",25-Sep-2023,Change Requests:Data Center Infrastructure:Knowledge Acquisition:Linux:Red Hat Linux:Service-Level Agreements (SLA):Troubleshooting:Vulnerability Management:Windows Server
Software Development Engineer,3726579262,Thermo Fisher Scientific,"Singapore, Singapore",18,,Full-time,Research:Science:Engineering,Pharmaceutical Manufacturing:Biotechnology Research,"Who is Thermo?
At Thermo Fisher Scientific, we do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Our work has real-world impact, and we support each other in achieving career goals.
In a sophisticated world of developing products for studying cancer and other disease processes, we need a phenomenal software engineer! With applications that span the cancer research field—from basic research through drug discovery—help us develop new automated equipment for sample processing to aid the scientific community in making new advancements faster.
Who are you?
We are searching for a skilled Software Engineer to be a key contributor designing the software for new scientific instruments to aid ground breaking scientists. As part of an innovative software team that develops software that controls a laboratory instrument and allows the scientist full interaction with instrument features. We work closely with both the hardware and lab automation engineering teams developing the instrument. You will design and implement complex solutions within a full stack environment from serial port communication to Blazor UX implementation.
You have well-practiced problem-solving skills to craft solutions in a greenfield technical landscape that is complex. You will work within and implement design patterns to ensure the code is maximally extensible to future use while being maximally closed to changes. You will explore, architect, implement, and test new microservices, business logic, UX controls, and hardware control. You will be encouraged to help craft these de novo, refactor work recently done, and help your team do the same.
What will you do?
Design and implement features within a mostly-new code base to build and extend functionalityDynamically shifting from the usual object oriented to functional code designDevelop a novel UX, implementing the design provided by an internal teamPerform all phases of software development including design, implementation, testing, integration, maintenance of software for the team''s instrumentsDevelopment and support of GUI, analysis, communications, and instrument control softwareIntegration of algorithms & mathematical functions for identification and quantification of data collected by instrumentsUnderstand business needs, analyze workflows, and carry out integrations across different sub-system components.
How will you get there?
Minimum Qualifications
BS in Computer Science or Bioengineering (with software focus) or equivalent3 - 5 years of software development experience in the software industry, preferably involving hardware and software interactions. Fresh grad or candidates with less experience are welcome to apply and may be considered for a junior position.Knowledge of current software development methodologiesExperience using source control (ie, GitHub) and CI/CD
Preferred Qualifications
Strong with common data structures, design patterns, object-oriented design, and algorithms used in programming.Proven background in core Java or Python.Good understanding of web stack technologies is desired.Previous experience of developing web applications using front-end technologies like Angular, React, VueJS and Electron is a plus.Excellent teamwork and collaboration skills. Ability to manage high priority tasks and adapt to changes in priorities. Effectively communicates and illustrates ideas; contributes critically and positively to a team.
Thermo Fisher Scientific is proud to be an equal opportunity employer committed to hiring a diverse and inclusive workforce. As stated in our Equal Employment and Affirmative Action Policy, available below, part of our dedication to a diverse and inclusive workforce, Thermo Fisher Scientific provides equal employment opportunities to all employees and employment applicants without regard to unlawful considerations of sex, sexual orientation, gender (including gender identity and/or expression), pregnancy, race, color, creed, national or ethnic origin, citizenship status, religion or similar philosophical beliefs, disability, marital and civil union status, age, genetic information, veteran status or any personal attribute or characteristic that is protected by applicable local, state or federal laws.",29-Sep-2023,Algorithms:Business Requirements:Cancer:Cancer Research:Clinical Development:Code Design:Data Structures:Drug Discovery:Software Development:Software Industry
Cloud Support Engineer,3727307057,Ultima,"Singapore, Singapore (Remote)",133,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Please note we are NOT able to provide Visa's or recruit anyone that requires an EP
Job Title: Cloud EngineerCompany: UltimaLocation: Remote (Singapore)Job Type: Full-Time
About Ultima:Ultima is a leading technology company specializing in cloud solutions and digital transformation services. We are committed to helping organizations leverage the power of cloud computing to drive innovation and achieve their business objectives. Our team of experts is dedicated to delivering cutting-edge solutions to our clients, and we are currently seeking a talented Cloud Engineer to join our remote team in Singapore.
Job Description:We are looking for a skilled and motivated Cloud Engineer with expertise in Azure, Azure DevOps, and Ansible to join our dynamic team. As a Cloud Engineer at Ultima, you will play a crucial role in designing, implementing, and managing cloud-based solutions for our clients. This is a remote position based in Singapore, and we are unable to offer visa sponsorship at this time.
Responsibilities:Collaborate with cross-functional teams to understand client requirements and design cloud solutions that align with their business objectives.Deploy and manage cloud infrastructure and services on the Azure platform.Utilize Azure DevOps to implement CI/CD pipelines for application deployment and infrastructure as code (IaC).Develop and maintain Ansible playbooks for automation of provisioning and configuration tasks.Monitor and optimize cloud resources for performance, cost, and security.Troubleshoot and resolve cloud infrastructure issues and implement preventive measures.Provide support for infrastructure environments and assist in resolving technical issues.Stay up-to-date with industry best practices and emerging technologies in cloud computing.
Requirements:Bachelor's degree in computer science, information technology, or related field (or equivalent work experience).Proven experience as a Cloud Engineer or similar role, with a focus on Azure cloud services.Strong knowledge of Azure infrastructure, including virtual machines, storage, networking, and security.Hands-on experience with Azure DevOps for CI/CD and automation.Proficiency in Ansible for infrastructure provisioning and configuration management.Familiarity with scripting languages (e.g., PowerShell, Python) for automation.Understanding of cloud security best practices and compliance standards.Excellent problem-solving skills and the ability to work independently.Strong communication and teamwork skills.Experience in supporting infrastructure environments.
Nice-to-Have:Azure certifications (e.g., AZ-900, AZ-104, AZ-400).Experience with other cloud platforms (e.g., AWS, GCP).Knowledge of containerization technologies (e.g., Docker, Kubernetes).Familiarity with Terraform for infrastructure as code.Previous experience in a remote work environment.
Benefits:
Competitive salary based on experience.Flexible remote work arrangement.Opportunities for professional growth and development.Collaborative and innovative work environment.
How to Apply:
If you are a passionate Cloud Engineer with a strong background in Azure, Azure DevOps, Ansible, and experience in supporting infrastructure environments, and you are ready to take on exciting challenges in a remote work setting, we would love to hear from you. Please submit your resume and a cover letter outlining your qualifications and relevant experience to [email address].
Note: Ultima is an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",27-Sep-2023,Amazon Web Services (AWS):Ansible:Azure DevOps Services:Cloud Computing:Continuous Integration (CI):Docker Products:Kubernetes:Microsoft Azure:Powershell:Python (Programming Language):Terraform
Site Reliability Engineer,3718622851,Luxoft,"Singapore, Singapore (On-site)",139,Director,Full-time,Information Technology,IT Services and IT Consulting:Banking,"Project DescriptionWith award-winning mobile banking apps and trading systems, our technology platforms help Bank deliver best-in-class products to clients. Naturally, we make sure that the phones work, emails are delivered and PCs run - but we also develop innovative collaboration platforms and workspaces that help our people share their knowledge, their expertise and their passion for our business.
Developments in technology are changing the way we communicate, work and even think. Join us here, and you'll constantly be looking ahead. We'll look to you to capitalize on new technological trends that can reshape our business and deliver value for our clients, whilst still meeting the demands of customers, regulators and the markets.
Project goal is to decomins existing platform and create a new payment platform using new tecnolonogies:Technology stack includes: Java 11, Spring, Oracle DB, Kafka, Solace JMS, Apache Tomcat, Web services, , HTML5, Node.js, Git, Python, JIRA, Confluence, Jenkins / TeamCity, Docker / Kubernetes, SDLC, Sonar, Geneos
Responsibilities• Working as part of Agile team to define target state infrastructure architecture of applications, including hardware, networks, operating systems and other requirements• Delivering those for both production and testing environments• Develop, improve, and maintain internal operations tools, such as deployment, monitoring, statistics, platform management tools, etc.• Automating application build and deployment procedures, executing deployment on testing and production environments. Optimizing existing deployment process• CI/CD pipeline setup and management• Defining system recovery scenarios and ensuring resilience requirements are met• Defining system capacity requirements and designing a right solution on both hardware and application levels• Performing release management function including dependency analysis, planning and tracking pre-release activities, reporting status, risks and issues
Mandatory skills DescriptionOverall 8+ years of experience as DevOps Engineer with Java• Production environment running and monitoring experience• Analytical skills and analytical thinking• Very good verbal and writing communication skills• Solid Unix knowledge• Solid basic tcpip networking• Fluent unix shell scripting, python coding• Solid basic SQL• Jenkins / Teamcity / similar• Ansible / similar• Git• Reading Java code
Nice-to-have skills• Oracle db experience• Grafana, Prometheus, Kafka• GCP/AWS cloud and related devops stack• Experience of legacy infrastructure migration",12-Sep-2023,Amazon Web Services (AWS):Ansible:Continuous Integration and Continuous Delivery (CI/CD):DevOps:Git:Java:Jenkins:Linux:Prometheus.io:Unix
Internship - System Application Engineering,3594909132,Infineon Technologies,Singapore (On-site),59,Internship,Internship,Sales:Marketing:Engineering,"Semiconductor Manufacturing:Appliances, Electrical, and Electronics Manufacturing:Computer Hardware Manufacturing","The candidate, as part of the Application Engineering team in Sales&Marketing department and under the guidance of an assigned mentor, will undertake projects and learning exercises on industrial power products and their evaluation boards to gain expertise on their technologies, characterization methods and their end applications. In your new role you will:
Work with various industrial power products like IGBTs, SiC MOSFETs, Gate drivers, Motor Driver ICs Work on device characterization topics – double pulse measurement, thermal measurement Board level testing, debugging and measurements in lab Perform simulation tasks to understand and evaluate commonly used topologies in industrial applications Technical support to the customers in ASEAN on selected topics under the supervision of assigned mentor

Learning outcomes:
Knowledge on Industrial power products portfolio and their related technologies (Discrete & Module IGBTs, SiC MOSFETs, Gate Driver, Motor drive ICs etc.) Gain hands on lab experience in power semiconductor characterization topics Understanding of industrial applications (EV charging/Energy storage systems, Motor control etc.) - technical requirements and market trends Experience to work with the cross functional teams and in a multicultural environment

 You are best equipped for this task if you have:
 On track to attain Bachelor/Master degree in Electrical & Electronics engineering or equivalent Basic knowledge in field of Power Electronics Basic know-how of Spice/PLECS/MATLAB simulation platforms Agile learner with good communication skills 

 Driving decarbonization and digitalization. Together.
Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software.",09-Sep-2023,ASEAN:Application Engineering:Board Level:Computer Simulations:Debugging:Electronic Engineering:Industrial Applications:MATLAB:Power Electronics:Technical Support
Wintel Engineer,3685863222,Lenovo PCCW Solutions,"Singapore, Singapore (On-site)",152,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,"Lenovo PCCW Solutions Singapore is looking for a Windows System Engineer
Job Details:Administration and troubleshooting of Windows Servers (Preferably Windows 2008 R2, Windows 2012, Windows server 2003).Able to Install of windows servers and has good troubleshooting skills for Wintel systems, knowledge in hardening and securing of Wintel systems.Advanced level of Administration of Windows server with active directory, DNS, DHCP and High Availability.Understanding of RAID, pros and cons of various RAID levels and decision making on the same in a given situationMicrosoft cluster configuration, administration and troubleshooting.Working experience with various storages, precisely for cluster configurations is good to have.Working knowledge in SAN environment and storage space management from systems side is good to have.File system and quota management.Experience and knowledge on FTP and SFTP Client and Server Model.Experience and knowledge with installing and implementing VMware ESX server, VMware virtual Center, setting up V-Motion, HA, DRS, and related VMware products such as VM Workstation, VMware converter VM Backup products and other products for virtualization would be advantages.Experience provisioning, operating, and maintaining systems running on AWSAbility to identify and gather requirements to define a solution to be built and operated on AWSCapabilities to provide AWS operations and deployment guidance and best practices throughout the lifecycle of a projectExperience with application / data migration to AWSUnderstanding about the ITIL process5 - 8 Years of System Administration Experience is must.Must be a Graduate in Engineering / Science / Diploma in ComputersPreferably with any two of the given certification - MCSE / VMWare CertificationMust have good communication & Interpersonal SkillsMust be customer-focusedGood problem solving skills

Application and Contacts for Enquiries:Email: RenzJonnier.P.Nolasco@pccw.com",04-Sep-2023,Domain Name System (DNS):Dynamic Host Configuration Protocol (DHCP):High Availability (HA):RAID:System Administration:Troubleshooting:VMWare ESXi:VMware:Windows Server:Wintel
Software Engineering Intern,3703449272,Stripe,"Singapore, Singapore (On-site)",1004,Internship,Internship,Engineering:Information Technology,"Software Development:Financial Services:Technology, Information and Internet","Who we are
About Stripe
Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.
About The Team
Our internship program will provide an opportunity to work on meaningful products that will grow the GDP of the internet. Through the internship, you will work with many systems and technologies, gain experience in systems design and testing, and have opportunities to present your work to your team and the wider org. Each intern has a dedicated intern manager, and every project is part of the team’s roadmap and will directly help Stripe’s mission.
What you’ll do
Every internship at Stripe centers around a real, legitimate project that our customers urgently need, touching many parts of our operations and stack. We will support you in shipping it. Yes, you will actually ship it. Some recent projects include rebuilding our statistics aggregation service, building new service discovery systems, and many user facing projects like making it easy to understand error messages on Stripe Checkout. As a Stripe intern, you'll be tackling important projects to increase global commerce, while working alongside exceptional people who insist on doing their best work. You’ll learn from people with high standards who are great at inspiring others to do more and go further. We value technical and personal growth, and see our internship program as a vehicle to foster both.
Responsibilities
Write software that will be used in production, and has meaningful impact to StripeGive and receive technical feedback through code reviews or design discussionsCollaborate with other engineers and cross-functional stakeholders to proactively seek and incorporate feedbackLearn quickly by asking great questions, by working with your intern manager and teammates effectively, and by communicating the status of your work clearly
Who you are
We’re looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.
Minimum Requirements
A strong fundamental understanding of computer science through pursuit of a Bachelor’s, Master’s, or PhD degree in computer science, math, or a related disciplineSome experience and familiarity with programming, either through side projects or classwork. We work mostly in Java, Ruby, JavaScript, Scala, and Go. We believe new programming languages can be learned if the fundamentals and general knowledge are presentExperience from previous internships or other multi-person projects, including open source contributions, that demonstrate evaluating and receiving feedback from mentors, peers, and stakeholdersAbility to learn unfamiliar systems and form an understanding of those systems, through independent research and working with a mentor and subject matter experts
Preferred Qualifications
At least 2 years of university education, or equivalent work experienceOne or more areas of specialized knowledge balanced with general skills and knowledge, such as knowing more frontend technologies and, at a high level, how a service handles an HTTP requestUnderstanding and some experience writing high quality pull requests, with good test coverage, and working knowledge to complete projects with minimal defectsFamiliarity with navigating and managing your work in new code bases, with multiple languagesAbility to write clearly to explain your work to stakeholders, team members, and other Stripes
Hybrid work at Stripe
Our Chicago, Dublin, and Singapore teams spend at least 50% of their time in their local offices. We believe that more in-person interactions will contribute to better results for our employees and Stripe. Increased office time allows for improved collaboration, efficiency, and informal learning opportunities, fostering a stronger community and building our culture. We will apply the insights gained from these initial three locations to continue refining our hybrid approach.",25-Aug-2023,C++:Defining Requirements:Service Work:Stripes:Subject Matter Experts:Test Coverage:Working Experience
Full Stack Engineer,3725795574,Millipede,"Singapore, Singapore (On-site)",197,,Full-time,,,"About the roleThis employee will be in a unique position to have a tremendous impact on the business and the future direction of Millipede. As a joiner at an early stage, you will have the opportunity to lay the foundation upon which our platform will grow beyond our initial customer base.
ResponsibilitiesParticipate in the end-to-end life cycle of the production of software and applications (from ideation to delivery and maintenance)Design technical solutions with our users in mind and collaborate with the full team to implement, test, and evaluate those solutionsDeliver high quality code in a highly collaborative, fast paced and iterative environmentOptimizing our internal and external documentation to improve customer supportBe a steward for good engineering practice at Millipede
Required Skills3-5 years of experience working with product and engineering teamsProficiency with the technologies listed belowDetail oriented, organized and diligent with ability to prioritize and execute on multiple tasksGreat communication skills and a strong team playerComfortable with explaining technical concepts to a range of audiencesProblem solving mindset with an ability to resolve open ended problemsFamiliarity with Agile practicesB.S or B.A in any relevant field
Technologies you’ll work with:TypeScript, Node.jsGoogle Cloud, Firebase, iOS, Androidreact-native, Expo
BenefitsMilli-Nest benefits to spruce up your work station. Use it for whatever you need to boost your productivity!Milli-Cares yearly benefit which you can use on a variety of health and wellness related expenses e.g Health insurance, health screenings, gym membership, dental and prescription glasses.",22-Sep-2023,Firebase:Full-Stack Development:Google Cloud Platform (GCP):JavaScript:Node.js:Problem Solving:React Native:React.js:Teamwork:TypeScript
