Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Lead Software Engineer,3715289910,VELVETT PTE.LTD.,Singapore (Remote),84,,Full-time,,,"We are developing Unikura, RWA-Collectible Marketplace. It's NFT marketplace but all of NFTs are backed by Physical item like Trading Cards, Watches, Arts, etc.
# Unikurahttps://unikura.xyz/
We are looking for a Tech Lead or a potential CTO-class member who is willing to take the risk of joining a seed-round startup.
# Product DevelopmentYou will be responsible for the tasks such as technology selection, architecture design, establishing coding standards, conducting code reviews and providing technical support for team members and creating documentation. Especially in the initial phase, you will proactively participate in coding tasks for the main product, which has a large front-end development volume.
# Development processYou will be responsible for improving agile processes in collaboration with other job teams to maximize the performance, designing development flows from task management to deployment, and building automated pipelines such as CI/CD.
# Working with other teamsYou will proactively communicate with members of other team and provide support to improve business strategy, product requirements and specifications. In addition, you will also participate in interviews and discussions on recruitment strategies, contributing to the growth of the organization.
# New technologies and toolsBlockchain-related technologies are evolving at a very fast pace every day. You will proactively gather information, identify necessary elements for the product and actively implement them. Through participation in Tech events, you will also have connections with experts around the world and actively acquire primary information that cannot be found on the internet.
# Strategy and ManagementAs a leader in technology during the phase of growing the organization, you will participate in more upstream strategic planning and organization management, and be responsible for formulating and executing technical strategies to achieve business goals.
# Required SkillsDeep Knowledge and 2 or more years of development experience in blockchain/Web3 and related technologiesUnderstanding and empathy towards company's vision and mission.Broard knowledge and experience in web frontend and backend development.3 or more years of development experience using React and Next.js.Experience in designing for performance and security of commercial services of a certain scale.3 or more years of practical experience in communication related to development and operation in English.Personal use and strong interest in cryptocurrencies and NFTs.
# Nice to have skillsExperience leading development teamsAbility to design architectures that meet the needs of the serviceExperience in project management (including engineering projects)
# Tech stack and toolsFrontend (Must)TypescriptReact.js (Next.js)TailwindtRPC
Blockchain (Must)EthereumSolidityThirdWebOpenZeppelinHardhat
Backend(Nice to have)TypescriptPrismaNest.jsMocha/Chai
# About EmploymentTypeFull time (Employee in Singapore or Japan / or Contractor in Asia Pasific)
# OfficeHead Office: Singapore(Suntech City) or Tokyo, Minato Ward, ShirokaneEverybody is working remotely but need to have face to face meeting when we request. 
# Work Time8hours/dayFlex Time(Core time 11:00-16:00）
# Holidays/VacationsTwo days off per week (+ holidays, year-end and new year holidays, etc.)Paid leave, menstrual leave, maternity leave, childcare leave, etc.
# BenefitsStock options(ESOP) and token grants will be planned in the future.",18-Sep-23,Blockchain:Chai.js:Ethereum:NestJS:Node.js:Smart Contracts:Solidity:Tailwind CSS:TypeScript:Web3
Frontend Software Engineer - TikTok e-Commerce,3635984717,TikTok,Singapore,190,,Full-time,Project Management:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. 
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. 
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. 
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. 
Join us.

The e-Commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated. With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-Commerce experience to our users. 

Our product engineering team is responsible for building an e-Commerce ecosystem that is innovative, secure and intuitive for our users. We are looking for passionate and talented people to join us as we drive the future of e-Commerce here at TikTok. 

You will:
- Architect and develop efficient and highly reusable front-end systems that drive complex web applications for e-Commerce products.
- Code optimisation to improve scalability, reliability, security and performance of web applications.
- Collaborate with product design, product management and software engineering teams to deliver best in class user experience.
- Research, design, and develop computer and network software or specialised utility programs. 
- Analyse user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. 
- Update software, enhances existing software capabilities, and develops and direct software testing and validation procedures. 

Qualifications

 - Bachelor's or higher degree in Computer Science, Information Technology, Programming & System Analysis, Science (Computer Studies) or related discipline.
- Candidate should have at least 5 years of experience in frontend engineering experience, with demonstrable experience with JavaScript/HTML/CSS, React/Vue/Angular and packaging frameworks like Webpack/Rollup/BaBel/AST/Gulp.
- Familiar with key concepts like functional and asynchronous programming, closures and types, layouts, specificity, animation, cross browser compatibility, data security and accessibility.
- Good understanding of multi-tier application architecture and protocols, familiarity with product and software development lifecycle process.

Ideal Candidate
1. Agile, quick self learner, highly self-motivated with strong sense of product ownership and creative problem solver.
2. Deeply passionate about software coding/development and building great mobile/web applications.
3. Good collaborator and team player, comfortable working in a fast moving, culturally diverse and globally distributed team environment. 

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",14-Sep-23,Angular:Babel.js:Cascading Style Sheets (CSS):Creative Problem Solving:Gulp.js:HTML:JavaScript:React.js:Vue.js:Webpack
Full Stack Engineer,3705331000,MiAO,Singapore (On-site),221,,Full-time,,,"MiAO, a startup company headquartered in Singapore and with a R&D team in Shanghai, China, dedicated to providing global users with an exceptionally entertaining experience through innovative gaming products and services.
To create a Metaverse that delights billions of users. This is MiAO’s Mission and Vision.
ResponsibilitiesResponsible for the front-end and back-end work of AI native products, tool chain exploration, and company public platforms. 
QualificationsBachelor's degree or above in computer-related majors1-3 years of full-stack development experience, with a deep understanding of various web front-end technologies, including experience in developing with JavaScript, TypeScript, Node.js, React.js or Vue.js Good programming literacy and engineering practice ability, familiar with and can effectively use design patterns (like MVC, MVP, MVVM) to optimize code structure and improve code maintainability

",5-Sep-23,Front-End Development:Full-Stack Development:JavaScript:Metaverse:Model-View-Presenter (MVP):Node.js:React.js:Research and Development (R&D):Skill Development:TypeScript
Web Developer Intern,3709537566,FIRST SIGHT INTERNATIONAL PRIVATE LIMITED,"Singapore, Singapore (On-site)",166,Internship,Internship,Engineering:Information Technology,,"Web Developer Intern / Assistant is responsible for the design, layout and maintenance of a website according to a company's specifications.
 Writing well designed, testable, efficient code by using best software development practices Creating website layout/user interfaces by using standard HTML/CSS practices Integrating data from various back-end services and databases Write well designed, testable, efficient code by using best software development practices Create website layout/user interface by using standard HTML/CSS practices Integrate data from various back-end services and databases Gather and refine specifications and requirements based on technical needs Cooperate with web designers to match visual design intent Assist other departments by up training on IT features. Documentation – developing guides and protocols for ongoing projects and troubleshooting And other ad-hoc duties as needed",1-Sep-23,
Web Developer Intern,3704379647,MINDFLEX EDUCATION PTE. LTD.,"Singapore, Singapore (Remote)",59,Internship,Internship,Engineering:Information Technology,,"Hi! Our awesome company is looking for University Interns who have experience in Web Development, & able to commit for a Full-Time Internship of 3 months or more (longer durations preferred).
About Us
MindFlex Education's internship programme aims to provide internships which are fulfilling, as well as practical in real-world situationsOur office culture is fun, young & encouraging. We take our work, as well as our fun seriouslyWe provide full-time job opportunities for interns who have excelled in their internshipEnjoy a modern office environment with exciting facilities, such as a PS5, Full-Sized Pool Table, High-End Karaoke System & moreClose-knit team of 15-20 pax, strictly NO office politics, NO over-time culture, NO bring-work-home culture
Web Developer Intern Roles And Responsibilities
Improve & automate company's business process through creation of new PHP web applications & improvement of existing code.Review of company's existing process systems to improve UI/UX for both internal and external users.Be involved in improvement of company's iOS & Android applicationConnecting SQL Databases to developed web applicationsReview and improve company's current cronjobs and APIs for both internal and external software.Ensure that new projects are moved from development phase to production phase smoothly, and are both desktop & mobile friendly.Spearhead development of new landing pages for company's website on WordPress platform, with usage of HTML & CSS code involved.Modify and improve current landing pages for company's website, with the addition of new functionalities.Data mining of websites and database for information to be used in company's IT projects.
Learning Outcomes & Objectives
Intern will be exposed to the movement of IT projects from development phase to production phase in a systematic & meticulous manner.Intern will have the first-hand experience of building code which can be translated into real-world business usage, to solve actual business problems.Intern will learn how to manage expectations of different stakeholders, in particular balancing between ""design wants"" of the company and limitations of existing web platforms.Intern will gain valuable first-hand experience of developing mobile applications, as well as creating new website landing pages from scratch in a professional setting.Intern will gain insights on mining data content and using it for real-life application purposes.Intern will be able to review and suggest opinions on how certain UI/UX interfaces of the company can be improved, and carry out plans for improvement.Intern will also be able to review codes and script written by previous developers; learning from examples and improvement on existing code.Intern will also have access to a ""senior developer"" who will be able to answer queries & troubleshoot whever necessary
Requirements
Has to be a current University Undergraduate in a computing-related coursePossess some previous experience with website designing / programmingProficient with PHP, Javascript, HTML, CSS, LanguagesA good team player who is able to communicate effectively with various internal and external stakeholdersAbility to think critically and be able to suggest possible improvements to existing company software systemsPossess adequate problem-solving skills to tackle day-to-day issues independently
Working Hours, Location & Remuneration:
5 Days Work Week, Weekdays 9.00am - 6.30pmMidview City (Sin Ming Lane)Closest MRTs: Bright-Hill MRT (Door-Step), Bishan / Marymount MRT (nearby)$1,000 - $1,200/MonthInterns will also be given several days of paid leave (depending on internship period)
Why Choose Us
Fun Working Environment with No Office Politics!Casual Working Attire, Relaxed SettingClose-Knit Team of 15-20 PaxSpacious Office with Modern & Fun Entertainment Facilities (Pool Table, Playstation 5, Karaoke Set, Board Games...etc)Company Meals / Outings / Events / Bonding ActivitiesGreat & Enjoyable Company CultureMany of our interns have also converted to full-time & contract positions after their internship as they thoroughly enjoyed their learning experience with usConveniently located with New Bright Hill MRT at Doorstep
Application
Submit an e-mail application with Resume/CV to mindflex.recruitment@gmail.com with Email Title ""Web Developer Intern Application""Please ensure to include the following in Email and attached documents: Earliest Available Start-Date for Internship Available Duration for Internship Suitable Profile Picture of Yourself Is Undertaking The Internship for A Course Requirement, or Self-Improvement
Others
Shortlisted candidates will be contacted for a short interview over Zoom or Face-to-FaceSigning of Non-Compete contract will be required upon successful selection",26-Aug-23,
Full stack developer Intern (Software Engineer),3718569377,Thales,"Singapore, Singapore (Hybrid)",153,Internship,Internship,Engineering:Information Technology,IT Services and IT Consulting,"Location: Singapore, Singapore
Thales people architect solutions that support 85 million mainline and suburban passenger journeys, worldwide, every day. Our Rail Signalling and Communication systems are used on metro lines across major cities, and 72,000 kms of route, 52,000 trains per day in 16 countries are controlled by our Traffic Management Systems. Together We deployed the first-ever nationwide ticketing system which processes over 50 million ticketing transactions in 100 cities daily.
Thales established its presence in Singapore in 1973 to support the expansion of aerospace-related activities in the Asia-Pacific region. Throughout the last four decades, the company grew from strength to strength and is today involved in the primary businesses of Aerospace (including Air Traffic Management), Defence & Security, Ground Transportation and Digital Identity & Security. Thales today employs over 2,100 people in Singapore across all its business areas.
Responsibilities:
Design, code, unit test and debug web applicationsDevelop a multi-tiered web application integrating with different sub-systemsChoose building blocks for the web application after comparing the viable optionsDevelop front-end of the application using technologies such as JavaScript frameworks (e.g., AngularJS, React.JS), and backend development using technologies such as message bus, REST endpoints and other types of web servicesThoroughly document design to ensure the usability, supportability and maintainability of the developed. 
Requirements:
Currently pursuing a degree in Computer Science or a related field. Knowledge in building Front End and Back End of Web ApplicationsKnowledge in SCRUM/Agile software development methodologiesKnowledge in Angular JS, React JS, Node.JS and Javascript experience (HTML5 and CSS is assumed)Experience with Java, C#, Go programming language. Experience with RESTful servicesExperience with relational databases and NoSQL databasesKnowing Linux environmentKnowledge of message or event oriented middleware, such as Apache Kafka, Confluent Kafka, ActiveMQ, RabbitMQ is a bonusExperience with virtualization and container and knowledge about Dockers and KubernetesPositive attitude and willing to learn new skillsTeam player with good interpersonal and communication skills. 
At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!",14-Sep-23,Back-End Web Development:Cascading Style Sheets (CSS):Front-End Development:HTML5:Information Design:JavaScript:Maintainability:React.js:Usability:Web Applications
"Frontend Engineer Intern, Global E-commerce (Commercial Platform) - 2024 Start",3675436331,TikTok,Singapore,72,,Full-time,Project Management:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

We are looking for talented individuals to join us for an internship in 2024. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok.

Successful candidates must be able to commit to one of the following internship cycles below:
1. Summer Internship - 06 May 2024 to 26 July 2024 (12 weeks)
2. Off cycle / Credit bearing - Starting 08 January 2024 or 12 August 2024

We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date).

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

About the Team
The e-commerce industry has seen tremendous growth in recent years and has become a hotly contested space amongst leading Internet companies, and its future growth cannot be underestimated.

With millions of loyal users globally, we believe TikTok is an ideal platform to deliver a brand new and better e-commerce experience to our users. Our product engineering team is responsible for building an e-commerce ecosystem that is innovative, secure and intuitive for our users. We are looking for passionate and talented people to join us as we drive the future of e-commerce here at TikTok. 

Responsibilities
- Architect and develop efficient and highly reusable front-end systems that drive complex web applications for e-commerce products.
- Code optimisation to improve scalability, reliability, security and performance of web applications.
- Collaborate with product design, product management and software engineering teams to deliver best in class user experience. 

Qualifications

 - Undergraduate or Postgraduate currently pursuing a Degree/Master/PhD in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
- Experience in frontend engineering, with demonstrable experience with JavaScript/HTML/CSS, React/Vue/Angular and packaging frameworks like Webpack/Rollup/BaBel/AST/Gulp.
- Familiar with key concepts like functional and asynchronous programming, closures and types, layouts, specificity, animation, cross browser compatibility, data security and accessibility.
- Good understanding of multi-tier application architecture and protocols, familiarity with product and software development lifecycle process.

Preferred Qualifications
- Agile, quick self learner, highly self-motivated with strong sense of product ownership and creative problem solver.
- Deeply passionate about software coding/development and building great mobile/web applications.
- Good collaborator and team player, comfortable working in a fast moving, culturally diverse and globally distributed team environment. 
- Professional level proficiency in written and spoken English.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.

If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",7-Sep-23,Angular:Babel.js:Cascading Style Sheets (CSS):Closures:Creative Problem Solving:Cross-browser Compatibility:Gulp.js:Problem Solving:Spoken English:Webpack
Software / Web developer,3725111648,PLATTER PRIVATE LIMITED,"Singapore, Singapore (Remote)",51,Entry level,Full-time,Engineering:Information Technology,,"We are a software startup looking for software / web developers who will build, maintain, and improve, web-based enterprise solutions for SMEs. The applicant will either have full-stack capabilities, or at least have a solid grounding in core software/web development principles.
Roles & Responsibilities
Understand user requirements, and understand the underlying business logic required to develop solutions to meet these requirementsUnderstand how to deploy a web-based solutionCarry out CI/CD",21-Sep-23,
Web Developer,3707595366,Canonical,"Singapore, Singapore (Remote)",585,Entry level,Full-time,Engineering:Information Technology,"Technology, Information and Internet","Our mission is great open source
It is our mission to make open source software available to people everywhere. We create world-renowned software, impacting the lives of millions of people every day.
The web team works in a multi-disciplinary environment with visual designers, UX designers and other developers to bring exciting new web projects to life. We help and learn from each other and constantly strive to improve both our work and our processes.
Required Skills And Experience
Demonstrable experience of work on modern web applicationsA strong understanding of HTML, CSS with SCSS and JavaScriptExperience with Javascript components librariesExperience with TypeScriptExperience with responsive user interfaces for a wide range of devices and browsersExperience with Git or other version control systemsAwareness of SEO best practiceConsideration of accessibility in all aspects of your workA strong understanding of web performance in complex user interfacesAbility to interact with UX, designers and server-side developersCuriosity about technology and a thirst to learnBased in EMEA timezones (Europe, the Middle East and Africa)University degree or equivalent education
Useful experience if you have it
Familiarity with Linux desktop technologiesServer-side languages, such as Python or NodeJSExperience working on a large scale React (with TypeScript) projectA history of open source contributionsRelevant work experience
Who you are
We want a Web Developer who loves what they do. You are passionate about web standards and keep abreast of new developments in our industry. You always look for opportunities to improve your skills. You like to show off what you're working on and also learn from others. You have strong attention to detail and value the design of a product as much as you value the code. You have strong communication skills and maybe even blog once in a while. You're aware of the latest CSS techniques but also know the limitations that developing for a broad audience can bring - actually, you embrace the challenge.
In this team
You'll create high fidelity websites and web apps using the latest incarnations of HTML, CSS (SCSS) and Javascript (React and TypeScript)You'll help maintain existing projects including updating content and adding new pagesYou'll manage incoming requests for updates and liaise with or delegate to other people as necessaryYou'll ensure the standard of our output remains high and consistent across our whole product portfolioYou'll ensure new pages are published according to specification and in compliance with our web style guideYou'll participate in and contribute to our living style guide, Vanilla Framework. Work closely with UX designers and visual designers to implement exemplary user experiences. 
What we offer
An opportunity to help shape a company and products with a strong influence in the open source communityAn inclusive work environment within a team of friendly people with a broad range of skill sets, from UX designers to copywritersLearning and developmentAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travel
We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.
",8-Sep-23,Cascading Style Sheets (CSS):HTML:JavaScript:SASS:Web Applications:Web Performance
Front End Developer,3680487089,IntelliShift,"Singapore, Singapore (On-site)",504,Mid-Senior level,Full-time,Engineering:Information Technology,"Technology, Information and Internet","Full stack development of applications projects Design and develop both the frontend and backend systems. Design, build and maintain efficient, secure, reusable and reliable codes Develop solutions that are portable across multiple platforms (Windows/Linux) Document the whole software design and development during development process Write test automation to deliver frequent incremental releases using CI/CD pipeline
Requirements
Degree in Computer Science/Engineering or a related field1-3 years of software development experienceAbility to write professional code (clean & good design)Experience in working on both Windows and Linux platformsExperience building cross platform Desktop/GUI applications on Windows/LinuxExperience working in an agile team, CI/CD with Jenkins and automated deploymentExcellent communication skills and a team playerAbility to work independently, proactively, and result-driven
Experience in:
C++, C#, dotNET, STL, BoostReact, React Native, Bootstrap, Java Script, HTML, XML, CSSMobile application developmentQT, QML UI developmentCmake, QmakeJenkinsGit, GitHub, GitLabExperience with Python is a plusExperience with IoT applications, including data processing, device management is a plusExperience with network socket programming is a plus",5-Jul-23,.NET Framework:Bootstrap (Framework):Cascading Style Sheets (CSS):HTML:Java:JavaScript:React.js:Software Development:Standard Template Library (STL):XML
