Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Cyber Security Specialist,3696264274,SITA,"Singapore, Singapore (On-site)",92,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Overview

PURPOSE

As Cyber Security Specialist, you will work within the Security Operation Center in evaluating risks, conduct log analysis and act upon security threats across a complex and disperse IT estate.

You will carry out threat analysis and handling process to ensure the efficient and timely mitigation of security threats, as well as understanding the threats’ risks and potential business impacts of both threats and mitigation measures. By leveraging the SIEM and the current security toolset, you are expected to investigate security issues and conduct root analysis, as well as resolving or escalating security incidents.

The world is changing. Are you ready to define with future of travel with us?

What You Will Do
 Conduct comprehensive investigation on a wide variety of security events, recommend and implement remediation processes. Hunt for potential internal and external threats and developing detection mechanisms and reports. Perform and review threat detection use cases and fine tuning Work actively on evolving our threats detection and team efficiency by acting on noise and false positive. Handle security incidents in line with the incident response process Work with resolver groups to evaluate and recommend new security practices and solutions. Provide security advices and promoting security awareness to other IT teams and clients. Involve in the production of threat intelligence and IOC by leveraging threats information from past incidents, sandboxes reports, malware reversing and data forensic. Mentor and train L1 security engineers Identify improvement areas in processes and/or tools to ensure highest level of quality Produce security incidents reports and recommendations.

Qualifications

Who you are
 Significant experience of working within a mature SOC organization or as a security threat analyst in an equivalent security environment. Experience in using SIEM technologies, endpoint protection response, IDS and other security technologies. High level of analytical and problem-solving skills. Good understanding of system, and application logs from a variety of platforms, from firewall, domain controllers to IDS, etc. Technical expertise in multiple security technologies would be an advantage including security incident handling experience. Good knowledge of threat intelligence data, IoC, threat actors, kill chain, etc. Having experience in the penetration testing/ethical hacking field is a plus. Functional skills with regex, IDS signature, SPL and SQL is a plus. Skills in network analysis, sandboxing, malware reversing or forensic is an asset. Strong knowledge of vulnerabilities, CVE, 0day and their potential impacts. Keeping aware and continually informed of the worldwide security landscape: new threats, actors, du jour attack, as well as the new security technologies and products. Ability to comprehend the priority on enabling the business, while working on security incidents mitigation/containment and possible impacts on the production environment. Strong customer/client focus, interact with a variety of stakeholders in a well-mannered, positive, and professional way, and building long-term relationships. Strong written/verbal communication skills. Ability to effectively prioritize and execute tasks in a high-pressure environment. Experience with IT compliance assessments (ISO 27000 etc.). Certified Information Systems Auditor Global Information Assurance Certifications (GIAC) e.g. Certified Incident Handler (GCIH), Certified Intrusion Analyst (GCIA), Certified Enterprise Defender (GCED) or other relevant GIAC certifications.

What We Offer

SITA’s workplace is all about diversity: many different countries and cultures are represented in our workforce, and colleagues who’ve been working here for decades collaborate with those just out of college and early in their careers. SITA is a place of change and constant improvement, where we're always pushing ourselves to find better ways of doing things: smarter, quicker, easier, for us and our customers and for their customers too.

And we offer all the good stuff you’d expect like holidays, bonus, flexible benefits, medical policy, pension plan and access to world class learning.

Welcome to SITA

SITA is the world’s leading specialist in air transport communications and information technology. We don’t just connect the global aviation industry. We apply decades of experience and expertise to address almost every core business, operational, baggage, and passenger process in air transport.

We design, build, and support technology solutions all with one vision to create easy air travel every step of the way. As an organization, we cover 95% of all international air travel destinations and work with over 2,800 air transport and government customers in every corner of the globe. Are you ready to explore the opportunities?

Keywords: SOC Engineer, Security Analyst, Security Engineer, Cyber Security, Security Operations Centre, Information Security In case of issues with uploading your CV or accessing the application system, please contact us @ careers@sita.aero",29-Sep-2023,Containment:Cyber Threat Intelligence (CTI):Incident Response:Mitigation:Sandboxing:Threat Analysis
Cyber Security Specialist,3668928502,Doo Group,"Singapore, Singapore (On-site)",296,Mid-Senior level,Full-time,Information Technology,"Financial Services:Technology, Information and Internet","ResponsibilitiesDevelop and implement cybersecurity policies, controls, and technologies to protect the company's infrastructure, applications, data, and systemsPerform risk assessments to identify vulnerabilities and threats to the organizationDeploy and integrate endpoint, network, and cloud security tools like anti-malware, IAM, DLP, and threat intelligenceMonitor security tools and analyze alerts to detect and respond to cyber threatsInvestigate security incidents and anomalies and recommend corrective actionsCreate and deliver security awareness training for employeesStay up-to-date with compliance requirements and security best practicesCollaborate with IT and other teams to embed security across the company
Required SkillsMinimum 6 years working exposure in Security, IT Audit, or IT risk exposuresBachelor’s degree in Computer Science, Information Technology or related field.Executes creative security solutions, design, development through architecture, and technical troubleshooting with the ability to think beyond routine or conventional approaches to build solutions and break down technical problems pertaining to Info-security setup/policiesDevelop, configure, test and deploy a multitude of components & on various platform, leveraging best practice principlesIndependent and able to perform tasks with minimum supervisionExcellent communication and interpersonal skillsGood infographic knowledge/skillsets for management reportingKnowledgeable in compliance with ISO27001, MAS TRM, ABS, BNM, HKMA, CBRC, etc, relevant guidelines and regulatory noticesKnowledgeable in IT controls, application security and risk management methodologyKnowledgeable with cryptographic algorithm/functions and key managementKnowledgeable in application penetration testing methodologies, such as OWASP will be an advantageKnowledgeable with application development experience and programming/coding will be an advantageAdds to team culture of diversity, equity, inclusion, and respect.Familiarity in Digital Banking and FinTech solutions will be an advantageCertified in CCIE, CISSP or CASP would be an advantage.",08-Sep-2023,Active Directory:CISA:Certified Information Security Manager (CISM):Cybersecurity:DLP:Firewalls:ISO 27001:Microsoft 365:NIST:Payment Card Industry Data Security Standard (PCI DSS)
IT Specialist,3726468455,KMS Data,Singapore (Remote),166,,Full-time,,,"We are looking for an experienced IT Specialist to join our team. As an IT Specialist, you will be responsible for managing the company's information technology infrastructure and ensuring that it functions smoothly. You will be responsible for implementing new technologies to improve efficiency, managing hardware and software installations, and providing technical assistance to staff. The successful candidate will be a critical thinker with excellent problem-solving skills, a collaborative attitude, and the ability to meet deadlines.
ResponsibilitiesManage all hardware and software installations and updatesManage and troubleshoot networking issuesConduct hardware and software analysis and testingCollaborate with stakeholders to identify areas for improvement in current technology infrastructureInstall and maintain firewalls and other security measuresProvide technical assistance to employees and other staff membersCreate and manage network documentation
RequirementsBachelor's degree in information technology or related field5+ years of experience as an IT Specialist or in a related fieldStrong knowledge of networking protocols, security measures, and infrastructureExcellent problem-solving skillsAbility to work independently and as part of a teamExcellent written and verbal communication skillsStrong attention to detail",24-Sep-2023,Attention to Detail:Communication:Critical Thinking:Documentation:Firewalls:Network Administration:Network Protocols:Oral Communication:Problem Solving:Software Analysis
Sales Specialist,3721187204,UNITED FMO,"Singapore, Singapore (On-site)",59,,Full-time,,,"Job Opportunity: Sales & Business Development Specialist - LogisticsLocation: JurongBased in Singapore

Are you a dynamic and results-driven professional with a passion for sales and business development in the logistics industry? If so, we have an exciting opportunity for you!
As a Sales & Business Development Specialist, you will play a key role in our growth and success in the logistics (FCL/LCL) industry. You will be responsible for identifying and securing new business opportunities, developing existing accounts, and contributing to our ongoing success.
Key Responsibilities:Hunt for Sales: Identify and target new accounts within specific trade lanes.Customer Engagement: Provide exceptional service to clients, handling RFQs and shipments.Account Growth: Develop and nurture existing accounts to maximize revenue.Prospecting: Generate new leads through cold calls and telemarketing.Reporting: Prepare and submit monthly sales reports to the Head of Department and Management.Ad-Hoc Support: Assist with any additional tasks as assigned.
Qualifications:Minimum Diploma Holder.Preferably Minimum 1-year experience in Sales and Business Development in Logistics.Proficiency in MS Office (Word, Excel, PowerPoint).Strong sales presentation and negotiation skills.Exceptional team player with strong interpersonal skills.Driven to achieve given targets.
What We Offer:Competitive basic salary with variable bonus structure.Permanent, full-time position.A dynamic and collaborative work environment.Opportunities for professional growth and development.
If you are ready to take your career in logistics to the next level and thrive in a challenging and rewarding role, we want to hear from you!
How to Apply:
Don't miss this opportunity to join a growing organization in the logistics industry. To apply, please send your resume and a brief cover letter outlining your relevant experience and why you're the right fit for this role to gai@ufmo.asia; rita@ufmo.asia.
Join us on our journey to success in the logistics sector. Your expertise and dedication can make a significant impact. Apply now and let's shape the future of logistics together!#LogisticsJobs #Sales #BusinessDevelopment #CareerOpportunity",25-Sep-2023,Business Development:Cold Calling:Customer Engagement:FCL:Product Marketing:Sales:Sales Presentations:Sales Processes:Skill Development:VBA Excel
"Volunteer: Internet Freedom, Cybersecurity, Digital Rights and Cyber-Diplomacy in Argentina",3326017981,Global Nomadic,Singapore (Hybrid),37,Entry level,Volunteer,Business Development:General Business:Other,Financial Services:International Trade and Development,"Location:Buenos Aires, Argentina

Duration: Minimum 4 weeks

Start Dates: Project is on-going, and you can join at any time, depending upon availability. Placements start each Monday

Cost: from $1,150 USD for 4 weeks

Fee Includes: pre-departure + in-country support, orientation and all project related activities

Does not Include: food, accommodation, flights, airport pickup, travel insurance, personal spending, visas and vaccinations

Please note: This opportunity is designed to give you the contacts and experience to help further your career. You are not replacing any member of staff, but helping alongside them, whilst learning new skills.

Benefits
Promote technology as a positive influence on civil societyHelp develop new technologies to fight cybercrime, as part of a multidisciplinary teamExperience a new rich and diverse culture in Argentina
While the rampant progress of technology is changing our lives for the better, it does not come without serious and far-reaching problems. Cybersecurity, digital rights and ownership, internet freedom and cyber-diplomacy have all emerged as new areas to be confronted and overcome not just by Governments and business, but by society as a whole. This project offers a fascinating opportunity to explore these issues but with a focus on human rights. Youll get to experience all this while immersing yourself in the rich and diverse culture in Argentina. And because youll only be asked to work for around 18 hours a week, youll have plenty of time to make the most of your oversees trip. Our established project program encourages a series of initiatives and projects to foster impactful and sustainable social development of the population through technology. Its fun working as part of a multicultural team that sees a challenge as an opportunity.

During your project in Argentina, youll work with technical experts, lawyers and even friendly hackers to develop solutions to fight cybercrime while promoting policies to protect the public in the face of ever-increasing digital challenges. Further, youll work with professionals from many disciplines, including journalists, artists, lawyers, sociologists, engineers and political scientists to exchange and then develop ideas to promote digital training and cyber-diplomacy that represents and protects society. The entirety of the program will give you the opportunity to put the skills youve been learning in the classroom into practice, as well as introduce you to team-building and problem-solving skills.

Daily Life

Your project will be based at the host organisations offices in Palermo, Buenos Aires. Youll get to undertake some remote work and have the possibility of attending technology-related events in the capital city itself (depending on time of visit and the local events calendar). With a relatively short working week (about 18 hours) under the direction of an English-speaking coordinator, youll have plenty of time to explore the culture of this large and exciting South American country.

The program is designed to fit around you, to best take advantage of your owns skills and interests, as well as the skills youd like to develop further. A weekly or monthly agenda is agreed depending on your and the NGO needs, and your progress is evaluated at weekly mentoring and coaching sessions.

Here are just some of the things you might find yourself doing:
Attending technology and social development eventsOffice function activitiesResearch and analysis of reports relating to human rights and technologyExecution of awareness, policy or educational campaignsEvents and workshop assistanceCommunications assistanceAssistance in translation and English training (if applicable)Development of projects in different areas of the NGO
About

If youd like to know more about areas of work on this technology and cybercrime project, here are some examples of projects that are either ongoing or have been completed recently by participants
Identifying Internet-Accessible Critical Information Infrastructure. This project, sponsored by the Global Commission on the Stability of Cyberspace, assessed the global situation of critical information infrastructures. These are defined as networks run by the state or by organisations performing functions vital to society stability, such as banks, healthcare or policing. Identifying these CIIs is the first step to assessing risk of cybercrime on society.First Directory of Technology for Social Development. This project is ongoing and seeks to maintain an open database of relevant technologies. The directory will help stalling technology programs continue by attracting new backers or support.Interactive Exposition: Visions about technology. Interns have contributed to the running of a series of intensive workshops where local participants, such as artists, can be trained up in tricky Information and Communications Technology (ICT) concepts that theyd not normally be exposed to, such as techno-politics, digital rights and internet freedom. The best outcomes from these workshops were made available in a free and interactive exposition for the community. Check the images above to see how it turned out.
Please note: all information above is subject to change. Please check the most up to date information on the Global Nomadic website when applying.",14-Sep-2023,Agenda:Coaching:Coaching & Mentoring:Cybercrime Investigation:Digital Rights:Human Rights:Research Skills:Risk Assessment:Social Development:Team Building
Cybersecurity Incident Response Lead,3720325181,Newtone consulting,"Singapore, Singapore (Hybrid)",62,Mid-Senior level,Contract,Information Technology,Banking,"Job Description & RequirementsThe APAC Production Security teams are responsible for various IT security activities in the region, including IT Production Security Governance, Network Security, Vulnerability and Compliance Management, IAM Production, Production CSIRT, Detection and SIEM Engineering, and Production Support of Security platforms.
The team is seeking a Cybersecurity expert/SME in Detection Engineering and Security Investigation areas to join their Production SOC & Security Investigation & Incident Response team.The main responsibilities of this role include leading technical activities, overseeing detection capabilities, contributing to enhancing SIEM and SOAR capabilities, strengthening detection capabilities, and collaborating with the APAC Business CSIRT.
The ideal candidate for this role should have:Minimum of 8+ years of experience as a security professionalThorough understanding of security technologies and concepts, with knowledge and hands-on experience in SIEM products and security incident managementExperience performing security monitoring and incident response activities in an advanced Security Operations Center (SOC) environment, including log analysis, event analysis, incident investigation, and reportingAbility to investigate incidents, remediate, track, and follow up for incident closure with concerned teams and stakeholdersStrong program and project management expertise, with the ability to take initiative, be proactive, and run decision-making processes autonomouslyExcellent communication and advocacy skills, both verbal and written, with the ability to express complex technical issues in an easily understood mannerAnalytical skills with the ability to interpret complex situations and develop appropriate solutions proactivelyFlexibility to adapt to a fast-paced, changing environment while maintaining a focus on rigour and accuracy in deliverables.",21-Sep-2023,Compliance Management:Cybersecurity:Cybersecurity Incident Response:Incident Management:Incident Response:Information Security:Security Incident Management:Security Information and Event Management (SIEM):Security Operations Center
Cybersecurity Penetration Test Specialist,3633709631,Centre for Strategic Infocomm Technologies (CSIT),"Singapore, Singapore (On-site)",38,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Job Scope
Conduct Vulnerability Assessment against a variety of networks and systems such as Enterprise/SOHO networks and systems, clouds/web services, and IoTsResearch and evaluate open source tools, and develop scripts (e.g., Python, Powershell) to enable penetration testingDevelop methodology to demonstrate the weaknesses of network security products/appliances
Requirements
Degree in Infocomm Security, Computer Science, Computer/Electrical Engineering, Information TechnologyStrong interest in Infocomm SecurityKnowledgeable in cyber technologies, cyber security trends, systems and network administration, cloud technology/platforms, and mobile platform/devicesAble to self-learn new technologies and be innovative to adapt and apply these technologies in operationsAble to program in scripting languages such as Python, PHP, and PowerShellApplicants must be Singapore Citizens
As CSIT is an agency under the Ministry of Defence (Singapore), only Singapore Citizens will be considered.",19-May-2023,
CyberSecurity Specialist,3716928795,Singapore Institute of Management,"Singapore, Singapore (Hybrid)",144,Associate,Full-time,Information Technology,Education Administration Programs,"The Cybersecurity Specialist will guide and manage a team of cybersecurity engineers, playing a pivotal leadership role in enhancing the company's ability to effectively protect and manage the confidentiality, integrity, and accessibility of its critical information and information systems.
ResponsibilitiesWork alongside IT Security team, to formulate and implement IT Security practise across the organisationResponsible for managing IT Security projects for existing infrastructure that include enhancements and new system implementation to be delivered within project timelines.Ensure that daily IT Security related operations are running smoothly and securelyDocument all security polices and proceduresParticipate in management meetings and contribute to the development of regular cybersecurity reporting dashboardsProvide guidance and expertise in the areas of IT governance, IT policies and standards, and effective IT risk assessment practices.Maintain IT Documents to ensure timely review, endorsement, and publishing.Manage the IT Risk Management Framework and ensure alignment within SIM.Work with management on continuous assessment of IT governance and risk management, identify gaps and develop action plans to address themSupport for IT security systems as well as liaising with vendors on all IT Security related matter.Promote, train and create staff awareness of IT security and data protection policies and practicesFirst point of contact for cybersecurity incident and responsible for incident investigation and response activitiesOther duties as assigned by superior
RequirementsDiploma/Degree in Information Systems or equivalentHave at least 5 years of experience in the IT Security fieldStrong experience in vendor, project, service, people, stakeholder management and process improvement.Excellent interpersonal, strong people management and communication skills both written and oral with proven ability to communicate at all levels.Strong technical knowledge of current and developing security technologies would be an advantageAble to have holistic view, able to bridge people, process and information in order to produce appropriate results; ability to see beyond the dot.A self-starter to learn and broaden knowledge to continuously add values to the organization.Preferably with CISSP and CEH qualification or equivalentExperience with Security products like WAF, EDR, SIEM, DLP, email security, PAM would be preferredKnowledge of cloud environments – AWS, Azure, GCP would be an advantaged.",19-Sep-2023,Amazon Web Services (AWS):Cloud Computing:DLP:EDR:Google Cloud Platform (GCP):IT Risk Management:Information Security:Microsoft Azure:Stakeholder Management:Web Application Firewalls
IT Security Specialist,3705649248,SGInnovate,"Singapore, Singapore (Hybrid)",117,Associate,Full-time,Information Technology,Venture Capital and Private Equity Principals,"At SGInnovate, we build and scale Deep Tech startups into companies with global impact. We believe that hard global problems can be solved using Deep Tech, and Singapore, where we are based, is uniquely positioned to realise Deep Tech innovations that can tackle these challenges. Our Deep Tech Nexus Strategy is focused on adding tangible value to the Deep Tech startup ecosystem in two key areas – development of Human Capital and deployment of Investment Capital. With the support of our partners and co-investors, we back entrepreneurial scientists through equity-based investments, access to talent, and business-building advice. Our efforts are prioritised around emerging technologies such as Artificial Intelligence, Autonomous Tech, MedTech and Quantum Tech, which represent impactful and scalable answers to global challenges. SGInnovate is a private limited company wholly owned by the Singapore Government. For more information, please visit www.sginnovate.com.
Responsibilities:1) Cybersecurity Assurance:Establish, maintain, and review cyber security and data security standards, policies, and procedures such that these are in compliance with internal and regulatory practices.Perform administration, management, and incident response investigation of network and endpoint security systems and services, i.e., MDM, MAM, Services, Antivirus, Encryption, Attack Surface Management, Data Loss Prevention, Microsoft Information Protection (MIP).Participate actively in the documentation process: Incident report, capacity planning, and procedures.Evaluate, implement, and manage security tools used for end-user computing, AWS workloads, and SaaS tools.Support Data Protection Office activities related to training, awareness, and incident response.Involve and conduct regular system audits for IT effectiveness, efficiency and security.Manage vendors and ensure deliverables in maintenance agreements are fulfilled. 2) IT Operations:Technical escalation support of Microsoft 365 technologies (Sharepoint, OneDrive, Exchange, Intune MDM & MAM, Teams, Power Automate). Prior working experience is preferred or willing to upskill.Escalation support (remote/onsite), maintenance and resolution of hardware and software issues related to end-user desktops/laptops, servers, printers and other network issues within the organisation as well as AWS subscribed cloud infrastructure.Vendor escalation for desktops/laptop hardware purchases, repairs or software troubleshooting.Maintain and review IT documentations, policies, procedures, covering infrastructure, inventory, service subscriptions/licenses and contracts are in compliance with internal practices.Oversee data backup and protection operations for business continuity.Manage cloud subscriptions and renewals (e.g. Docusign, Zoom, Adobe Acrobat, etc).Contribute to driving digital enablement initiatives in line with the strategic objectives of the organisation, and work with external service providers to implement new applications, projects, business process optimizations, or upgrades.Participate in / conduct meetings with vendors and software providers. Requirements: At least Diploma in Computer Studies, IT Security or a higher qualificationMinimum 8 years of hands-on experience in managing Microsoft 365 technologies and end-user computing technologies as well as AWS cloud technologies.Able to handle procurement independently.Previous experience with management reporting, preferably cybersecurity risk indicators.Good analytical and problem-solving skills with the ability to work independently with minimum supervision.Self-motivated, proactive, resourceful, and result oriented.",06-Sep-2023,Amazon Web Services (AWS):Antivirus:Cyber Security Risk:Cybersecurity:Data Protection Act:Data Security:End User Training:Information Protection:Microsoft 365
Cyber Security Firewall Lead,3496430642,Infosys Compaz Pte Ltd,"Singapore, Singapore (On-site)",363,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"What do we do?At Infosys Compaz(iCompaz), we focus on Digital Transformation for enterprises across industry vertical segments and services. We take clients on a rewarding journey of Digital Transformation, with strengths in AI, Data, User Experience, Cloud, Cybersecurity and Analytics, while also serving clients in their IT management in technology operations, infrastructure and applications. We serve a comprehensive client network spanning multiple industries and are helping clients meet the challenges of the digital economy in financial services, retail, transportation and logistics, telecom, services, and resource sectors, among others.

Job Description Key Responsibilities:
Hands on experience on Firewall (Palo Alto, CISCO), VPN (Zscaler), Proxy (forward, Reverse, Transparent and Web 2.0), SSL interception/MITM & Data leakage space, Security Analytics. Implementation, customization, coding, Support.Candidate should have experience in Zscaler private Access (ZPA) VPN end-to-end implementation.Experience in Deep troubleshooting experience with Zscaler VPN and other Firewalls.Monitors network performance, troubleshoots issues and deploys solutionsGood to have experience with other security solutions like Firewall – Checkpoint or Palo Alto etc.Knowledge of Linux and web application servers (Apache/IIS/Tomcat)Manage front-line technical support to end users on various technical issues and problems regarding their AccessPerform SME role and work on complex technical issues in Firewall, VPN and Proxy.Familiarity with Service Management tools (eg:ISM/ Service Now/BMC remedy) for the logging and tracking of incidents, and service requestsKnowledge of ITIL incident and problem management.Knowledge of Security Incident Event Management ( IBM QRader SIEM) is a add onMust be familiar with Network Protocol Analyzers (tcpdump, Wireshark)Must have deep understanding of network protocols and network security TCP/IP, UDP, DHCP, FTP, SFTP, SNMP, SMTP, SSH, SSL, DNS, RDP, HTTP and HTTPSThe network security SME possesses the technical hand on capability and experience to assess current network security posture, document current/future state, provide roadmap/gap analysis for implementation activities

Education & skills 
Bachelor's Degree in Engineering10-13+ years of Cyber security for Firewall VPN IPSWorking experience, having played roles as VPN end-to-end implementation.Strong reliability and high quality and security awareness.Knowledge of web and application servers (Apache/IIS/Tomcat/Websphere)Perform SME role and work on complex technical issues in Firewall, VPN and Proxy.Customer focused with strong communication, Strong written and verbal communication skillsAble to multi-task and prioritize incidents & requests accordingly


Why iCompaz?iCompaz is a Joint Venture between Infosys Limited and Temasek Holdings, both global leaders in their respective industries, and the JV was created exclusively to bring Digital Transformation capabilities and global skills to the ASEAN market. Temasek Holdings is a global investment company headquartered in Singapore. Infosys is a global leader in next-generation digital services and consulting, headquartered in Bangalore, India.We take pride in our fair employment opportunity. You are welcome at iCompaz regardless of age, race, gender, religion, marital status and family responsibilities, or disability.We offer an inclusive and diverse workplace environment to support your career aspirations. We have a strong emphasis on continuous learning to your professional and personal growth. If you are looking for an opportunity where you would be able to make an impact with what you are good at, and at the same time being able to explore any other area that interests or motivates you, WE’VE GOT YOU COVERED!",31-May-2023,Dynamic Host Configuration Protocol (DHCP):Firewalls:Internet Information Services (IIS):Network Security:Proxy Server:Remote Desktop Protocol (RDP):Tomcat:Virtual Private Network (VPN):WebSphere:Wireshark:Zscaler Zero Trust Exchange
