Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Cloud Support Engineer,3727307057,Ultima,"Singapore, Singapore (Remote)",179,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Please note we are NOT able to provide Visa's or recruit anyone that requires an EP
Job Title: Cloud EngineerCompany: UltimaLocation: Remote (Singapore)Job Type: Full-Time
About Ultima:Ultima is a leading technology company specializing in cloud solutions and digital transformation services. We are committed to helping organizations leverage the power of cloud computing to drive innovation and achieve their business objectives. Our team of experts is dedicated to delivering cutting-edge solutions to our clients, and we are currently seeking a talented Cloud Engineer to join our remote team in Singapore.
Job Description:We are looking for a skilled and motivated Cloud Engineer with expertise in Azure, Azure DevOps, and Ansible to join our dynamic team. As a Cloud Engineer at Ultima, you will play a crucial role in designing, implementing, and managing cloud-based solutions for our clients. This is a remote position based in Singapore, and we are unable to offer visa sponsorship at this time.
Responsibilities:Collaborate with cross-functional teams to understand client requirements and design cloud solutions that align with their business objectives.Deploy and manage cloud infrastructure and services on the Azure platform.Utilize Azure DevOps to implement CI/CD pipelines for application deployment and infrastructure as code (IaC).Develop and maintain Ansible playbooks for automation of provisioning and configuration tasks.Monitor and optimize cloud resources for performance, cost, and security.Troubleshoot and resolve cloud infrastructure issues and implement preventive measures.Provide support for infrastructure environments and assist in resolving technical issues.Stay up-to-date with industry best practices and emerging technologies in cloud computing.
Requirements:Bachelor's degree in computer science, information technology, or related field (or equivalent work experience).Proven experience as a Cloud Engineer or similar role, with a focus on Azure cloud services.Strong knowledge of Azure infrastructure, including virtual machines, storage, networking, and security.Hands-on experience with Azure DevOps for CI/CD and automation.Proficiency in Ansible for infrastructure provisioning and configuration management.Familiarity with scripting languages (e.g., PowerShell, Python) for automation.Understanding of cloud security best practices and compliance standards.Excellent problem-solving skills and the ability to work independently.Strong communication and teamwork skills.Experience in supporting infrastructure environments.
Nice-to-Have:Azure certifications (e.g., AZ-900, AZ-104, AZ-400).Experience with other cloud platforms (e.g., AWS, GCP).Knowledge of containerization technologies (e.g., Docker, Kubernetes).Familiarity with Terraform for infrastructure as code.Previous experience in a remote work environment.
Benefits:
Competitive salary based on experience.Flexible remote work arrangement.Opportunities for professional growth and development.Collaborative and innovative work environment.
How to Apply:
If you are a passionate Cloud Engineer with a strong background in Azure, Azure DevOps, Ansible, and experience in supporting infrastructure environments, and you are ready to take on exciting challenges in a remote work setting, we would love to hear from you. Please submit your resume and a cover letter outlining your qualifications and relevant experience to [email address].
Note: Ultima is an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",27-Sep-2023,Amazon Web Services (AWS):Ansible:Azure DevOps Services:Cloud Computing:Continuous Integration (CI):Docker Products:Kubernetes:Microsoft Azure:Powershell:Python (Programming Language):Terraform
Backend Engineer Intern (Cloud Infrastructure) - 2023,3660627036,TikTok,Singapore,83,,Full-time,Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok will be prioritizing applicants who have a current right to work in Singapore, and do not require TikTok's sponsorship of a visa.

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

We are looking for talented individuals to join us for an internship in 2023. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok.

Successful candidates must be able to commit to one of the following internship cycles below: -
1. Summer Internship - 08 May 2023 to 28 July 2023 (12 weeks)
2. Off-cycle Internship - Starting 09 January 2023 or 14 August 2023

We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date).

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.

About the Team
Our Cloud Infrastructure team is primarily responsible of the infrastructure and technical architecture. We are the bottom layer of the company's technologies, supporting all of our core products and business lines (including TikTok, Douyin and Toutiao), serving hundreds of millions of users every single day. 

In our team, you will develop and work on next-generation infrastructure technologies. We design and build fast, scalable, reliable and efficient systems that can support industry leading volumes and highly dynamic workloads - reaching millions of people across the world. You will tackle world-class challenges in distributed computing, large-scale system design, mass data storage, orchestration & scheduling, messaging middleware, etc. 

You can also expect to work within a highly talented and diverse team, motivated to solve the world's toughest technical challenges. Joining our team, you will be put through a structured and effective training and mentoring plan that is focused on your personal and technical development. 

If you are someone aiming for high, enthusiastic about tackling the world-class hard problems in technology, and enjoy working in a highly-collaborative and diverse environment, this would be the right place for you! 


Responsibilities
- Engage in projects that relate to the underlying infrastructure and technical architecture for all mid-platform and business lines, including but not limited to distributed storage, big-data computing, orchestration & scheduling, as well as messaging middleware;
- Participate in the development of products such as large-scale PaaS services, DevOps platforms, R&D infrastructure for cloud-native, mass data storage systems, and distributed computing systems. 

Qualifications

 - Undergraduate or Postgraduate currently pursuing a Degree/Master/PhD in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
- Strong interest in computer science and internet technology;
- Proficient in at least one general programming language (e.g. Java, C, C++, Golang, Python, etc.);
- Excellent communication skills with a strong thirst for knowledge and a keen desire to learn.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.

If you have any questions, please reach out to us at apac-earlycareers@tiktok.com",13-Sep-2023,C (Programming Language):C++:Cloud Infrastructure:General Programming:Go (Programming Language):Infrastructure Technologies:Java:Programming:Python (Programming Language):Technical Architecture
Senior Cloud Platform Engineer,3702450788,Singtel,"Singapore, Singapore (On-site)",32,Mid-Senior level,Full-time,Engineering:Information Technology,Telecommunications,"At Singtel, our mission is to Empower Every Generation. We are dedicated to fostering an equitable and forward-thinking work environment where our employees experience a strong sense of Belonging, to make meaningful Impact and Grow both personally and professionally. By joining Singtel, you will be part of a caring, inclusive and diverse workforce that creates positive impact and a sustainable future for all.

Singtel is using multiple cloud platform to aaccelerate our transformation to become a digital telecommunication and platform player. The purpose of this role is to enable Singtel to have an efficient, nimble and resilient infrastructure using code. As a Cloud Platform Engineer, your role is to work with team members to deliver & support solutions contributes to corporate strategies. Your deep knowledge on Terraform and Python will help business to achieve faster release cycle and improve systems availability. You will be working in an agile environment, building Cloud platform together Automation and Container Platform engineers.

Key Responsibilities

Contribute to Azure cloud architecture design and engineering

Using Terraform to provision Azure Cloud Infrastructure

Using scripting such as Python, Linux script, Powershell, Shell script

Establish standards and design patterns for Azure Cloud

Using Azure CAF on Terraform to deploy Azure Cloud Infrastructure

Education And Qualifications – Degree

Technical / Professional Skills
 Deep knowledge and experience in Azure Cloud  Scripting skill such as Terraform, Python, PowerShell, Shell script, YAML  Deep Azure CAF on Terraform  Good Knowledge of security controls on Azure Cloud",14-Sep-2023,Security Controls:Terraform
"DevOps Engineer (Infrastructure Management), Systems Platform",3602177632,ByteDance,Singapore,95,Mid-Senior level,Full-time,Information Technology:Engineering,"Technology, Information and Internet","Responsibilities
ByteDance will be prioritising applicants who have a current right to work in Singapore, and do not require ByteDance's sponsorship of a visa.
About ByteDance
Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.
Why Join us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.
About The Team
The System Platform Team is committed to the development and research of large scale Data Center platform development, including but limited to the platform of SSO, asset management, equipment life cycles management, capacity planning, FinOps, AIOps, risk identification, emergency response, configuration changes, and so on. This team builds and leverages various platforms to interact and manage with our infrastructures and services. In order to support our organisation's fast growth and the pursue of elevating operational efficiency, this team is driven to continually build our platforms to be feature rich, easy to use, scalable, agile and compliant with policies and procedures.
Responsibilities
 Responsible for developing the Data Center Infrastructure Operation and Maintenance system, including but not limited to tasks such as server maintenance, system change management, fault discovery, etc; Improve the System's operational efficiency by identifying gaps, analysing data, designing solutions and building automation and tools for large scale systems; Optimise existing systems to improve the availability, maintainability, performance, and robustness; Proactively monitor the system's observability, to detect online faults, investigate root causes and execute timely remedy plans;
Qualifications
 Bachelor's degree or above, major in Computer Science or related; Working knowledge of Data Center Infrastructure including but not limited to servers, networking, switches etc; Familiar with one or more general purpose programming languages, Golang is preferred but not necessary; Working knowledge with common components such as Nginx , MySQL, Kafka, Flink, etc; Possesses a self-driven and responsible attitude with a track record of independently investigating system faults and execute timely remedy plans; Strong foundation in coding style, document writing and management;
ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
",18-Sep-2023,Amazon Web Services (AWS):BMC Helix ITSM:Computer Science:DevOps:Investigation:Root Cause
Cloud Engineer,3731427544,Synapxe,"Singapore, Singapore (Hybrid)",14,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Position Overview
The Cloud Engineer applies extensive technical knowledge of cloud technology and infrastructure to develop and deploy hybrid/multi cloud solutions aligned with business objectives and security requirements. He/She plans and executes migration of infrastructure from on premise servers to the cloud and implements security controls. He/She builds and
maintains auditing and reporting tools that provide information on the current and historical status of infrastructure. He/She develops Proof of Concept (PoC) and performs production engagements on the demo cloud. He/She monitors the performance.
He/She is a creative and comfortable in dealing with the diversity of tasks. He/She ensures that the proposed solution is feasible from multiple perspectives in the areas of ease of migration, affordability and security.
Role & Responsibilities
Define Business requirements
Liaise with stakeholders to understand business needs and technical requirementsAdvise stakeholder on industry trends and how new technologies can be leveraged to meet business objectivesTranslate high level technical requirements into infrastructure changes Define scope and feasibility of projects
Develop cloud solutions
Design cloud infrastructure components in accordance with approved guidelinesRecommend design improvements across areas such as cost savings, security, ease of use and reliabilityIdentify key issues and prioritiesAssess new cloud technologies or offerings, enhance or incorporate into existing cloud architecture framework for adoption and implementation.Develop plans to ensure successful recovery of operating systems during disaster Prepare detailed architectural and installation plans
Implement cloud solutions
Implement cloud solutions and technologyDevelop plans to monitor and administer cloud management platform and associated toolsDevelop tools to deploy, manage, monitor and troubleshoot cloud based systems on or off premises Set up system-monitoring tools
Maintain cloud solutions
Perform capacity and performance management analysisMaintain appropriate controls and documentation to ensure compliance with audit requirements and qualificationsProvide ongoing support to users of cloud servicesRespond to incident tickets to troubleshoot and resolve problems with cloud solutionsParticipate in cloud audits and metric collection exercises
Requirements
Diploma/Degree in Computer Science of equivalentAt least 5 years’ experience in building and managing Network and Security aspect of the Commercial Cloud in Azure and/or AWS services (IaaS, PaaS, SaaS).Experience in planning (including design and architecture), installing, configuring, maintaining AWS and/or Azure cloud environments.Excellent verbal and spoken English skills with ability to influence others to move towards consensus.Strong initiative, good team player, enjoys taking ownership of issues, process driven and great attention to details.
Apply Now
NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!",03-Oct-2023,Amazon Web Services (AWS):Building Performance:Business Requirements:Cloud Computing:Computer Science:Cost Savings:Defining Requirements:English:Technical Requirements:Workable Solutions
Cloud Engineer,3729434511,Accenture Southeast Asia,"Singapore, Singapore",44,Mid-Senior level,Full-time,Information Technology:Engineering,Business Consulting and Services,"About Us
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 624,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.
The Team
Taking the world by cloud. Cloud First offers a full spectrum of cloud services to help our clients realize the value from your investment. We know cloud is more than just technology, so our solutions encompass the workforce and culture change needed for lasting success.
We embrace the power of change to create 360° value by putting cloud at the core of the business. Our approach puts our clients’ business needs first, creating industry-specific solutions to move to—and benefiting from—the cloud now. We discover new and better ways to reveal the power of cloud computing. From migration to cloud management, we work with our clients to help them realize the full promise and achieve value in every direction.
The Role

 Deploy the infra on public Cloud like AWS and Azure

 Engineering of systems administration-related solutions for various project and operational needs

 Managing the escalation of incidents and problems daily from L1 to minimize downtime on customer activities

 Understand customer demands and propose best solutions

 Troubleshoot system and applications issues

 Maintain documents, procedures and technical knowledge transfer

 Report to the team leader about activities and projects

 Collaborate with other teams and team members, sharing and learning

 Keep learning new features of public Cloud platfor

The Right Profile

 Have significant demonstrated success in client-facing situations

 Have an advanced understanding of implementing and supporting Microsoft cloud services, including any of the following:

Azure Core Platform (Compute, Storage, Networking)

Azure Services

NET Core

.NET Architecture

Microsoft Azure Administration

Multiplatform Front End Development Angular

 Have a strong understanding of more “traditional” Microsoft products, such as Windows Server, Windows, IIS, SQL Server, etc.

 Experience coordinating projects is a plus

 Exposure to AWS, GCP, and other cloud services is valuable

",28-Sep-2023,.NET Architecture:.NET Framework:Amazon Web Services (AWS):Microsoft Azure
DevOps Engineer (Infrastructure Management) - Systems Platform,3602181170,ByteDance,Singapore,93,Mid-Senior level,Full-time,Information Technology:Engineering,"Technology, Information and Internet","Responsibilities
ByteDance will be prioritising applicants who have a current right to work in Singapore, and do not require ByteDance's sponsorship of a visa.
About ByteDance
Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.
Why Join us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.
About The Team
The System Platform Team is committed to the development and research of large scale Data Center platform development, including but limited to the platform of SSO, asset management, equipment life cycles management, capacity planning, FinOps, AIOps, risk identification, emergency response, configuration changes, and so on. This team builds and leverages various platforms to interact and manage with our infrastructures and services. In order to support our organisation's fast growth and the pursue of elevating operational efficiency, this team is driven to continually build our platforms to be feature rich, easy to use, scalable, agile and compliant with policies and procedures.
Responsibilities
 Responsible for developing the Data Center Infrastructure Operation and Maintenance system, including but not limited to tasks such as server maintenance, system change management, fault discovery, etc; Improve the System's operational efficiency by identifying gaps, analysing data, designing solutions and building automation and tools for large scale systems; Optimise existing systems to improve the availability, maintainability, performance, and robustness; Proactively monitor the system's observability, to detect online faults, investigate root causes and execute timely remedy plans;
Qualifications
 Bachelor's degree or above, major in Computer Science or related; At least 3+ years of experiences in large scale Data Center operation and management system platform development experience Working knowledge of Data Center Infrastructure including but not limited to servers, networking, switches etc; Familiar with one or more general purpose programming languages, Golang is preferred but not necessary; Working knowledge with common components such as Nginx , MySQL, Kafka, Flink, etc; Possesses a self-driven and responsible attitude with a track record of independently completing system design and implementation; Possesses excellent communication skills with strong interpersonal and leadership skills Strong foundation in coding style, document writing and management;
ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
",17-Sep-2023,Amazon Web Services (AWS):BMC Helix ITSM:Communication:Computer Science:Data Centers:DevOps:Management Systems:Platform Development:Root Cause:Systems Design
DevOps Engineer,3717092356,Marsh McLennan,"Singapore, Singapore (Hybrid)",63,,Full-time,Engineering:Information Technology,Insurance:Business Consulting and Services,"Mercer believes in building brighter futures by redefining the world of work, reshaping retirement and investment outcomes, and unlocking real health and well-being. Mercer’s approximately 25,000 employees are based in 43 countries and the firm operates in over 130 countries. Mercer is a business of Marsh McLennan (NYSE: MMC), the world’s leading professional services firm in the areas of risk, strategy and people, with 85,000 colleagues and annual revenue of over $20 billion. Through its market-leading businesses including Marsh, Guy Carpenter and Oliver Wyman, Marsh McLennan helps clients navigate an increasingly dynamic and complex environment. For more information, visit mercer.com. Follow Mercer on LinkedIn and Twitter.
DARWIN
Darwin is changing Benefits for Good. Our unique and innovative SaaS platform takes employee engagement to a whole new level. We are fast paced, ambitious, people focused and on a journey to dominate the global benefits market.
We are looking for a DevOps Engineer to join our Singapore office.
What can you expect?
We are a dedicated, highly communicative team that have a genuine passion for what we do – we work closely together, (we live in Zoom and Slack), and operate in a busy, but fun environment. We are looking for someone that can fit into this; likes being part of a team, has a growth mind-set and is a good communicator. Some days can be extremely busy but we make sure it’s balanced and understand (as well as encourage) there is life outside of work. We are extremely proud and committed to the team culture we’ve built; no-blame, trusting and can-do.
The successful candidate will play a crucial role in the development, deployment, and maintenance of our .NET SaaS Employee Benefits Platform. You will work closely with the development team to implement robust and scalable DevOps practices, ensuring the continuous integration, delivery, and monitoring of our platform. The ideal candidate will have a strong background in DevOps methodologies, experience with the .NET technology stack, and a passion for automation and infrastructure management.
We will count on you to:

Collaborate with the development team to design, implement, and maintain a reliable and scalable SaaS platform.Build and maintain CI/CD pipelines to automate the software build, testing, and deployment processes.Monitor and optimize the performance, availability, and security of the platform using appropriate monitoring tools and techniques.Troubleshoot and resolve deployment issues, ensuring high availability and minimal downtime.Collaborate with cross-functional teams to ensure smooth integration of new features and enhancements into the platform.Stay up-to-date with the latest DevOps trends, tools, and technologies, and propose innovative ideas to improve the overall infrastructure and development process.

What will make you stand out:

Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent experience).2+ years of experience as a DevOps Engineer or a similar role, preferably in a SaaS environment.Strong knowledge and hands-on experience with the .NET technology stack, including .NET Core and ASP.NET.Proficiency in both private and public cloud platforms, ideally VMware and AWSGood understanding of CI/CD concepts and experience with build automation tools (e.g., Jenkins, Octopus Azure DevOps, GitLab CI/CD).Experience or knowledge of containerization technologies (e.g., Docker, Kubernetes) and container orchestration platforms.Knowledge of scripting languages (e.g., PowerShell, Bash) for automation and infrastructure management.Familiarity with monitoring and log management tools (e.g., Azure Monitor, ELK stack).Strong problem-solving and troubleshooting skills, with the ability to analyse and resolve complex infrastructure and deployment issues.Excellent communication and collaboration skills to work effectively within a team environment.

Preferred Skills:

Familiarity with relational databases (e.g., SQL Server) and NoSQL databases (e.g., MongoDB).Understanding of networking concepts and security best practices in a cloud environment.

Marsh McLennan is committed to embracing a diverse, inclusive and flexible work environment. We aim to attract and retain the best people regardless of their sex/gender, marital or parental status, ethnic origin, nationality, age, background, disability, sexual orientation, gender identity or any other characteristic protected by applicable law.
R_236068",21-Sep-2023,.NET Framework:ASP.NET:Build Automation:DevOps:Gitlab:High Availability (HA):Knowledge Acquisition:Stack:Test Automation Tools:Troubleshooting
DevOps Engineer (SysAIOps) - System Technologies and Engineering,3620493204,ByteDance,Singapore,50,Mid-Senior level,Full-time,Information Technology:Engineering,"Technology, Information and Internet","Responsibilities
ByteDance will be prioritising applicants who have a current right to work in Singapore, and do not require ByteDance's sponsorship of a visa.
About ByteDance
Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.
Why Join us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.
About The Team
The System Technologies and Engineering team is looking for experienced AIOps driven DevOps Engineer in the area of system software management in the large scale Data Center. This individual will work with our global team to develop, deploy, and conduct maintenance of the infrastructure management platform, which mainly focuses in the areas of system software, such as server firmware, operation systems, Operating System (OS), kernel, performance profiling, diagnosis and troubleshooting systems.
Responsibilities
 Responsible for developing, deploying the Infrastructure Operation and Maintenance system, including the system software layer management; Improve the operational efficiency and quality with automation engineering and AIOps technology; Optimise the system maintenance cost by exploring various means from a DevOps perspective; Conduct emergency response for faults or failures related to the platform and the system software;
Qualifications
 Bachelor's degree or above, major in Computer Science or related; At least 3+ years of experiences in large scale operation and management system platform development experience or in similar fields; Working knowledge of Data Center Infrastructure including but not limited to servers, networking, switches etc; Familiar with one or more general purpose programming languages such as Go, Python, Java, Golang is preferred but not necessary; Working knowledge with common components such as Nginx, Clickhouse, Victoria Metrics, MySQL, Kafka, Flink, etc; Possesses a strong foundation in coding style, system design document writing and task management;
ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
",15-Sep-2023,AIOps:Amazon Web Services (AWS):DevOps:Documentation:Management Systems:Operational Efficiency:Platform Development:System Maintenance:System Software:Systems Design
Cloud Platform Engineer,3411375183,OCBC,Singapore (On-site),295,,Full-time,Engineering:Information Technology,Banking:Capital Markets:Financial Services,"Description
Role:
Be an integral part of OCBC Group’s Cloud team to build and operate the multi-cloud infrastructure and services. We leverage modern technology and stacks to support and scale the bank’s applications and provide lasting value to our customers.
The Cloud Platform Engineer will architect, deploy, operate and continuously improve the way that cloud native technologies are used in the bank.
Responsibilities
Build and Operate on our stack of technologies to provide seamless, scalable and elastic services to support business growth.Balance stability and innovation with the appropriate combination of technologies (including private, public and hybrid cloud, virtualization, messaging, automation and containers).Collaborate and work with the various stakeholders to develop technical solutions, plans and configuration for new technology infrastructure stacks.Be on-call on a rotation basis to support internal stakeholdersJob Qualifications
Requirements Possesses at least a Bachelor's Degree in Computer Science/Information Technology or equivalent.Demonstrated knowledge of troubleshooting and tuning across services, operating systems, networks, and hardware.Demonstrated knowledge of scripting in any language.Experience of designing, deploying, and running any of the following is an advantage:OpenShift/KubernetesHP CSA/Microfocus HCMxApache Kafka
Primary Location
Singapore
Job
Technology Solutions
Organization
Group Operations & Technology Division
Schedule
Permanent
Full-time
Job Posting
15-Mar-2023, 3:32:31 PM",21-Sep-2023,Computer Science
