Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Platform Solutions Manager,3716930962,TASConnect,"Singapore, Singapore (Hybrid)",103,,Full-time,,,"Roles & ResponsibilitiesWork closely with stakeholders to develop an in-depth understanding of platform solutions requirements.Identify client & market needs for development of new solutions or technology that will help to be ahead of the competition.Manage key initiatives like engagement with external stakeholders for launching of new initiatives and working closely with Technology team.Create platform collateral that can be leveraged by sales team on solutions and also to appraise internal team.Understand the requirements of each market and help develop market specific solutions and customizations.Assist in Product Roadmap governance process and help track developments & prioritizations.Maintain day-to-day contact with relevant platform stakeholders regarding platform project status and changes and assist from business perspective on finalization of scope of work.Develop and integrate platform solutions with third-party solutions providers.Help to manage with Audit and internal platform related reviews.Demonstrate platform capabilities to clients and internal stakeholders.Prepare & assist to coordinate platform related responses, workflows & collateral for client proposals and also for Request for Proposals (RFPs).Help develop case studies on platform solutions.
RequirementsMinimum Three-Four years of Trade Working Capital Finance product or platform delivery experience either in a bank or in a platformStrong attention to detailsThe ability to identify areas for improvement.A self-starter with demonstrated commercial acumen.Strong written and verbal communication skillsExcellent presentation & analytical skillsProficient in MS Office specially with PowerPoint & Excel. ",19-Sep-2023,Analytical Skills:Attention to Detail:Commercial Awareness:Market Development:Product Service:Request for Proposal (RFP):Skill Development:VBA Excel:Workable Solutions
Cloud Architect,3720315775,EZ-Link Pte Ltd,"Singapore, Singapore (Hybrid)",131,Mid-Senior level,Full-time,Information Technology:Other,Financial Services,"As a Cloud Architect at EZ-Link, you will play a pivotal role in designing, implementing, and managing our cloud infrastructure to ensure scalability, security, and efficiency. You will collaborate closely with cross-functional teams to drive cloud-based solutions that align with our business objectives. If you have a deep understanding of cloud technologies and a passion for staying at the forefront of cloud innovation, we want to hear from you.
Key Responsibilities:Cloud Strategy: Develop and execute the company's cloud strategy, ensuring alignment with business goalsArchitecture Design: Design and implement scalable, reliable, and cost-effective cloud solutionsCloud Migration: Lead cloud migration efforts, assessing on-premises applications for cloud compatibilitySecurity: Implement and maintain cloud security best practices to protect data and resourcesCost Optimization: Monitor and optimize cloud spending, leveraging cost-effective servicesAutomation: Implement automation and orchestration to streamline cloud operationsCollaboration: Collaborate with cross-functional teams to understand their requirements and provide technical expertiseDocumentation: Create and maintain documentation for cloud architecture and configurations
Key Requirements: Bachelor's degree in Computer Science, Information Technology, or related field (Master's preferred)Relevant certifications (e.g., AWS Certified Solutions Architect, Azure Solutions Architect) are a plusPreferred with at least 3-5 years people leadership experience6-8 years of Proven experience as a Cloud Architect or in a similar roleIn-depth knowledge of cloud platforms such as AWS, Azure, or Google CloudStrong understanding of cloud security principles and best practicesExperience with infrastructure as code (IAC) tools such as Terraform or CloudFormationProficiency in scripting and programming languages (e.g., DevOps, Python, Ruby, or PowerShell)Excellent problem-solving skills and the ability to work in a dynamic, fast-paced environment
We regret that only shortlisted candidates will be notified.",21-Sep-2023,AWS Cloud Migration:Amazon Web Services (AWS):Azure DevOps Services:Cloud Migration:Cloud Security:DevOps:Google Cloud Platform (GCP):Microsoft Azure:Powershell:Ruby:Solution Architecture:Terraform
Azure Cloud Architect-Remote-15439,3715620789,Turing,Singapore (Remote),62,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,"Azure Cloud Architect-Remote-15439Location: China and SingaporeEngagement length: 3-6 MonthsProject timezone: UTC-5:00 America/New_YorkOverlap hours: 4 hours/day
Required skills: Azure or Azure DevOps 5+ YoE

Job Responsibilities:On Azure, create, implement, and manage effective, scalable, and secure cloud infrastructureDevelop strong cloud solutions by closely collaborating with cross-functional teams to translate business needsEncourage the implementation of best practices for data management, security, and cloud deploymentsMentor young architects and cloud engineers on the technical sideEnsure that all cloud solutions adhere to relevant industry standards and regulationsIn order to guarantee service dependability and optimal resource allocation, track the performance of the cloud infrastructureIdentify, then fix, any infrastructural constraintsFollow the most recent developments in Azure and related technologiesPromote the addition of new functions or services to our Azure environment in order to advance both technical and commercial developmentJob Requirements:Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)At least 5+ years of relevant experience as an Azure Cloud ArchitectProficient experience with Azure VMs, Azure Kubernetes Service (AKS), Azure Functions, and Azure App ServiceDeep understanding of Azure Networking, Azure Devops and Azure automationFamiliarity with Azure Data Management is nice to haveExcellent conversational and written English skills",13-Sep-2023,Azure Data Lake:Microsoft Azure
Solution Architect,3660356974,Singtel,"Singapore, Singapore (On-site)",92,Mid-Senior level,Full-time,Engineering:Information Technology,Telecommunications,"At Singtel, we believe in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers. We strive to ensure all our people practices are non-discriminatory and provide a fair, performance-based work culture that is diverse, inclusive and collaborative.

Join us and experience what it’s like to be with an Employer of Choice*. Together, let’s create a brighter digital future for all. *Awarded at the HR Fest Awards 2020.

Responsibilities
 Need to be experienced with On-Prem (VMware), Cloud solutions (Public, Hybrid), and managed services. Provide solutions to customer business needs/issues.  Craft a solution proposal that includes the solution design public and private cloud solution, delivery cost or/and managed services cost, etc.  Collaborate with sales specialists to articulate Singtel as an ICT Provider and to understand the customers’ business and technical objectives.  Quality control of partners’ SOW to make sure that the partners’ SOW is in line with those portions that we outsource to them. These have to be meeting the customers’ requirements.  Communicate in a clear, precise, and understandable manner with customers.  Accountable for tasks with on-time completion  Engage with customers, partners, and co-workers with a good interpersonal skill  Effective and confidently articulate the value of Multi-Cloud, VMware solutions  Responds to RFP within the specified time  Pro-active to coordinate with Sales Specialists to generate opportunities 

Requirements  Min Bachelor of Computer Science or Electrical Engineering  Minimum 5 years experience in Public/Private Cloud/VMware/HCI environment.  Vmware Professional Certifications  Cloud Professional Certification.  Good to have - Experience in Business Development, or Product Management.  3-5 years as a Solution Architect  You have experience with VMware, AWS, Azure, Nutanix, Red hat, and P2V/P2P Migration.  You have experience with 3rd party cloud cost optimization and migration tools.  Familiarity with Intermediate knowledge of AWS / Azure / GCP services, architecture, and tools.  VMWare solutions  IaaS, PaaS technologies  Networking (Cloud and On-premises)  Cloud Solution (Azure, AWS, GCP)  Backup solutions (e.g Veeam, Zerto )  Servers Technologies (HPE, Dell, Lenovo)  Managed Services  Good to have: ITIL certifications  Cisco networking  Experience in working with Cloud Management Platforms would be advantageous  Cloud containers Kubernetes, microservices  Effective presentation skills to a small and large audience  Ability to engage at the Senior management level with engineers  Ability to engage customers with confidence.  Ability to work independently and deliver results with specified deadlines",17-Sep-2023,Business Requirements:Cloud Computing:Human Computer Interaction:Hyper-Converged Infrastructure:Nutanix:P2V:Peer-to-peer Computing:Private Clouds:Solution Architecture:VMware
Cloud Solutions Architect,3720976825,DYNAMIC HUMAN CAPITAL PTE. LTD.,"Singapore, Singapore (On-site)",15,Mid-Senior level,Full-time,Engineering:Information Technology,,"Key Responsibilities
Solution Design: Collaborate with clients to understand their business requirements and design cloud solutions that align with their goals and objectives. Create architecture diagrams, technical specifications, and migration plans.Cloud Strategy: Define and implement cloud adoption strategies, including selecting the right cloud platforms (e.g., AWS, Azure, Google Cloud) and services to meet client needs.Technical Leadership: Provide technical leadership and guidance to project teams. Review and oversee the implementation of cloud solutions, ensuring they meet best practices and quality standards.Cloud Migration: Plan and execute the migration of on-premises applications and infrastructure to the cloud, optimizing performance, cost, and security.Security and Compliance: Develop and implement security measures to protect cloud-based assets and data. Ensure compliance with industry standards and regulations.Performance Optimization: Continuously monitor and optimize cloud environments for performance, scalability, and cost efficiency.Troubleshooting: Diagnose and resolve technical issues related to cloud infrastructure and applications.Client Engagement: Build and maintain strong client relationships by providing exceptional technical guidance and support.Stay Current: Keep abreast of emerging cloud technologies and trends. Recommend and implement innovative solutions to improve cloud offerings.
Qualifications
Bachelor's degree in Computer Science, Information Technology, or a related field.Minimum of 8 years of experience in IT, with 5 years of experience on cloud solutions and architecture.Proven experience in designing and implementing cloud solutions on major cloud platforms (AWS, Azure, or Google Cloud).Strong knowledge of cloud computing concepts, including IaaS, PaaS, and SaaS.Experience with cloud-native technologies, such as serverless computing, containers, and microservices.Familiarity with DevOps practices and tools for automated deployment and CI/CD.Excellent communication and interpersonal skills, with the ability to articulate complex technical concepts to non-technical stakeholders.Relevant certifications in cloud architecture and technologies (e.g., AWS Certified Solutions Architect, Azure Solutions Architect Expert) are highly desirable.Strong problem-solving skills and the ability to work effectively in a collaborative team
To Apply
Interested candidates who wish to apply for the advertised position, please click on “Apply Now” and ""ATTN: JOSL""
Alternatively, you may email us an updated copy of your resume (ATTN: JOSL)
We regret that only shortlisted candidates will be notified.
Email Address: joseph.low@dhc.com.sg
Joseph Low | Registration No: R2089920 | EA Licence No: 12C6253
Dynamic Human Capital Pte. Ltd. | 2 Kallang Avenue #03-08 CT Hub Singapore 339407
By submitting any application or résumé to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration.
Under the revised Employment Agencies Licence Condition 5(b), employment agencies (EAs) are required to collect the personal data (e.g., NRIC, FIN) of applicants referred to employers for permanent or contract job positions of at least 6 months with a fixed monthly salary of $3,300 and above. PDPA requirements on collection, use and disclosure of personal data are not applicable to EAs that are collecting such information, as it is a regulatory requirement.
https://www.mom.gov.sg/faq/submit-quarterly-referral-and-placement/are-employment-agencies-allowed-to-collect-personal-data",15-Sep-2023,
"Blockchain Solution Architect / Technical Architect, Technology Consulting",3514238729,EY,"Singapore, Singapore (On-site)",98,Mid-Senior level,Full-time,Engineering:Information Technology,Professional Services,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
Whole industries have been disrupted and transformed in recent years by digital technology.
As a Technology Consulting professional, you’ll help businesses realize the value they can gain from their IT investments — supporting strategy and being a key growth driver. As part of a high-performing team, you’ll deliver exceptional client service — providing advice on how technology enablement, digital transformation and enterprise intelligence contribute to performance improvement, as well as how IT can act as multiplying effect during major program transformations.
As organizations look to leverage the advantage IT offers, we’ll work with you to develop the consultancy and analytical skills that you’ll need in today’s environment. Working on projects that cross borders and sectors, the experiences you gain here will be more valuable than anywhere else. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.
The opportunity
The responsibility of the Solution Architect/Technical Leader is to turn requirements for Blockchain-based products into architected solutions to enable high-value offerings in one or more of our Service Lines. This will also require leading an offshore development team in execution of the Blockchain based products. If you are a passionate enthusiast for advanced technology, and want to learn Blockchain, yet don’t possess those skills, read further.
You are expected to ensure that the feature team(s) you are responsible for adheres to the agile methodologies and continuously improve the associated best practices. You’ll be responsible for identifying and removing the impediments on the way for the feature teams thus creating a self-organizing and sustainable development environment. You’ll be producing management reports that aid in release forecasting, addressing skill-set gaps, improving the engineering practices thus ensuring complete transparency in the feature team operations.
Blockchain technology is a complex emerging capability that is far from mature. Above and beyond any of the “essential” skills for this job, you must have a love of learning and experimentation with new technologies and a passion for learning by doing and leading by example. If you consider yourself an open source enthusiast, a hobbyist in development or a best in class Solution Architect with a desire to gain knowledge in an emerging market, please apply. 
Key Responsibilities:
Execute the development of Blockchain-powered applications by taking requirements and turning them into architected solutions. This includes selecting the right development platform, determining which functionality to include in each development sprint, and organizing offshore development teams.Drive the process to mature promising concepts into prototypes which can be exploited in the marketplace.In collaboration with service line practice and account teams, develop collateral materials and other sale assets, meet with account teams and clients, align technical support with account and engagement teams, generally support and enable sales to ‘charter’ accounts.For successful prototypes, develop MVP requirements with domain experts; collaborate with Blockchain specialists, engineers and solution development leadership and shepherd the development.Many offerings, solutions or enablement tools based on Blockchain technologies and paradigms will require modifications to existing or net new, business models to monetize the value provided. The incumbent in this position will support the design and implementation of appropriate new models.Support and educate the Product Owner, especially with respect to grooming and maintaining the product backlog.Guide the team on self-organizing to fill in the intentional gaps left in the (Agile/Scrum) frameworksCoach the team to higher levels of maturity, at a pace that is sustainable and comfortable for the team and organizationGuide the team to remove impediments by finding the right personnel to remove the impediment.Build a trusting and safe environment where problems can be raised without fear of blame, retribution, or being judged, with an emphasis of healing and problem solving.Facilitate getting the work done without coercion, assigning, or dictating the work.Facilitate discussion, decision making, and conflict resolutionTailor the Agile process to suit the Blockchain software product developmentWorks well both independently and in small teams with limited supervisionMentoring and supervision of other Blockchain engineers and developersAbility to quickly grasp complex business problemsMust be able to provide meaningful analysis, draw conclusions from the results and make the appropriate recommendationsAssess and recommend changes to meet the business needs, based on clients’ needs.
To qualify for the role, you must have:
Bachelor’s degree in Computer Science, Mathematics, Engineering or related technical discipline or a demonstrated track record in software development5+ years’ experience in a software development or systems architecture roleGood skills and knowledge of servant leadership, facilitation, situational awareness, conflict resolution,continual improvement, empowerment, and increasing transparencyKnowledge and/or experience with widely successful Agile techniques: User Personas, User Stories, TDD, Continuous Integration, Continuous Testing, Pairing, Automated Testing, Agile GamesExperience in multiple different programming languages and technology architecturesExperience with open source development (i.e. the Linux operating system/ Apache Web server application)Basic understanding of the fundamentals of encryptionExperience with software architecture design and developmentProven track record of excellent software development skills demonstrated through challenging, technically complex client projectsAbility to lead technical teams comprising scientists, developers and business analysts.Ability to communicate technical matters clearly and effectively to both technical and non-technical audiences, win supporters and spur people to action.Critical thinker with excellent judgment and strong initiative
Ideally, you’ll also have
Past work experience in blockchain technology, encryption, or distributed peer-to-peer systems.Knowledge of numerous well-documented patterns and techniques for filling in the intentional gaps left in the Blockchain development approach (example: numerous Burn-down techniques, numerous Retrospective formats, handling bugs, etc.)Blockchain experience is not a requirement; a self-starter, a passionate enthusiast for advanced technology, and a self-taught developer or programmer, who can work in an environment and embrace on the job learning of Blockchain is neededExcitement for and passion around disruption, technological change, and, ideally, Blockchain technologyEnthusiasm and the interest to learn in an evolving environment
What We Look For
Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.
What Working At EY Offers
EY offers a competitive remuneration package where you’ll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements. Plus, we offer:
Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next.Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs.Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
EY | Building a better working world
EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.
Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.
Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",17-Sep-2023,Blockchain:Conflict Resolution:Digital Authentication:Encryption:Facilitation:Fundamentals:Situational Awareness:System Architecture
Cloud Solutions Architect (AWS),3714443983,Temus,"Singapore, Singapore (On-site)",155,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services:IT Services and IT Consulting,"BackgroundFounded by Temasek and UST, Temus is a start-up aspiring to be Singapore's digital transformation champion, with a mission to empower Singapore’s Smart Nation across public and private sectors and enhance the lives of citizens.
Our services span from strategic advisory through to digital, data and AI delivery. Our focus is on harnessing disruptive innovation to unlock economic and social value enabled by technology. We are growing quickly and looking to recruit highly motivated and talented people to join us on this audacious mission.
Your RoleCollaborate with clients and internal stakeholders to understand their business needs and technical requirements.Design and architect AWS-based solutions that meet business and technical objectives while ensuring scalability, security, and reliability.Develop and present technical proposals, solution designs, and cost estimates to clients.Create and maintain documentation for AWS architectures and best practices.Provide technical guidance and mentoring to development and operations teams.Stay current with AWS services, trends, and best practices to recommend and implement improvements.Assist in troubleshooting and resolving complex AWS infrastructure and application issues.Conduct AWS infrastructure assessments and recommend optimization strategies.Participate in the evaluation and selection of third-party tools and services that enhance our AWS ecosystem.

Your ProfileBachelor's degree in Computer Science, Information Technology, or related field (or equivalent work experience).AWS Certified Solutions Architect - Associate or Professional certification preferred.Proven experience in designing and implementing AWS-based solutions.Strong knowledge of AWS services, including EC2, S3, RDS, Lambda, VPC, IAM, and more.Familiarity with AWS Well-Architected Framework and best practices.Experience with infrastructure as code (IaC) tools such as CloudFormation or Terraform.Excellent problem-solving and communication skills.Ability to work effectively in a collaborative team environment.Strong organizational and time management skills.

 Temus is an equal opportunities employer. We welcome applications from all. We do not discriminate by race, religion, belief, ethnicity, origin, disability, age, partnership status, sexual orientation, or gender identity.
We see the diversity of our team as a strategic advantage, and we work actively to maintain it.
By applying for this role, you have read and acknowledge the data privacy statement via this link - Https://www.temus.com/policy/",12-Sep-2023,AWS CloudFormation:Amazon EC2:Amazon Relational Database Service (RDS):Amazon S3:Amazon Web Services (AWS):Cloud Computing:Organization Skills:Problem Solving:Terraform
Solutions Architect,3716921285,Esri Singapore,"Singapore, Singapore (On-site)",138,,Full-time,,,"Why join us?
Over the past 40 years, Esri Singapore have worked with various organisations to deliver a wide variety of solutions. Our users span across industries, from commercial and retail to national planning and public safety, and have driven the adoption of geospatial technology – Esri’s world-leading ArcGIS platform – as an integral part of their business, for better decision-making and business outcomes.
We are looking for experienced and motivated individuals to advocate a high availability system to support mission-critical geospatial solutions and technologies. Someone with a proven history of delivering complex architecture design that is robust and scalable and also able to lead, advise and partner with our user organisations in their implementation of geospatial technologies. Someone with a proven history of consistently delivering solutions with strong and positive client outcomes, to join Singapore’s largest pool of geospatial solution experts.
This role will appeal to you if you are investigative and enthusiastic, and have a strong experience in designing complex solution and system architecture. It allows you to leverage on your past experiences in technology strategic consulting and be part of a team that delivers solutions to digital transformation scenarios. If you are naturally curious and inquisitive, good at creating and nurturing relationships, and enthusiastic about problem solving, this role will provide you with the right opportunity to achieve your goals.
How will you benefit from this role?
You will:
Architect systems to solve complex challenges faced by our user communities within the public sector including mission-critical operations in defence and public safety to Fortune 500 companies looking to digitise and integrate their business systems.Design and develop digital solutions with your team to identify and solve complex challenges faced by our many clients.Have opportunities to work with a highly skilled and diverse team, deploy the latest Esri technologies, incorporating IoT, Big Data, and Analytics into well-architected solutions and systems for our usersGain awareness of stringent cyber security measures and best practices in system architectingBuild system architecture knowledge and expertise in the fast‑growing field of enterprise geospatial technology, while delivering high availability and scalability solutions.Be able to design and size complex architecture infrastructure in on-premise, cloud and cloud-native environments.Work with a team of geospatial professionals supported by global experts.
What does your role entail?
Represent Esri as a thought leader in solution and system design architecture that satisfies clients’ system requirements, security, and cost to meet and achieve intended outcomes for our user organisations in their implementation of a geospatial strategy.Engage deeply with our user organizations to define winning strategies for supporting their journey of implementing geospatial technologies within their digital transformation strategy and achievement of their strategic goals and objectives.Design and architect enterprise geospatial systems leveraging best practices to achieve system performance, scalability, and security.Documentation of system architectures through formal communications to both internal and external stakeholders, ensuring system constraints and key impact factors are respected for and complied with.Maintain strong engagement with senior executive stakeholders within client organisations.
What experience is required?
Degree in computer science, information technology engineering, GIS, or a related field.Minimal 4 years of working experience in system architecting or leading roles in system implementation for large enterprise systems.This can include:Resolving and optimising implementation gaps that deviate from architecture patterns and standards.Defining internal and external interfaces at system and/or network level.Identifying and tracking of critical aspects at system and/or network level.Establishing verification criteria to ensure critical aspect validation within constraints of the system architectureProven experience in architecting system for On-Premise, Cloud and Cloud-nativeAnalytical and possess good problem-solving skills and proven ability to diagnose business problemsExcellent communication skills to clearly articulate and explain design decisions.Possess effective presentation and relationship building skills.AWS or Azure certifications are preferential.",19-Sep-2023,.NET in Azure:Amazon Web Services (AWS):Analytical Skills:Cloud Computing:Kubernetes:Microsoft Azure:Presentation Skills:Problem Solving:Solution Architecture:System Implementations:System Requirements:Technical Architecture
SAP Cloud Solution Architect,3729434590,Accenture Southeast Asia,"Singapore, Singapore (Remote)",9,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services,"About Accenture
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centres. Our 506,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.
Join Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an unparalleled opportunity to grow and advance. Choose Accenture and make delivering innovative work part of your extraordinary career.
About Our People:
People in our Business & Technology Integration career track excel in:

Driving Sales,

Delivering excellent outcomes to clients through solution architecting, blueprint design, development of a solution, service, capability or offering.

They are expected to balance:

Sales, Pre-sales,

Delivery,

and Capability building in one or more core technology areas.

SAP Cloud Practitioner Role & Responsibilities: 



A professional at this position level within Accenture is expected to be a seasoned SAP Cloud Practitioner that has responsibilities in areas: Sales, Delivery and Practice Building

The individual should have demonstrated Sales Acumen to be able to:

Shape: understand business requirements and shape an offering that brings value to the requirement

Solution: ability to define the solution, the resource plan and implementation approach.

Close: good storytelling capability to pitch the value proposition and bring the deal to a close

Drive internal processes: execution of internal processes in relation to the full sales cycle, including leading up to contracting

The individual should have a proven project delivery track record and be able to:

Drive a delivery of SAP implementation project end-to-end from business case, roadmap to deployment.

Apply nonfunctional requirements and technical knowledge in the SAP Cloud domain to drive design of a robust solution

Senior client stakeholder management

The individual must possess experience in building and leading a practice under them:

Build the capability of the SAP Cloud Practice and enable them to effectively sell and deliver

Manage a team and be responsible for their performance and career progression

Provide a strategy on key capability areas to focus on against market trends and development

Must be able to travel up to 50%
Hard Skills:

Highly proficient in the SAP S/4HANA Technology areas: non-functional requirements, solutioning, technology architecture, infrastructure

Highly knowledgeable in the public Cloud space: ECC to cloud migration, S/4HANA cloud transformation, smart field migration and digital transformation

Integration knowledge to other technology areas and the impact on SAP cloud such as development, extensibility, integration, security, user experience

Have at least 10 years of SAP consulting experience with Sales, and Delivery of an end-to-end design and implementation as the main focus

Have at least 5 cycles of end-to-end SAP implementation delivery and 5 cycles of SAP sales

SAP S/4HANA related certification(s) will be an added advantage

Minimum of 5 years selling/closing and/or delivering deals in Services space in one of the following areas: Cloud enablement and migration, Managed IT Services, IT Service Management. Expertise in Public Cloud (IaaS/PaaS), Data Center Services, Network, and IT transformation

Minimum of 2 years working with Microsoft Azure, AWS, Google Cloud Platform. Certifications in any of the platform a bonus

Soft Skills:

Experience working within a large, matrixed company environment

Experience with C-Level client relationship building and relationship management

Proven ability to operate within a team-oriented environment

Demonstrated leadership, teamwork and collaboration in a professional setting

High energy level, decisiveness and ability to work well in demanding client environments

Excellent communication (written and oral) and interpersonal skills

Strong leadership, problem solving, and decision making abilities

Unquestionable professional integrity, credibility and character

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.
",28-Sep-2023,Business Case Preparation:Project Delivery:SAP Consulting:SAP ERP:SAP FICO:SAP Implementation:SAP Products:SAP S/4HANA:Statutory Accounting Principles (SAP):Technology Architecture
AWS DevOps Architect,3712795934,Cognizant,"Singapore, Singapore (On-site)",159,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Job SummaryAs a key member of the team, ensure success in designing, building and migrating applications, software and services on the AWS platform.Anchor architectural discussions and design exercises to create large scale solutions built on AWS and also be part of the development lifecycle.Workarounds for specific issues and corner scenarios observed during migration.Design and architect the Automation solutions for repeatable problems.Work closely with application teams to ensure business functionality and SLAs are met.Design and architect innovative solutions to complex business and technology problems.QualificationDesign and architect branching strategies and managing the source control – GIT.Design and architect implementation of different deployment patterns.Strong hands on experience in development and code review in Python/Shell/PowerShell along with coding standards (any 2, preferably).Strong hands on experience in development and code review in Infrastructure automation using Cloud Formation, Ansible, Terraform, CDK etc.Design and architect policy as a code to validate IAC against security and governance (Good to have).Design and architect pipeline implementation with multiple stages using tools like Code Build, Code Pipeline, Jenkins, Team city etc.Design and architect Configuration management using Ansible/ Chef/ Puppet/ Bamboo/ TeamCity/ Salt StackDesign and architect infra for Docker/K8s, microservices.Design and architect implement metrics and alerts and take remediation steps as needed.Implementing experience with primary AWS services (EC2, ELB, RDS, Lambda, API Gateway, Route53 & S3).Deep hands-on experience leading the design, development and deployment of business software at scale. Location: This role is open in Singapore, Malaysia and Australia. Please indicate your location of interest in your application. 
About Cognizant:Cognizant (Nasdaq-100: CTSH) engineers’ modern businesses. We help our clients modernize technology, reimagine processes and transform experiences so they can stay ahead in our fast-changing world. Together, we’re improving everyday life. See how at www.cognizant.com or @cognizant.",14-Sep-2023,AWS CloudFormation:Amazon Relational Database Service (RDS):Amazon Web Services (AWS):Ansible:DevOps:Docker Products:Powershell:Python (Programming Language):SaltStack:Terraform
