Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Full Stack Engineer,3712763430,WGT HR Consultancy,"Singapore, Singapore (On-site)",175,Mid-Senior level,Full-time,Engineering:Information Technology,IT Services and IT Consulting:Computer Games,"Responsibilities:
Responsible for the front-end and back-end work of AI native products, tool chain exploration, and company public platformsCrafting user-friendly interfaces, robust server-side components, and APIs that power our AI-driven offeringsConducting explorations into toolchain innovations to optimize development processes
Requirements:
Bachelor's degree or above in computer-related majorsMinimum 1 year of full-stack development experienceDeep understanding of various web front-end technologies, including experience in developing with JavaScript, TypeScript, Node.js, React.js or Vue.jsGood programming literacy and engineering practice ability, familiar with and can effectively use design patterns (like MVC, MVP, MVVM) to optimize code structure and improve code maintainability.
By submitting any application or resume to us, you will be deemed to have agreed and consented to us disclosing your personal information to prospective employers for their consideration.We regret only short-listed candidates will be notified.
EA License | 18C9251Registration No | R22111484",14-Sep-2023,Design Patterns:Full-Stack Development:JavaScript:Model-View-Controller (MVC):Model-view-viewmodel (MVVM):Node.js:React.js:Server Side:TypeScript:Vue.js
Frontend Developer,3713493873,Space Executive,"Singapore, Singapore (Hybrid)",283,Associate,Full-time,Engineering:Information Technology,"Technology, Information and Internet:IT Services and IT Consulting","Our client, a stable, well-funded start-up is looking for a mid-level Frontend Developer to be a part of their expansion plans. Working under the guidance of the Technology Department's leader, and as a vital member of the Engineering group, you will be tasked with constructing adaptable, well-protected, and efficient systems while adhering to industry standards, across a variety of platforms.
Key Responsibilities:Use markup languages like HTML to create user-friendly web pagesMaintain and improve websiteOptimize applications for maximum speedDesign mobile-based featuresCollaborate with back-end developers and web designers to improve usabilityGet feedback from, and build solutions for, users and customersWrite functional requirement documents and guidesCreate quality mockups and prototypesHelp back-end developers with coding and troubleshootingEnsure high quality graphic standards and brand consistencyStay up-to-date on emerging technologies
Key Requirements:Degree in Computer Science or relevant fieldProven work experience as a Front-end developer (big plus if in a start-up environment)At least three years of experience with React HooksExperience with JavaScript, CSS and jQueryFamiliarity with browser testing and debuggingIn-depth understanding of the entire web/platform development process (design, development and deployment)Understanding of layout aesthetics",15-Sep-2023,Cascading Style Sheets (CSS):Computer Science:Debugging:Front-End Development:HTML:JavaScript:Markup Languages:Mockups:Prototyping:jQuery
Full Stack Developer,3716491694,nSearch Global Pte Ltd,"Singapore, Singapore (Hybrid)",116,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting:Banking,"Our client, one of Asia-Pacific’s leading organization is looking for:
Full Stack Developer
You will be working within a highly motivated agile development team to deliver high-quality software applications according to requirements. This may include Web application front-ends; Web application/API back-ends; Automation scripts
Responsibilities:
Minimum of 5 years’ relevant working experience, of which at least 1 year in managing a team is preferred. Experience in modern web application technologies such as React, Typescript, Nodejs, PostgreSQL, TypeORM, are required. Experience in Nextjs, RoR (Ruby on Rails) are good to have.
Experience in the following would be advantageous:
Agile processes/practices (e.g. Scrum, Extreme Programming)Continuous integration/continuous deploymentDocker/container technologyKubernetes along with docker and containerPostgreSQLCloud/PaaS platforms, such as AWS/Heroku/OpenShiftServerless Framework
---------------------------------------------------------------------------------Interested applicants can also email CV at harry@nsearchglobal.com (for faster processing, please state the exact job / position title applied “Full Stack Developer"")
Only shortlisted candidates will be notified.---------------------------------------------------------------------------------
EA License Number: 10C3636EA Personnel Name: Arora, HardeepEA Personnel Registration Number: R1111454",19-Sep-2023,Agile Methodologies:Amazon Web Services (AWS):DevOps:Next.js:Node.js:PostgreSQL:React.js:Ruby on Rails:TypeORM:TypeScript
Full Stack Developer,3729436183,Accenture Southeast Asia,"Singapore, Singapore",17,Entry level,Full-time,Information Technology:Engineering,Business Consulting and Services,"About Accenture
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centres. Our 506,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.
Accenture is an Irish-domiciled multinational professional services company that provides services in:

 Technology

 Strategy & Consulting

 Interactive

 Operations

As a Fortune Global 500 company, it has been incorporated in Dublin, Ireland since September 1, 2009.
With more than 500,000 employees worldwide—in 200 cities across 51 countries—Accenture also operates more than 100 “innovation hubs,” developing solutions for cloud, finance, and other industries.
The Pillar 
Accenture Technology combines business and industry insights with innovative technology services to transform your business. Join one of the world’s largest independent providers of technology services to grow your expertise and help clients worldwide to innovate at scale and transform their businesses. Help change how the world works and lives through technology innovation.
The Group
Accenture Cloud First is a new multi-service group of 70,000 cloud professionals that brings together the full power and breadth of Accenture’s industry and technology capabilities, ecosystem partnerships, and deep commitment to learning and upskilling clients’ employees and to responsible business, with the singular focus of enabling organizations to move to the cloud with greater speed and achieve greater value for all their stakeholders at this critical time. Specifically, this new group integrates the company’s wide-ranging cloud expertise, including:

Software Development, Cloud migration, infrastructure, and application services and ecosystem partnerships; deep industry and cross-industry insights, data and Applied Intelligence capabilities

Responsibilities include but are not limited to:

Be a SME for node.js and support the application on top of SAP Cloud platform and SAP framework

Be part of an agile team in developing software products to fulfill client’s vision

Work with client to brainstorm, design, implement and test the software product, and present deliverables to client in different forums e.g. sprint ceremonies.

Facilitate cross team collaborations and system to system integration

Work in a DevOps mode, support system monitoring and operations when required

Critical Success Factors
Mandatory

A minimum of 1-6 years software engineering experience.

Good fundamentals in Node.js

Good to have but not must:
Knowledge / experience in the following

SAP Cloud Application Security

SAP Cloud Architecture

All of our consulting professionals receive comprehensive training covering business acumen, technical and professional skills development. You’ll also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.
",22-Sep-2023,Cloud Applications:DevOps:Java:JavaScript:Knowledge Acquisition:Node.js:SAP Cloud Platform:Software Development:System Monitoring
Full Stack Developer,3371566653,Infosys Compaz Pte Ltd,"Singapore, Singapore (On-site)",980,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"What do we do?At Infosys Compaz(iCompaz), we focus on Digital Transformation for enterprises across industry vertical segments and services. We take clients on a rewarding journey of Digital Transformation, with strengths in AI, Data, User Experience, Cloud, Cybersecurity and Analytics, while also serving clients in their IT management in technology operations, infrastructure and applications. We serve a comprehensive client network spanning multiple industries and are helping clients meet the challenges of the digital economy in financial services, retail, transportation and logistics, telecom, services, and resource sectors, among others.
Key Responsibilities :  Design and build web and mobile friendly applications with modern JavaScript and state management frameworks. Knowledge in DevOps setup and building pipeline, Spring boot, Microservices, React, TOSCA Testing tool knowledge. Strong JavaScript, HTML5, CSS skills, and having the knowledge in CSS in JS and Web Component Research and select toolsets to enhance user experience with dynamic content. Interact with backend APIs and optimize responsiveness. Work closely with UX designers to collect requirements and verify design feasibility. Research UI design and development techniques to find innovative and elegant solutions to complex UI problems. Knowledge of related trends such as DevOps, Performance Engineering, AB Testing etc. Experience with the Atlassian Toolchain (Bitbucket, JIRA, Bamboo, Amazon Device Farm, Confluence). Automotive, Finance or Banking Industry experience a definite plus. Strong solution orientation and problem-solving skills. Excellent communication and interpersonal skills in an Asian multicultural project environment. Ability to present concepts clearly to management. Self-starter and active driver of change especially in terms of digital mind-set & tools. Willingness to collaborate re. knowledge sharing.  Requirements:  Degree holder in Computer Engineering / Science, Information Technology or equivalent.Passionate coder with 5-10 years of Application Development experience.Experience in DevOps , Spring boot, Microservices, React, TOSCA Testing tool knowledge.Experience in JavaScript, HTML5, CSS skills, and good knowledge in CSS in JS and Web Component Good knowledge of DevOpsExcellent analytical skillsExcellent oral and written communication
Why iCompaz?iCompaz is a Joint Venture between Infosys Limited and Temasek Holdings, both global leaders in their respective industries, and the JV was created exclusively to bring Digital Transformation capabilities and global skills to the ASEAN market. Temasek Holdings is a global investment company headquartered in Singapore. Infosys is a global leader in next-generation digital services and consulting, headquartered in Bangalore, India.We take pride in our fair employment opportunity. You are welcome at iCompaz regardless of age, race, gender, religion, marital status and family responsibilities, or disability.We offer an inclusive and diverse workplace environment to support your career aspirations. We have a strong emphasis on continuous learning to your professional and personal growth. If you are looking for an opportunity where you would be able to make an impact with what you are good at, and at the same time being able to explore any other area that interests or motivates you, WE’VE GOT YOU COVERED!",02-Feb-2023,Analytical Skills:Cascading Style Sheets (CSS):DevOps:Full-Stack Development:HTML5:JavaScript:React.js:Software Development:Spring Boot:Spring Framework
Full Stack Developer,3686303382,JAC Recruitment,"Singapore, Singapore (On-site)",127,Entry level,Full-time,Engineering:Information Technology,Staffing and Recruiting,"Singapore 
Job Description
As a Full-Stack developer of Company, you will play an integral role in our software and solution
development by delivering production-ready code ranging from front-end or back-end related
components.
Your primary focus is to deliver production ready software or project solutions while adhering to industry level security concerns. You will work alongside several developers and a subject matter expert to ensure the high quality of our solutions.
Responsibilities
 Guide junior engineers and provide advisory input for software or solution development Participate in design and creation of scalable software with a microservices architecture Build highly responsive applications with appealing visual design Write effective APIs, reusable components, and software for future use Optimize performance of applications for full scale production deployments Test software to ensure responsiveness and efficiency Data migration, integration, transformation, and scripting Write Technical Documentation

Skills And Qualifications
 Bachelors or equivalent qualification in Computer Science/Computer Engineering At least 5 or more years of experience in software development in relevant roles Previous track record of maintenance / delivery / execution of software or platform

applications in both front-end and back-end.
 Strong Proficiency in Python, Java, Javascript and C++ or C-Sharp. Strong Proficiency in Front-End Frameworks (Node.JS / Angular / React / CSS / HTML ) and

Tools (Photoshop)
 Strong Proficiency in Databases (SQL / No SQL / Graph) and Back-End Knowledge (.Net,

MongoDB, Redis etc)
 Proficiency with Data Pre-processing, ETL Tools and Techniques Experience with Docker / Kubernetes (k8s) / AI Operations Strong Understanding of code versioning tools (Git / Github or Gitlab) Strong Understanding of security principles Experience with Agile Methodologies, SDLC and Production-Grade Code. Self-driven, ability to work independently and cross-functionally in teams. Good problem-solving skills Strong interpersonal and communication Skills

Bonus / Preferred Qualifications
 Participated and ranked in hackathons Experience with Big Data-related Roles Understanding of Elastic Stack / Big Data (Cloud-Platforms)

To Apply
Please apply online. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified.
Thank you for your understanding.
Mehak Ankar (R22104876)
JAC Recruitment Pte Ltd (EA Lic No: 90C3026)",22-Sep-2023,Angular:Back-End Web Development:Cascading Style Sheets (CSS):ETL Tools:Front-End Development:HTML:Java:Python (Programming Language):React.js:Software Development
Full Stack Engineer,3725795574,Millipede,"Singapore, Singapore (On-site)",204,,Full-time,,,"About the roleThis employee will be in a unique position to have a tremendous impact on the business and the future direction of Millipede. As a joiner at an early stage, you will have the opportunity to lay the foundation upon which our platform will grow beyond our initial customer base.
ResponsibilitiesParticipate in the end-to-end life cycle of the production of software and applications (from ideation to delivery and maintenance)Design technical solutions with our users in mind and collaborate with the full team to implement, test, and evaluate those solutionsDeliver high quality code in a highly collaborative, fast paced and iterative environmentOptimizing our internal and external documentation to improve customer supportBe a steward for good engineering practice at Millipede
Required Skills3-5 years of experience working with product and engineering teamsProficiency with the technologies listed belowDetail oriented, organized and diligent with ability to prioritize and execute on multiple tasksGreat communication skills and a strong team playerComfortable with explaining technical concepts to a range of audiencesProblem solving mindset with an ability to resolve open ended problemsFamiliarity with Agile practicesB.S or B.A in any relevant field
Technologies you’ll work with:TypeScript, Node.jsGoogle Cloud, Firebase, iOS, Androidreact-native, Expo
BenefitsMilli-Nest benefits to spruce up your work station. Use it for whatever you need to boost your productivity!Milli-Cares yearly benefit which you can use on a variety of health and wellness related expenses e.g Health insurance, health screenings, gym membership, dental and prescription glasses.",22-Sep-2023,Firebase:Full-Stack Development:Google Cloud Platform (GCP):JavaScript:Node.js:Problem Solving:React Native:React.js:Teamwork:TypeScript
Full Stack Developer (React_NodeJS_Python_JavaScript_.NET),3714442909,Maltem Asia-Pacific,"Singapore, Singapore (On-site)",123,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Maltem Singapore is currently seeking a Full Stack Developer for our Wealth Management Client to support their Emplify Project.
Requirements :Familiarity with the whole web stack, web protocols, and web performance optimization techniques.Proficient in React and Redux.Experience in at least one CSS preprocessor :SASSLESSPostCSSStylus
Proficient in at least one of the backend languages :Javascript/Typescript on NodejsPython on Flask.NET 3.x and above.Experience in SQL is a must.Must be comfortable to perform a Technical Assessment and Live Coding Test as part of the interview process.
Good-To-Have :Experience in AWS services (DynamoDB, Lambda) is advantageous.Experience in Informatica is advantageous.",12-Sep-2023,Cascading Style Sheets (CSS):Flask:JavaScript:Node.js:Python (Programming Language):React.js:Redux.js:SASS:SQL:TypeScript
Full Stack Developer (Web Software Developer),3680553681,CGG,"Singapore, Singapore (Hybrid)",374,Entry level,Full-time,Project Management:Information Technology,IT Services and IT Consulting,"Company Description
CGG is a global technology and HPC leader that provides data, products, services and solutions in Earth science, data science, sensing and monitoring. Our unique portfolio supports our clients in efficiently and responsibly solving complex digital, energy transition, natural resource, environmental, and infrastructure challenges for a more sustainable future.
Our proven geoscience technology and expertise across digital sciences, geophysics, geology & engineering, satellite mapping and multiphysics and our unique digital Earth Data library support the discovery and development of natural resources, while bringing greater subsurface insight for key areas of focus for the energy transition, such as CCUS, geothermal and critical minerals.
We also deliver environmental science intelligence for ESG, energy transition and pollution monitoring applications and offer specialized HPC and digital capabilities to leverage client data and accelerate workflows and decision-making.
Sercel designs and manufactures high-tech solutions for subsurface exploration as well as structural health monitoring, defense and underwater acoustics applications.
Job Description
Become Part of our Team
We are looking for enthusiastic and talented individuals to join our largest Asia-Pacific center, based in the Singapore.
As a Full Stack Developer, you’ll play a vital role in the support, enhancement and on-going development of a large variety of cutting edge web applications and productivity tools. In this high impact role, emphasis for this position will be on server-sided coding with significant involvement in front-end design. As an integral member of our global web development team, we highly encourage the contribution of ideas and drive in the generation and delivery of new concepts, through collaboration with colleagues and our business functions to improve product design.
Qualifications
Bachelor's degree or higher in Computer Science, Web Technologies, or related field, or equivalent practical experience.
Key Skills & Competencies
A passion for programming, technology, and enthusiasm for analytical and problem-solving challengesThrough formal education or self-learning, a good understanding of the programming fundamentals (PHP, Phyton or other languages) and solid knowledge of HTML5, AJAX, JSON, CSS, JavaScript, and database platforms (example MySQL, MariaDB, Oracle, Elastic)Proficiency to design, build, test and support innovative web-based applicationsGood to have experience or skills in the server side (example Nginx, Kubernetes, Debian)The ability to define and manage project deadlinesThe ability to balance workloads across a wide variety of projectsTo innovate and have fun through collaboration and generation of ideas which lead to software performance and user interface improvements or delivery of new conceptsTo communicate effectively with end users from a wide variety of business functionsAn enthusiastic attitude towards learning and flexibility to adapt to new challenges or changes in direction
Additional Information
We see things differently. Diversity fuels our innovation, we value the unique ways in which we differ, and we are committed to equal employment opportunities for all professionals.
",02-Aug-2023,Attitude Change:HTML5
Full Stack Engineer,3317083814,Capgemini,"Singapore, Singapore (Hybrid)",1438,Mid-Senior level,Full-time,Engineering:Information Technology:General Business,IT Services and IT Consulting:Financial Services:Banking,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 340,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2021 global revenues of €18 billion
About the Job:  We are looking for an experienced Full-Stack Developer with an eye for details to join us in the development and support of the consumer risk applications. You will work with a variety of technologies. You will get to work in a fun environment, learn new things and take on cool challenges. The end work will expose you to web components, micro-frontends and a host of other cool technologies, whilst the backend work will require knowledge of the building micro services using technologies like Spring Boot and PCF.  Responsibilities:  Design and develop a responsive and stylish user interface framework and web components from ground up with latest technology not limiting to HTML5, Javascript and CSS3 Design and develop micro service-based API using REST, GraphQL and Reactive principles where applicable. Engineer services for high resiliency and performance. Building new user interface framework to be extensible to various consumer risk applications and web components to be easily distributed for use in other business unit web applications Working to create the interactive, reusable web components for the frontend interface Engineering the user experience for the interface Working with the QA to create automation tests for the user interfaces Collaborating with a team of IT professionals in an agile team Writing high quality source code and deliver the application within tight deadline Troubleshooting and fixing bugs in front end and backend Develop technical documents to accurately represent application design and code  Requirements:  Clear understanding of JavaScript fundamentals like closures and prototypes Understand and be able to articulate the difference between functional and OO programming principles Frontend frameworks like Angular, WebComponents, Vue, Polymer etc Backend frameworks like Spring, Spring Boot, NodeJS (Express) etc. Hands on experience in graph databases like Neo4j is preferred Implemented search functionalities using Elasticsearch / Apache Solr / AWS Opensearch Writing type safe JavaScript code like Typescript (preferred), flow etc Redux for managing application state management Have a working understanding of any frontend automation testing framework A working understanding of Nodejs would be good. Experience in front-end development such as HTML, CSS, pre-processors such as Less, Javascript including libraries like ExtJS, KnockoutJS and JQuery, linters and minifiers User experience engineering Experience in using source code management tool such as Git and SVN Experience in using binary repository manager such as JFrog’s Artifactory or Sonatype Nexus Familiarity in Atlassian products such as JIRA, Confluence, Bitbucket Server (formerly Stash) Experience in Java web service frameworks/style such as Apache CXF and REST including its data interchange format/definition such as XML, JSON, WSDL Experience in database technology such as Oracle database, in-memory database (H2, HSQLDB) and its language SQL, PL/SQL. Able to construct hierarchal query  We are also interested if you have:  Strong organizational skills to manage assignments effectively and working within tight deadlines Strong communications skills to collaborate with developers, QA, project managers and other stakeholders Familiarity with the agile development process and mobile development with HTML5, experience in continuous integration such as Jenkins CI or its equivalent and experience in Java OOP, multi-threading is a plus Passion for learning and self-improvement is greatly preferred At least 3 years of relevant working experience Degree in Computer Science/ IT or other related fields 
Let's talk about what's in it for you!
Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.
As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:
Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.
Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.
Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.
Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.
Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.",23-May-2023,Apache:Full-Stack Development:Java:JavaScript:MongoDB:Neo4j:Node.js:Pivotal Cloud Foundry (PCF):Spring Boot:Spring Webflux:Vue.js:XML
