Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Frontend Developer,3727680800,Zenika Singapore,"Singapore, Singapore (Hybrid)",343,Mid-Senior level,Full-time,Information Technology:Consulting,IT Services and IT Consulting:Software Development,"Is there a Zenika dormant in you?
We could talk about experience... But first let's talk about skills and appetite!
Coding is good…but Clean coding is better! That's why you strive to write code that embodies good craftsmanship 🧰Beyond the code, you know the importance of methodology such as Agile & DevOps💡You are fueled by passion to test out the latest technologies and share your findings with your peers🪄As part of your daily toolkit, you keep an eye on Github, Stackoverflow, and Twitter. ⚒️You are also mindful of the impact of IT on the environment and value green IT practices. 🌱You enjoy learning from and sharing knowledge with your peers through internal events like TechnoZaure, NightClazz, and RemoteClazz 🎤You don't take yourself too seriously and thrive in a fun and friendly environment 🎉You regularly read top technical blogs, and you may even contribute to an open-source project. 😌
At Zenika, we consider the following to be essential for a skilled Front End Developer:
You have a strong experience writing web apps using popular JS/TS frameworks and libraries (Angular, ReactJS, Vue.js, RxJS, Redux...).You are also skilled using front-end programming tools such as NPM, Webpack, Gulp, Grunt...You have a strong knowledge of the best UI coding practices (CSS in JS, styled components, custom hooks, state machines) and architecture patterns (MVC, MVVM, reducer patterns, Flux…).Write clean, efficient, and reusable code using modern JavaScript frameworks, libraries, and best practices.Conduct thorough testing and debugging to ensure the delivery of high-quality, bug-free software.Familiarity with frontend testing frameworks and methodologies (e.g., Jest, Enzyme, Cypress).Understanding of responsive design principles and experience with building mobile-first and responsive web applications.
As a Front End Developer with us, you may be assigned to:
Play a key role in building our user-facing web applications, ensuring a smooth and intuitive user experience.Collaborate with cross-functional teams including designers, product managers, and backend engineers to deliver high-quality frontend solutions.Translate UI/UX designs and wireframes into functional, responsive, and pixel-perfect web pages.Collaborate with backend engineers to design and integrate APIs and ensure seamless data flow between the frontend and backend systems.
Who are we ?
Zenika was originally conceived by the idea of a developer; a consultant who is passionate about IT.
Carl Azoury, founder and CEO of Zenika, wanted to create a consultancy aligned with his values where the consultant is at the heart of the company
How ?
By having time to train, work on open source projects or do research. By establishing both technical and commercial aspects closely.By being transparent about the rates or by really taking into account your expectations and your constraints on your next missions/projects.
Our project: Coding the world 🌍
Since 2006, Zenika has been established as a real community of consultants who are experts in Open Source technologies, in the spirit of Craftsmanship.
Anticipating changes is at the heart of our activities, where understanding the needs of tomorrow's ecosystem is done today.
Technophiles at heart, our collaborations play a real role of expertise and advice for our clients
As you can see, Zenika is a company created by techs, for techs!
Zenika is also...
11 agencies for you to explore France… and the world! 🌍28,000+ people trained around the world by Zenika, from which you can also benefit from! Make your choice on the ones you would like to follow 👉🏼 https://training.zenika.com/fr-fr/16 partners including Google Cloud, Elastic, Confluent, Scrum.Org and management 3.0! 🤝Thousands of days allocated outside of missions, to keep you at the forefront of new technologies (conferences, articles, open source projects...) 😌2 TechnoZaures per year to meet and share our skills550 enthusiasts proud to wear the colors of Zenika wherever they go 🤩
Do you also want to join a company of enthusiasts?
Come and share your experiences and future aspirations with the recruitment team, challenge your knowledge with one of our technical experts, and project yourself into your career at Zenika by meeting a manager!
Join us in coding the world, and together, let's code your story!",25-Sep-2023,Cascading Style Sheets (CSS):Containerization:Front-End Development:Gulp.js:JavaScript:Next.js:React Native:React.js:Redux.js:TypeScript:Vue.js
Frontend Developer - Training Provided!,3690470353,GECO Asia Pte Ltd,"Jurong, Singapore (On-site)",428,Entry level,Full-time,Other,IT Services and IT Consulting,"We are looking for motivated IT Professionals who are interested to upskill their technical expertise to become a Frontend Developer.
If you possess the basic skill requirements below, then you are the person we are looking for. Apply now!
Job Requirements & Qualification
3+ years of experience relevant experience in UI/UX Design.Strong awareness of UX approaches and methodologies – research, interviews, personas, task analysis, sitemap, wireframing and prototyping.Great design and communication skillsFigma/Adobe/Mural know-howStrong interpersonal and communication skills.In-depth understanding of business needs and users.Be able to maintain a healthy team spirit.Ownership for the team and deliverables.Capability to perform tasks independently as well as motivating team members to take ownership in their respective work areas.Have a keen eye on finer details in design principles, concepts, layout, alignment, visualization, etc.Have an eye for usability, minimalism, and simplicity.",10-Aug-2023,Business Requirements:Interpersonal Communication:Minimalism:Team Motivation:User Experience (UX):User Interface Design:Wireframing
Frontend Developer,3713493873,Space Executive,"Singapore, Singapore (Hybrid)",283,Associate,Full-time,Engineering:Information Technology,"Technology, Information and Internet:IT Services and IT Consulting","Our client, a stable, well-funded start-up is looking for a mid-level Frontend Developer to be a part of their expansion plans. Working under the guidance of the Technology Department's leader, and as a vital member of the Engineering group, you will be tasked with constructing adaptable, well-protected, and efficient systems while adhering to industry standards, across a variety of platforms.
Key Responsibilities:Use markup languages like HTML to create user-friendly web pagesMaintain and improve websiteOptimize applications for maximum speedDesign mobile-based featuresCollaborate with back-end developers and web designers to improve usabilityGet feedback from, and build solutions for, users and customersWrite functional requirement documents and guidesCreate quality mockups and prototypesHelp back-end developers with coding and troubleshootingEnsure high quality graphic standards and brand consistencyStay up-to-date on emerging technologies
Key Requirements:Degree in Computer Science or relevant fieldProven work experience as a Front-end developer (big plus if in a start-up environment)At least three years of experience with React HooksExperience with JavaScript, CSS and jQueryFamiliarity with browser testing and debuggingIn-depth understanding of the entire web/platform development process (design, development and deployment)Understanding of layout aesthetics",15-Sep-2023,Cascading Style Sheets (CSS):Computer Science:Debugging:Front-End Development:HTML:JavaScript:Markup Languages:Mockups:Prototyping:jQuery
Full Stack Developer,3371566653,Infosys Compaz Pte Ltd,"Singapore, Singapore (On-site)",980,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"What do we do?At Infosys Compaz(iCompaz), we focus on Digital Transformation for enterprises across industry vertical segments and services. We take clients on a rewarding journey of Digital Transformation, with strengths in AI, Data, User Experience, Cloud, Cybersecurity and Analytics, while also serving clients in their IT management in technology operations, infrastructure and applications. We serve a comprehensive client network spanning multiple industries and are helping clients meet the challenges of the digital economy in financial services, retail, transportation and logistics, telecom, services, and resource sectors, among others.
Key Responsibilities :  Design and build web and mobile friendly applications with modern JavaScript and state management frameworks. Knowledge in DevOps setup and building pipeline, Spring boot, Microservices, React, TOSCA Testing tool knowledge. Strong JavaScript, HTML5, CSS skills, and having the knowledge in CSS in JS and Web Component Research and select toolsets to enhance user experience with dynamic content. Interact with backend APIs and optimize responsiveness. Work closely with UX designers to collect requirements and verify design feasibility. Research UI design and development techniques to find innovative and elegant solutions to complex UI problems. Knowledge of related trends such as DevOps, Performance Engineering, AB Testing etc. Experience with the Atlassian Toolchain (Bitbucket, JIRA, Bamboo, Amazon Device Farm, Confluence). Automotive, Finance or Banking Industry experience a definite plus. Strong solution orientation and problem-solving skills. Excellent communication and interpersonal skills in an Asian multicultural project environment. Ability to present concepts clearly to management. Self-starter and active driver of change especially in terms of digital mind-set & tools. Willingness to collaborate re. knowledge sharing.  Requirements:  Degree holder in Computer Engineering / Science, Information Technology or equivalent.Passionate coder with 5-10 years of Application Development experience.Experience in DevOps , Spring boot, Microservices, React, TOSCA Testing tool knowledge.Experience in JavaScript, HTML5, CSS skills, and good knowledge in CSS in JS and Web Component Good knowledge of DevOpsExcellent analytical skillsExcellent oral and written communication
Why iCompaz?iCompaz is a Joint Venture between Infosys Limited and Temasek Holdings, both global leaders in their respective industries, and the JV was created exclusively to bring Digital Transformation capabilities and global skills to the ASEAN market. Temasek Holdings is a global investment company headquartered in Singapore. Infosys is a global leader in next-generation digital services and consulting, headquartered in Bangalore, India.We take pride in our fair employment opportunity. You are welcome at iCompaz regardless of age, race, gender, religion, marital status and family responsibilities, or disability.We offer an inclusive and diverse workplace environment to support your career aspirations. We have a strong emphasis on continuous learning to your professional and personal growth. If you are looking for an opportunity where you would be able to make an impact with what you are good at, and at the same time being able to explore any other area that interests or motivates you, WE’VE GOT YOU COVERED!",02-Feb-2023,Analytical Skills:Cascading Style Sheets (CSS):DevOps:Full-Stack Development:HTML5:JavaScript:React.js:Software Development:Spring Boot:Spring Framework
Frontend Developer (Instant Messaging System),3674970839,Binance,"Singapore, Singapore (Remote)",551,Mid-Senior level,Full-time,Information Technology:Engineering,Software Development,"Binance is the leading global blockchain ecosystem and cryptocurrency infrastructure provider whose suite of financial products includes the world’s largest digital-asset exchange.
Our mission is to accelerate cryptocurrency adoption and increase the freedom of money.
If you’re looking for a fast-paced, mission-driven organization where opportunities to learn and excel are endless, then Binance is the place for you.
Responsibilities
Responsible for the development of front-end related functions of the existing IM system, performance optimization, and continuous improvement of the front-end experience.Cooperate with the team to complete the iterative upgrade of the product.
Requirements
More than 3 years of front-end development experience in React. In-depth research and insights into at least one direction of network, UI, performance, framework, etc.Have a strong sense of responsibility, be proactive, have a strong ability to withstand pressure, and be able to solve challenging problems independently.Collaborate with other time zone team members to communicate and solve problems.Experience in Electron desktop development. Familiar with at least one front-end UI framework.Proficiency with TypeScript.
Working at Binance
 Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless Tackle fast-paced, challenging and unique projects Work in a truly global organization, with international teams and a flat organizational structure Competitive salary and benefits Balance life and work with flexible working hours and casual work attire
Learn more about how Binancians embody the organization’s  core values , creating a unified culture that enables collaboration, excellence, and growth.
Apply today to be a part of the Web3 revolution!
Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success.
By submitting a job application, you confirm that you have read and agree to our  Candidate Privacy Notice .",26-Sep-2023,Front-End Development:JavaScript:React.js:TypeScript
Webmaster,3674626724,M1 Limited,"Singapore, Singapore (Hybrid)",288,Associate,Full-time,Marketing,Telecommunications,"About Us
M1 is Singapore’s most vibrant and dynamic communications company, providing mobile and fixed services to over two million customers.
M1’s vision is to enable digital services with an elastic Cloud-native and modular technology stack and offer hyper-personalized and predictive service experiences for both consumers and enterprises. We are in midst of a company-wide multi-year digital transformation to uplift, digitalize, and future-proof our entire business model. The transformation will empower us to experiment, reach industry-leading efficiency, and become the ecosystem partner of choice.
Join us and be a part of a high-performing agile and collaborative team that is paving the way for M1 to become an adaptable, Digital-first telco. Together we can innovate with the latest technologies, offer new value propositions rapidly to the market, and change Singapore’s way of telecommunication.
We are seeking a Webmaster for our company who can effectively manage and enhance our websites using Sitecore and AEM. In this role, you will work closely with the SEO manager to implement necessary updates, enhance performance, and minimize any downtime. Your responsibilities will include updating websites, resolving broken links and images, optimizing page load speeds, creating backups, and implementing tracking systems.
The ideal candidate for the Webmaster position should possess prior experience as a Web Developer. As an integral part of the digital marketing team, you will collaborate with designers and marketers, and regularly report to management. Therefore, excellent interpersonal skills and strong communication abilities are essential.
Job Responsibilities
 Mainly working on the front end, you will maintain the websites and make sure that the users’ journeys are derived from analytics insights - working closely with marketing team Able to communicate with tech engineers and backend developers  Implement and work with the SEO team on website optimization  Review the site content with the SEO team and update with current SEO trends  Provide support to the performance marketing team on ad tracking and implementations  Test websites using different devices, browsers, and operating systems  Update content on the website to keep pages fresh and intriguing  Monitor, analyse, and report on all online traffic  Communicate with management on ways we can improve the usability  Working closely with marketing communications and production team to update content/images on website to keep pages fresh and intriguing
Requirements
 BSc or BA degree in Computer Science, Design, or another related field  Previous experience as a Webmaster or Web Developer  Understanding of web analytics and tracking  Proficient with web content management systems such as AEM and Sitecore  Experience in Sitecore would be an advantage Understanding of search engine optimization and current best practices is a plus  Knowledge of tools for website management  Knowledge of Bootstrap framework would be an advantage Proficient in HTML/CSS/Javascript  Excellent organization skills  Strong attention to detail  Creative and Analytical",21-Sep-2023,Ad Tracking:Adobe Experience Manager (AEM):Attention to Detail:Cascading Style Sheets (CSS):Content Management:Content Management Systems (CMS):HTML:Search Engine Optimization (SEO):Sitecore:Web Analytics:Website Administration
Web Developer,3726695099,Plusgrade,Singapore (Hybrid),343,Entry level,Full-time,Engineering:Information Technology,IT Services and IT Consulting,"Plusgrade powers the global travel industry with its portfolio of leading ancillary revenue solutions. Over 200 airline, hospitality, cruise, passenger rail, and financial services companies trust Plusgrade to create new, meaningful revenue streams through incredible customer experiences. As an ancillary revenue powerhouse, Plusgrade has generated billions of dollars in new revenue opportunities across its platform for its partners, while creating enhanced travel experiences for millions of their passengers and guests. Plusgrade was founded in 2009 with headquarters in Montreal and has offices around the world.
ABOUT THE ROLE:
We are seeking a System and Web Developer to work with us to build amazing new products . The Web Developer is responsible for connecting our platform with our cruise and airline partners. This role as part of our Activation team will be located in our Singapore headquarters.
We firmly believe there are many challenging opportunities in travel technology - if you are excited about helping us solve some of them, we would like to meet you.
WHAT YOU WILL BE DOING:
 Integrating our platform for our new and existing partners Customizing our platform based on our partner business rules via system and database configurations Creating email templates based on our partner design rules Integrating and maintaining the user interface users use to submit offers, based on our partner design rules Integrating and maintaining the user interface of the administration tool intended at our partner users, based on our partner design rules
YOU ARE SOMEONE WITH:
 You have work experience with HTML5 and CSS3 You are comfortable interacting with databases using SQL You have experience with JSON, XML and properties files You have a degree in Web Integration or related field, or possess equivalent work experience You like working with other people to find the right solutions to any problem Experience with Javascript, TypeScript, Java or Groovy is a plus You have strong communication skills You have the desire for investigation and good problem-solving skills
WHAT YOU’LL LOVE ABOUT US:
🏥 Comprehensive Health Plans
📅 Unlimited Vacation/PTO
✈️ Travel Experience Credit
🧘 Annual Wellness Credit
🥗 Team Events and Monthly Lunches
💻 Home Office/Commuter Credit
🌅 Work From Anywhere Program
🍼 Parental Leave Top Up
🌍 Adventure Pass
OUR PROCESS:
Plusgrade is an equal opportunity employer and is committed to providing an accessible recruitment process. We welcome applications from all qualified individuals and are committed to equal employment opportunities regardless of gender identity or expression, race, ethnic origin, creed, place of origin, age, sex, marital status, physical or mental disability, sexual orientation, and any other category protected by law. Upon request we will provide accommodation for applicants with disabilities.
We believe in diversity and inclusivity and that is why our interview process is designed for a positive candidate experience and to ensure every candidate is evaluated equally. All applications will be reviewed from our Talent Team and the successful candidate(s) will go through the following recruitment process:
 Recruiter Phone Interview Hiring Manager Interview Take-home Assessment or remote coding exercise (if applicable) Team Interview
All candidates will be provided with feedback regardless if they pass or didn’t pass any of our interview stages. All your information will be kept confidential.",28-Sep-2023,
Full Stack App Developer,3705354485,TRON DAO,"Singapore, Singapore (On-site)",106,Mid-Senior level,Full-time,Design:Information Technology,Software Development:Computer Networking Products:IT Services and IT Consulting,"Responsibility:Develops mobile applications for the iOS and Android platforms;Design and implement of the core module of the mobile App application;Performs full lifecycle development; plans, defines, designs, builds, tests, debugs and deploys public-facing and enterprise applications;Contributes application concepts for development and consideration;
Requirements:2+ years of overall iOS and/or Android development;Understanding of leading industry UI/UX best practices;Strong SWIFT or Objective C skills and inside-and-out knowledge of the iOS SDK;Strong Java skills with extensive knowledge of the Android SDK;2+ years of experience in using React.React-Native;Familiar with various mainstream development frameworks, familiar with Socket communication;Deep understanding and development experience of TCP/IP.HTTP protocol, and have multi-thread programming ability;Organizational, problem-solving and effective communication skills;Demonstrated success in defining and launching mobile apps;Excellent problem solving and communication skills;",05-Sep-2023,Android:Android Development:Android SDK:Full-Stack Development:Java:Mobile Applications:Objective-C:Skill Development:Transmission Control Protocol (TCP):iOS
Web and database developer,3728145764,TZ LOGISTICS PTE. LTD.,"Singapore, Singapore (On-site)",33,Entry level,Full-time,Information Technology,,"Write well designed, testable, efficient code by using best software development practicesCreate website layout/user interface by using standard HTML/CSS practicesIntegrate data from various back-end services and databasesGather and refine specifications and requirements based on technical needsCreate and maintain software documentationBe responsible for maintaining, expanding, and scaling our siteStay plugged into emerging technologies/industry trends and apply them into operations and activitiesCooperate with web designers to match visual design intentProven working experience in web programmingTop-notch programming skills and in-depth knowledge of modern HTML/CSSFamiliarity with at least one of the following programming languages: PHP, ASP.NET, Javascript or Ruby on RailsA solid understanding of how web applications work including security, session management, and best development practicesAdequate knowledge of relational database systems, Object Oriented Programming and web application developmentHands-on experience with network diagnostics, network analytics toolsBasic knowledge of Search Engine Optimization processAggressive problem diagnosis and creative problem solving skillsStrong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumenAbility to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.BS in computer science or a related field
Singaporeans are welcome to apply
Working hours - 9am to 6pm
Monday to Friday (full day)
Saturday - Half day 9 am - 1pm",26-Sep-2023,
"Full Stack Developer, Group Operations & Technology",3286667578,OCBC,Singapore (On-site),436,,Full-time,Information Technology,Banking:Capital Markets:Financial Services,"Description
As an engineer in OCBC, you will be part of a team, building applications that work at scale to support various banking products, services, and also enable development workflows. We are looking for a full-stack developer who can build APIs, front-ends, back-ends, and tools that interact with other bank services. You will be part of every stage of development, from concept to deployment. If you're passionate about the fintech, want to be part of a group that works on new products, have the opportunity to shape them, and enjoy crafting robust, scalable, and maintainable services, we may be the team for you!
Description
 Develop and maintain highly reliable and scalable services and applications Create automation that works on Windows, macOS and Linux servers Build APIs and UIs that are simple and powerful Understand product requirements, engage with team members and customers to define solutions, and estimate the scope of work required Collaborate with, mentor, and influence members within your team and across other teams in OCBC Deliver solutions that can keep up with a rapidly evolving product in a timely fashion
Job Qualifications
 Solid Java development experience. Experience with at least one other programming language (C#, Kotlin, Golang). Knowledge in Microservices, Functions, Event-driven/reactive programming or other Cloud Native architectures Experience designing, building, and maintaining RESTful APIs Experience with Cloud Native Platforms including Kubernetes, Open Shift, Docker Enterprise, or Cloud Foundry in the public cloud Experience with JavaScript and one or more front-end frameworks such as React or AngularJS Mobile app development experience is preferred Expertise in building highly available production services, including deployment automation, infrastructure-as-code, monitoring, and scaling Good understanding of containers, build systems, and infrastructure automation Experience with DevOps and Agile engineering practices
Primary Location
Singapore
Job
Information Technology
Organization
Group Operations & Technology Division
Schedule
Permanent
Full-time
Job Posting
05-Jun-2023, 11:04:31 PM",21-Sep-2023,C#:Cloud Foundry:Defining Requirements:Go (Programming Language):Product Requirements:Product Service
