Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
iOS Software Engineer - Global Payments,3642804363,ByteDance,Singapore,121,Mid-Senior level,Full-time,Engineering:Information Technology,"Technology, Information and Internet","Responsibilities
Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content.
Why Join Us
At ByteDance, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for millions of users across all of our products. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at ByteDance.
The Global Payments team is building a platform to provide cross-border payment solutions for all ByteDance's products and services, that are growing rapidly worldwide.
Our Web and Client team in Global Payments is committed to building a highly integrated payment product that can be easily connected to the Web, App, cross-platform and other forms of Global Payment capabilities. In addition, we provide efficient and comprehensive services to Developers, Merchants and others through a series of platforms.
Responsibilities
 Build modular, reusable components and features; Focus on rendering performance in order to ensure superior experience for a heavy interaction platform; Continuously work to bolster mobile design and implementation processes in order to improve quality and efficiency; Code optimization to improve scalability, reliability, security and performance of mobile applications; Collaborate with product design, product management and software engineering teams to deliver best in class user experience.
Qualifications
 BS/MS degree in Computer Science or equivalent majors with experience in native iOS development. Proficient in Objective-C or Swift on iOS Strong ability to understand and debug large and complex code bases. Excellent communication and collaboration skills. Payment knowledge is a plus but not mandatory.
ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",18-Sep-2023,Computer Science:Swift (Programming Language):iOS:iOS Development
IOS Engineer- TikTok Location,3454552525,TikTok,Singapore,160,,Full-time,Research:Information Technology:Engineering,Entertainment Providers,"Responsibilities

 TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

TikTok Location Team's goal is to deliver user-facing products based on the location that connects people with places, localized content, and service in the real world around the globe. 

- Design and implement user-facing features of TikTok mobile application using the latest technology.
- Collaborate with the design and product teams to create a world-class mobile experience.
- Improve system design and architecture to ensure high stability, performance and reliability of the product. 

Qualifications

 - BS/MS degree in Computer Science or equivalent majors with experience in native iOS or Android development.
- Strong understanding of software development principles, capabilities and limitations of iOS or Android platform.
- Great to have hybrid development experience.
- Deep understanding of computer architectures, data structures and algorithms.
- Have good team communication and collaboration skills.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.",13-Sep-2023,Algorithms:Android:Data Structures:Software Development:iOS
IOS Engineer (Transaction),3720078590,foodpanda,Singapore (On-site),68,Entry level,Full-time,Engineering:Information Technology,Internet Marketplace Platforms,"""To be the most loved everyday food and groceries destination!"" - that’s our mission at foodpanda (small ‘f’).
foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants-partners, cloud kitchens and cloud grocery stores — foodpanda is just one tap away, getting everything you need into your hands quickly and conveniently!
We are looking for enthusiastic problem solvers to join us in scaling our platform, to digitalise businesses in Asia, uplift rider livelihoods and build a hyper-convenient platform for our customers. If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe here at foodpanda. Our diverse and high-performing team comprises people from more than 60 nationalities, and we welcome all experiences, backgrounds, and perspectives.
We are looking for an iOS Engineer to be part of oursquads, to support our growing regional Product team here in Singapore as part of an international team of highly talented and motivated people. The Transaction tribe aims to provide and optimise the core services for reliable, scalable and effective order checkout, transaction and payments. We abstract the underlying complexities and enable every product line to deliver an amazing ordering experience for our customers.
Responsibilities
 Subject matter expert within your vertical being hands-on within the full SDLC of development, design, testing, deployment and release work  Product owner within your vertical which includes improving and maintenance when necessary  Take part in architectural decision making  Ensure code quality through reviews to be align with development standards  Be an active partner for Product management in order to provide the best value for stakeholders and our customers 
Requirements
 Minimum 1-3 years experience in mobile software development  Bachelor's degree in Computer Science or an equivalent education or practical experience  Good command of English with ability to articulate work scope  Hands on experience coding in Swift language  Testing on a high performance level  Architecture and design patterns (SOLID principle, MVVM or Viper patterns)  Scalability issues and building high performance applications that support thousands to millions of active user requests  Setting up CI/CD pipelines for deployment and release  Full SDLC hands on experience - Development, design, testing, deployment and release 
What We Offer
A dynamic and challenging work environment.A company committed to developing you personally and professionally.A great working atmosphere with regular company and team events.A vibrant and international team committed to diversity and inclusion.Responsibility from day one in a fast growing and global company.Other benefits include free food, health and dental insurance, and learning and development opportunities!
Our parent company, Delivery Hero, is a global leader in the food delivery industry processing over 3 million orders every day and operating in 40+ markets in the world, with 18,000 employees and approximately 500,000+ restaurant partners.",14-Sep-2023,Design Patterns:English:Mobile Applications:Mobile Software Development:Model-view-viewmodel (MVVM):Software Development:Swift (Programming Language):Viper
"iOS Engineer, Intern (Winter Internship 2023)",3695954781,Screening Eagle Technologies,"Singapore, Singapore (Hybrid)",108,Entry level,Full-time,Information Technology,Software Development,"Based in Singapore, the iOS Engineer intern will be working closely with our experienced iOS engineers to build and improve the native iOS applications of Screening Eagle and Proceq tools — ensuring robust, user friendly and easy to maintain applications.
ResponsibilitiesAssist in the development and testing of iOS apps.Research, investigate and fix technical issues.Contribute to technical documentations.Collaborate with cross-functional teams.Improve skills through hands-on experience and mentorship.Practice Agile methodologies.Explore and experience with the latest Apple technologies.
QualificationsPursuing a degree in Computer Science, Software Engineering or related fields.Familiarity with at least one programming language and development tools.Basic understanding of software development principles.Passionate about learning iOS development and Apple technologies.Strong problem-solving skills and attention to detail.Previous internship or project experience in mobile development.Experience with Swift, iOS SDK and Xcode.Familiarity with Apple’s human interface guidelines.Excellent communication and teamwork skills.Knowledge of Git version control system.
BonusPublished personal iOS apps on App Store.Personal projects at GitHub with 100+ stars.Experienced in open-source projects.",18-Sep-2023,Attention to Detail:Control System:Git:Passionate about Work:Skill Development:Swift (Programming Language):Teamwork:Version Control:Xcode:iOS Development
iOS Developer ($15k / swift),3731324780,Randstad Singapore,"Singapore, Singapore",10,Entry level,Full-time,Engineering:Information Technology,Information Technology & Services,"To Succeed In This Role, You Should Have
Min 5 years of experience in mobile / iOS DevelopmentStrong proficiency in SwiftMandarin speaking required as this role requires you to liaise with Chinese counterparts who can only speak and write in MandarinBachelor's degree in Computer Science/Engineering or equivalent
About The Job
Design, develop, and implement Mobile applicationsAccurately translate user and business needs into functional codesWrite high quality, maintainable code, build reusable code and libraries for future useMobile Application architecture and designDevelopment and enhancement of deployed products and solutionsPractice good test driven developmentIdentifying areas for modification in existing programs and subsequently developing these modificationsCollaborate with cross-functional teams to define and design new features.Involvement in application development lifecycle through design, build, test, release, and maintenance
Interested candidates, please click 'APPLY' or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg

EA: 94C3609 | R1984287 | Xylon Chian",02-Oct-2023,Business Requirements:Skill Development:Swift (Programming Language):iOS:iOS Development
Software Engineer (iOS) - Mobile Infrastructure,3672996229,OKX,"Singapore, Singapore (On-site)",100,Mid-Senior level,Full-time,Engineering:Product Management:Analyst,Software Development,"About OKX:Founded in 2017, OKX is one of the world’s leading cryptocurrency spot and derivatives exchanges. OKX innovatively adopted blockchain technology to reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 20 million users in over 180 regions globally, OKX strives to provide an engaging platform that empowers every individual to explore the world of crypto. In addition to its world-class DeFi exchange, OKX serves its users with OKX Insights, a research arm that is at the cutting edge of the latest trends in the cryptocurrency industry. With its extensive range of crypto products and services and unwavering commitment to innovation, OKX’s vision is a world of financial access backed by blockchain and the power of decentralized finance.
About the team:As a mobile software engineer, you will build and maintain a core OKX app with millions of daily active users. You will work cross-functionally with design, product and other engineering teams to identify customer needs, and ship high-quality new features through fast iterations. This is an opportunity to learn the full life cycle of crypto mobile applications including pro/retail trading, asset management and wallet.
Responsibilities:Build mobile infrastructure and tools to enhance engineering efficiencyAnalyze and optimize UI and infrastructure application code for better performanceDevelop and maintain reusable iOS app components - Collaborate with product engineering teams to deliver technical solutions and best practicesOptimize the project structure and workflow to improve engineering productivity, efficiency, and qualityDrive architecture innovations to support world-class mobile app development
Requirements:Bachelor's degree or equivalent practical experience3+ years of industry experience in iOS developmentExperience in building and shipping complex, business-critical iOS app products with frequent iterationExperience in optimizing App performance, reducing memory footprint and decreasing package sizeDeep understanding of design patterns and principles with a broad knowledge of iOS tech stackFamiliar with Objective-C, Swift, C/C++ and other tools like Xcode and InstrumentsDeep understanding of iOS SDK to create scalable, dynamic, and highly performant UI componentsWorking knowledge of remote APIs, concurrency, layouts, transitions, animations, client-side persistence, and architectural patterns on mobile apps
Nice-to-have:Experience working in a complex, matrix organization involving cross-functional and/or cross-business projectsExperience working in a mobile architecture/infrastructure team with deep understanding of the tech-stack in these projectsExperience in sub-engineering areas such as performance optimization, toolchain, automated testing, design pattern, etc.Strong communication skills; enjoy working as a team while being comfortable with delivering large business outcomes independently",12-Sep-2023,C++:Concurrent Programming:Design Patterns:Mobile Applications:Objective-C:Skill Development:Teamwork:Test Automation:Xcode:iOS Development
Software Engineer (iOS),3677021650,Thales,"Singapore, Singapore (Hybrid)",313,Associate,Full-time,Information Technology:Engineering,"Technology, Information and Internet:IT Services and IT Consulting","Thales Singapore Engineering Competence Centre (ECC) is a well-established R&D and engineering center serving major customers worldwide in Digital Identity and Security domains ranging from mobile connectivity, IoT, banking & payment to government solutions. Thales DIS Digital Payment Business Line is seeking an iOS Mobile Developer for our successful Mobile payment product. Thales DIS - Digital Payment offers a simplified digital experience solution for proximity payment and e-commerce, allowing banks and businesses to offer a multi-channel and multi-device payment experience. This sophisticated solution that involves multiple web services and clients, offers a single platform that provides ready-to-eat, easy-to-integrate services while ensuring best-in-class security. Responsibilities:Participate in design, implementation, and validation of mobile application within the R&D project team structure in accordance with institutionalized processes and delivery standardsParticipate in the design and development of mobile SDKsContribute to the improvement of existing technology platform/baseline and development methodology through prototyping and patent proposal  Requirements: Degree in Information Security/Electrical/Electronics/Computer Engineering, or related fields.Strong knowledge of mobile development in iOS (Objective-C and Swift), knowledge on Android is a plusMinimum 5 years of work experience in mobile technologiesProficient in native C development is a plusStrong interest in mobile applications ecosystemKnowledge of OO design and programming skillsKnowledge of unit testing and test automationExperience with continuous integration and build automation Jenkins and GradleExperience in working with agile methodologies, i.e. SCRUMMotivated self-starter, strong logical, creative problem-solving skills and excellent analytical skills",14-Sep-2023,Agile Methodologies:Continuous Integration (CI):Jenkins:Objective-C:Problem Solving:SDK development:Software Development:Swift (Programming Language):Unit Testing:iOS Development
Application Developer [2 months max NP],3695754431,Luxoft,"Singapore, Singapore",88,Associate,Full-time,Information Technology:Engineering:Consulting,IT Services and IT Consulting,"Project DescriptionYou will perform an Application Developer role for facilitating IT related Regulatory projects within the Finance domain for our banking client , overseas subsidiaries and branches.
Responsibilities• To enhance and develop projects/Change Requests related changes and to ensure deliverables are in good quality• To develop functionalities to cater for business requirements using Unix/PLSQL• To design and build the Control-M jobs for batch processing• To carry out unit testing and SIT on the developed functions• To support UAT cycle, troubleshoot the issues and provide bug fixes• To raise remedy ticket for required changes in controlled environments• To migrate deliverables objects using Aldon migration tools to UAT/Production environment• To provide proper documentation for all the deliverables• To ensure the design & build is in line with the standard and all deviations are clearly articulated and agreed. The scope should be from sourcing from upstream till the final report generation• Review the code to ensure it does not break / Lead to performance issue• Prepare necessary documents to facilitate and deliver the project (Release checklist, UAT results, etc.)
SkillsMust haveThe candidate must have 4-6 years working experience in the following areas:• Good understanding in SDLC phases• Working experience of CRS reporting• Capability in requirement analysis and functional design skills• Capability of self-learning and a quick learner• Be adaptable, flexible and be able to thrive in a challenging, fast-paced of a growing organization / environment• Experience with project management best practices/ methodologies/ project lifecycle• Developer experience in SQL Server. Strong knowledge on MS SQL developer and should be able to write sql queries• Good knowledge of SQL database• Proficient with Batch & Power Shell scripting• Good understanding in Data Warehouse and Data Mart concept• Experience in Performance tuning of queries• Good knowledge on SSIS & SSRS - ETL transformation & Reporting purposes",23-Aug-2023,Application Development:Data Warehousing:Microsoft SQL Server:Powershell:SQL:SQL Server Integration Services (SSIS):SQL Server Reporting Services (SSRS):Software Development Life Cycle (SDLC):Unit Testing:User Acceptance Testing
Information Technology – Mobile Applications Developer (iOS),3669366964,Singapore Airlines,Singapore (Hybrid),231,Entry level,Full-time,Information Technology,Airlines and Aviation,"Job Description

The Singapore Airlines Mobile application (available under “Singapore Airlines” on the Apple App Store) vision is to be the trusted travel companion for SIA passengers, offering features covering the customer journey from booking, pre-flight, day of travel, in flight and post flight.

The SIA Mobile team is currently hiring iOS developers. This is a full-time role with a hybrid WFH / Work from office arrangement, and includes travel benefits, access to ongoing learning, and an attractive work-life balance.

Key Responsibilities
Work with our team of Product Managers, Product Owners, UX Designers, QA, and Developers to build, optimise and release features within the SIA Mobile application.Ensure the application features operate smoothly in production and deliver world class customer experience to our large base of monthly users.Learn and apply principles of Test Driven Development, Agile Methodologies, Extreme Programming and MVP/MVVM architecture to deliver highly usable, stable and maintainable code.Learn and work with tech stack comprising best-of-breed tools such as Swift, Git, Jenkins CI/CD, Sonarqube, automated test tools, a Java/Node.js back end, and AWS to deliver a monthly release of the mobile application.Integrate with a range of SIA’s backend systems using integration tech such as REST and JSON.Contribute to building a culture of openness, belonging, mutual support, ongoing learning, continuous improvement, enablement, and engineering excellence.Operations and L2 support work after hours may be needed from time to time. This will be kept to a minimum and shared across the team to ensure a sustainable work/life balance.Any relevant ad-hoc duties.
Requirements
Possess a degree in Information Technology or related fieldsHands on experience with Swift development is preferred. Recent graduates with no industry experience, or developers experienced in other tech stacks are welcome to apply if they wish to grow a career in mobile development.A willingness to learn and apply best practices in iOS (Swift) development, Extreme Programming principles, Pair Programming, Test Driven Development, DevOps, and defensive programming.Ability to communicate fluently in English. The team is a diverse team, and strong written and verbal English communication is essential to daily work.",16-Sep-2023,Communication:English:Extreme Programming:JavaScript:Model-view-viewmodel (MVVM):Pair Programming:Quality Assurance
iOS Developer (Swift),3731369525,Randstad Singapore,"Singapore, Singapore",1,Entry level,Full-time,Engineering:Information Technology,Information Technology & Services,"To Succeed In This Role, You Should Have
Min 3 years of experience in native iOS DevelopmentStrong proficiency in SwiftBachelor's degree in Computer Science/Engineering or equivalent
About The Job
Design, develop, and implement Mobile applicationsAccurately translate user and business needs into functional codesWrite high quality, maintainable code, build reusable code and libraries for future useMobile Application architecture and designDevelopment and enhancement of deployed products and solutionsPractice good test driven developmentIdentifying areas for modification in existing programs and subsequently developing these modificationsCollaborate with cross-functional teams to define and design new features.Involvement in application development lifecycle through design, build, test, release, and maintenance
Interested candidates, please click 'APPLY' or send your CV (in MS Word) to xylon.chian(@)randstad.com.sg

EA: 94C3609 | R1984287 | Xylon Chian",19-Sep-2023,Business Requirements:Mobile Applications:Skill Development:Swift (Programming Language):Test-Driven Development:Working Experience:iOS:iOS Development
