Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills
Sales Engineer Cyber Security,3689280202,NSFOCUS,"Singapore, Singapore (On-site)",134,,Full-time,,,"Position DescriptionAs an NSFOCUS Sales Engineer, you and your Regional Sales Manager partner will be responsible for helping clients transform their approach to Anti-DDoS and web security by presenting the NSFOCUS platform and products to prospective customers, creating and delivering demonstrations of the products, gathering customer technical requirements, creating evaluation test plans with customers, and then managing the evaluation process to a successful conclusion. To accomplish this, the sales engineer must have a strong technical foundation and a desire to set a vision that translates business objectives into enticing and actionable solution design. The sales engineer will act as a trusted technical and business advisor to our clients while aiding the customer's transformational journey. Primary Responsibilities: · Act as a customer technical liaison to NSFOCUS· Responsible for customer technical needs assessment and analysis· Support RFP/RFI/RFQ proposal development and proposal delivery to customers· Plan and execute proof of concept lab and field testing of product solutions at customer sites· Provides basic training about products and solutions to clients and partners· Work closely with Sales, Marketing, and Product Line Management to develop winning technical offers· Develop application use case solutions and sales collaterals· Research competition and develop customer-specific technical sales strategies · Actively participate in tradeshows and other relevant marketing events Related Experience· 2-3 years of experience as an SE or systems integrator· Excellent knowledge of security and networking, professional certification is preferred· Have a deep understanding of network protocol (HTTP, TCP/IP, BGP, etc...)Practical experience working with routing and switching productsSmooth communication with customers in English and Cantonese. Chinese would be a plus and more language skills as a plus  Education and Certification:Graduate degree in Network engineering / Cybersecurity/Computer Science/Engineering (Preferred) or equivalent experience with a BS degree
Position Type: Full timeLocation: SingaporeLanguage: English and Mandarin are required.",17-Aug-2023,Border Gateway Protocol (BGP):Cyber:Cyber-security:Cybersecurity:Events:Hypertext Transfer Protocol (HTTP):Language Skills:Proposal Development:Technical Sales:Technical Solution Design
Network Security Engineer,3712340150,Wipro,"Singapore, Singapore (On-site)",163,Associate,Full-time,Information Technology:Finance:Business Development,IT Services and IT Consulting:Financial Services:Banking,"Network Security ConsultantLocation: Singapore
Primary Skills :Hands on experience on Fortigate/Juniper SRX & Netscreen/Checkpoint Firewalls, Hand on experience on Tipping point IPS & SMS,Hands-on experience on F5 load balancer, Proxy.Juniper pulse SSL / IPsec VPN GatewayExperience on Mcafee proxy & Microsoft ISA - Load balancer and reverse proxy4stress Actividentity - Strong Authentication Knowledge and experience with inter-network routing architectures, and the underlying network security technologiesGood problem analysis skillsGood Communication skills",08-Sep-2023,Checkpoint:Firewalls:Fortinet:IPS:IPSec:Juniper Networks Products:Network Security:Proxy Server:Transport Layer Security (TLS):Virtual Private Network (VPN)
"Cybersecurity Technology Support Engineer, Technology Information Security Office (GO&T)",3468593655,OCBC,Singapore (On-site),142,,Full-time,Information Technology,Banking:Capital Markets:Financial Services,"Description
 Provides cybersecurity-related technical operation, maintenance, monitoring, patching and support of cybersecurity systems, services, and products (cybersecurity solutions).Ensures adherence to specifications and conformance requirements, assures sound performance, and resolves technical issues required in the cybersecurity-related solutions.Monitors, assures, and reports the performance of the implemented cybersecurity controls.Assess and manage technical vulnerabilities of cybersecurity solutions.Evaluates changes to cybersecurity solutions for potential implications and recommend cybersecurity enhancements
Job Qualifications
Degree or higher in Computer Science, Cybersecurity, or equivalent.At least 5 years of experience with cybersecurity system or applications administration.Experienced with managing cybersecurity solutions (e.g. SIEM, anti-malware, EDR, network security) operations and maintenance.An active team player, with excellent communications and interpersonal skills, and can work independently without supervision.Attention to details and displays strong technical logic, with a security-focused mindset when it comes to problem solving.Communicate, present and report to stakeholders.Ability to define and implement the operational processes and ensure they are met.Scripting knowledge such as Python, JavaScript etc.Strong commitment to personal development technically and professionally.Possess CompTIA Security+, ISC2 SSCP, ITIL certifications will be an added advantage.
Primary Location
Singapore
Job
Information Technology
Organization
e2 Power Division
Schedule
Permanent
Full-time
Job Posting
25-Apr-2023, 2:06:34 AM",17-Sep-2023,CompTIA:Cyber-security:Cybersecurity:Defining Requirements:Vulnerability
Security Engineer,3726089674,Synapxe,"Singapore, Singapore (Hybrid)",11,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Position Overview
Role & Responsibilities
Be the Infra team’s Single Point of Contact (SPOC) for internal/external auditors and consultants in audit/review projects.Assist the Infra team in managing the life cycle of audit projects and issues from start till closure.Assist the Infra team to track the status of audit issues till closure.Perform compliance checks to ensure audit issues are adequately closedPerform compliance checks on specific IT systems and IT processes.Provide IT compliance governance and promote security compliance within Infra Department.
Requirements
5 – 8 years of experience in IT audit, compliance, security and IT operations.IT operations experience with a focus on the management of computer servers (Windows & Linux) and database (Microsoft SQL, Oracle) an advantage.Broad security knowledge of a wide spectrum of Infra systems including servers, network, workstations and security management tools.Good knowledge in IT processes, domains and measures such as IT security incident reporting and response, server and workstation security hardening process, vulnerability assessment and Penetration Testing, Data Loss Prevention, patch management, IT disaster recovery and Security Operations Centre (SOC).Familiar with ISO 27001 Security Standards, ITIL processes and IT risk assessment processes.Candidates with relevant IT audit & security certifications such as CISA and CISSP an advantage.Be able to communicate well verbally and have good skill in writing clear reports.
Apply Now
NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!
",23-Sep-2023,Communication:Defining Requirements:IT Audit:IT Operations:Vulnerability Assessment:Vulnerability Assessment and Penetration Testing (VAPT):Writing
Cybersecurity Incident Responder,3600217348,Michael Page,"Singapore, Singapore (On-site)",75,Entry level,Full-time,Information Technology:Engineering,IT Services and IT Consulting:Computer and Network Security:Software Development,"Excellent Benefit and Compensation Package|Stable Organization
About Our Client
Our client is one of the largest tech companies in Singapore, they are known for their vibrant, diverse and inclusive workforce. They are currently hiring for a passionate Cybersecurity Incident Responder to join their team.
Job Description
As a Cybersecurity Incident Responder, your responsibilities include:
Daily real time monitoring and analysis of security events /threats from multiple sourcesRefining current use cases implemented on the SIEM solution to reduce/minimise false positivesFirst point of contact for Cybersecurity incident and responsible for incident investigationConducting forensic analysisProviding post-incident reports for management and stakeholder Building and designing security incident playbookThe Successful Applicant
As a successful candidate, you will have a Bachelor's Degree in Computer Science or a relevant field with excellent communication skills. You will have at least 3 years of experience in Cyber Security operations, incident response or forensic analysis.
What's On Offer
Stable and Established OrganizationExcellent Salary Package + BenefitsContact: Isha Hussain
Quote job ref: JN-042023-6002850",12-Apr-2023,Cybersecurity:Forensic Analysis:Incident Response:Security Operations
Security Operations Center (SOC) Analyst,3623074994,Aspire,"Singapore, Singapore (Hybrid)",446,Entry level,Full-time,Information Technology,Financial Services,"Aspire is the leading all-in-one finance operating system for growing businesses in APAC. We are on a mission to reinvent business finance for a new generation of entrepreneurs and business owners, empowering startups and MSME to realise their full potential.
Founded in 2018, Aspire has raised over USD 300M+ across equity and debt from world-class investors. In 2023, we successfully closed an oversubscribed USD 100 million Series C equity round led by Sequoia Capital and Lightspeed Ventures with participation of Tencent, Paypal Ventures, LGT Capital Partners, Picus Capital and MassMutual Ventures. To power our solutions, we have partnered with some of the best companies in the world such as Visa and Wise and helped more than 15,000 businesses using our suite of products.
In 2022, we were awarded Best Employer of the Year and Payments Tech of the Year by Asia Fintech Awards, ranked #1 on LinkedIn's 2022 Top Startups list and were listed on YC Top Companies 2022. In 2023, we ranked Top 10 on The Straits Times Fastest-Growing Companies.
You will be amazed by the energy and experience of our team. We are a team of ex-entrepreneurs, ex-founders, and high-achievers with international backgrounds. We team up to reach the highest standards in what we do, and don't take NO for an answer.
We are expanding rapidly. Are you a top talent? Are you passionate about entrepreneurship? Join us and make an impact in the fintech space.
About the team: 
At Aspire, we recognize that data and infrastructure security are paramount to the success and trust of our customers. Our Security Team is at the forefront of protecting and securing our systems, ensuring compliance with industry best practices, and continuously learning and evolving to stay ahead of emerging threats. Our emphasis extends to data privacy, seamlessly integrating it into our security initiatives.
About the role:
As the IT Operations/Security Operations Center (SOC) Analyst, you will be responsible for ensuring the proper administration of our IT systems, building the SOC, responding to security alerts and incidents. You will be reporting to Aspire’s Head of Information Security and will have the exciting opportunity to be part of a fast-growing team of security specialists within the company. Currently there is little need for any on premise administration or physical tasks. We are looking for someone who has experience with cloud environments and Software as a service (SaaS).
What will you be doing? 
 Monitoring and analyzing security logs and alerts to identify potential security incidents.  Investigating and responding to security incidents and audits in a timely and effective manner.  Collaborating with IT and other teams to implement security measures and controls to protect against potential threats.  Participating in incident response and disaster recovery planning and exercises.  Supporting IT integration operations, including (partly) hardware and software maintenance, backups, and system updates.  Providing technical support to internal teams and end-users.  Supporting the security architecture of the SOC tools and other IT technologies.  Responding, documenting and reporting on security incidents and IT operations.  Continuously improving IT operations processes and procedures to ensure efficient and secure service delivery.  Writing user manuals, procedures standard operating procedure (SOPs) and FAQs  Supporting and driving other daily IT and security tasks 
We would love to get to know you if you have the following: 
Minimum (need to have!):
 Based in ±4 hours to the Singapore timezone (GMT+8) e.g. India, Vietnam, Philippines.  Good to very good written and spoken English communication skills.  Studied at a University or polytechnic. Experience with triaging of security events, Azure Sentinel, Azure LogAnalytic Workspace, Azure Logic Apps, DataDog SIEM, MS Defender, Python and Jira. Experience in memory forensic, malware analysis, network traffic and log analysis. Someone who keeps up-to-date with the latest security trends and technologies to maintain a strong security posture. Building, maintaining and operating a SOC. 
The ideal candidate should have (optional):
 A degree in Computer Science, IT, Engineering or a related qualification.  Exposed to AWS, GCloud, GitHub, Okta, Notion and Google Work Space, 1Password, CloudFlare, Azure Logic Apps and malware analysis.  Retesting of penetration testing findings.  Worked Linux environments.  Software development experience e.g. Python , Go, Bash, Powershell. Personal electronics or computer science related projects in a personal blog or Github. 
What We Offer
Work from anywhere and Work from Home subsidy. Uncapped flexible annual leave. Training subsidy for your professional growth. Wellness benefit. Team bonding budget to foster collaboration and sense of belonging. Culture is Key: Most importantly, we always strive to cultivate a special culture that brings special talents together - You may learn more about our culture at our careers site and LinkedIn Life page . 
Equal Opportunity Statement 
Aspire is an equal opportunity employer and is committed to providing equal employment opportunities to all qualified individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or any other protected characteristic as outlined by applicable laws.
Please note: by submitting your application, you acknowledge that you have read and understood Aspire’s Data Protection Policy for Employees, Freelancers, Contractors and Job Applicants (the “Policy”) , and consent to the collection, use and disclosure of your personal data by Aspire for the purposes set out in the Policy. You may withdraw consent for such collection, use and disclosure, and make an access or correction request in respect of your personal data, in accordance with the Policy by emailing people@aspireapp.com .",16-Sep-2023,Azure Logic Apps:Forensic Analysis:Incident Response:Log Analysis:Malware Analysis:Memory Forensics:Retesting:Security Operations:Security Operations Center:Vulnerability Management
SOC Analyst - Junior to Team Lead,3693010901,JAC Recruitment,"Singapore, Singapore (On-site)",125,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting,"Company Overview
Our client is a Singapore based security solution provider. Due to high demand in the market, they are looking for a SOC Analyst (L1 ) Junior to Team Lead to join their team.
 Responsibilities: 
 Serve as the first responder for incidents within a 24/7 staffed SOC environment.  Conduct security monitoring, vulnerability management, data loss prevention, policy violation prevention, and threat hunting activities.  Monitor security sensors and analyze logs to identify network anomalies and intrusions.  Perform analysis of security log data from various security devices.  Escalate security incidents according to established policies and procedures.  Communicate with Ensign customers regarding security intrusions, root cause analysis, and provide mitigation recommendations.  Conduct initial analysis of security events, network traffic, and logs.  Assist in developing incident response plans, workflows, and standard operating procedures (SOPs).  Collaborate with threat intelligence analysts to translate intelligence into actionable detection measures.  Monitor and analyze Managed Endpoint and Detection Response (MDR) platforms, taking necessary response actions based on standardized workflows and client agreements.  Act as a liaison for configured alerts, monitoring the performance of security sensors and tools.  Fulfill change requests, service requests, and respond to internal and external inquiries related to incident management. 

 Requirements: 
 Diploma/Degree in Information System/Information Security from a recognized institution.  Minimum 1 year of working experience  Solid understanding of network routing and switching fundamentals, including Multiprotocol Layer Switching (MPLS).  Basic technical knowledge of operating systems, network architecture, and design.  Familiarity with encryption, key management, and cryptology.  Strong organizational and prioritization skills.  Ability to analyze problems, identify root causes, and propose and implement effective solutions.  Excellent written and verbal communication skills.  Results-oriented mindset. 

Working Location: Singapore
Apply online or feel free to contact me directly (via email: audrey.teo@jac-recruitment.com) for more information about this opportunity. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding.
Audrey Teo Wei Shan (R 21101086C)
JAC Recruitment Pte Ltd (EA Lic No: 90C3026)
#countrysingapore
",13-Sep-2023,Cryptography:Cyber Threat Hunting (CTH):Cyber Threat Intelligence (CTI):Encryption:Incident Response:Key Management:Multiprotocol Label Switching (MPLS):Network Architecture:Packet Switching:Root Cause
Cybersecurity Engineer (Reverse Engineering) - Information Security,3687132883,Shopee,"Singapore, Singapore (On-site)",22,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","About The Team
We are seeking a highly motivated Cyber Security Engineer in the Binary Security domain to work with our Information Security team. As a Cybersecurity Engineer, you will play a pivotal role in enhancing our security measures, specifically focusing on binary security. Your responsibilities will encompass various aspects of security testing and research, including the design, development, and implementation of secure system architectures, endpoint protection bypass techniques, reverse analysis of security software, research on persistence solutions for different operating systems, and conducting red team engagements to emulate APT adversaries.
Job Description
Customized Remote Control Program Development: Design and develop customized remote control programs for red team operations to effectively bypass endpoint protection solutions such as Crowdstrike, Windows Defender, and 360 Safeguard.Endpoint Protection Bypass and Security Principles: Conduct reverse analysis of common EDR and antivirus software (e.g., Crowdstrike, Trend Micro, Windows Defender, HIDS) to identify vulnerabilities and bypass protection mechanisms. Collaborate with cross-functional teams to design and implement secure system architectures. Embed security principles into system design to proactively address risks associated with new technologies and evolving business practices. Develop artifacts that document security principles and their alignment with the overall enterprise system architecture.Research and Persistence Solutions: Research and analyze persistence solutions for common operating systems, including Windows, MacOS, and Linux.Red Team Engagements: Conduct red team engagements in various scenarios, including IDC networks, office environments, and cloud environments. Mimic APT adversary emulation to assess and enhance our security posture.
Requirements
Bachelor degree in Computer Science, Engineering, Information Technology or related fields is mandatory.More than 5 years of relevant work experience.Extensive experience in RAT (Remote Access Tool) development, with the ability to customize attack frameworks like Cobalt Strike.Extensive experience in anti-endpoint protection, providing solutions to bypass the detection of EDR systems such as CrowdStrike, Windows Defender, and 360 Safeguard.Extensive experience in developing persistence solutions under common operating systems (Windows, MacOS, Linux).In-depth understanding of the security mechanisms of Windows/Linux systems, with familiarity in offensive techniques in ring0/ring3.Strong scripting/development skills in languages such as C/C++, Go, PowerShell, Javascript, ASM, etc.Strong reverse engineering skills with proficiency in tools such as IDA Pro, OllyDBG, WinDBG, GDB, etc.Tracking records of bug bounty awards, CVEs, public security articles, speaking at security conferences, being a GitHub star author, etc.Good communication skills and an effective teamwork spirit with strong professional ethics.Self-starting and fast learning ability.
Preferred Experience
Experience in spear phishing and social engineering tactics.Experience in penetration testing and red teaming, with familiarity in kill chains according to the ATT&CK Framework (e.g., initial access, Windows AD testing, lateral movement).Experience in performing APT offensive and defensive operations.We are looking for a dedicated Cybersecurity Engineer (Reverse Engineering) who is passionate about cybersecurity and can contribute to the continuous improvement of our security posture. If you meet these criteria and are ready to take on these exciting challenges, we encourage you to apply.",18-Sep-2023,APT:Crowdstrike Falcon:Cybersecurity:IDA Pro:Remote Access:Vulnerability Assessment
Information Security Analyst,3468314707,DSO National Laboratories,"Singapore, Singapore (On-site)",462,Entry level,Full-time,Information Technology,Defense and Space Manufacturing,"Responsibilities
DSO National Laboratories (DSO) is Singapore’s largest defence research and development (R&D) organisation, with the critical mission to develop technological solutions to sharpen the cutting edge of Singapore's national security. At DSO, you will develop more than just a career. This is where you will make a real impact and shape the future of defence across the spectrum of air, land, sea, space and cyberspace.
The Information Division focuses on capabilities and technologies that enables MINDEF / SAF to harness and exploit information in the physical battlefield and cyberspace. Capability areas include cybersecurity, cryptography, data analytics and fusion, artificial intelligence, vulnerabilities assessments and operations analysis. Information Security Programme conducts applied research and development of advanced systems and techniques in cryptography and communications security. We strive to provide SAF and MINDE with operational, timely, production systems and secret-edge capabilities to ensure cryptographic superiority and achieve information dominance.
People are DSO’s greatest asset. You will get to realise your career aspirations and develop your own niche either as a deep technical expert or a leader in the team. With frequent career dialogues and a robust training and development framework, we will provide you with the necessary development tools for you to reach your potential. You will also be recognised and rewarded through competitive remuneration packages and scholarship opportunities.
Information Security Analyst
In this role, you will:
 Conduct applied research and development in the field of communication security and cryptography Evaluate and assess the security strength of information security solutions Develop cryptographic solutions for unique security problems
Requirements
 Master’s / Bachelor’s Degree in Computer Science / Mathematics Strong analytical skills to evaluate and assess cryptographic algorithms Strong interest in cryptography or solving difficult mathematical challenges Able to think creatively and work independently",11-Sep-2023,Analytical Skills:Communication:Communications Security:Computer Science:Cybersecurity:Data Privacy:Ethical Hacking:Incident Response:Information Security:Vulnerability Assessment
IT Internal Control Senior/ Analyst,3727523186,Tencent,"Singapore, Singapore (On-site)",10,Mid-Senior level,Full-time,Finance,Software Development,"Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
Position OverviewWith our international business growth, we are currently searching for an experienced IT Internal Control Analyst to join us here in Singapore. He/she will be focusing on the IT internal control and risk management duties for our gaming business. He/she should possess the ability to build the IT risk control framework and procedures for the targeted markets assigned, with solid knowledge and practical experience in data analytics (e.g. SQL, python, R etc).
Responsible for IT risk management and internal control of online games in Singapore, including maintaining risk matrix and establishing internal control procedures.Conduct risk analysis, draft risk control measures and drive the execution of process and control design/enhancements to achieve standardisation and improve operational effectiveness.Promote the use of risk management tools / systems locally and enhance the risk awareness across all employees locally.Be a risk management advisor to the local stakeholders and recommend root cause remediation to meet and upkeep the high standards of risk and control process.Conduct regular discussions on the risk management topics and issues with the local management teams
Requirements:
Bachelor's degree or above in computing related majors with IT audit qualifications preferred.Minimum 3 years of relevant experience in IT internal control, audit and risk management, preferably within Internet or Gaming industries.Solid experience of creating and increasing risk awareness within the local businesses with the ability to engage in risk management duties independently.Solid knowledge and practical experience in data analytics, preferably with experience in common data analytics programming language (e.g. SQL, python, R)Personal attribute: demonstrated ability to work independently and efficiently to deliver high quality outcomes under highly demanding and high pressure environment.
Diversity, Equity & Inclusion at TencentDiversity, equity and inclusion are important, interdependent components of our workplace. As an equal opportunity employer, we firmly believe that diverse voices fuel our innovation and allow us to better serve our users and the community. We foster an environment where every employee of Tencent feels supported and inspired to achieve individual and common goals.",28-Sep-2023,Data Analytics:Defining Requirements:High Pressure:High-Pressure Environments:Information Technology:Knowledge Acquisition:Root Cause:System Administration:Technical Support:Troubleshooting
