Skills,Count
Agile Methodology,1
Algorithm Analysis,1
Algorithms,2
Application Programming Interface (API),1
Assembly Language,1
Augmented Reality,1
Benchmarking,1
C (Programming Language),1
Cognitive Psychology,1
Collaborative Software,1
Communications,1
Communications Protocols,1
Computer Networks,2
Computer-Aided Software Engineering,1
Coordinating,1
Cost Estimation,1
Cryptography,1
Cyber Security,2
Data Analysis,2
Data Hiding (Encapsulation),1
Data Manipulation,1
Data Structures,2
Database Administration,1
Deep Learning,1
Descriptive Statistics,1
Design Elements And Principles,1
Digital Signature,1
Dimensionality Reduction,1
Discrete Mathematics,1
Ductility,1
Economics,1
Electronic Control Unit,1
Embedded Systems,2
Encryption,1
Enterprise Application Software,1
Experimentation,1
File Systems,1
Flow Control,1
Formal Methods,1
Functional Requirement,1
Hash Functions,1
Internet Of Things (IoT),5
Java (Programming Language),1
Junit,1
Lifelong Learning,1
Linear Algebra,1
Linear Equations,1
Machine Learning,1
Machine Learning Algorithms,1
Machine Learning Methods,1
Mathematics,2
Microcontrollers,1
Modeling Languages,1
Network Security,1
Number Systems,1
Object-Oriented Programming (OOP),3
Open-Source Software,1
Operating Systems,2
Operations,4
Organizational Change Management,1
Organizational Leadership,1
Performance Profiling,1
Peripheral Devices,1
Planning,1
Polymorphism,1
Probability,1
Probability Distribution,1
Probability Theories,1
Profiling (Computer Programming),1
Project Planning,1
Prototyping,1
Public Key Cryptography,1
Python (Programming Language),1
R (Programming Language),1
Real-Time Operating Systems,1
Relational Databases,1
Requirements Engineering,1
Resource Constraints,1
Sampling (Statistics),1
Scalability,1
Security Requirements Analysis,1
Serial Communications,1
Smartphone Operation,1
Social Change,1
Software Analysis,1
Software Architecture,3
Software Design,1
Software Development,1
Software Development Life Cycle,1
Software Documentation,1
Software Engineering,3
Software Maintenance,1
Software Performance Testing,1
Software Suite,1
Software Systems,2
Statistical Inference,1
Statistics,1
Symmetric Key,1
Tablets,1
Time Series,1
Unified Modeling Language,1
Usability,1
User Interface (UI),2
V-Model,1
Verification And Validation,1
Waterfall Methodology,1
