,Job Title,Skills
0,Sales Engineer Cyber Security,"Business Objectives,Technical Sales,Solution Design,Communications Protocols,Network Protocols,English Language,TCP/IP,Communications,Proposal Development,Network Engineering,Sales Engineering,Regional Sales,Marketing,Field Testing,Border Gateway Protocol,Product Lining,Needs Assessment,Mandarin Chinese,Management,Sales,Network Routing,Research,Test Planning,Demonstration Skills"
1,Network Security Engineer,"Virtual Private Networks (VPN),Network Security,Internet Protocol Security (IP SEC),Firewall,Authentications,Microsoft Forefront Threat Management Gateway,Network Routing,Problem Solving,Communications"
2,"Cybersecurity Technology Support Engineer, Technology Information Security Office (GO&T)","Systems Security Certified Practitioner,CompTIA Security+,Interpersonal Communications,Python (Programming Language),Network Security,Cyber Security Systems,Security Information And Event Management (SIEM),Cyber Security,ITIL Certifications,JavaScript (Programming Language),Computer Science,Cyber Security Management,Endpoint Detection And Response,Information Technology,Operations,Communications,Vulnerability"
3,Security Engineer,"Certified Information System Auditor (CISA),Linux,Hardening,Security Management,Incident Reporting,Vulnerability Assessments,Penetration Testing,Data Loss Prevention,Microsoft SQL Servers,Certified Information Systems Security Professional,Information Technology Infrastructure Library,Risk Analysis,Patch Management,Disaster Recovery,Management,Auditing,Governance,Operations"
4,Cybersecurity Incident Responder,"Incident Response,Security Information And Event Management (SIEM),Cyber Security,Cyber Operations,Computer Science,Management,Communications"
5,Security Operations Center (SOC) Analyst,"Azure Sentinel,Log Analysis,Azure Logic Apps,Data Infrastructure,Operating Systems,Microsoft Azure,Disaster Recovery Plan,Corporate Finance,Github,Incident Response,Finance,Software Maintenance,Linux,Financial Technology (FinTech),Standard Operating Procedure,Python (Programming Language),Malware Analysis,JIRA,Penetration Testing,Cloudflare,Security Information And Event Management (SIEM),Backup Devices,Information Privacy,IT Security Architecture,Datadog,Okta,Bash (Scripting Language),Windows PowerShell,Computer Science,English Language,Software Development,Amazon Web Services,Go (Programming Language),Operations,Technical Support,Notion (Software),Software As A Service (SaaS),Entrepreneurship,C (Programming Language),Gcloud,Communications,Auditing"
6,SOC Analyst - Junior to Team Lead,"Cyber Threat Intelligence,Vulnerability Management,Incident Response,Security Log,Multiprotocol Label Switching,Standard Operating Procedure,Cryptography,Encryption,Cyber Threat Hunting,Network Routing,Root Cause Analysis,Data Loss Prevention,Change Requests,Sensors,Key Management,Verbal Communication Skills,Security Devices,Incident Management,Operating Systems,Network Architecture,Prioritization,Team Leadership,Workflow Management"
7,Cybersecurity Engineer (Reverse Engineering) - Information Security,"Self-Motivation,Endpoint Security,Enterprise Application Software,Security Testing,Github,Cyber Engineering,Host-Based Intrusion Detection Systems,Windows Defender,Remote Administration Software,Phishing,Quick Learning,IDA Pro,WinDBg,GNU Debuggers,Penetration Testing,OllyDBg,Mac OS,Cyber Security,Security Software,Systems Design,Security Domain,JavaScript (Programming Language),Windows PowerShell,Operating Systems,Social Engineering,Teamwork,Endpoint Detection And Response,Computer Science,Information Technology,Vulnerability,Operations,Persistence,Research,Communications,International Classification Of Diseases,Program Development"
8,Information Security Analyst,"Cryptography,Operations Research,Analytical Skills,Applied Research,Creative Thinking,Algorithms,Communications Security,Mathematics,Cyber Security,Research And Development,Training And Development,Artificial Intelligence,Computer Science,Programming Tools,Vulnerability,Data Analysis"
9,IT Internal Control Senior/ Analyst,"Cloud Computing,Digital Transformation,Process Control,Internal Controls,Digital Content,Risk Control,Financial Technology (FinTech),Python (Programming Language),Audit Risk,Risk Awareness,SQL (Programming Language),International Business,Risk Analysis,Risk Management Tools,Risk Management,Innovation,Auditing,Data Analysis,Management,R (Programming Language)"
10,Security Analyst,"Incident Response,Cyber Security,Network Protocols,Forensic Sciences,German Language,Investigation,Spanish Language,English Language"
11,Cybersecurity Incident Responder,"Digital Transformation,Smart Systems,Application Development,System Lifecycle,Data Science,Incident Response,Malware Reverse Engineering,Presentations,Time Management,Enterprise Security,Learning Development,Cyber Security,Certified Information Systems Security Professional,GIAC Reverse Engineering Malware,GIAC Certifications,Cyber Incident Response,Artificial Intelligence,Operations Security,Security Policies,Computer Science,Operations,Technical Writing,Information Systems,Innovation,Investigation,Agile Methodology,Procurement"
12,"Manager, SOC Analyst","Firewall,Cyber Threat Intelligence,Operating Systems,Coaching,Enthusiasm,Process Improvement,Distributed Denial-Of-Service (DDoS) Attacks,Virtual Private Networks (VPN),Incident Response,Cyber Security,GIAC Certifications,GIAC Security Essentials Certification (GSEC),Phishing,TCP/IP,GIAC Certified Incident Handler,Network Security,Root Cause Analysis,Verbal Communication Skills,Security Information And Event Management (SIEM),Triage,Cyber Kill Chain Framework,Dynamic Host Configuration Protocol (DHCP),Banking Services,Security Devices,GIAC Certified Intrusion Analyst,Teamwork,Computer Science,Information Technology,Vulnerability,Operations,Problem Solving,Automation,Customer Service"
13,Operation Technology Cybersecurity Training Expert,"Proactivity,Presentations,Cyber Security Assessment,GIAC Global Industrial Cyber Security Professional,GIAC Certifications,Communications,Technical Training,Cyber Security Systems,Certified Information Systems Security Professional,Supply Chain,Cyber Security,Industrial Control Systems,Data Acquisition,Cyber Threat Intelligence,Demonstration Skills,Management,Supervisory Control And Data Acquisition (SCADA),Vulnerability"
14,IT Security Engineer,"Infrastructure Security,Curiosity,Business Continuity Planning,Incident Response,Cyber Security,Interpersonal Communications,Phishing,Creativity,Communications,Sustainable Business,Network Infrastructure,Vulnerability Assessments,Penetration Testing,Problem Solving,Security Systems,Cyber Incident Response,Cyber Security Management,Public Cloud,Cooperation,Leadership,Innovation,Information Systems,Exhibitions,Agile Methodology,Auditing,Workflow Management"
15,"Engineer, Cybersecurity","Incident Response,Cyber Security,Business Continuity Planning,Communications,NIST Cybersecurity Framework (CSF),Positivity,Network Security,Vulnerability Assessments,Penetration Testing,Critical Thinking,Training And Development,Linux,Computer Science,Disaster Recovery,Coordinating,Problem Solving,Mitigation,Automation"
