Skills,0
,1
.NET Framework,1
1Password,1
5G Technology,2
Access Controls,2
Accountability,1
Accounting,1
Active Directory,1
Administrative Support,1
Advertisement,1
Advocacy,1
Agile Methodology,9
Akamai,1
Algorithms,1
Amazon Web Services,4
Analytical Skills,4
Animations,1
Anomaly Detection,1
Ansible,1
Apache Flink,1
Apache Hadoop,1
Apache Hive,2
Apache Spark,2
Application Deployment,1
Application Design,1
Application Development,3
Application Firewall,3
Application Layers,2
Application Programming Interface (API),3
Application Security,1
Applied Research,2
ArcSight Enterprise Security Manager,1
Artificial Intelligence,6
Atlassian Confluence,1
Auditing,12
Auditor's Report,1
Authentications,3
Automation,12
Automotive Finance,2
Autonomous Vehicles,1
Azure Logic Apps,1
Azure Sentinel,1
Backup Devices,1
Banking,3
Banking Services,2
Bash (Scripting Language),4
Big Data,2
Big Data Analytics,1
Bilingual (Spanish/English),1
Blockchain,1
Booking (Resource Planning Software),1
Business Administration,1
Business Analysis,1
Business Analytics,2
Business Continuity,2
Business Continuity Planning,3
Business Objectives,3
Business Priorities,1
Business Process,3
Business Process Management,1
Business Reporting,1
Business Software,1
C (Programming Language),2
C# (Programming Language),1
C++ (Programming Language),2
Capability Development,1
Cash Management,1
Certification Structure Oversight Committee (CSOC),2
Certified Apartment Service Technician,1
Certified Cloud Security Professional (CCSP),2
Certified Ethical Hacker,4
Certified Financial Risk Management,2
Certified In Risk And Information Systems Control,3
Certified In The Governance Of Enterprise IT,1
Certified Information Security Manager,7
Certified Information System Auditor (CISA),7
Certified Information Systems Security Professional,16
Chainlink,1
Change Management,1
Change Requests,3
Cisco Certified Internetwork Expert Security (CCIE Security),1
Cisco Certified Network Professional,1
Client Server Models,1
Cloud Access Security Broker Tools (CASBs),2
Cloud Computing Architecture,1
Cloudflare,1
Coaching,3
Code Review,3
Collaboration,2
Collateral Management,1
Collections,2
Commercial Banking,2
Communications,29
Communications Security,1
Community Development,1
CompTIA Advanced Security Practitioner (CASP+),1
CompTIA Security+,3
Compassion,2
Compilers,1
Computational Tools,1
Computer Engineering,4
Computer Forensics,1
Computer Networks,3
Computer Programming,1
Computer Science,30
Computer Security,1
Computer Systems,1
Computing Platforms,1
Conceptual Design,1
Consulting,4
Container Security,1
Content Delivery Networks,1
Control Objectives For Information And Related Technology (COBIT),2
Coordinating,4
Corporate Data Management,1
Corporate Finance,1
Corporate Security,1
Courage,2
Creative Thinking,1
Creativity,4
Credit Risk,1
Crisis Management,1
Critical Thinking,1
Cryptography,5
Curiosity,3
Customer Service,2
Cyber Defense,1
Cyber Engineering,1
Cyber Incident Response,7
Cyber Kill Chain Framework,3
Cyber Operations,6
Cyber Resilience,1
Cyber Risk,4
Cyber Security,50
Cyber Security Assessment,1
Cyber Security Policies,7
Cyber Security Policy Development,1
Cyber Security Standards,6
Cyber Security Strategy,1
Cyber Threat Hunting,10
Cyber Threat Intelligence,24
CyberArk,1
Cybercrime,1
Cybersecurity Compliance,2
Dashboard,1
Data Analysis,7
Data Capture,1
Data Collection,3
Data Infrastructure,2
Data Intelligence,1
Data Loss Prevention,6
Data Management,1
Data Mining,1
Data Science,3
Data Security,1
Data Transformation,1
Data Validation,1
Data Visualization,1
Database Servers,1
Datadog,1
Debugging,3
Decision Making,4
Decisiveness,1
Deep Packet Inspection,1
Denial-Of-Service (DoS) Attacks,1
Design Reviews,1
Detail Oriented,4
DevSecOps,1
Digital Banking,2
Digital Forensics,4
Digital Transformation,3
Disabilities,1
Disaster Recovery,2
Disaster Recovery Plan,2
Distributed Denial-Of-Service (DDoS) Attacks,5
Docker (Software),2
Due Diligence,2
Dynamic Host Configuration Protocol (DHCP),4
Economic Growth,1
Electrical Engineering,2
Electronic Engineering,1
Embedded Systems,1
Emerging Risk,2
Emerging Technologies,1
EnCase (Digital Intelligence Software),1
Encryption,2
Endpoint Detection And Response,10
Energetic,1
English Language,7
Enterprise Security,2
Enthusiasm,3
Entrepreneurship,2
Environmental Social And Corporate Governance (ESG),1
Equities,1
Equity and Debt,1
Ethical Standards And Conduct,2
Excel Formulas,1
Executive Protection,1
Extensible HyperText Markup Language (XHTML),1
External Auditing,4
Fault Tolerance,1
File Transfer Protocol (FTP),1
Finance,2
Financial Instrument,1
Financial Services,12
Financial Technology (FinTech),3
Firewall,13
Firmware,1
Flask (Web Framework),1
Forecasting,1
Forensic Sciences,3
Forensic Toolkits,1
Fortinet,1
Fraud Prevention And Detection,1
Functional Requirement,1
Functional Specification,1
GIAC Certifications,16
GIAC Certified Forensics Analyst,3
GIAC Certified Incident Handler,11
GIAC Certified Intrusion Analyst,5
GIAC Cyber Threat Intelligence,3
GIAC Network Forensic Analyst,3
GIAC Reverse Engineering Malware,6
GIAC Security Essentials Certification (GSEC),4
Game Theory,1
Gap Analysis,2
Gcloud,1
General Data Protection Regulation (GDPR),1
General Security,2
Geopolitics,1
German Language,2
Github,1
Go (Programming Language),5
Goal Setting,1
Google Cloud Platform (GCP),2
Governance,7
Governance Risk Management And Compliance,3
Growth Mindedness,1
Hardening,1
Host Based Security System (HBSS),1
HyperText Markup Language (HTML),1
IBM DB2,1
IBM QRadar (SIEM Software),1
IMAP (Internet Message Access Protocol),1
ISO 20022,1
ISO/IEC 27001,3
IT Governance,5
IT Infrastructure,4
IT Risk Management,1
IT Security Architecture,2
Identity And Access Management,2
Incident Management,8
Incident Reporting,6
Incident Response,27
Infection,2
Influencing Skills,1
Information And Communications Technology,2
Information Assurance,1
Information Gathering,1
Information Governance,1
Information Infrastructure,1
