Skills,0
,2
.NET Framework,1
5G Technology,2
API Gateway,1
AWS Certified Cloud Practitioner,1
AWS Certified Security Specialty,1
Ability To Meet Deadlines,1
Acceptance Testing,2
Access Controls,4
Access Network,4
Account Management,4
Accountability,2
Active Directory,6
Advanced Analytics,1
Advising,2
Advocacy,3
Agile Methodology,18
Air Traffic Management,1
Algorithms,1
Alibaba Cloud,2
Amazon API Gateway,1
Amazon CloudWatch,1
Amazon Elastic Container Service,1
Amazon Inspector,1
Amazon Web Services,17
Analytical Dashboard,2
Analytical Skills,5
Analytical Thinking,1
Android (Operating System),3
Ansible,1
Anti-Spam Techniques,1
Anycast,1
Apple IOS,3
Application Development,11
Application Firewall,6
Application Frameworks,2
Application Lifecycle Management,1
Application Security,9
Application Security Testing,1
Application Servers,1
Application Services,1
Applied Research,1
ArcSight Enterprise Security Manager,1
Architectural Design,4
Architectural Patterns,2
Artificial Intelligence,15
Aruba ClearPass,1
Assembly Language,1
Assertiveness,2
Attack Surface Management,7
Auditing,24
Auditor's Report,1
Augmented Reality,1
Authentications,13
Automated Clearing House,1
Automation,15
Azure Logic Apps,1
Azure Sentinel,1
Back End (Software Engineering),1
Backup Devices,2
Banking,1
Banking Services,1
Bash (Scripting Language),2
Behavioral Analytics,1
Biotechnology,1
Bitbucket,1
Black-Box Testing,3
Blockchain,1
Blogs,1
Border Gateway Protocol,1
Budgeting,1
Buffer Overflow,1
Burp Suite,2
Business Continuity,1
Business Continuity Planning,2
Business IT Alignment,1
Business Logic,2
Business Objectives,3
Business Partnering,1
Business Requirements,4
Business Risk Management,1
Business Software,1
Business Strategies,6
Business Systems,1
C (Programming Language),6
C# (Programming Language),2
C++ (Programming Language),5
CI/CD,5
CISCO Certified Network Professional - Security,3
Capital Markets,1
Cardiology,1
Cascading Style Sheets (CSS),1
Certificate Of Cloud Security Knowledge,1
Certification In Control Self-Assessment,1
Certified Cloud Security Professional (CCSP),5
Certified Ethical Hacker,8
Certified In Risk And Information Systems Control,2
Certified Information Security Manager,9
Certified Information System Auditor (CISA),16
Certified Information Systems Security Professional,34
Certified Internet Webmaster,1
Certified Secure Software Lifecycle Professional,1
Change Control,2
Change Management,4
Change Requests,3
Checkmarx,1
Cheque Truncation Systems,1
Cisco Adaptive Security Appliance (ASA),1
Cisco Certified Design Associate,1
Cisco Certified Internetwork Expert,2
Cisco Certified Internetwork Expert Security (CCIE Security),1
Cisco Certified Network Associate,4
Cisco Certified Network Professional,8
Cisco Certified Security Professional,1
Cisco Meraki,1
Cisco PIX,1
Cisco firePOWER,1
Client Services,1
Cloud Applications,1
Cloud Computing,2
Cloud Computing Architecture,1
Cloud Engineering,1
Cloud Hosting,2
Cloud Infrastructure,4
Cloud Migration,1
Cloud Security,23
Cloud Security Architecture,1
Cloud Services,3
Cloud Technologies,2
Cloud-Native Computing,2
Coaching,2
Code Review,4
Collaboration,3
Commissioning,1
Communications,50
Communications Security,1
CompTIA Cybersecurity Analyst (CySA+),1
CompTIA Security+,3
Compassion,1
Complex Networks,3
Computer Engineering,6
Computer Forensics,3
Computer Network Defense,1
Computer Networks,5
Computer Science,62
Computer Security,4
Concision,1
Configuration Management,1
Consulting,9
