Skills,0
.NET Framework,2
5G Technology,6
AAA Server (Authentication Authorization And Accounting),1
API Management,1
ASP.NET,1
AWS Certified Security Specialty,1
AWS CloudFormation,1
Ability To Meet Deadlines,2
Access Controls,4
Account Management,2
Accountability,5
Active Directory,3
Active Listening,1
Administrative Functions,1
Advising,1
Agile Methodology,10
Agile Software Development,1
Algorithms,2
Alternative Technologies,1
Amazon Elastic Container Service,1
Amazon Web Services,13
Analytical Procedures,1
Analytical Skills,2
Analytical Techniques,1
Analytical Thinking,1
Analytics,1
Android (Operating System),2
Angel Investing,1
Angular (Web Framework),1
Anomaly Detection,1
Ansible,1
Ansible Tower,1
Apache Tomcat,1
Apple IOS,1
Application Development,8
Application Firewall,2
Application Programming Interface (API),2
Application Security,13
Application Security Testing,4
Application Servers,1
Application Specific Integrated Circuits,1
Applied Research,1
ArcSight Enterprise Security Manager,1
Architectural Design,1
Architecture Framework,1
Artificial Intelligence,12
Assertiveness,1
Asset Classes,1
Asset Management,5
Atlassian Confluence,1
Attack Surface Management,2
Audit Management,1
Audit Planning,1
Auditing,28
Augmented Reality,1
Authentications,3
Authorization (Computing),1
Automation,12
Autonomous Vehicles,1
Aviation,2
Axure RP,1
Azure Security,1
BMC Remedy Action Request System,1
Backup Devices,2
Balancing (Ledger/Billing),2
Bank Regulations,1
Banking,1
Bash (Scripting Language),2
Behavioral Analytics,1
Benchmarking,1
Bidding,1
Bill Of Materials,1
Bitbucket,1
Blended Learning,1
Blockchain Security,1
Blueprinting,1
Border Gateway Protocol,1
Brainstorming,1
Budgeting,1
Business Continuity,2
Business Continuity And Disaster Recovery,1
Business Continuity Planning,3
Business Development,3
Business Ethics,1
Business Liaison,1
Business Objectives,5
Business Planning,3
Business Process,4
Business Relationship Management,1
Business Requirements,2
Business Risk Management,3
Business Software,1
Business Strategies,1
Business Support Systems,1
Business Systems,1
Business To Business,1
C# (Programming Language),6
C++ (Programming Language),3
CI/CD,8
Cantonese Chinese,1
Certified Case Manager (CCM),1
Certified Cloud Security Professional (CCSP),5
Certified Ethical Hacker,15
Certified In Risk And Information Systems Control,7
Certified Information Security Manager,18
Certified Information System Auditor (CISA),18
Certified Information Systems Security Professional,38
Certified Secure Software Lifecycle Professional,3
Change Management,6
Change Requests,3
Checklists,1
Chronic Diseases,1
Cisco Certified Internetwork Expert,2
Cisco Certified Network Associate,5
Cisco Certified Network Professional,5
Cisco Certified Security Professional,1
Cisco Systems VPN Client,1
Cloud Computing,3
Cloud Hosting,1
Cloud Infrastructure,2
Cloud Security,12
Cloud Security Architecture,1
Cloud Security Strategy,1
Cloud-Native Computing,1
Coaching,4
Code Access Security,1
Code Review,3
Collaboration,2
Collections,1
Commercial Banking,1
Communications,54
Communications Protocols,1
Communications Security,1
CompTIA Advanced Security Practitioner (CASP+),1
CompTIA Security+,1
Compliance Management,1
Computer Engineering,8
Computer Forensics,2
Computer Graphics,1
Computer Hacking Forensic Investigator,2
Computer Science,39
Computer Security,3
Concept Arts,1
Configuration Management,4
Configuration Management Databases,1
Connected Devices,1
Consultative Selling,1
Consulting,8
Container Security,1
Containerization,2
Contingency Planning,2
Continuous Delivery,1
Continuous Integration,1
Continuous Monitoring,5
Contract Drafting,1
Control Objectives For Information And Related Technology (COBIT),6
Cooperation,2
Coordinating,2
Corporate Security,2
Corporate Services,1
Courage,1
Creativity,1
Crisis Management,1
Critical Thinking,1
Cross-Selling,1
Cryptocurrency,1
Cryptography,7
Curiosity,3
Curriculum Development,1
Customer Data Management,1
Customer Relationship Management,3
Customer Retention,1
Customer Service,4
Cyber Engineering,4
Cyber Governance,7
Cyber Hygiene,2
Cyber Incident Response,7
Cyber Operations,6
Cyber Resilience,3
