Skills,0
API Gateway,1
AWS CloudFormation,3
Ability To Meet Deadlines,1
Access Controls,3
Access Network,3
Advanced Analytics,1
Advising,7
Agile Methodology,4
Agile Software Development,3
Alarm Devices,2
Amazon Web Services,7
Ansible,3
Appian (Software),1
Application Development,3
Application Firewall,2
Application Programming Interface (API),1
Application Security,5
ArcSight Enterprise Security Manager,1
Architectural Design,1
Artificial Intelligence,3
Asset Management,1
Audit Engagements,1
Auditing,13
Authentications,3
Authorization (Computing),1
AutoCAD,1
Autodesk Revit,1
Automation,1
Automation Anywhere (RPA Software),1
Balancing (Ledger/Billing),7
Benchmarking,1
Bidding,1
Black-Box Testing,1
BluePrism (RPA Software),1
Blueprinting,3
Budgeting,1
Business Continuity,7
Business Continuity Planning,3
Business Development,9
Business Ethics,1
Business Objectives,3
Business Operations,1
Business Process Management,1
Business Requirements,2
Business Strategies,3
CI/CD,4
Capital Markets,5
Certified Business Continuity Professional,1
Certified Cloud Security Professional (CCSP),2
Certified Ethical Hacker,1
Certified In Risk And Information Systems Control,5
Certified Information Security Manager,13
Certified Information System Auditor (CISA),15
Certified Information Systems Security Professional,20
Change Advisory,1
Change Management,1
Checkmarx,1
Chef (Configuration Management Tool),3
Cisco Certified Network Associate,1
Cloud Computing,3
Cloud Computing Architecture,3
Cloud Hosting,1
Cloud Security,9
Cloud Security Architecture,2
Cloud Services,1
Cloud Technologies,6
Cloud-Native Applications,3
Cloud-Native Computing,1
Coaching,5
Code Review,1
Collaboration,1
Communications,11
Computer Science,20
Configuration Management,1
Consulting,19
Container Security,1
Continuous Delivery,2
Continuous Integration,3
Continuous Monitoring,1
Control Objectives For Information And Related Technology (COBIT),1
Crisis Management,1
Critical Thinking,2
Cryptography,4
Customer Service,4
Cyber Engineering,2
Cyber Governance,1
Cyber Incident Response,3
Cyber Operations,2
Cyber Resilience,2
Cyber Risk,5
Cyber Security,25
Cyber Security Assessment,1
Cyber Threat Intelligence,8
Cybersecurity Compliance,2
Dashboard,1
Data Science,3
Data Security,1
Data Storage,5
Data Visualization,2
Database Activity Monitoring,1
Database Administration,1
Decision Making,2
Design Reviews,1
Design Thinking,1
Detail Oriented,2
DevOps,4
DevSecOps,3
Digital Technology,2
Digital Transformation,6
Directory Service,1
Disaster Recovery,2
Distributed Denial-Of-Service (DDoS) Attacks,1
Document Control,1
Dynamic Application Security Testing (DAST),3
Electrical Engineering,6
Electronic Access Control,1
Electronic Engineering,2
Electronic Systems,2
Emerging Technologies,1
Empathy,1
Encryption,2
Endpoint Detection And Response,2
Endpoint Security,3
Energetic,1
Engineering Design Process,1
English Language,3
Enterprise Application Software,2
Environmental Social And Corporate Governance (ESG),2
Event Management,1
Evidence Collection,1
External Auditing,1
Financial Services,3
Firewall,7
Fortify Static Code Analysis (SCA),1
Functional Skills Qualification,1
GIAC Certifications,4
Go-to-Market Strategy,1
Google Cloud Platform (GCP),2
Google Cloud Security,3
Governance,6
Governance Risk Management And Compliance,1
Hardening,1
Hardware Design,1
Hybrid Cloud Computing,4
IBM VNET,1
ISO 9000 Series,1
ISO/IEC 27000 Series,1
ISO/IEC 27001,8
IT Governance,2
IT Infrastructure,3
IT Security Architecture,4
Identity And Access Management,2
Imagination,1
Incident Management,5
Incident Response,11
Independent Thinking,1
Influencing Skills,3
Information Privacy,4
Information Security Management Systems,2
Information Systems,2
Information Systems Security,3
Information Technology,10
Information Technology Infrastructure Library,6
Information Technology Operations,2
Information Technology Security Systems,1
Informed Consent,1
Infrastructure Security,2
Infrastructure as Code (IaC),3
Ingenuity,1
Innovation,10
Intelligence Analysis,1
Intercom,2
Internal Auditing,1
Internet Of Things (IoT),1
Internet Protocol Security (IP SEC),1
Interpersonal Communications,2
Intrusion Detection And Prevention,1
Investment Banking,1
JSON Web Token (JWT),1
Java (Programming Language),1
Key Management,1
Key Performance Indicators (KPIs),3
Knowledge Management,1
Leadership,10
Log Analysis,2
Log Management And Intelligence,1
MITRE ATT&CK Framework,1
Management,17
Management Consulting,6
Management Information Systems,1
Market Opportunities,1
Medical Response Technician,2
Mentorship,1
Microsoft Azure,9
Microsoft Certified Systems Engineer,1
Microsoft Excel,1
Microsoft Office,1
Microsoft Operating Systems,1
Microsoft PowerPoint,1
Microsoft Teams,1
Mitigating Control,1
Mitigation,4
Multi-Cloud,1
Multi-Factor Authentication,1
Multi-Tenant Cloud Environments,1
Multitasking,2
NIST Cybersecurity Framework (CSF),3
Nessus,1
Network Planning And Design,4
Network Routing,1
Network Security,4
Network Segmentation,1
Network Topology,1
Networking Hardware,1
OAuth,1
Offensive Security,1
Offensive Security Certified Professional,6
OpenID,1
Operating Systems,2
Operations,9
Oracle Identity Manager,1
Organizational Skills,2
PRINCE2  (PRojects IN Controlled Environments 2),4
Parsing,1
Patient Treatment,1
Payment Card Industry (PCI) Data Security Standards,5
Penetration Testing,8
Performance Measurement,1
Physical Security,1
Planning,5
Policy Evaluation,1
Presentations,1
Prioritization,6
Privileged Access Management,1
Proactivity,2
Problem Management,2
Problem Solving,7
Product Support,1
Program Management,1
Project Implementation,1
Project Management,6
Public Cloud,1
Puppet (Configuration Management Tool),3
Qualified Security Assessor,1
Quality Assurance,1
Quality Auditing,1
Quality Management,1
Quantification,1
R (Programming Language),2
RSA (Cryptosystem),1
Real Estate,1
Reconciliation,1
Regulatory Compliance,1
Relationship Building,6
Remote Access Systems,1
Report Writing,1
Request For Proposal,2
Requirements Analysis,1
Research,5
Resilience,5
Retail Banking,1
Return On Investment,1
Risk Analysis,7
Risk Appetite,1
Risk Management,9
Risk Management Tools,1
Robotic Process Automation,1
Root Cause Analysis,2
SAS (Software),1
Safety Assurance,1
Sales,3
Sales Proposals,1
Sales Support,1
Security Assertion Markup Language (SAML),1
Security Awareness,2
Security Controls,7
Security Devices,1
Security Engineering,1
Security Implementation,1
Security Information And Event Management (SIEM),8
Security Management,2
Security Policies,14
Security Requirements Analysis,4
Security Software,2
Security Strategies,6
Security Systems,3
Security Technology,2
Security Testing,5
Self-Motivation,8
Service Review,1
Sherwood Applied Business Security Architecture,4
Single Sign-On (SSO),1
Site Inspection,1
Smart Systems,3
Social Media,1
Software Design Documents,1
Software Development,1
Software Development Life Cycle,1
Software Installation,1
Software Security,1
Stakeholder Communications,1
Stakeholder Management,3
Stakeholder Requirements,1
Standard Operating Procedure,2
Static Application Security Testing (SAST),3
Storage Virtualization,3
Strategic Analysis,1
Supervisory Control And Data Acquisition (SCADA),2
Sustainability Reporting,2
Sustainability Strategies,2
Sustainable Business,2
Sustainable Development,1
System Administration,1
Systems Development Life Cycle,1
Systems Engineering,1
TCP/IP,3
Tableau (Business Intelligence Software),1
Team Leadership,2
Team Oriented,1
Teamwork,1
Technical Documentation,1
Technical Drawing,1
Technical Engineering,1
Technical Leadership,1
Technical Presentations,1
Technical Support,1
Technical Training,1
Technology Solutions,3
Terraform,3
The Open Group Architecture Framework (TOGAF),4
Thought Leadership,1
Threat Detection,2
Threat Modeling,3
Time Management,1
Timelines,1
Training And Development,1
Trend Analysis,1
Triage,1
Troubleshooting (Problem Solving),2
UiPath (RPA Software),1
Verbal Communication Skills,1
Virtual Local Area Network (VLAN),1
Virtual Private Networks (VPN),3
Virtualization,1
Vulnerability,8
Vulnerability Assessments,5
Vulnerability Management,6
Vulnerability Scanning,5
Waterfall Methodology,1
Web Applications,1
White-Box Testing,1
Wide Area Networks,1
Wireless Communications,1
Writing,8
