Skills,0
,2
.NET Development,4
.NET Framework,133
3D Computer Graphics,3
3D Modeling,3
3D Rendering,3
3GPP (Telecommunication),1
5G Technology,1
AAA Video Games,1
ANSYS Meshing,3
API Design,15
API Gateway,10
API Management,2
AS2,2
ASC X12 Standards,2
ASP.NET,40
ASP.NET Core,8
ASP.NET Core MVC,2
ASP.NET MVC Framework,25
ASP.NET Web API,10
AUTomotive Open System Architecture (AUTOSAR),2
AWK (Programming Language),2
AWS CLI (Command Line Interface),2
AWS Certified DevOps Engineer,4
AWS Certified Developer,4
AWS Certified Solutions Architect Professional,4
AWS Cloud Development Kit (CDK),1
AWS CloudFormation,12
AWS CodeBuild,5
AWS CodeCommit,2
AWS CodeDeploy,1
AWS CodePipeline,4
AWS Kinesis,7
AWS Lambda,7
AWS Serverless,5
Ability To Meet Deadlines,6
Abstractions,1
Academic Papers,2
Acceptance Testing,18
Access Controls,1
Account Management,1
Accountability,12
Accounting,4
Accounts Payable,1
Accounts Receivable,1
Active Directory,8
Active Directory Application Mode,1
Active Server Pages (ASP),7
Adaptability,11
Adaptive Design,15
Administrative Functions,1
Admob,1
Adobe Analytics,1
Adobe Creative Suite,1
Adobe Dreamweaver,1
Adobe Experience Manager,4
Adobe Flash,1
Adobe Illustrator,1
Adobe Photoshop,5
Adult Education,3
Advanced Analytics,1
Advertisement,4
Advertising Networks,1
Advising,7
Advocacy,32
Aesthetic Design,2
Aesthetics,4
Agile Coaching,4
Agile Methodology,282
Agile Product Development,2
Agile Project Management,1
Agile Projects,1
Agile Software Development,40
Agriculture,2
Air Traffic Management,5
Airspace,2
Akamai,5
Alarm Devices,2
Algorithm Design,8
Algorithmic Trading,6
Algorithms,60
Alibaba Cloud,5
Alteryx,2
Amazon Aurora,4
Amazon CloudWatch,3
Amazon Cloudfront,6
Amazon Cognito,2
Amazon DynamoDB,11
Amazon Elastic Compute Cloud,15
Amazon Elastic Container Service,4
Amazon GuardDuty,3
Amazon Redshift,2
Amazon Relational Database Services,4
Amazon S3,13
Amazon S3 Buckets,4
Amazon Web Services,238
Analytical Skills,34
Analytical Thinking,10
Analytics,5
Android (Operating System),44
Android Development,2
Android Jetpack,2
Android SDK,2
Android Studio,2
Angular (Web Framework),284
Angular Material,2
Animations,26
Ansible,40
Ansible Playbook,1
Anti Money Laundering,2
Apache ActiveMQ,2
Apache Airflow,4
Apache Ant,4
Apache CXF,1
Apache Camel,2
Apache Cassandra,6
Apache Flink,17
Apache Flume,2
Apache HBase,5
Apache Hadoop,17
Apache Hive,6
Apache Ignite,1
Apache JMeter,4
Apache Kafka,54
Apache Mahout,1
Apache Maven,17
Apache Oozie,4
Apache OpenOffice,3
Apache Pig,1
Apache Solr,3
Apache Spark,26
Apache Struts,3
Apache Subversion,14
Apache Tomcat,8
Apache Yarn,6
Apache Zookeeper,2
Apex Code,2
Apigee,4
App Store (IOS),4
Appian (Software),1
Appium,2
Apple IOS,37
Apple Xcode,2
Application Configuration Access Protocols,12
Application Data,2
Application Deployment,21
Application Development,90
Application Environments,1
Application Frameworks,1
Application Lifecycle Management,7
Application Monitoring,2
Application Performance Management,16
Application Programming Interface (API),253
Application Security,3
Application Servers,8
