Module Name,Link,Title,Description
Introduction to Computing,https://www.singaporetech.edu.sg/modules/introduction-computing,Introduction to Computing,"This module is intended to be at an introductory level to provide an overview of the different modules taught in the computing science programme. The purpose is to enable students to appreciate the relevance and interrelation¬ships of different modules without being lost in the details, as well as to instill a computing science mindset in them. Specifically, this module covers wide variety of topics ranging from binary number systems, the building blocks of hardware, the building blocks of software, to algorithms, database and security."
Programming Fundamentals,https://www.singaporetech.edu.sg/modules/programming-fundamentals,Programming Fundamentals,Programming is one of the most basic and essential skills for any professional in the field of Information and Communication Technologies (ICT).
Computer Organization and Architecture,https://www.singaporetech.edu.sg/modules/computer-organisation-and-architecture,Computer Organisation and Architecture,"This is a foundation module whose main focus is on the characteristics and development of relatively high level ‘building’ blocks of a computer system. The highest level learning objective is to make clear how a computer program written in text is actually ‘executed’ by a computer, regardless of it being a mainframe, desktop or embedded system. A myriad of basic lower-level topics include explaining how a central processor operates, the characteristics of different memory subsystems, data representations and measurements of system performance will be covered. To ensure in-depth coverage of the topics, students will be exposed to assembly language programming and may be given the opportunity to experiment with a micro-controller based system during the course of the module. This module will also introduce some higher-level languages (such as C) that serve as a precursor for the ""Embedded Systems Programming"" module."
Mathematics 1,https://www.singaporetech.edu.sg/modules/mathematics-1,Mathematics 1,"Mathematics is the foundation of any computing discipline, including computing science. Hence, it is essential for students to acquire a level of mathematical maturity to help them better understand the computing science modules in their studies. This first mathematics module will equip students with the core mathematical knowledge in discrete mathematics. The module consists of a series of lectures and tutorials. Topics covered include basic logic, functions, relations and sets, sequences and series, prime number and divisibility, mathematical induction, pigeonhole principle, and permutation and combinations."
Mathematics 2,https://www.singaporetech.edu.sg/modules/mathematics-2,Mathematics 2,"This second mathematics module will equip students with the core mathematical knowledge in statistics and linear algebra which will be required in the specialized topic in machine learning and data analytics in year 2 and year 3. Topics covered include descriptive statistics, probability theory, probability distributions, sampling distributions, inferential statistics, matrix operations and solving systems of linear equations."
Operating Systems,https://www.singaporetech.edu.sg/modules/operating-systems,Operating Systems,Operating Systems are an essential part of any computer system. It defines an abstraction of hardware behaviour with which programmers can control the hardware. It also manages the convenient and efficient resource sharing among the computer’s users.
Data Structures and Algorithms,https://www.singaporetech.edu.sg/modules/data-structures-and-algorithms,Data Structures and Algorithms,This module introduces the fundamental concepts of data structures and the complexity analysis of algorithms that operate on them.
Object-oriented Programming,https://www.singaporetech.edu.sg/modules/object-oriented-programming-1,Object Oriented Programming,"The aim of this introductory module is to enable students to learn the basic language constructs and APIs of Java and apply them to construct practical software components. The module gives coverage of fundamental algorithmic constructs in Java that realize logical, arithmetical, execution flow control and data manipulation behaviours in code. Essential APIs and code specification will be covered to encourage reusability for more efficient, scalable programming. Students will also be introduced via hands-on assignments to the application of basic object-oriented concepts that include class, inheritance and polymorphism. Basic testing using JUnit will be covered. Students will also be taught the handling of exceptions (not just to catch and ignore them) in order to develop secured code. Upon completion of this course, students will be able to apply what they have learnt to implement object-oriented software applications. They will also have an understanding of the benefits of code documentation and reusability."
Web Systems and Technologies,https://www.singaporetech.edu.sg/modules/web-systems-and-technologies,Web Systems and Technologies,IT applications are increasingly web-based. This module covers the essential web technologies to equip students with the useful skills to build websites for web-based IT applications.
Ethics and Professional Conducts,https://www.singaporetech.edu.sg/modules/professionalism-ethics-and-law,"Professionalism, Ethics and the Law","This module focuses on the professional, ethical and legal drivers of health professional practice. It explores the conceptualization of professionalism of the health professionals in terms of identity, the work they perform and autonomy. Students learn various ethical theories from both the West and the East, incorporating these in case-based learning activities that also stimulate and chart their moral development. Specific ethical issues such as informed consent, confidentiality, sanctity of life and end-of-life issues, and many others, are discussed. Pertinent local healthcare laws as they relate to the professional and ethical conduct of health care professionals as well as health services provision will be examined in the context of professional and ethical practice. This module is intended for students from various health sciences disciplines so that interprofessional learning about professional and ethical issues can be achieved."
Computer Networks,https://www.singaporetech.edu.sg/modules/computer-networks,Computer Networks,"Computer networks and the Internet are ubiquitous. Many IT applications are now web-based and are dependent on the networks. This module covers the technologies of computer networks, using the Internet as a real-world reference."
Introduction to Software Engineering,https://www.singaporetech.edu.sg/modules/introduction-software-engineering-0,Introduction to Software Engineering,"The aim of this introductory module is to enable students to learn and apply the basic principles and processes of software engineering. It gives broad coverage of important terminologies, concepts and techniques in software engineering including commonly used software life-cycle process models (e.g. agile, waterfall, spiral, V-Model, etc.). Upon completion of this course, students will be able to perform basic requirements engineering and design, particularly using UML and be able to adopt appropriate process models for software development projects. They will also have a basic understanding of requirements engineering, software architecture, testing, software maintenance and project planning."
Human Computer Interaction,https://www.singaporetech.edu.sg/modules/human-computer-interaction,Human Computer Interaction,"Human-Computer Interaction (HCI) is the study of how humans use computers, and design methods and implementation of computer systems to ensure ease of learning and usage. This module introduces fundamental methods, principles and tools for designing, programming and testing human-centric systems. Topics covered include usability and affordances, metaphors and conceptual models, human cognitive psychology, evaluation techniques and user interface software tools. Recent topics in HCI are also reviewed, including mobile interfaces, new gesture-based interactions and augmented reality."
Embedded Systems Programming,https://www.singaporetech.edu.sg/modules/embedded-systems-programming,Embedded Systems Programming,"Embedded systems are devices where the computing capabilities are embedded and may not be apparent to its users. Examples of embedded systems include digital wristwatches, MP3 players or even the Electronic-Control Unit (ECU) of the modern automobile. Computing capabilities in such devices are usually provided by microcontrollers (MCU). This module will introduce the student to the architecture and subsystems of embedded systems, microcontroller interfacing, memory maps, real-time operating systems (RTOS), typical embedded peripherals such as input/output (I/O) ports, timer, serial communication, support for interrupts, programming of the microcontroller and modern tools for embedded systems development. It will also review the concepts covered in the ICT foundations courses (e.g. ICT1003) and demonstrate the relevance between generic theoretical concepts and the applied embedded systems."
Database Systems,https://www.singaporetech.edu.sg/modules/database-systems,Database Systems,"This module aims to develop the software engineering and database administration skills required for designing, creating, running and developing a relational database application and its associated application software suite. In addition to enhance the understanding of the fundamental concepts, theories and methods of the relational data model, physical file systems, optimization and indexing will also be covered in depth. In addition to the basic concepts in relational databases, this module will introduce time-series and spatially organised databases as IoT data is all about spatio-temporal relationships and join operations."
Mobile Application Development,https://www.singaporetech.edu.sg/modules/mobile-application-development-0,Mobile Application Development,"Mobile devices such as smartphones and tablets have become the most common methods of access to computing and information services. This module will cover the fundamental programming principles, software architecture, user-interface considerations and resource constraints for a mobile environment. The course aims to enhance understanding of the multi-faceted nature of programming on mobile and IoT networked devices and amalgamates knowledge from foundational courses pertaining to computer networks, databases, operating systems and object-oriented programming."
Software Design,https://www.singaporetech.edu.sg/modules/software-design,Software Design,"Software design is concerned with issues, techniques, strategies, representations, and patterns used to determine how to implement a component or a system. The design will conform to functional requirements as well as non-functional requirements such as resource, performance, reliability and security. This module focuses on techniques for software design in the context of large and complex software systems. Topics include software architecture, design principles (information hiding, cohesion and coupling), design notations, evaluation methods and their associated software tools. The course introduces more advanced design notations and concepts. Several design methods are presented and compared, with accompanying examples and case studies. An emphasis will be on placed on the application of design principles and evaluation of their trade-offs to the creation of successful software."
Mobile and Embedded Security,,,
Software Modelling and Analysis,https://www.singaporetech.edu.sg/modules/software-modelling-and-analysis,Software Modelling and Analysis,"This module focuses on the early phases of the software lifecycle, namely Requirement specification and Analysis of software specifications. It covers fundamental concepts and techniques involved in gathering, specification and analysis of software requirements. Principles of software modelling are introduced and different types of semi-formal and formal methods of modelling and analysis are discussed and practised in detail; covering both Classical and Object-Oriented approaches to specification analysis. CASE tools are introduced and the application of validation and testing early in the software life cycle are emphasized. Fundamental software engineering economics e.g. software cost estimation are also introduced."
Secure Software Development,https://www.singaporetech.edu.sg/modules/secure-software-development,Secure Software Development,"As more organisations are dependent upon the software for their operations, insecure software can be one of the biggest threat that may cripple an entire organisation and potentially lead to massive losses."
Integrative Team Project,https://www.singaporetech.edu.sg/modules/integrative-team-project-0,Integrative Team Project,"Students will be grouped into teams of 5-6 and will be working on an integrated team project utilising all the foundation knowledge and skills obtained from the modules that they have covered so far. The students will work to provide a solution for a real problem that will be solicited from industry (e.g. prototyping for a SME). This project will enable students to develop the required skills for working as a team. As this project will run through the entire duration of the semester, some students may be taking their breaks or holidays. Thus, this creates an opportunity for the teams to make use of online collaboration tools as well as practice coordination of team projects where members have heterogeneous abilities and schedules."
Cyber Security Fundamentals,https://www.singaporetech.edu.sg/modules/cyber-security-fundamentals,Cyber Security Fundamentals,"This module aims to explain the fundamental cryptographic primitives and core concepts of computer and network security such as symmetric-key and public-key encryption, digital signatures and secure hash functions; It emphasizes on the principles of secure protocol design, selection and practice using standard cryptographic primitives, developing student’s cyber security knowledge through the principles, practices and tools of secure system development based on standard security protocols and primitives; The module further explains how to analyse different security problems, generating security requirements that lead to the development of an appropriate secure IoT system."
Industry Certification Module,https://www.singaporetech.edu.sg/modules/industry-certification-module,Industry Certification Module,"To keep up-to-date with the advances in technology, it is common for ICT professionals to attend courses during their careers. Some of these courses may also lead to internationally recognised certifications that are highly-valued by the industry. To inculcate the student with this approach to life-long learning and career advancement, this module requires the student to pass at least one of the certification courses offered by various industry majors or certification bodies. The list of certification courses accepted will be updated regularly to cover the areas that are in demand by the industry. Such areas may include data analytics, cloud solutions architectures, open-source software development and cyber-security."
Specialised R&D Project,,,
Edge Computing and Analytics,https://www.singaporetech.edu.sg/modules/data-analytics,Data Analytics,"Big Data is nowadays manifested in a very large number of environments and application fields pertaining to our education, entertainment, health, public governance, enterprising, etc. This module will endow students with the understanding of the new challenges big data introduces, in particular in the area of IoT and the currently available solutions. These include (i) challenges pertaining to the modelling, accessing, and storing of big data, (ii) an understanding of the fundamentals of systems designed to store and access big data, (iii) programming paradigms for efficient scalable access to big data, and (iv) data processing methodology to facilitate big data analytics."
Machine Learning,https://www.singaporetech.edu.sg/modules/machine-learning,Machine Learning,"This module presents students with an introduction to the general theory of learning from data and to a number of popular Machine Learning methods. The main machine learning methods: regression, classification, clustering, probability density estimation, deep learning and dimensionality reduction will be covered in this module. It also enables the students to use a selection of common machine learning algorithms for IoT applications and be aware of when one is to be favoured over the other. Students will be exposed to data exploration methods in R or Python."
