,category,skill,type,count
0,IS,Virtual Private Networks (VPN),hard_skill,51
1,IS,Network Security,hard_skill,99
2,IS,Internet Protocol Security (IP SEC),hard_skill,16
3,IS,Firewall,hard_skill,123
4,IS,Authentications,hard_skill,37
5,IS,Microsoft Forefront Threat Management Gateway,hard_skill,2
6,IS,Network Routing,hard_skill,50
7,IS,Problem Solving,hard_skill,128
8,IS,Certified Information System Auditor (CISA),hard_skill,64
9,IS,Linux,hard_skill,50
10,IS,Hardening,hard_skill,27
11,IS,Security Management,hard_skill,17
12,IS,Incident Reporting,hard_skill,16
13,IS,Vulnerability Assessments,hard_skill,64
14,IS,Penetration Testing,hard_skill,69
15,IS,Data Loss Prevention,hard_skill,18
16,IS,Microsoft SQL Servers,hard_skill,6
17,IS,Certified Information Systems Security Professional,hard_skill,136
18,IS,Information Technology Infrastructure Library,hard_skill,35
19,IS,Risk Analysis,hard_skill,82
20,IS,Patch Management,hard_skill,19
21,IS,Disaster Recovery,hard_skill,18
22,IS,Auditing,hard_skill,121
23,IS,Governance,hard_skill,78
24,IS,Operations,hard_skill,159
25,IS,Incident Response,hard_skill,97
26,IS,Security Information And Event Management (SIEM),hard_skill,78
27,IS,Cyber Security,hard_skill,313
28,IS,Cyber Operations,hard_skill,24
29,IS,Computer Science,hard_skill,242
30,IS,Azure Sentinel,hard_skill,3
31,IS,Log Analysis,hard_skill,21
32,IS,Azure Logic Apps,hard_skill,1
33,IS,Data Infrastructure,hard_skill,10
34,IS,Operating Systems,hard_skill,49
35,IS,Microsoft Azure,hard_skill,56
36,IS,Disaster Recovery Plan,hard_skill,3
37,IS,Corporate Finance,hard_skill,2
38,IS,Github,hard_skill,5
39,IS,Finance,hard_skill,14
40,IS,Software Maintenance,hard_skill,1
41,IS,Financial Technology (FinTech),hard_skill,13
42,IS,Standard Operating Procedure,hard_skill,17
43,IS,Python (Programming Language),hard_skill,84
44,IS,Malware Analysis,hard_skill,19
45,IS,JIRA,hard_skill,11
46,IS,Cloudflare,hard_skill,7
47,IS,Backup Devices,hard_skill,6
48,IS,Information Privacy,hard_skill,40
49,IS,IT Security Architecture,hard_skill,39
50,IS,Datadog,hard_skill,2
51,IS,Okta,hard_skill,2
52,IS,Bash (Scripting Language),hard_skill,13
53,IS,Windows PowerShell,hard_skill,19
54,IS,English Language,hard_skill,36
55,IS,Software Development,hard_skill,38
56,IS,Amazon Web Services,hard_skill,66
57,IS,Go (Programming Language),hard_skill,20
58,IS,Technical Support,hard_skill,28
59,IS,Software As A Service (SaaS),hard_skill,16
60,IS,Entrepreneurship,hard_skill,5
61,IS,C (Programming Language),hard_skill,16
